,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,locked_date
0,"['html', 'css', 'range']","{'account_id': 300951, 'reputation': 7487, 'user_id': 608388, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/8090Q.png?s=256&g=1', 'display_name': 'Niraj Chauhan', 'link': 'https://stackoverflow.com/users/608388/niraj-chauhan'}",True,472177,1487156854.0,10004863.0,14,178,1668927677,1333511823,1568272419.0,10004723,CC BY-SA 4.0,https://stackoverflow.com/questions/10004723/html5-input-type-range-show-range-value,HTML5 input type range show range value,,,,
1,"['html', 'google-translate']","{'account_id': 111798, 'reputation': 8709, 'user_id': 295133, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3b7818662b98931fe4e77693ec26eaa1?s=256&d=identicon&r=PG', 'display_name': 'Adam', 'link': 'https://stackoverflow.com/users/295133/adam'}",True,563,,10259682.0,3,0,1668143651,1335017356,1668143546.0,10259634,CC BY-SA 4.0,https://stackoverflow.com/questions/10259634/use-google-translate-on-only-the-body-content-and-not-the-navigation,"Use google translate on only the body content, and not the navigation",,,,
2,"['javascript', 'html', 'forms', 'webforms', 'radio-button']","{'account_id': 371672, 'reputation': 6297, 'user_id': 720323, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/wxseh.jpg?s=256&g=1', 'display_name': 'HelpNeeder', 'link': 'https://stackoverflow.com/users/720323/helpneeder'}",True,16313,,10274303.0,4,0,1667497033,1335149723,,10274282,CC BY-SA 3.0,https://stackoverflow.com/questions/10274282/how-to-check-if-one-of-radio-buttons-was-selected,How to check if one of radio buttons was selected?,,,,
3,"['javascript', 'html', 'mobile', 'csv']","{'account_id': 1343062, 'reputation': 149, 'user_id': 1284356, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/eb25a398ef34037ec9ee9935400853e8?s=256&d=identicon&r=PG', 'display_name': 'JColling', 'link': 'https://stackoverflow.com/users/1284356/jcolling'}",True,2367,,,4,1,1667384322,1333836200,1333871036.0,10058745,CC BY-SA 3.0,https://stackoverflow.com/questions/10058745/javascript-to-parse-csv-excel-file,javascript to parse csv excel file,,,,
4,"['php', 'javascript', 'mysql', 'html']","{'user_type': 'does_not_exist', 'display_name': 'user1344311'}",True,18803,,10231872.0,2,0,1667122841,1334848675,,10231264,CC BY-SA 3.0,https://stackoverflow.com/questions/10231264/html-select-onchange-update-query,HTML select onchange update query,,,,
5,"['javascript', 'jquery', 'html', 'jquery-ui', 'draggable']","{'account_id': 1396940, 'reputation': 155, 'user_id': 1326532, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/813e0ab5b87203d9ab689afa78da048a?s=256&d=identicon&r=PG', 'display_name': 'Lizzaran', 'link': 'https://stackoverflow.com/users/1326532/lizzaran'}",True,3312,,10230365.0,2,2,1666622082,1334844969,,10230043,CC BY-SA 3.0,https://stackoverflow.com/questions/10230043/jquery-ui-draggable-locked-to-the-window,JQuery-UI Draggable locked to the window,,,,
6,"['html', 'vim', 'formatting', 'macvim']","{'account_id': 12615, 'reputation': 18136, 'user_id': 24949, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/18040800897df7eebd802fe40da96a2a?s=256&d=identicon&r=PG', 'display_name': 'Sudar', 'link': 'https://stackoverflow.com/users/24949/sudar'}",True,19237,,9987878.0,4,28,1666545805,1333432127,1333432452.0,9987743,CC BY-SA 3.0,https://stackoverflow.com/questions/9987743/format-and-indent-html-in-vim,Format and Indent HTML in Vim,,,,
7,"['php', 'mysql', 'html', 'file-upload']","{'account_id': 1390393, 'reputation': 125, 'user_id': 1321364, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/f0bcb62e42ca10c894a4cfad5ac39d65?s=256&d=identicon&r=PG', 'display_name': 'Rick Ryan', 'link': 'https://stackoverflow.com/users/1321364/rick-ryan'}",True,6597,,10184323.0,4,1,1666526574,1334628293,,10184141,CC BY-SA 3.0,https://stackoverflow.com/questions/10184141/image-upload-not-working,Image upload not working,,,,
8,"['html', 'canvas', 'html5-canvas']","{'account_id': 955512, 'reputation': 163, 'user_id': 980893, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/5d733fc817afbaa899db2d4a492eb312?s=256&d=identicon&r=PG', 'display_name': 'Agent Goon', 'link': 'https://stackoverflow.com/users/980893/agent-goon'}",True,3556,,,4,1,1666212466,1333655934,1333658559.0,10035150,CC BY-SA 3.0,https://stackoverflow.com/questions/10035150/html5-canvas-wireframe-sphere-in-2d,HTML5 Canvas - Wireframe Sphere in 2d,,,,
9,"['javascript', 'html', 'events', 'client-server']","{'account_id': 1399981, 'reputation': 141, 'user_id': 1328939, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9fd5f9c186308603375caf760418d8c0?s=256&d=identicon&r=PG', 'display_name': 'Paul Clubs', 'link': 'https://stackoverflow.com/users/1328939/paul-clubs'}",True,84640,,,4,14,1666172871,1334229804,,10122555,CC BY-SA 3.0,https://stackoverflow.com/questions/10122555/loading-javascript-in-body-onload-with-2-functions,Loading javascript in body onload with 2 functions,,,,
