,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,locked_date,migrated_from
0,"['html', 'audio', 'audiojs']","{'account_id': 84460, 'reputation': 8087, 'user_id': 236106, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/46ea107d3eb130cdea38bece3f7d3c26?s=256&d=identicon&r=PG', 'display_name': 'Bunny Rabbit', 'link': 'https://stackoverflow.com/users/236106/bunny-rabbit'}",True,8937,4,6,1669211671,1345029245,1349538974.0,11968309,CC BY-SA 3.0,https://stackoverflow.com/questions/11968309/audio-tag-gui-not-visible,Audio tag GUI not visible,,,,,,
1,"['javascript', 'jquery', 'html', 'css', 'sass']","{'account_id': 915474, 'reputation': 2952, 'user_id': 948357, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/CKXfo.jpg?s=256&g=1', 'display_name': 'James Cazzetta', 'link': 'https://stackoverflow.com/users/948357/james-cazzetta'}",True,114311,9,157,1669132519,1344438485,1630932339.0,11867545,CC BY-SA 4.0,https://stackoverflow.com/questions/11867545/change-text-color-based-on-brightness-of-the-covered-background-area,Change text color based on brightness of the covered background area?,1498005534.0,11868159.0,,,,
2,"['javascript', 'html', 'jquery', 'validation', 'jquery-events']","{'account_id': 323340, 'reputation': 1702, 'user_id': 643298, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/5aff1f759b1b74a2284c78db63fda5a0?s=256&d=identicon&r=PG', 'display_name': 'jeffreydev', 'link': 'https://stackoverflow.com/users/643298/jeffreydev'}",True,8396,4,15,1669069066,1345455713,1589389139.0,12035396,CC BY-SA 4.0,https://stackoverflow.com/questions/12035396/custom-form-validation-function-on-element-with-html-5,Custom form validation function on element with html 5,,12151663.0,,,,
3,"['javascript', 'html', 'dom-events']","{'account_id': 1063634, 'reputation': 6743, 'user_id': 1064717, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/lJtwA.png?s=256&g=1', 'display_name': 'coiso', 'link': 'https://stackoverflow.com/users/1064717/coiso'}",True,215975,17,92,1668800902,1344341465,1377871035.0,11845678,CC BY-SA 3.0,https://stackoverflow.com/questions/11845678/adding-multiple-event-listeners-to-one-element,adding multiple event listeners to one element,,11846294.0,,,,
4,"['html', 'css', 'internet-explorer-7']","{'account_id': 474686, 'reputation': 25112, 'user_id': 884521, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/b096fdd882f826178a7eb8c56e1a1aa5?s=256&d=identicon&r=PG', 'display_name': 'Mo.', 'link': 'https://stackoverflow.com/users/884521/mo'}",True,31604,13,22,1668356968,1345212928,1668356883.0,12007507,CC BY-SA 4.0,https://stackoverflow.com/questions/12007507/how-to-remove-dotted-border-around-the-link-in-ie7,How to remove dotted border around the link in IE7,,12007546.0,,,,
5,"['html', 'csv', 'file-upload', 'input', 'content-type']","{'account_id': 1696995, 'reputation': 37266, 'user_id': 1558171, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/XPmqF.jpg?s=256&g=1', 'display_name': 'Dom', 'link': 'https://stackoverflow.com/users/1558171/dom'}",True,756808,12,668,1668326013,1344273530,1592644375.0,11832930,CC BY-SA 4.0,https://stackoverflow.com/questions/11832930/html-input-file-accept-attribute-file-type-csv,HTML Input=&quot;file&quot; Accept Attribute File Type (CSV),1413272928.0,,,,,
6,"['javascript', 'html', 'dom-events', 'execcommand']","{'account_id': 909063, 'reputation': 14551, 'user_id': 943340, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/f7b5b9f0164c4854a8c9f148ddc97c8e?s=256&d=identicon&r=PG', 'display_name': 'Googlebot', 'link': 'https://stackoverflow.com/users/943340/googlebot'}",True,118479,13,131,1668280424,1345385434,1583598830.0,12027137,CC BY-SA 4.0,https://stackoverflow.com/questions/12027137/javascript-trick-for-paste-as-plain-text-in-execcommand,Javascript trick for &#39;paste as plain text` in execCommand,,12028136.0,,,,
7,"['javascript', 'jquery', 'html', 'drag-and-drop']","{'account_id': 63561, 'reputation': 8876, 'user_id': 188081, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/7c0ebd0c092cec9c0de53a8d76a1c35a?s=256&d=identicon&r=PG', 'display_name': 'Gup3rSuR4c', 'link': 'https://stackoverflow.com/users/188081/gup3rsur4c'}",True,47315,10,52,1668270848,1344822254,1344903619.0,11927309,CC BY-SA 3.0,https://stackoverflow.com/questions/11927309/html5-dnd-datatransfer-setdata-or-getdata-not-working-in-every-browser-except-fi,HTML5 DnD dataTransfer setData or getData not working in every browser except Firefox,,11959389.0,,,,
8,"['html', 'css']","{'account_id': 1515162, 'reputation': 3249, 'user_id': 1416330, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/bd0d9c629a5c61793bcdc89148757129?s=256&d=identicon&r=PG', 'display_name': 'Aaron', 'link': 'https://stackoverflow.com/users/1416330/aaron'}",True,99842,5,70,1668221073,1344386750,1592679687.0,11856150,CC BY-SA 4.0,https://stackoverflow.com/questions/11856150/center-an-image-horizontally-using-css,Center an image horizontally using CSS,,11856246.0,,,,
9,"['html', 'windows', 'google-chrome', 'vbscript', 'bookmarks']","{'account_id': 1468056, 'reputation': 1847, 'user_id': 1380370, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/8krHm.png?s=256&g=1', 'display_name': 'amiregelz', 'link': 'https://stackoverflow.com/users/1380370/amiregelz'}",True,5398,3,6,1667968758,1345491432,,12043989,CC BY-SA 3.0,https://stackoverflow.com/questions/12043989/creating-multiple-windows-url-shortcuts-from-a-bookmarks-html-file,Creating multiple Windows URL shortcuts from a bookmarks HTML file,,12045265.0,,,,
10,"['html', 'css']","{'account_id': 294218, 'reputation': 4778, 'user_id': 597983, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/59de353377c14b05a528e15616844cdf?s=256&d=identicon&r=PG', 'display_name': 'Mady', 'link': 'https://stackoverflow.com/users/597983/mady'}",True,375029,13,131,1667534413,1345127767,1635451705.0,11989546,CC BY-SA 4.0,https://stackoverflow.com/questions/11989546/wrap-a-text-within-only-two-lines-inside-div,Wrap a text within only two lines inside div,,11989697.0,,,,
11,"['html', 'api', 'media', 'capture']","{'account_id': 195040, 'reputation': 3807, 'user_id': 437704, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/a330709470b1cb228d7e79fd51eccda4?s=256&d=identicon&r=PG&f=1', 'display_name': 'edcs', 'link': 'https://stackoverflow.com/users/437704/edcs'}",True,3718,2,11,1667283190,1346338538,,12199736,CC BY-SA 3.0,https://stackoverflow.com/questions/12199736/detect-html5-media-capture-api-support,Detect HTML5 Media Capture API Support,,,,,,
12,"['css', 'twitter-bootstrap', 'html', 'responsive-design']","{'account_id': 1544031, 'reputation': 6453, 'user_id': 1438003, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/94e04412d7a0b62a19148a83809260e9?s=256&d=identicon&r=PG', 'display_name': 'user1438003', 'link': 'https://stackoverflow.com/users/1438003/user1438003'}",True,396084,17,327,1666905436,1345574860,,12061139,CC BY-SA 3.0,https://stackoverflow.com/questions/12061139/making-button-go-full-width,Making button go full-width?,,,,,,
13,"['html', 'css', 'css-float']","{'account_id': 1718751, 'reputation': 97, 'user_id': 1575249, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5db8757d5c0324e0274fc96e34815ec3?s=256&d=identicon&r=PG', 'display_name': 'Electron', 'link': 'https://stackoverflow.com/users/1575249/electron'}",True,674,1,3,1666711519,1344768070,1666711519.0,11921577,CC BY-SA 4.0,https://stackoverflow.com/questions/11921577/how-to-make-sure-that-all-divs-with-floatright-actually-float-right,How to make sure that all &lt;div&gt;s with float:right; actually float right?,,11921711.0,,,,
14,"['html', 'css']","{'account_id': 273061, 'reputation': 846, 'user_id': 564442, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/0e117585e91c67ab726166a82a572766?s=256&d=identicon&r=PG', 'display_name': 'Matija Folnovic', 'link': 'https://stackoverflow.com/users/564442/matija-folnovic'}",False,183,1,0,1666711505,1345654868,1666711505.0,12077982,CC BY-SA 4.0,https://stackoverflow.com/questions/12077982/css-columns-more-elements-than-columns,CSS columns - more elements than columns,,,,,,
15,"['html', 'meta-tags', 'lang']","{'account_id': 1787734, 'reputation': 421, 'user_id': 1628833, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3304d6a7e2d795a3a1906b33311c0f4d?s=256&d=identicon&r=PG', 'display_name': 'swd_fs', 'link': 'https://stackoverflow.com/users/1628833/swd-fs'}",True,59007,5,42,1665803886,1346105656,1591389704.0,12150369,CC BY-SA 4.0,https://stackoverflow.com/questions/12150369/define-multiple-languages-in-html-root-elements-lang-attribute,Define multiple languages in html root element&#39;s lang attribute?,1538776844.0,,,,,
16,"['javascript', 'html', 'internet-explorer']","{'account_id': 111296, 'reputation': 10211, 'user_id': 294089, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/379ae669ce4096c239984ed10f0799c7?s=256&d=identicon&r=PG', 'display_name': 'Roman', 'link': 'https://stackoverflow.com/users/294089/roman'}",True,1375,3,0,1665774182,1346122666,,12152211,CC BY-SA 3.0,https://stackoverflow.com/questions/12152211/is-postmessage-supported-in-internetexplorer-7,Is postMessage() supported in InternetExplorer 7?,,12152231.0,,,,
17,"['html', 'parsing', 'sed', 'awk']","{'user_type': 'does_not_exist', 'display_name': 'user971580'}",True,1646,3,2,1665613430,1344197285,1665613430.0,11819677,CC BY-SA 4.0,https://stackoverflow.com/questions/11819677/extracing-hrefs-urls-from-html-with-sed-awk-grep,Extracing href&#39;s/urls from html with SED/AWK/GREP,,11824176.0,,,,
