,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from
0,"['javascript', 'html', 'visibility']","{'user_type': 'does_not_exist', 'display_name': 'user1163722'}",True,561806,9456325.0,9,131,1669472375,1330283913,1641595615.0,9456289,CC BY-SA 4.0,https://stackoverflow.com/questions/9456289/how-to-make-a-div-visible-and-invisible-with-javascript,How to make a DIV visible and invisible with JavaScript?,,,,
1,"['html', 'jquery', 'css']","{'account_id': 1152405, 'reputation': 345, 'user_id': 1133831, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/91c7686c94528d2fae6dd2c06d38814a?s=256&d=identicon&r=PG', 'display_name': 'Nate Gines', 'link': 'https://stackoverflow.com/users/1133831/nate-gines'}",True,8447,,6,0,1669136232,1329292021,1669136232.0,9289611,CC BY-SA 4.0,https://stackoverflow.com/questions/9289611/expand-collapse-div,Expand/Collapse Div,,,,
2,"['javascript', 'html', 'canvas']","{'account_id': 190259, 'reputation': 995, 'user_id': 1202565, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/0f5c6874dc1ffa99c8b7f05d2d1dd6ec?s=256&d=identicon&r=PG', 'display_name': 'Kerry', 'link': 'https://stackoverflow.com/users/1202565/kerry'}",True,176170,,6,76,1668515985,1329071796,1329079447.0,9251480,CC BY-SA 3.0,https://stackoverflow.com/questions/9251480/set-canvas-size-using-javascript,Set Canvas size using javascript,,,,
3,"['html', 'css', 'firefox', 'printing', 'page-break']","{'account_id': 923667, 'reputation': 2549, 'user_id': 954867, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/rtTvN.jpg?s=256&g=1', 'display_name': 'Fredy31', 'link': 'https://stackoverflow.com/users/954867/fredy31'}",True,6867,9231039.0,3,5,1668485079,1328889687,1328891565.0,9230727,CC BY-SA 3.0,https://stackoverflow.com/questions/9230727/prevent-page-break-between-2-div-elements,Prevent Page Break between 2 div elements,,,,
4,"['html', 'css', 'file', 'input', 'resize']","{'account_id': 1207914, 'reputation': 939, 'user_id': 1177064, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/f34a4164c496764c85cc51cb3b3e5dc8?s=256&d=identicon&r=PG', 'display_name': 'Kalreg', 'link': 'https://stackoverflow.com/users/1177064/kalreg'}",True,22514,,4,13,1668278937,1328478463,,9153354,CC BY-SA 3.0,https://stackoverflow.com/questions/9153354/how-to-change-input-file-button-size,How to change input file button size?,,,,
5,"['javascript', 'jquery', 'html', 'css']","{'account_id': 1253830, 'reputation': 1771, 'user_id': 1213707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9cced725e50f26d7a1acfa7887ee7eab?s=256&d=identicon&r=PG', 'display_name': 'user1213707', 'link': 'https://stackoverflow.com/users/1213707/user1213707'}",True,112172,,7,65,1668274843,1329501227,1438767973.0,9333044,CC BY-SA 3.0,https://stackoverflow.com/questions/9333044/how-to-hide-blinking-cursor-in-input-text,how to hide blinking cursor in input text?,,,,
6,"['html', 'css', 'wkhtmltopdf']","{'account_id': 372834, 'reputation': 1290, 'user_id': 722122, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/397c566383228c30bb2b39e930441e15?s=256&d=identicon&r=PG', 'display_name': 'Ankit Mittal', 'link': 'https://stackoverflow.com/users/722122/ankit-mittal'}",True,194369,11874452.0,12,120,1668076236,1329286938,,9288802,CC BY-SA 3.0,https://stackoverflow.com/questions/9288802/avoid-page-break-inside-row-of-table,avoid page break inside row of table,1343736927.0,,,
7,"['html', 'dom']","{'account_id': 238658, 'reputation': 3353, 'user_id': 507699, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6de58e39b6ad507cb59dac43ebb389bc?s=256&d=identicon&r=PG', 'display_name': 'Alvis', 'link': 'https://stackoverflow.com/users/507699/alvis'}",True,122743,9152136.0,8,108,1667906686,1328468783,1549007621.0,9152096,CC BY-SA 4.0,https://stackoverflow.com/questions/9152096/make-an-html-element-non-focusable,Make an HTML element non-focusable,,,,
8,"['javascript', 'asp.net', '.net', 'html']","{'account_id': 1215378, 'reputation': 2522, 'user_id': 1183088, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/eaa57863cd499773656be513bb4e1b83?s=256&d=identicon&r=PG', 'display_name': 'Jack M', 'link': 'https://stackoverflow.com/users/1183088/jack-m'}",True,34349,,1,3,1667824512,1329392913,1667824512.0,9310754,CC BY-SA 4.0,https://stackoverflow.com/questions/9310754/set-a-span-visible-and-invisible,Set a span visible and invisible,,,,
9,"['javascript', 'html', 'fonts', 'size']","{'account_id': 1197335, 'reputation': 1042, 'user_id': 1168764, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/0f67465b28b24e6ae93119136bdb967d?s=256&d=identicon&r=PG', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/1168764/max'}",True,2085,9228470.0,3,4,1667633837,1328879995,1378108279.0,9228417,CC BY-SA 3.0,https://stackoverflow.com/questions/9228417/calculate-letter-size-in-javascript,Calculate letter size in javascript,,,,
