,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['javascript', 'html', 'regex', 'dom', 'replace']","{'account_id': 15137431, 'reputation': 867, 'user_id': 10923521, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d7c9b26906243eb3f0e861cfa1b900a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Grumbunks', 'link': 'https://stackoverflow.com/users/10923521/grumbunks'}",True,924,56290204.0,4,1,1669122703,1558691503,56290135,CC BY-SA 4.0,https://stackoverflow.com/questions/56290135/using-javascript-to-replace-nbsp-in-innertext-does-not-work,"Using JavaScript to replace &amp;nbsp; in innerText, does not work",,,,,
1,"['html', 'ios', 'css']","{'account_id': 5659483, 'reputation': 1096, 'user_id': 4572561, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Vqxw2bTUtHw/AAAAAAAAAAI/AAAAAAAAABE/7-oJKrgXV4g/photo.jpg?sz=256', 'display_name': 'Dzmitry Vasilevsky', 'link': 'https://stackoverflow.com/users/4572561/dzmitry-vasilevsky'}",True,21197,57774220.0,6,25,1669059036,1559085831,56351216,CC BY-SA 4.0,https://stackoverflow.com/questions/56351216/ios-safari-unwanted-scroll-when-keyboard-is-opened-and-body-scroll-is-disabled,IOS Safari: unwanted scroll when keyboard is opened and body scroll is disabled,,,,,
2,"['html', 'accessibility']","{'account_id': 7677933, 'reputation': 159, 'user_id': 5818161, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/6c891e2991b2468d5ddaf564f7ff932d?s=256&d=identicon&r=PG&f=1', 'display_name': 'dontnetnewbie', 'link': 'https://stackoverflow.com/users/5818161/dontnetnewbie'}",True,56,,1,-1,1667592028,1557873521,56139523,CC BY-SA 4.0,https://stackoverflow.com/questions/56139523/is-this-table-accessibility-safe,Is this table accessibility safe,1667592028.0,,,,
3,"['html', 'accessibility', 'wai-aria', 'blockui', 'section508']","{'account_id': 4866349, 'reputation': 49, 'user_id': 3924441, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3924441', 'link': 'https://stackoverflow.com/users/3924441/user3924441'}",False,172,,1,0,1667591986,1558430407,56235114,CC BY-SA 4.0,https://stackoverflow.com/questions/56235114/accessibility-support-in-jquery-blockui-plugin,accessibility support in jquery blockUI plugin,1667591986.0,,,,
4,"['html', 'visual-studio-code', 'formatting', 'prettier']","{'account_id': 1873290, 'reputation': 1782, 'user_id': 1695062, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/8ed9fd182ad0149671a0a9945adee945?s=256&d=identicon&r=PG', 'display_name': 'Tristanisginger', 'link': 'https://stackoverflow.com/users/1695062/tristanisginger'}",True,34155,62975679.0,9,60,1666940249,1558695371,56291245,CC BY-SA 4.0,https://stackoverflow.com/questions/56291245/how-do-you-stop-prettier-in-vs-code-splitting-attributes-onto-multiple-lines,How do you stop Prettier in VS code splitting attributes onto multiple lines?,,,,,
5,"['html', 'delphi', 'web', 'twebbrowser']","{'account_id': 10969565, 'reputation': 55, 'user_id': 8060321, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f5c211a561793b6edbc716a7ea7cbf00?s=256&d=identicon&r=PG&f=1', 'display_name': 'Janrich', 'link': 'https://stackoverflow.com/users/8060321/janrich'}",True,692,56048419.0,1,3,1666810232,1557338115,56046532,CC BY-SA 4.0,https://stackoverflow.com/questions/56046532/send-and-receive-data-to-and-from-a-website-using-the-twebbrowser-component-in-d,Send and receive data to and from a website using the TWebbrowser component in Delphi,1557340247.0,,,,
6,"['html', 'css', 'reactjs', 'pdf']","{'account_id': 1798622, 'reputation': 500, 'user_id': 1637466, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/a8eaa716051b47e8dd0b81325cd376ec?s=256&d=identicon&r=PG', 'display_name': 'JayBee', 'link': 'https://stackoverflow.com/users/1637466/jaybee'}",True,1171,,4,7,1664552955,1558630196,56279786,CC BY-SA 4.0,https://stackoverflow.com/questions/56279786/making-a-scrollable-div-that-encompasses-the-entire-height-of-the-pdf,Making a scrollable div that encompasses the entire height of the PDF,1559064059.0,,,,
7,"['javascript', 'html', 'reactjs']","{'account_id': 13621186, 'reputation': 69, 'user_id': 9825621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/96108af1c9c6888f846f9fb904f9f9cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jay', 'link': 'https://stackoverflow.com/users/9825621/jay'}",True,5004,,2,2,1664525016,1559072130,56348979,CC BY-SA 4.0,https://stackoverflow.com/questions/56348979/reactjs-downloading-a-pdf-file-failed-no-file,ReactJS- downloading a pdf file &quot;Failed - no file&quot;,1559082317.0,,,,
8,"['html', 'css', 'angular', 'ionic-framework', 'ionic4']","{'account_id': 15880981, 'reputation': 83, 'user_id': 11458747, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nIFXy.jpg?s=256&g=1', 'display_name': 'Ade', 'link': 'https://stackoverflow.com/users/11458747/ade'}",True,13296,,2,5,1664453321,1557512828,56083050,CC BY-SA 4.0,https://stackoverflow.com/questions/56083050/how-to-style-ion-input-in-angular-ionic-framework,How to style ion-input in Angular/Ionic framework?,1664453321.0,,,,
9,"['html', 'visual-studio-code', 'vuejs2', 'formatting', 'vetur']","{'account_id': 303711, 'reputation': 1207, 'user_id': 612815, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/UTje9.png?s=256&g=1', 'display_name': 'Farsen', 'link': 'https://stackoverflow.com/users/612815/farsen'}",True,26860,,14,30,1664445560,1557749349,56112054,CC BY-SA 4.0,https://stackoverflow.com/questions/56112054/how-to-prevent-vs-code-from-breaking-up-long-html-lines-into-multiple-lines,How to prevent VS Code from breaking up long HTML lines into multiple lines?,1613728335.0,,,,
