,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['html', 'css', 'layout']","{'account_id': 1817142, 'reputation': 774, 'user_id': 1652010, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/z45lG.png?s=256&g=1', 'display_name': 'timebandit', 'link': 'https://stackoverflow.com/users/1652010/timebandit'}",True,41,54921629.0,1,-1,1669056731,1551343193,1669056731.0,54921474,CC BY-SA 4.0,https://stackoverflow.com/questions/54921474/how-to-wrap-a-container-element-around-inline-block-children,How to wrap a container element around inline-block children,,,,,
1,"['html', 'css']","{'account_id': 12206834, 'reputation': 23, 'user_id': 8909687, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1096498507154064/picture?type=large', 'display_name': 'Brandon Clark', 'link': 'https://stackoverflow.com/users/8909687/brandon-clark'}",True,99,54844771.0,1,2,1669042137,1550943014,1669042137.0,54844163,CC BY-SA 4.0,https://stackoverflow.com/questions/54844163/my-scrollbar-is-hidden-behind-my-fixed-div-with-overflow-scroll,my scrollbar is hidden behind my fixed div with overflow scroll,,,,,
2,"['javascript', 'html', 'jquery', 'accordion']","{'account_id': 1504362, 'reputation': 1208, 'user_id': 1408126, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/6add2808f0251cb5449838c67838060e?s=256&d=identicon&r=PG', 'display_name': 'lowercase', 'link': 'https://stackoverflow.com/users/1408126/lowercase'}",True,94,54640832.0,3,4,1668983009,1549928146,1668983009.0,54640718,CC BY-SA 4.0,https://stackoverflow.com/questions/54640718/javascript-accordion-collapse-all-open-instances-except-active,Javascript accordion - collapse all open instances except active,,,,,
3,"['html', 'angular', 'kendo-ui', 'angular6']","{'account_id': 13842450, 'reputation': 99, 'user_id': 9992370, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8557ea8dc7c078262c7ded556fd57c68?s=256&d=identicon&r=PG&f=1', 'display_name': 'rannes', 'link': 'https://stackoverflow.com/users/9992370/rannes'}",True,148,,1,0,1668940321,1550323847,1668940321.0,54723582,CC BY-SA 4.0,https://stackoverflow.com/questions/54723582/how-to-push-records-from-one-grid-to-another-grid-in-angular-6,How to push records from one grid to another grid in Angular 6,,,,,
4,"['html', 'css']","{'account_id': 10140524, 'reputation': 67, 'user_id': 7490434, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-V2cerXmXJNk/AAAAAAAAAAI/AAAAAAAAANc/2wBt1P-i2AE/photo.jpg?sz=256', 'display_name': 'JustSoniBG', 'link': 'https://stackoverflow.com/users/7490434/justsonibg'}",True,33,54846120.0,1,0,1668775837,1550954183,1668775837.0,54845963,CC BY-SA 4.0,https://stackoverflow.com/questions/54845963/cant-line-h1-and-ul,Can&#39;t line h1 and ul,,,,,
5,"['html', 'css', 'fonts']","{'account_id': 14779339, 'reputation': 109, 'user_id': 10673210, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-FXuzWmw10u0/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-j8HKM9wLdcQV_cHOpghfMeut4dVg/mo/photo.jpg?sz=256', 'display_name': 'Muhammad Najib ', 'link': 'https://stackoverflow.com/users/10673210/muhammad-najib'}",True,32315,,11,9,1668698773,1549053656,1549064347.0,54486873,CC BY-SA 4.0,https://stackoverflow.com/questions/54486873/my-montserrat-font-is-not-showing-the-correct-font-style,My Montserrat font is not showing the correct font-style,,,,,
6,"['html', 'css']","{'account_id': 15327239, 'reputation': 51, 'user_id': 11058029, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cea798ee2455cb51fbb97e4444af83e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Muazeel', 'link': 'https://stackoverflow.com/users/11058029/muazeel'}",False,132,,1,5,1668210881,1550080183,,54676460,CC BY-SA 4.0,https://stackoverflow.com/questions/54676460/applying-important-dynamically-via-css,Applying !important dynamically via CSS,,,,,
7,"['javascript', 'html']","{'account_id': 14148066, 'reputation': 1424, 'user_id': 10220825, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/349f836787fac77e95f6b0a5b0c8d1e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ratnesh', 'link': 'https://stackoverflow.com/users/10220825/ratnesh'}",True,16968,54511242.0,6,12,1668095657,1549262017,1549262284.0,54511144,CC BY-SA 4.0,https://stackoverflow.com/questions/54511144/print-set-element-in-javascript,Print set element in javascript,,,,,
8,"['javascript', 'html', 'jquery', 'accessibility']","{'account_id': 5714093, 'reputation': 484, 'user_id': 4515015, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3438e50a44ed6aa245a5d93931d35632?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nikhil', 'link': 'https://stackoverflow.com/users/4515015/nikhil'}",True,1678,55248888.0,2,1,1667935161,1550574946,1667935161.0,54765010,CC BY-SA 4.0,https://stackoverflow.com/questions/54765010/html-native-dropdown-open-menu-items-on-enter-click,html native dropdown - open menu items on enter click,,,,,
9,"['html', 'angular', 'validation', 'angular2-form-validation']","{'account_id': 3467967, 'reputation': 1451, 'user_id': 2903069, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shashi Ranjan', 'link': 'https://stackoverflow.com/users/2903069/shashi-ranjan'}",False,462,,2,0,1667504453,1549275876,1667502040.0,54514158,CC BY-SA 4.0,https://stackoverflow.com/questions/54514158/calling-validate-function-before-submiting-the-form-using-ngnativevalidate,Calling validate function before submiting the form using ngNativeValidate,,,,,
10,"['html', 'svg', 'png']","{'account_id': 6733885, 'reputation': 2509, 'user_id': 10704605, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Cio9r.jpg?s=256&g=1', 'display_name': 'Shoyeb Sheikh', 'link': 'https://stackoverflow.com/users/10704605/shoyeb-sheikh'}",True,23722,54869313.0,3,6,1667311915,1551103529,,54867986,CC BY-SA 4.0,https://stackoverflow.com/questions/54867986/how-to-convert-png-image-to-inline-svg,How to convert png image to inline svg,,,,,
11,"['angular', 'html', 'ionic4']","{'account_id': 9209862, 'reputation': 247, 'user_id': 6843554, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/b4a71983648597cff0668b3ac8e5c40b?s=256&d=identicon&r=PG&f=1', 'display_name': 'CK8', 'link': 'https://stackoverflow.com/users/6843554/ck8'}",False,731,,1,0,1666944067,1550716099,1550716760.0,54798288,CC BY-SA 4.0,https://stackoverflow.com/questions/54798288/ionic-4-parse-and-extract-html-pages,ionic 4 parse and extract html pages,,,,,
12,"['javascript', 'html']","{'account_id': 14183427, 'reputation': 105, 'user_id': 10246215, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-uvYJ5XB04s8/AAAAAAAAAAI/AAAAAAAALn0/V7F8vxgwZeE/photo.jpg?sz=256', 'display_name': 'Suchetha B', 'link': 'https://stackoverflow.com/users/10246215/suchetha-b'}",True,1466,54828360.0,2,1,1666906782,1550838238,1550838436.0,54827117,CC BY-SA 4.0,https://stackoverflow.com/questions/54827117/restrict-draggable-div-element-within-viewport,Restrict draggable div element within viewport,,,,,
13,"['html', 'css', 'overflow']","{'account_id': 188893, 'reputation': 1699, 'user_id': 427887, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/GJCk2.jpg?s=256&g=1', 'display_name': 'bioinfornatics', 'link': 'https://stackoverflow.com/users/427887/bioinfornatics'}",True,153,54522194.0,1,0,1666451839,1549304001,1666451839.0,54522001,CC BY-SA 4.0,https://stackoverflow.com/questions/54522001/how-to-hide-a-div-while-is-outside-of-parent-the-div,How to hide a div while is outside of parent the div?,,,,,
14,"['php', 'html', 'session']","{'account_id': 446043, 'reputation': 109, 'user_id': 838842, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/aaa9b477f21084d0a96d8cc3c1440307?s=256&d=identicon&r=PG', 'display_name': 'Sosy', 'link': 'https://stackoverflow.com/users/838842/sosy'}",False,133,,0,0,1666310171,1549383332,1666310171.0,54538631,CC BY-SA 4.0,https://stackoverflow.com/questions/54538631/session-id-is-set-even-after-logout,Session id is set even after logout,,,,,
