,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,migrated_from,closed_date,closed_reason,locked_date,community_owned_date
0,"['html', 'canvas']","{'user_type': 'does_not_exist', 'display_name': 'user572559'}",True,78928,8696641.0,15,87,1669272610,1325465634,1452319718.0,8696631,CC BY-SA 3.0,https://stackoverflow.com/questions/8696631/canvas-drawings-like-lines-are-blurry,"Canvas drawings, like lines, are blurry",,,,,,
1,"['html', 'css']","{'account_id': 216654, 'reputation': 21469, 'user_id': 472034, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/717bcde740783a83a168468df0dbbb75?s=256&d=identicon&r=PG', 'display_name': 'Wern Ancheta', 'link': 'https://stackoverflow.com/users/472034/wern-ancheta'}",True,653019,8709295.0,8,143,1668984562,1325574075,1644606973.0,8708945,CC BY-SA 4.0,https://stackoverflow.com/questions/8708945/how-to-position-text-over-an-image-with-css,How to position text over an image with CSS,1397180939.0,,,,,
2,"['javascript', 'jquery', 'html', 'css']","{'account_id': 49857, 'reputation': 18023, 'user_id': 148601, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/QUAPV.jpg?s=256&g=1', 'display_name': 'Dejan.S', 'link': 'https://stackoverflow.com/users/148601/dejan-s'}",True,247668,8701977.0,24,251,1668890828,1325512906,1627896588.0,8701754,CC BY-SA 4.0,https://stackoverflow.com/questions/8701754/how-to-disable-scroll-without-hiding-it,How to disable scroll without hiding it?,,,,,,
3,"['html', 'css', 'printing', 'css-tables', 'page-break']","{'account_id': 414715, 'reputation': 12574, 'user_id': 789090, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/Mgbrw.jpg?s=256&g=1', 'display_name': 'Mohammad Saberi', 'link': 'https://stackoverflow.com/users/789090/mohammad-saberi'}",True,262466,8712756.0,11,95,1668073911,1325595573,1501275060.0,8712677,CC BY-SA 3.0,https://stackoverflow.com/questions/8712677/how-to-apply-css-page-break-to-print-a-table-with-lots-of-rows,How to apply CSS page-break to print a table with lots of rows?,,,,,,
4,"['html', 'json', 'perl']","{'account_id': 1159758, 'reputation': 608, 'user_id': 1139526, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/79a480e0e6505a2d11333569c5eb4b1d?s=256&d=identicon&r=PG', 'display_name': 'MadHacker', 'link': 'https://stackoverflow.com/users/1139526/madhacker'}",True,1767,,3,1,1666861829,1326725481,,8881666,CC BY-SA 3.0,https://stackoverflow.com/questions/8881666/htmltemplate-perl,HTML::Template Perl,,,,,,
5,"['javascript', 'html']","{'account_id': 160390, 'reputation': 916, 'user_id': 380414, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/84ad6819b7f828c3811cf2c0e674cb18?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/380414/sam'}",True,11281,8933562.0,2,13,1666516805,1327008392,,8933513,CC BY-SA 3.0,https://stackoverflow.com/questions/8933513/html5-drag-drop-on-x-axis-and-without-fade,HTML5: Drag/drop on X-axis and without fade?,,,,,,
6,"['html', 'browser']","{'account_id': 329062, 'reputation': 915, 'user_id': 652370, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/c67ba1146905baf0f5b6bc1e63b349c9?s=256&d=identicon&r=PG', 'display_name': 'Assaf Karmon', 'link': 'https://stackoverflow.com/users/652370/assaf-karmon'}",True,7651,8792145.0,3,8,1666507093,1326127415,1388418833.0,8791935,CC BY-SA 3.0,https://stackoverflow.com/questions/8791935/browser-caching-select-tag-state-and-ignoring-selected-true,Browser caching select tag state and ignoring selected=&quot;true&quot;,,,,,,
7,"['iphone', 'html']","{'account_id': 388228, 'reputation': 35290, 'user_id': 747024, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/9wB4E.jpg?s=256&g=1', 'display_name': 'ilyo', 'link': 'https://stackoverflow.com/users/747024/ilyo'}",True,96837,37553385.0,16,68,1666289700,1326894655,,8911247,CC BY-SA 3.0,https://stackoverflow.com/questions/8911247/hide-iphone-html5-video-play-button,Hide iPhone HTML5 video play button,,,,,,
8,"['javascript', 'jquery', 'html']","{'account_id': 28792, 'reputation': 11015, 'user_id': 77222, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/a538e82f454aa387b96f21e37a13ff14?s=256&d=identicon&r=PG', 'display_name': 'Ayman', 'link': 'https://stackoverflow.com/users/77222/ayman'}",True,19561,9051407.0,9,11,1666251387,1327818104,1327818765.0,9051369,CC BY-SA 3.0,https://stackoverflow.com/questions/9051369/highlight-substring-in-element,Highlight substring in element,,,,,,
9,"['javascript', 'html', 'dom']","{'account_id': 238975, 'reputation': 2925, 'user_id': 508248, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/3021bf34459ed6aeb860a54c38714aab?s=256&d=identicon&r=PG', 'display_name': 'zik', 'link': 'https://stackoverflow.com/users/508248/zik'}",True,148387,8803494.0,7,27,1666021296,1326199182,1495542725.0,8803412,CC BY-SA 3.0,https://stackoverflow.com/questions/8803412/check-if-an-html-input-element-is-empty-or-has-no-value-entered-by-user,Check if an HTML input element is empty or has no value entered by user,,,,,,
