,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,migrated_from
0,"['html', 'css', 'svg', 'tailwind-css']","{'account_id': 14089005, 'reputation': 1949, 'user_id': 10177987, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c3dc25204cdf843594557ae03863357c?s=256&d=identicon&r=PG&f=1', 'display_name': 'thalacker', 'link': 'https://stackoverflow.com/users/10177987/thalacker'}",True,8312,65134450.0,2,8,1669136554,1606853173,65097746,CC BY-SA 4.0,https://stackoverflow.com/questions/65097746/svg-color-fill-on-hover-using-tailwind,SVG color fill on hover using Tailwind,,,,
1,"['javascript', 'html', 'css', 'wordpress']","{'account_id': 20097345, 'reputation': 29, 'user_id': 14736680, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-HGY5I7FrzXI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMppMUTmhgJODkSDJX1rs6ouVKDg/s96-c/photo.jpg?sz=256', 'display_name': 'GT Tutor', 'link': 'https://stackoverflow.com/users/14736680/gt-tutor'}",True,313,,2,0,1669046354,1608572142,65397425,CC BY-SA 4.0,https://stackoverflow.com/questions/65397425/cannot-collapse-a-responsive-menu-in-wordpress,Cannot collapse a responsive menu in Wordpress,1669046354.0,,,
2,"['html', 'css']","{'account_id': 20101851, 'reputation': 33, 'user_id': 14740154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0a03cedbd90cafe0cfa46c4ae760c7c9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mali', 'link': 'https://stackoverflow.com/users/14740154/mali'}",True,262,65405724.0,1,0,1668563855,1608622926,65404860,CC BY-SA 4.0,https://stackoverflow.com/questions/65404860/how-to-handle-image-aspect-ratio-in-mobile,How to handle image aspect ratio in mobile,1608625963.0,,,
3,"['javascript', 'html', 'jquery', 'charts', 'chart.js']","{'account_id': 12667610, 'reputation': 437, 'user_id': 9206312, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/71713f15b6888bd0a250a04621f66d4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'CuriousPaul', 'link': 'https://stackoverflow.com/users/9206312/curiouspaul'}",True,1219,66060637.0,1,1,1668092666,1608047406,65309224,CC BY-SA 4.0,https://stackoverflow.com/questions/65309224/how-to-rotate-datalabels-in-charts-js-with-plugins,How to rotate datalabels in Charts.js with plugins?,1608052205.0,,,
4,"['html', 'css', 'firefox', 'css-counter']","{'account_id': 20236049, 'reputation': 51, 'user_id': 14841211, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fcb84498bd3f7ab371bc8c56cac8cb7c?s=256&d=identicon&r=PG&f=1', 'display_name': 'An Observer', 'link': 'https://stackoverflow.com/users/14841211/an-observer'}",True,791,,4,4,1667835163,1608174746,65334209,CC BY-SA 4.0,https://stackoverflow.com/questions/65334209/css-counter-reset-not-working-in-firefox,css counter-reset: not working in firefox?,1608196554.0,,,
5,"['javascript', 'html', 'ios', 'google-chrome', 'undefined']","{'account_id': 4053500, 'reputation': 21, 'user_id': 3332251, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3332251', 'link': 'https://stackoverflow.com/users/3332251/user3332251'}",False,111,,0,1,1667682453,1607745225,65261441,CC BY-SA 4.0,https://stackoverflow.com/questions/65261441/async-function-arguments-becomes-undefined-in-ios-chrome-but-works-on-android,"async function arguments becomes &quot;undefined&quot; in iOS Chrome, but works on Android Chrome",1608068438.0,,,
6,"['javascript', 'html', 'bootstrap-select', 'bootstrap-selectpicker']","{'account_id': 10016976, 'reputation': 324, 'user_id': 7407898, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/228f50142f7fcacf8782952019771c18?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vijay457', 'link': 'https://stackoverflow.com/users/7407898/vijay457'}",True,966,,2,3,1667641915,1606823790,65090037,CC BY-SA 4.0,https://stackoverflow.com/questions/65090037/bootstrap-select-dropdown-no-results-click-event,Bootstrap select dropdown &quot;No Results&quot; click event,1667641915.0,,,
7,"['javascript', 'html', 'css', 'ios', 'reactjs']","{'account_id': 7118932, 'reputation': 41, 'user_id': 5444193, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-FTDqnteOAMc/AAAAAAAAAAI/AAAAAAAAABY/CuwiGbvN3dM/photo.jpg?sz=256', 'display_name': 'lurker', 'link': 'https://stackoverflow.com/users/5444193/lurker'}",False,84,,0,1,1667504785,1609288788,65500575,CC BY-SA 4.0,https://stackoverflow.com/questions/65500575/css-overflow-on-apple-devices-only-bug,CSS overflow on apple devices only bug,1609289506.0,,,
8,"['javascript', 'html', 'dom', 'search', 'closest']","{'account_id': 12392471, 'reputation': 1281, 'user_id': 11554326, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dda6e50dbbaa11b0a09c2ce68e418244?s=256&d=identicon&r=PG&f=1', 'display_name': 'نور', 'link': 'https://stackoverflow.com/users/11554326/%d9%86%d9%88%d8%b1'}",True,5228,65182066.0,2,2,1667403069,1607344511,65181834,CC BY-SA 4.0,https://stackoverflow.com/questions/65181834/why-js-closest-method-not-find-sibling-element,why js closest method not find sibling element?,1607417998.0,,,
9,"['html', 'angular', 'for-loop', 'button', 'ngfor']","{'user_type': 'does_not_exist', 'display_name': 'user14801702'}",True,732,65415113.0,2,0,1666867281,1608650579,65411318,CC BY-SA 4.0,https://stackoverflow.com/questions/65411318/ngfor-in-a-button-is-not-working-in-angular,*ngFor in a button is not working in Angular,,,,
10,"['javascript', 'html', 'css', 'twitter-bootstrap', 'bootstrap-5']","{'account_id': 20227871, 'reputation': 356, 'user_id': 14835232, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/53178077cf618cf8c5afdd3fd22684d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sonet Adhikary', 'link': 'https://stackoverflow.com/users/14835232/sonet-adhikary'}",True,41752,,10,30,1666009066,1608211563,65341620,CC BY-SA 4.0,https://stackoverflow.com/questions/65341620/navbar-dropdown-collapse-is-not-working-in-bootstrap-5,Navbar dropdown (collapse) is not working in Bootstrap 5,1625146067.0,,,
11,"['html', 'bootstrap-4']","{'account_id': 19030219, 'reputation': 865, 'user_id': 13892487, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3H3a4.jpg?s=256&g=1', 'display_name': 'Midhun Raj', 'link': 'https://stackoverflow.com/users/13892487/midhun-raj'}",True,9617,65420257.0,1,5,1665997967,1608698597,65419135,CC BY-SA 4.0,https://stackoverflow.com/questions/65419135/spinner-not-showing-in-bootstrap-4-0-0,Spinner not showing in bootstrap 4.0.0,1608717467.0,,,
12,"['php', 'html', 'phpmailer']","{'account_id': 13946425, 'reputation': 83, 'user_id': 10071067, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/naHwl.jpg?s=256&g=1', 'display_name': 'mAhmedSiddiki', 'link': 'https://stackoverflow.com/users/10071067/mahmedsiddiki'}",True,39619,65346791.0,3,3,1665991594,1608229597,65346342,CC BY-SA 4.0,https://stackoverflow.com/questions/65346342/autoload-is-no-longer-supported-use-spl-autoload-register-instead-in-c-x,"__autoload() is no longer supported, use spl_autoload_register() instead in C:\xampp\htdocs\webapp\PHPMailerAutoload.php on line 45",1608229725.0,,,
13,"['html', 'ruby-on-rails', 'attributes', 'conditional-statements', 'erb']","{'account_id': 965297, 'reputation': 129, 'user_id': 988823, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/7d079fd0dfd1bc16ff401c11529be9bd?s=256&d=identicon&r=PG', 'display_name': 'Jack Walsh', 'link': 'https://stackoverflow.com/users/988823/jack-walsh'}",True,953,,3,2,1665896876,1608005589,65299888,CC BY-SA 4.0,https://stackoverflow.com/questions/65299888/conditional-html-attribute-using-rails-erb,Conditional HTML Attribute using Rails ERB,1608011105.0,,,
14,"['javascript', 'html', 'jquery', 'laravel']","{'account_id': 5451789, 'reputation': 1161, 'user_id': 4657216, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/16246b4bbc1cc9b4b6da2e24f6b94159?s=256&d=identicon&r=PG&f=1', 'display_name': 'rjcode', 'link': 'https://stackoverflow.com/users/4657216/rjcode'}",False,294,,1,0,1665733615,1607076204,65141534,CC BY-SA 4.0,https://stackoverflow.com/questions/65141534/click-on-class-is-not-working-after-template-render-from-laravel,Click on class is not working after template render from laravel,1607077283.0,,,
15,"['html', 'css', 'deployment', 'server', 'netlify']","{'account_id': 18462250, 'reputation': 13, 'user_id': 13449416, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh0z61db3DRQezrI-OVNp3-ijv9M_oeljfkfYZH=k-s256', 'display_name': 'Christianto Budisaputra', 'link': 'https://stackoverflow.com/users/13449416/christianto-budisaputra'}",True,131,65289248.0,1,0,1665648076,1607945714,65288339,CC BY-SA 4.0,https://stackoverflow.com/questions/65288339/why-im-having-this-css-background-image-referencing-issue,Why I&#39;m having this css background-image referencing issue?,1665648076.0,,,
16,"['javascript', 'html', 'es6-modules']","{'account_id': 7227754, 'reputation': 805, 'user_id': 5515741, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/682630a1255cc563c0fd53ad1820f6b0?s=256&d=identicon&r=PG&f=1', 'display_name': 'blz', 'link': 'https://stackoverflow.com/users/5515741/blz'}",True,353,65138090.0,2,4,1665553412,1607056977,65138045,CC BY-SA 4.0,https://stackoverflow.com/questions/65138045/can-i-import-es-modules-from-other-script-type-module,Can I import ES Modules from other &lt;script type=&quot;module&quot;&gt;,,,,
17,"['javascript', 'html', 'jquery', 'css', 'event-delegation']","{'account_id': 20134962, 'reputation': 37, 'user_id': 14766272, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj0tl0lg-Wi80queYfGm_jnZJuOs7qKjR-wV_7C9HM=k-s256', 'display_name': 'Brittany Farrell', 'link': 'https://stackoverflow.com/users/14766272/brittany-farrell'}",True,1066,,1,2,1665418347,1607878670,65278235,CC BY-SA 4.0,https://stackoverflow.com/questions/65278235/how-to-make-my-div-with-role-button-attribute-clickable-with-the-enter-key,How to make my div with role=&quot;button&quot; attribute clickable with the enter key,1607893920.0,,,
18,"['html', 'r', 'xml', 'screen-scraping']","{'account_id': 18250112, 'reputation': 21, 'user_id': 13285295, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a967573370cd04b1bdc7c6a6027673c?s=256&d=identicon&r=PG&f=1', 'display_name': 'nealec', 'link': 'https://stackoverflow.com/users/13285295/nealec'}",False,71,,2,1,1665360558,1606937125,65114811,CC BY-SA 4.0,https://stackoverflow.com/questions/65114811/web-scraping-understat-website-to-retrieve-table-failing-in-r,web scraping understat website to retrieve table failing in R,,,,
19,"['javascript', 'html', 'arrays', 'ajax', 'momentjs']","{'account_id': 19387322, 'reputation': 629, 'user_id': 14176786, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/K1M0j.jpg?s=256&g=1', 'display_name': 'Atheesh Thirumalairajan', 'link': 'https://stackoverflow.com/users/14176786/atheesh-thirumalairajan'}",False,75,,2,0,1665110266,1607564506,65227350,CC BY-SA 4.0,https://stackoverflow.com/questions/65227350/how-do-i-fill-absent-on-all-days-in-an-array-till-now-which-are-not-having-the,How do I fill absent on all days in an array till now which are not having the &quot;Present&quot; Element?,,,,
20,"['html', 'css', 'bootstrap-4', 'html-table', 'scrollable']","{'account_id': 19044270, 'reputation': 85, 'user_id': 13903711, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d01e3874b57c0d8ad8f6666748e43c14?s=256&d=identicon&r=PG&f=1', 'display_name': 'hen', 'link': 'https://stackoverflow.com/users/13903711/hen'}",True,2946,,4,5,1664985375,1607144151,65153916,CC BY-SA 4.0,https://stackoverflow.com/questions/65153916/content-behind-sticky-header-is-visible-in-scrollable-table,Content behind sticky header is visible in scrollable table,1617307518.0,,,
21,"['html', 'email', 'html-email']","{'account_id': 19926571, 'reputation': 127, 'user_id': 14601135, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-4DBbt7Hb3I0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckzFaBo4piso37zoZ2X94Hehws14Q/s96-c/photo.jpg?sz=256', 'display_name': 'guynumerouno', 'link': 'https://stackoverflow.com/users/14601135/guynumerouno'}",True,414,,1,1,1664799814,1607423217,65197143,CC BY-SA 4.0,https://stackoverflow.com/questions/65197143/button-background-in-outlook-web-client-not-showing-html-email-development,Button background in outlook web client not showing - HTML email development,,,,
22,"['html', 'css', 'wordpress', 'menu']","{'account_id': 11321857, 'reputation': 1, 'user_id': 8301986, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3339345c35e2c3632b6cc46686cf3c72?s=256&d=identicon&r=PG&f=1', 'display_name': 'D. Kris', 'link': 'https://stackoverflow.com/users/8301986/d-kris'}",False,390,,2,0,1664514646,1608087743,65316703,CC BY-SA 4.0,https://stackoverflow.com/questions/65316703/adding-span-tag-in-to-wordpress-menu,Adding span tag in to wordpress menu,1608088107.0,,,
23,"['html', 'css', 'accessibility', 'wcag', 'wcag2.0']","{'account_id': 1530445, 'reputation': 6528, 'user_id': 1427758, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/TNZMT.jpg?s=256&g=1', 'display_name': 'Anders Lind&#233;n', 'link': 'https://stackoverflow.com/users/1427758/anders-lind%c3%a9n'}",True,1530,65196198.0,2,0,1664476446,1606894302,65103891,CC BY-SA 4.0,https://stackoverflow.com/questions/65103891/accessibility-and-absolute-positioning,Accessibility and absolute positioning?,1664476446.0,,,
