,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date
0,"['javascript', 'html', 'reactjs', 'function', 'destructuring']","{'user_type': 'does_not_exist', 'display_name': 'user10727653'}",True,907,63141009.0,3,2,1669172113,1595961110,1595961286.0,63140629,CC BY-SA 4.0,https://stackoverflow.com/questions/63140629/destructuring-object-to-an-array,destructuring object to an array?,,,
1,"['html', 'css', 'flexbox']","{'account_id': 13553923, 'reputation': 135, 'user_id': 9777996, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10204538684464155/picture?type=large', 'display_name': 'Shu Pesmerga', 'link': 'https://stackoverflow.com/users/9777996/shu-pesmerga'}",False,114,,3,1,1669158250,1594445567,1594446812.0,62845583,CC BY-SA 4.0,https://stackoverflow.com/questions/62845583/flex-item-is-expanding-beyond-its-parent-flex-container,Flex Item is expanding beyond its parent Flex container,,,
2,"['javascript', 'html', 'html5-canvas', 'typography']","{'account_id': 4269, 'reputation': 6510, 'user_id': 1994377, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/TegVp.jpg?s=256&g=1', 'display_name': 'Sarien', 'link': 'https://stackoverflow.com/users/1994377/sarien'}",False,407,,0,1,1669137170,1594070739,1669137170.0,62764753,CC BY-SA 4.0,https://stackoverflow.com/questions/62764753/how-do-i-draw-a-fitting-bounding-box-around-some-text-on-a-canvas,How do I draw a fitting bounding box around some text on a canvas?,,,
3,"['python', 'html', 'pandas']","{'account_id': 18845219, 'reputation': 25, 'user_id': 13745696, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3bf6941c2a98eef08566443ad47b6290?s=256&d=identicon&r=PG&f=1', 'display_name': 'tmarsh', 'link': 'https://stackoverflow.com/users/13745696/tmarsh'}",True,313,62942325.0,2,2,1668756823,1594927083,1594929447.0,62942057,CC BY-SA 4.0,https://stackoverflow.com/questions/62942057/is-it-possible-to-run-python-code-in-a-web-browser,Is it possible to run python code in a web browser?,,,
4,"['c#', 'html', 'asp.net-core-mvc', 'razor-pages']","{'account_id': 18599368, 'reputation': 13, 'user_id': 13554547, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0aa302d0c5e416a0cf3a9fa2b45b6b41?s=256&d=identicon&r=PG&f=1', 'display_name': 'Limbro', 'link': 'https://stackoverflow.com/users/13554547/limbro'}",True,303,62676197.0,3,-1,1668709582,1593602550,,62675714,CC BY-SA 4.0,https://stackoverflow.com/questions/62675714/c-html-this-localhost-page-can-t-be-found,C# | HTML | This localhost page can’t be found,,,
5,"['html', 'css', 'input']","{'account_id': 13259270, 'reputation': 227, 'user_id': 9574383, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-N17rpEwxYIc/AAAAAAAAAAI/AAAAAAAAAVI/w4lW15ygLYo/photo.jpg?sz=256', 'display_name': 'Ronan Byrne', 'link': 'https://stackoverflow.com/users/9574383/ronan-byrne'}",True,11403,,4,18,1668687005,1595273909,1595275252.0,63002686,CC BY-SA 4.0,https://stackoverflow.com/questions/63002686/how-do-i-change-the-color-of-the-small-clock-icon-that-comes-with-the-html-input,How do I change the color of the small clock icon that comes with the html input tag with type=time,,,
6,"['javascript', 'html', 'pdf', 'jspdf']","{'account_id': 16822809, 'reputation': 87, 'user_id': 12162792, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rlo8l.jpg?s=256&g=1', 'display_name': 'anees ma kader', 'link': 'https://stackoverflow.com/users/12162792/anees-ma-kader'}",True,12277,,2,3,1668674579,1594645923,,62876590,CC BY-SA 4.0,https://stackoverflow.com/questions/62876590/jspdf-how-to-generate-pdf-with-all-pages-in-a4-size,jsPDF - How to generate PDF with all pages in A4 size,,,
7,"['html', 'css', 'layout', 'responsive-design']","{'account_id': 1031543, 'reputation': 4417, 'user_id': 1039774, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/e98163c769e5dc8243bfef700edded42?s=256&d=identicon&r=PG', 'display_name': 'Devabc', 'link': 'https://stackoverflow.com/users/1039774/devabc'}",True,5540,,3,3,1668635064,1595360532,1595369777.0,63021964,CC BY-SA 4.0,https://stackoverflow.com/questions/63021964/css-maintain-aspect-ratio-in-responsive-img-with-max-width-and-max-height,CSS: Maintain aspect ratio in responsive img with max-width and max-height,,,
8,"['html', 'css', 'svg']","{'account_id': 12077117, 'reputation': 123, 'user_id': 8990408, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3bf790205a0fd34d8ff93877f25a023e?s=256&d=identicon&r=PG&f=1', 'display_name': 'RedWitch', 'link': 'https://stackoverflow.com/users/8990408/redwitch'}",True,2699,63038791.0,2,2,1668486345,1595432797,1595433662.0,63038178,CC BY-SA 4.0,https://stackoverflow.com/questions/63038178/scale-svg-to-fit-inside-a-div,Scale SVG to fit inside a div,,,
9,"['python', 'html', 'flask']","{'account_id': 19177782, 'reputation': 23, 'user_id': 14010167, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/M8pcW.jpg?s=256&g=1', 'display_name': 'Mega_Head', 'link': 'https://stackoverflow.com/users/14010167/mega-head'}",False,1678,,2,-1,1668142169,1595946041,,63136308,CC BY-SA 4.0,https://stackoverflow.com/questions/63136308/traceback-most-recent-call-last-file-stdin-line-1-in-module-nameerror,"Traceback (most recent call last): File &quot;&lt;stdin&gt;&quot;, line 1, in &lt;module&gt; NameError: name &#39;db&#39; is not defined",,,
