,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,migrated_from
0,"['html', 'sql', 'sql-server', 'asp.net-mvc']","{'account_id': 11875102, 'reputation': 51, 'user_id': 8690360, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-YPIl2KsGzU0/AAAAAAAAAAI/AAAAAAAAeYM/1kA-ejKO_Bw/photo.jpg?sz=256', 'display_name': 'jessica', 'link': 'https://stackoverflow.com/users/8690360/jessica'}",False,97,1,0,1668994046,1584476772,1584476886.0,60729727,CC BY-SA 4.0,https://stackoverflow.com/questions/60729727/why-does-textarea-limit-entry-to-maxlength-in-ui-but-return-sql-error-when-enter,Why does textarea limit entry to maxlength in UI but return SQL error when entering exact amount?,,,,,
1,"['javascript', 'html', 'css', 'execcommand']","{'account_id': 4286095, 'reputation': 5891, 'user_id': 3503851, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/6c41cda0f0a7b5353203b221c85fbd9a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Omar', 'link': 'https://stackoverflow.com/users/3503851/omar'}",True,87091,8,184,1668512209,1583608276,1583786437.0,60581285,CC BY-SA 4.0,https://stackoverflow.com/questions/60581285/execcommand-is-now-obsolete-whats-the-alternative,"execCommand() is now obsolete, what&#39;s the alternative?",1606490037.0,,,,
2,"['javascript', 'html', 'reactjs', 'input', 'contenteditable']","{'account_id': 14639219, 'reputation': 615, 'user_id': 10572332, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-z332S81EBhM/AAAAAAAAAAI/AAAAAAAAAAA/ABtNlbCmZrF7FTyed0rIX0hJnz_KzjUKKQ/mo/photo.jpg?sz=256', 'display_name': 'Mathias Strohkirch', 'link': 'https://stackoverflow.com/users/10572332/mathias-strohkirch'}",True,2009,1,3,1668466519,1585325241,1585325985.0,60889784,CC BY-SA 4.0,https://stackoverflow.com/questions/60889784/react-contenteditable-div-with-controlled-input,React contentEditable div with controlled input,,60890240.0,,,
3,"['javascript', 'html', 'code-snippets']","{'account_id': 16016258, 'reputation': 53, 'user_id': 11558915, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-FHuwa8FWSl0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfJv_eO8xc0UgWx0hWPg18MLFlcYA/mo/photo.jpg?sz=256', 'display_name': 'Snowappix', 'link': 'https://stackoverflow.com/users/11558915/snowappix'}",True,1644,1,0,1668443421,1585257000,1585259266.0,60876180,CC BY-SA 4.0,https://stackoverflow.com/questions/60876180/javascript-convert-pseudo-code-into-javascript-code,JavaScript: Convert Pseudo Code into JavaScript Code,1668639509.0,,,,
4,"['javascript', 'html', 'css']","{'account_id': 15505691, 'reputation': 261, 'user_id': 11185925, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-F_UXM5uECqI/AAAAAAAAAAI/AAAAAAAABlc/ms8ri5EAD5A/photo.jpg?sz=256', 'display_name': 'Peter Weeks', 'link': 'https://stackoverflow.com/users/11185925/peter-weeks'}",False,219,1,0,1668410837,1583847889,1583855733.0,60618913,CC BY-SA 4.0,https://stackoverflow.com/questions/60618913/allow-the-parent-to-scroll-the-whole-width-height-of-child-element-even-when-chi,allow the parent to scroll the whole width/height of child element even when child scale is transformed by matrix,,,,,
5,"['html', 'pug']","{'account_id': 16443293, 'reputation': 127, 'user_id': 11878902, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5N99a.jpg?s=256&g=1', 'display_name': 'Kiazim Khutaba', 'link': 'https://stackoverflow.com/users/11878902/kiazim-khutaba'}",False,444,1,2,1668350429,1584899208,,60802859,CC BY-SA 4.0,https://stackoverflow.com/questions/60802859/how-to-exclude-paths-in-pug,How to exclude paths in Pug?,,,,,
6,"['html', 'python-3.x', 'web-scraping']","{'account_id': 7761105, 'reputation': 1323, 'user_id': 9536168, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/99f813022bbf24b468956261df59e93a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naveen', 'link': 'https://stackoverflow.com/users/9536168/naveen'}",True,40,1,0,1668330059,1584084870,,60666528,CC BY-SA 4.0,https://stackoverflow.com/questions/60666528/beautiful-soup-html-parsing-anamoly,Beautiful Soup HTML parsing anamoly,,60668128.0,,,
7,"['html', 'powershell', 'powershell-core']","{'account_id': 29567, 'reputation': 55906, 'user_id': 80002, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/73babeb4b448be14151bac397c7b0535?s=256&d=identicon&r=PG', 'display_name': 'mark', 'link': 'https://stackoverflow.com/users/80002/mark'}",True,6974,2,7,1668121592,1584021791,,60655737,CC BY-SA 4.0,https://stackoverflow.com/questions/60655737/how-to-parse-html-table-with-powershell-core-7,How to parse HTML table with Powershell Core 7?,,60658511.0,,,
8,"['html', 'css', 'css-grid']","{'account_id': 11776468, 'reputation': 389, 'user_id': 8617730, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10214093847209539/picture?type=large', 'display_name': 'Or Ben-Yossef', 'link': 'https://stackoverflow.com/users/8617730/or-ben-yossef'}",False,210,2,1,1668116968,1585209143,1585210921.0,60862880,CC BY-SA 4.0,https://stackoverflow.com/questions/60862880/css-grid-container-with-dynamic-amount-of-columns,CSS Grid container with dynamic amount of columns,,,,,
9,"['javascript', 'html', 'dataset', 'templatetags', 'documentfragment']","{'account_id': 17189909, 'reputation': 21, 'user_id': 12443859, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCAX6JaLG395jj_42i3mlqiFzHPmG0uf5ObMUAz=k-s256', 'display_name': 'Goold eng', 'link': 'https://stackoverflow.com/users/12443859/goold-eng'}",True,653,3,0,1668045175,1585516124,1585517022.0,60920746,CC BY-SA 4.0,https://stackoverflow.com/questions/60920746/get-attributes-from-document-fragment,get attributes from document fragment?,,,,,
10,"['html', 'css', 'navigation', 'nav', 'effects']","{'account_id': 17664592, 'reputation': 35, 'user_id': 12888121, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1bcd0302d1efe27eb179e8fcc9dcaf11?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodingNoob', 'link': 'https://stackoverflow.com/users/12888121/codingnoob'}",True,30195,2,2,1667897979,1584170803,1667897979.0,60680652,CC BY-SA 4.0,https://stackoverflow.com/questions/60680652/how-to-add-a-shadow-under-a-navbar-using-css,How to add a shadow under a navbar using CSS?,,60680752.0,,,
11,"['html', 'twitter-bootstrap']","{'account_id': 12854702, 'reputation': 55, 'user_id': 9298401, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a4c04bf3d946e53ad2a32ade3fe85dcc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fighter', 'link': 'https://stackoverflow.com/users/9298401/fighter'}",True,2773,3,0,1667464082,1585117785,1585118388.0,60843883,CC BY-SA 4.0,https://stackoverflow.com/questions/60843883/how-to-remove-the-default-padding-of-bootstrap-grid-column,How to remove the default padding of bootstrap grid column,,,,,
12,"['javascript', 'html']","{'account_id': 17948136, 'reputation': 305, 'user_id': 13041908, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-H5AaTvaKov4/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nCWSDLcsjjJeE_HFHqStJgfnPykyA/photo.jpg?sz=256', 'display_name': 'Dimitri Bostrovich', 'link': 'https://stackoverflow.com/users/13041908/dimitri-bostrovich'}",True,1001,2,1,1667382348,1584225286,1584225974.0,60687928,CC BY-SA 4.0,https://stackoverflow.com/questions/60687928/why-do-i-have-to-click-twice-for-this-javascript-function-to-work,Why do I have to click twice for this JavaScript function to work?,,60688035.0,,,
13,"['javascript', 'html', 'iframe', 'youtube-api']","{'account_id': 18007018, 'reputation': 19, 'user_id': 13087551, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhW7EBBxQ0hhcgGTjdMc7uUkncMKF8A9xSdNOfv=k-s256', 'display_name': 'Ivan Makarov', 'link': 'https://stackoverflow.com/users/13087551/ivan-makarov'}",False,554,1,-1,1667122339,1584609898,1584615145.0,60754195,CC BY-SA 4.0,https://stackoverflow.com/questions/60754195/hide-related-videos-in-youtube-iframe,Hide related videos in youtube iframe,,,,,
14,"['javascript', 'php', 'html', 'css', 'sweetalert2']","{'account_id': 16556197, 'reputation': 33, 'user_id': 11963307, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dOe4K.jpg?s=256&g=1', 'display_name': 'Syauqi', 'link': 'https://stackoverflow.com/users/11963307/syauqi'}",True,3228,3,1,1667051937,1583416250,1584671222.0,60546891,CC BY-SA 4.0,https://stackoverflow.com/questions/60546891/how-to-fix-weird-success-and-error-icon-in-sweetalert2,How to fix weird success and error icon in SweetAlert2?,,,,,
15,"['html', 'accessibility', 'screen-readers']","{'account_id': 17017925, 'reputation': 45, 'user_id': 12311297, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/64152c36031e373109142f86cc110925?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodeCide', 'link': 'https://stackoverflow.com/users/12311297/codecide'}",True,505,2,0,1666887143,1583034208,1666887143.0,60471775,CC BY-SA 4.0,https://stackoverflow.com/questions/60471775/screen-readers-labels-and-select-menus,"Screen readers, labels and select menus",,60472177.0,,,
16,"['c#', 'html', 'asp.net', 'accessibility']","{'account_id': 17916230, 'reputation': 11, 'user_id': 13017107, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-7ZvQIJa78MQ/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nBVXZbkQgPMzmbVTvIjZO9brNjfCQ/photo.jpg?sz=256', 'display_name': 'Laxred', 'link': 'https://stackoverflow.com/users/13017107/laxred'}",True,1531,2,1,1666816698,1583478205,1666816698.0,60559067,CC BY-SA 4.0,https://stackoverflow.com/questions/60559067/tool-tip-content-is-not-accessible-using-keyboard,Tool tip content is not accessible using keyboard,,,,,
17,"['javascript', 'html', 'css', 'flexbox', 'p5.js']","{'account_id': 18001912, 'reputation': 33, 'user_id': 13083682, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ceb93d9853eb5c0c6535d550f713b5dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'spoke123', 'link': 'https://stackoverflow.com/users/13083682/spoke123'}",True,3708,1,3,1666798196,1584548274,1666798196.0,60743491,,https://stackoverflow.com/questions/60743491/how-to-position-a-p5-js-canvas-inside-a-div-container,How to position a p5.js canvas inside a div container?,,60745572.0,1666797912.0,Duplicate,
18,"['html', 'angular', 'angularjs-directive', 'angular-material']","{'account_id': 18018484, 'reputation': 21, 'user_id': 13096377, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgtHd2PFY3A18O5B1Pqd9Lom0HweJ2i14A7PIZl=k-s256', 'display_name': 'lee Lee', 'link': 'https://stackoverflow.com/users/13096377/lee-lee'}",False,1984,2,2,1666797735,1584729276,1585008896.0,60779832,CC BY-SA 4.0,https://stackoverflow.com/questions/60779832/change-the-icon-for-mat-radio-button,Change the icon for mat-radio-button,,,,,
19,"['javascript', 'html', 'css', 'tailwind-css']","{'account_id': 10536677, 'reputation': 1026, 'user_id': 7764329, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/0dbb5b33bbcd830553cc0b7b050abc8c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Question3r', 'link': 'https://stackoverflow.com/users/7764329/question3r'}",True,67334,8,41,1666796921,1585157526,1585210890.0,60854215,CC BY-SA 4.0,https://stackoverflow.com/questions/60854215/tailwind-use-font-from-local-files-globally,tailwind use font from local files globally,,60857229.0,,,
20,"['html', 'sass', 'scss-mixins']","{'account_id': 2191125, 'reputation': 855, 'user_id': 1938143, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/cf445fb6b99165c130bc337b480aa691?s=256&d=identicon&r=PG', 'display_name': 'user1938143', 'link': 'https://stackoverflow.com/users/1938143/user1938143'}",True,29951,10,-2,1666715035,1583762418,,60602125,CC BY-SA 4.0,https://stackoverflow.com/questions/60602125/how-to-import-scss-files-into-html-files,How to import SCSS files into HTML files,,,,,
