,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason,migrated_from,locked_date,protected_date
0,"['javascript', 'html', 'css']","{'account_id': 25776583, 'reputation': 39, 'user_id': 19522878, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JiTdX.jpg?s=256&g=1', 'display_name': 'Stan Law', 'link': 'https://stackoverflow.com/users/19522878/stan-law'}",True,76,73925390.0,2,1,1669157945,1664707230,1664707979.0,73925164,CC BY-SA 4.0,https://stackoverflow.com/questions/73925164/how-to-make-a-slider-loop-with-js,How to make a slider loop with JS?,,,,,,,
1,"['javascript', 'html', 'clipboard']","{'account_id': 25662530, 'reputation': 11, 'user_id': 19428099, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a5a63ebed48b1dab6642c8cfc67e59c2?s=256&d=identicon&r=PG', 'display_name': 'Philip Franklin', 'link': 'https://stackoverflow.com/users/19428099/philip-franklin'}",False,23,,1,0,1669118585,1665676070,,74058565,CC BY-SA 4.0,https://stackoverflow.com/questions/74058565/pasting-an-image-and-a-text-from-the-clipboard-at-same-time-on-a-website,Pasting an image and a text from the clipboard at same time on a website,,,,,,,
2,"['html', 'html-email', 'sendgrid', 'cloudflare', 'sendgrid-api-v3']","{'account_id': 26467848, 'reputation': 11, 'user_id': 20108819, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd9c2d2d0a404b5cc79c333dae26f4e2?s=256&d=identicon&r=PG', 'display_name': 'sunshine', 'link': 'https://stackoverflow.com/users/20108819/sunshine'}",False,28,,1,0,1669070970,1667202638,1667205451.0,74260177,CC BY-SA 4.0,https://stackoverflow.com/questions/74260177/hyper-link-issue-within-email,hyper link Issue within email,,,,,,,
3,"['html', 'delphi', 'element', 'delay', 'tedgebrowser']","{'account_id': 8609501, 'reputation': 11, 'user_id': 6483809, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ivRnb.png?s=256&g=1', 'display_name': 'Lookhome', 'link': 'https://stackoverflow.com/users/6483809/lookhome'}",False,97,,1,0,1669044369,1666974742,1666975489.0,74238323,CC BY-SA 4.0,https://stackoverflow.com/questions/74238323/delphi-11-work-with-tedgebrowser-get-html-element,"Delphi 11 work with TEdgeBrowser, get HTML element",,,,,,,
4,"['html', 'angular', 'ngx-charts']","{'account_id': 14356996, 'reputation': 113, 'user_id': 10370570, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/21SOR.jpg?s=256&g=1', 'display_name': 'AkiZukiLenn', 'link': 'https://stackoverflow.com/users/10370570/akizukilenn'}",True,31,74516385.0,1,1,1669021260,1666160470,,74120696,CC BY-SA 4.0,https://stackoverflow.com/questions/74120696/how-to-prevent-error-rect-attribute-x-expected-length-nan-occurs-when-dec,"How to prevent Error: &lt;rect&gt; attribute x: Expected length, &quot;NaN&quot; occurs when declaring empty chart",,,,,,,
5,"['python', 'html', 'jinja2', 'fastapi', 'starlette']","{'account_id': 20255594, 'reputation': 39, 'user_id': 14855493, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a4c21053492f64369c3fc3b70085f21d?s=256&d=identicon&r=PG&f=1', 'display_name': 'lazlomeli', 'link': 'https://stackoverflow.com/users/14855493/lazlomeli'}",True,110,,2,2,1668946907,1666970709,1668946907.0,74237542,CC BY-SA 4.0,https://stackoverflow.com/questions/74237542/how-to-navigate-through-fastapi-routes-by-clicking-on-html-button-in-jinja2-temp,How to navigate through FastAPI routes by clicking on HTML button in Jinja2 Templates?,,,,,,,
6,"['html', 'github', 'markdown', 'readme', 'shields.io']","{'account_id': 12846917, 'reputation': 87, 'user_id': 9292995, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/956239eb1e15369bda15fef31b56e023?s=256&d=identicon&r=PG&f=1', 'display_name': 'dracarys3', 'link': 'https://stackoverflow.com/users/9292995/dracarys3'}",False,34,,2,0,1668931533,1666370089,,74156679,CC BY-SA 4.0,https://stackoverflow.com/questions/74156679/markdown-reference-link-with-shields-io-badges,Markdown Reference Link with shields.io badges,,,,,,,
7,"['html', 'documentation', 'python-sphinx', 'restructuredtext', 'text-parsing']","{'account_id': 15927881, 'reputation': 11, 'user_id': 20238424, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c2fd1d559152a74dfcaf9eee01190f5?s=256&d=identicon&r=PG&f=1', 'display_name': 'johnhelt', 'link': 'https://stackoverflow.com/users/20238424/johnhelt'}",False,32,,1,1,1668917410,1665734449,,74066117,CC BY-SA 4.0,https://stackoverflow.com/questions/74066117/createing-a-sphinx-code-block-with-inline-text-parsing,"Createing a Sphinx code-block, with inline text parsing",,,,,,,
8,"['python', 'html', 'post', 'fetch-api', 'fastapi']","{'account_id': 26640968, 'reputation': 39, 'user_id': 20256651, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3WiR7n_HJsjSg2l07RqRK1gqpuBlP8d9ABv8Zd=k-s256', 'display_name': 'Tommy Harris', 'link': 'https://stackoverflow.com/users/20256651/tommy-harris'}",True,150,,1,3,1668855190,1665937010,1668855190.0,74088761,CC BY-SA 4.0,https://stackoverflow.com/questions/74088761/sending-a-post-request-to-a-local-server-hosted-on-fastapi,Sending a POST request to a local server hosted on FastAPI,,,,,,,
9,"['javascript', 'html', 'css', 'reactjs', 'react-router']","{'account_id': 22067323, 'reputation': 158, 'user_id': 16328991, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/eOrlZ.jpg?s=256&g=1', 'display_name': 'Saverio Randazzo', 'link': 'https://stackoverflow.com/users/16328991/saverio-randazzo'}",True,227,74005657.0,2,0,1668795534,1664617911,,73917342,CC BY-SA 4.0,https://stackoverflow.com/questions/73917342/react-router-v6-4-usenavigate-1-not-going-back,React Router v6.4 useNavigate(-1) not going back,,,,,,,
