,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
0,"['html', 'css', 'bootstrap-4', 'laravel-5.8']","{'account_id': 11233607, 'reputation': 127, 'user_id': 8240648, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/y0WMh.jpg?s=256&g=1', 'display_name': 'Kazi Rabbi Hassan', 'link': 'https://stackoverflow.com/users/8240648/kazi-rabbi-hassan'}",False,114,1,0,1669055361,1576566674,1669055361.0,59369207,CC BY-SA 4.0,https://stackoverflow.com/questions/59369207/laravel5-8-collapse-is-not-working-when-i-want-to-show-the-html-code-from-the-d,Laravel5.8: Collapse is not working when I want to show the HTML code from the database,,,,,
1,"['html', 'css', 'containers', 'word-wrap', 'centering']","{'account_id': 17218590, 'reputation': 27, 'user_id': 12465904, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6nCaR.jpg?s=256&g=1', 'display_name': 'Timo', 'link': 'https://stackoverflow.com/users/12465904/timo'}",False,735,2,-1,1668824918,1575252111,1668824918.0,59131756,CC BY-SA 4.0,https://stackoverflow.com/questions/59131756/how-would-you-add-constant-space-between-centered-items-in-css-edited,How would you add constant space between centered items in CSS? (EDITED),,,,,
2,"['javascript', 'html', 'reactjs', 'html5-video']","{'account_id': 8437736, 'reputation': 1098, 'user_id': 6331353, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/cd7f6cc42c46c3a65c58ff594d962597?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/6331353/sam'}",True,9911,5,5,1668250839,1576738653,1668250839.0,59404642,CC BY-SA 4.0,https://stackoverflow.com/questions/59404642/react-html-video-tag-wont-autoplay-on-mobile-devices,React (HTML) video tag won&#39;t autoplay on mobile devices,59418124.0,,,,
3,"['html', 'css', 'r']","{'account_id': 12120250, 'reputation': 119, 'user_id': 8852067, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9694166928a73d7f8309e6c61a6ed351?s=256&d=identicon&r=PG&f=1', 'display_name': 'David Perea', 'link': 'https://stackoverflow.com/users/8852067/david-perea'}",True,102,1,0,1667312957,1576605188,1667312957.0,59379632,CC BY-SA 4.0,https://stackoverflow.com/questions/59379632/web-scraping-press-show-more-button-what-is-the-tag-behind-the-show-more-b,Web scraping. Press &quot;Show more&quot; button. What is the tag behind the &quot;Show more&quot; button?,,,,,
4,"['python', 'html', 'pandas', 'http-proxy']","{'account_id': 16252319, 'reputation': 11, 'user_id': 11735933, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-kolVZTfJIOc/AAAAAAAAAAI/AAAAAAAABtM/Y2iDcdGm5iE/photo.jpg?sz=256', 'display_name': 'Colin Lee', 'link': 'https://stackoverflow.com/users/11735933/colin-lee'}",False,2184,2,1,1667269061,1576537492,1576543725.0,59365452,CC BY-SA 4.0,https://stackoverflow.com/questions/59365452/how-to-set-up-proxy-for-pandas-read-html,How to set up proxy for pandas read_html?,,,,,
5,"['html', 'css', 'accessibility', 'wai-aria']","{'account_id': 1137773, 'reputation': 1610, 'user_id': 1122463, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/JrUl2.jpg?s=256&g=1', 'display_name': 'whyAto8', 'link': 'https://stackoverflow.com/users/1122463/whyato8'}",True,2893,3,2,1667250728,1575608717,1667250714.0,59207174,CC BY-SA 4.0,https://stackoverflow.com/questions/59207174/is-aria-expanded-only-for-click-interaction-or-can-it-be-used-for-focus-as,"Is aria-expanded only for &quot;click&quot; interaction, or can it be used for &quot;focus&quot; as well?",59212220.0,,,,
6,"['html', 'wordpress', 'video', 'accessibility', 'animated-gif']","{'account_id': 165960, 'reputation': 2544, 'user_id': 389789, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/c3ffdd8e531adb41aa046d7f36ac24df?s=256&d=identicon&r=PG', 'display_name': 'teradyl', 'link': 'https://stackoverflow.com/users/389789/teradyl'}",True,1215,2,1,1667250697,1575841344,1667250639.0,59240162,CC BY-SA 4.0,https://stackoverflow.com/questions/59240162/how-do-i-add-alt-text-to-a-gif-that-is-actually-a-silent-looped-autoplay-mp4,"How do I add alt text to a GIF that is actually a silent, looped, autoplay MP4 &lt;video&gt;?",59254544.0,,,,
7,"['javascript', 'html', 'roman-numerals']","{'account_id': 17249409, 'reputation': 65, 'user_id': 12489865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/66ce35533ae0b773f1361965eedf24c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'LukeThomas', 'link': 'https://stackoverflow.com/users/12489865/lukethomas'}",True,597,3,2,1667077328,1576180895,,59311912,CC BY-SA 4.0,https://stackoverflow.com/questions/59311912/roman-numeral-to-number-conversion-in-javascript-html,Roman Numeral to Number Conversion in Javascript/HTML,59312003.0,,,,
8,"['javascript', 'html', 'css', 'google-chrome', 'firefox']","{'account_id': 15974270, 'reputation': 58, 'user_id': 11527575, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-qEtNuwe82K0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcnYysg6ol0fspAbzkdnNnxpWxPHA/mo/photo.jpg?sz=256', 'display_name': 'Francesco Rogo', 'link': 'https://stackoverflow.com/users/11527575/francesco-rogo'}",True,3025,4,1,1666820903,1575394565,,59162535,CC BY-SA 4.0,https://stackoverflow.com/questions/59162535/is-there-a-way-to-list-all-available-css-classes-for-a-web-page,Is there a way to list all available css classes for a web page?,69929175.0,,,,
9,"['python', 'html', 'forms', 'flask', 'space']","{'account_id': 10192423, 'reputation': 1, 'user_id': 7525375, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Y7__Q2fg_0s/AAAAAAAAAAI/AAAAAAABQCI/mACF6GfgeJQ/photo.jpg?sz=256', 'display_name': 'Veselin Vasilev', 'link': 'https://stackoverflow.com/users/7525375/veselin-vasilev'}",False,124,1,0,1666787459,1575803971,1575807838.0,59234854,CC BY-SA 4.0,https://stackoverflow.com/questions/59234854/html-form-submission-cuts-off-symbols-after-space-in-the-values,HTML form submission cuts off symbols after space in the values,,,,,
10,"['javascript', 'html', 'css', 'brackets']","{'account_id': 14837716, 'reputation': 1, 'user_id': 10715287, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-PfVhTQjbXCE/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-g6SCkyjeB760L53gLTyasF4OM6Kg/mo/photo.jpg?sz=256', 'display_name': 'Bibek Tamu', 'link': 'https://stackoverflow.com/users/10715287/bibek-tamu'}",False,1696,2,-5,1666748377,1576737366,1576738948.0,59404392,CC BY-SA 4.0,https://stackoverflow.com/questions/59404392/how-solve-the-problem-unknown-encoding-format-in-brackets,How solve the problem &quot;Unknown encoding format&quot; in brackets,,,,,
11,"['javascript', 'html', 'node.js', 'socket.io']","{'account_id': 17209614, 'reputation': 71, 'user_id': 12459331, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/496228111239680/picture?type=large', 'display_name': 'Srivetsuki Kurosaki', 'link': 'https://stackoverflow.com/users/12459331/srivetsuki-kurosaki'}",True,17952,3,7,1666723677,1577276879,1577277054.0,59478402,CC BY-SA 4.0,https://stackoverflow.com/questions/59478402/how-do-i-send-image-to-server-via-socket-io,How do I send image to server via socket.io?,,,,,
