,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
0,"['html', 'css']","{'account_id': 244564, 'reputation': 10173, 'user_id': 517477, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/c97149e5dbd6126c6239d1edc88c8d47?s=256&d=identicon&r=PG', 'display_name': 'denislexic', 'link': 'https://stackoverflow.com/users/517477/denislexic'}",True,66117,9883044.0,9,92,1669496458,1332818199,9882916,CC BY-SA 3.0,https://stackoverflow.com/questions/9882916/are-you-allowed-to-nest-a-link-inside-of-a-link,Are you allowed to nest a link inside of a link?,,,,,,
1,"['javascript', 'html', 'css', 'tumblr']","{'account_id': 1359932, 'reputation': 21, 'user_id': 1297489, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf4f3555ee7986fa4daa1f001c457e0f?s=256&d=identicon&r=PG', 'display_name': 'HarveyMoon', 'link': 'https://stackoverflow.com/users/1297489/harveymoon'}",True,5948,,3,1,1668937953,1332922717,9903590,CC BY-SA 3.0,https://stackoverflow.com/questions/9903590/tumblr-javascript-embed-with-css-skin,tumblr javascript embed with css skin,1371007280.0,1332925713.0,,,,
2,"['python', 'html', 'selenium', 'webdriver']","{'account_id': 1001637, 'reputation': 3257, 'user_id': 1016364, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c7fc6eeb41461e9781dcf0a2c2bce3fc?s=256&d=identicon&r=PG', 'display_name': 'nonshatter', 'link': 'https://stackoverflow.com/users/1016364/nonshatter'}",True,291908,9587938.0,14,112,1668851993,1330952431,9567069,CC BY-SA 4.0,https://stackoverflow.com/questions/9567069/checking-if-an-element-exists-with-python-selenium,Checking if an element exists with Python Selenium,,1668150021.0,,,,
3,"['html', 'css', 'input', 'textarea']","{'account_id': 404912, 'reputation': 7768, 'user_id': 773502, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://graph.facebook.com/599306509/picture?type=large', 'display_name': 'bArmageddon', 'link': 'https://stackoverflow.com/users/773502/barmageddon'}",True,49738,9911149.0,10,24,1668789490,1332949526,9911122,CC BY-SA 3.0,https://stackoverflow.com/questions/9911122/disabling-textarea-from-css,Disabling Textarea from CSS,,1336011881.0,,,,
4,"['jquery', 'html', 'css']","{'account_id': 1344389, 'reputation': 386, 'user_id': 1285399, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d33e5d42facf324fc073c50334f1ae49?s=256&d=identicon&r=PG', 'display_name': 'HGK', 'link': 'https://stackoverflow.com/users/1285399/hgk'}",True,7622,9940626.0,7,1,1668318314,1332771787,9873937,CC BY-SA 3.0,https://stackoverflow.com/questions/9873937/how-to-change-a-single-character-color-in-textarea,How to change a single character color in textarea,,,,,,
5,['html'],"{'account_id': 12016, 'reputation': 1609, 'user_id': 23450, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0b58d44b6b0ecb8d5eba92de5c34b9ff?s=256&d=identicon&r=PG', 'display_name': 'Marcus Tik', 'link': 'https://stackoverflow.com/users/23450/marcus-tik'}",True,472488,,11,38,1668296438,1331901536,9737394,CC BY-SA 4.0,https://stackoverflow.com/questions/9737394/html-how-to-center-align-a-form,HTML: How to center align a form,,1654232348.0,,,,
6,"['jquery', 'css', 'html', 'google-chrome', 'placeholder']","{'account_id': 196312, 'reputation': 10376, 'user_id': 439688, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/zNcDQ.jpg?s=256&g=1', 'display_name': 'LondonGuy', 'link': 'https://stackoverflow.com/users/439688/londonguy'}",True,372508,9707068.0,28,260,1668188719,1331746284,9707021,CC BY-SA 4.0,https://stackoverflow.com/questions/9707021/how-do-i-auto-hide-placeholder-text-upon-focus-using-css-or-jquery,How do I auto-hide placeholder text upon focus using css or jquery?,,1668188719.0,,,,
7,"['html', 'css', 'media-queries']","{'account_id': 163424, 'reputation': 16393, 'user_id': 385563, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://graph.facebook.com/690655665/picture?type=large', 'display_name': 'Dancer', 'link': 'https://stackoverflow.com/users/385563/dancer'}",True,595787,9808297.0,14,387,1668164017,1332345343,9808233,CC BY-SA 3.0,https://stackoverflow.com/questions/9808233/is-it-possible-to-put-css-media-rules-inline,Is it possible to put CSS @media rules inline?,,1434063436.0,,,,
8,"['html', 'dart']","{'account_id': 934328, 'reputation': 12393, 'user_id': 963546, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ca9c3f23ff17b76740986df8fa2b9061?s=256&d=identicon&r=PG', 'display_name': 'Gero', 'link': 'https://stackoverflow.com/users/963546/gero'}",True,9400,9558446.0,5,15,1668082461,1330890892,9558282,CC BY-SA 3.0,https://stackoverflow.com/questions/9558282/dart-interaction-access-to-database,Dart interaction / access to database,,1330892392.0,,,,
9,"['iphone', 'html', 'jquery-mobile', 'input']","{'account_id': 678346, 'reputation': 8636, 'user_id': 1035897, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/3eccb41827ff628fa4143045e40c1b8c?s=256&d=identicon&r=PG', 'display_name': 'Lennart Rolland', 'link': 'https://stackoverflow.com/users/1035897/lennart-rolland'}",True,119792,10656599.0,11,29,1667900754,1332514410,9841363,CC BY-SA 3.0,https://stackoverflow.com/questions/9841363/how-to-restrict-number-of-characters-that-can-be-entered-in-html5-number-input-f,How to restrict number of characters that can be entered in HTML5 number input field on iPhone,,1332542646.0,,,,
10,"['javascript', 'jquery', 'html', 'arrays', 'html-table']","{'account_id': 1252721, 'reputation': 3155, 'user_id': 1212802, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/e398e541070aca23f6f3e6daa29d11a5?s=256&d=identicon&r=PG', 'display_name': 'n0minal', 'link': 'https://stackoverflow.com/users/1212802/n0minal'}",True,72541,9579792.0,5,23,1667510199,1331019936,9579721,CC BY-SA 4.0,https://stackoverflow.com/questions/9579721/convert-html-table-to-array-in-javascript,Convert html table to array in javascript,,1525644502.0,,,,
11,"['javascript', 'html', 'for-loop', 'radio-button']","{'account_id': 1053795, 'reputation': 12077, 'user_id': 1056975, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/c9bfbf0c8cd58684c624b3130e9f6d63?s=256&d=identicon&r=PG', 'display_name': 'mkyong', 'link': 'https://stackoverflow.com/users/1056975/mkyong'}",True,987920,9618826.0,19,357,1667473928,1331213862,9618504,CC BY-SA 3.0,https://stackoverflow.com/questions/9618504/how-to-get-the-selected-radio-button-s-value,How to get the selected radio button’s value?,,1524554181.0,,,,
12,"['javascript', 'css', 'html', 'forms']","{'account_id': 62035, 'reputation': 5468, 'user_id': 184532, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/77ca0de93e53929d332c4690294672e5?s=256&d=identicon&r=PG', 'display_name': 'kjs3', 'link': 'https://stackoverflow.com/users/184532/kjs3'}",True,166426,20838527.0,21,191,1667068826,1331770648,9712295,CC BY-SA 3.0,https://stackoverflow.com/questions/9712295/disable-scrolling-on-input-type-number,Disable scrolling on `&lt;input type=number&gt;`,1398952039.0,1517333179.0,,,,
