,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
0,"['javascript', 'html', 'jquery', 'events', 'dom-events']","{'account_id': 337927, 'reputation': 2013, 'user_id': 666487, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/btosI.jpg?s=256&g=1', 'display_name': 'Deep Frozen', 'link': 'https://stackoverflow.com/users/666487/deep-frozen'}",True,103742,52679620.0,7,52,1669015990,1340626276,1669015990.0,11189136,CC BY-SA 4.0,https://stackoverflow.com/questions/11189136/fire-oninput-event-with-jquery,Fire oninput event with jQuery,,,,,,
1,"['html', 'css', 'google-chrome-extension']","{'account_id': 1046477, 'reputation': 147, 'user_id': 1051356, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/d0287ef2059fdc89fe76359f57caa9f2?s=256&d=identicon&r=PG', 'display_name': 'EliK', 'link': 'https://stackoverflow.com/users/1051356/elik'}",True,17232,,5,8,1668828255,1340722507,,11210116,CC BY-SA 3.0,https://stackoverflow.com/questions/11210116/how-to-make-chrome-extension-to-be-in-full-screen,How to make chrome extension to be in full screen?,,,,,,
2,"['javascript', 'html', 'drag-and-drop', 'dom-events']","{'account_id': 158367, 'reputation': 66430, 'user_id': 376947, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/1b61fefdf47fd531f94a86516dba0521?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/376947/alex'}",True,38211,11169580.0,5,13,1668709228,1340455004,1572780027.0,11169554,CC BY-SA 4.0,https://stackoverflow.com/questions/11169554/how-to-style-dragged-element,How to style dragged element,,,,,,
3,['html'],"{'account_id': 1556656, 'reputation': 2679, 'user_id': 1447552, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/01ccb9953bd6a472eab76ce67b22937e?s=256&d=identicon&r=PG', 'display_name': 'ybc126', 'link': 'https://stackoverflow.com/users/1447552/ybc126'}",True,439661,11100108.0,17,186,1668627934,1340105491,1454684842.0,11100041,CC BY-SA 3.0,https://stackoverflow.com/questions/11100041/how-do-you-automatically-set-text-box-to-uppercase,How do you automatically set text box to Uppercase?,,,,,,
4,"['html', 'css', 'position']","{'account_id': 1612479, 'reputation': 431, 'user_id': 1491046, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b438b32f9ffbd209bbc225fe53405150?s=256&d=identicon&r=PG', 'display_name': 'Siggi Gross', 'link': 'https://stackoverflow.com/users/1491046/siggi-gross'}",True,80722,,9,43,1668469861,1340970668,1364996037.0,11261270,CC BY-SA 3.0,https://stackoverflow.com/questions/11261270/css-position-element-fixed-inside-scrolling-container,CSS position element &quot;fixed&quot; inside scrolling container,,,,,,
5,"['python', 'html']","{'account_id': 1538792, 'reputation': 69, 'user_id': 1434001, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/29ff9d655018a3d253fcef04204df248?s=256&d=identicon&r=PG', 'display_name': 'user1434001', 'link': 'https://stackoverflow.com/users/1434001/user1434001'}",True,14426,10873791.0,2,2,1668395962,1338755931,1338761434.0,10873777,CC BY-SA 3.0,https://stackoverflow.com/questions/10873777/in-python-how-can-i-check-if-a-filename-ends-in-html-or-files,"In python, how can I check if a filename ends in &#39;.html&#39; or &#39;_files&#39;?",,,,,,
6,"['javascript', 'html', 'forms']","{'account_id': 445945, 'reputation': 1389, 'user_id': 838700, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/718a2b839e3d3d7989896234f5dfc274?s=256&d=identicon&r=PG', 'display_name': 'Jayne Mast', 'link': 'https://stackoverflow.com/users/838700/jayne-mast'}",False,7845,,1,0,1668322830,1339069359,,10931116,CC BY-SA 3.0,https://stackoverflow.com/questions/10931116/how-can-i-check-if-a-submit-button-is-clicked-and-not-an-enter-press-on-a-page,How can I check if a submit button is clicked and not an enter press on a page?,,,,,,
7,"['css', 'button', 'html', 'clickable']","{'account_id': 1495621, 'reputation': 8156, 'user_id': 1401634, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/772d1323b509faf3e0e9283e697754a9?s=256&d=identicon&r=PG', 'display_name': 'Ivan Wang', 'link': 'https://stackoverflow.com/users/1401634/ivan-wang'}",True,170091,11078553.0,12,99,1668090550,1340004429,1668090213.0,11078509,CC BY-SA 4.0,https://stackoverflow.com/questions/11078509/how-to-increase-the-clickable-area-of-an-anchor-or-button-element,How to increase the clickable area of an anchor or button element?,,,,,,
8,"['javascript', 'jquery', 'html']","{'account_id': 1023899, 'reputation': 1717, 'user_id': 1033619, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/5c0774a66e15125cc7b311c1463ae652?s=256&d=identicon&r=PG', 'display_name': 'user1033619', 'link': 'https://stackoverflow.com/users/1033619/user1033619'}",True,166148,11047751.0,8,161,1667943225,1339751223,1339751990.0,11047670,CC BY-SA 3.0,https://stackoverflow.com/questions/11047670/creating-a-jquery-object-from-a-big-html-string,Creating a jQuery object from a big HTML-string,,,,,,
9,"['javascript', 'css', 'html', 'spotify']","{'account_id': 256459, 'reputation': 137, 'user_id': 537186, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/434e1c10883e5ea54c5bfa918a1fa630?s=256&d=identicon&r=PG', 'display_name': 'Paul', 'link': 'https://stackoverflow.com/users/537186/paul'}",True,1771,12802700.0,3,1,1667577065,1340584452,,11182307,CC BY-SA 3.0,https://stackoverflow.com/questions/11182307/im-making-my-portfolio-and-id-like-to-use-the-spotify-api-to-show-what-im-cu,"I&#39;m making my portfolio, and I&#39;d like to use the Spotify API to show what I&#39;m currently listening to, but don&#39;t want to use the Play button",,,,,,
