,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,migrated_from,closed_date,closed_reason,community_owned_date
0,"['javascript', 'html']","{'account_id': 1206969, 'reputation': 87, 'user_id': 1176367, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/e667dc114ea52b16fc62502b396d6b94?s=256&d=identicon&r=PG', 'display_name': 'zhaobaloth', 'link': 'https://stackoverflow.com/users/1176367/zhaobaloth'}",True,15070,12424209.0,8,4,1669559089,1347624238,12424185,CC BY-SA 3.0,https://stackoverflow.com/questions/12424185/limit-min-max-integer-on-javascript-variable,Limit min/max integer on javascript variable,,,,,,
1,"['html', 'css', 'height']","{'account_id': 522870, 'reputation': 361, 'user_id': 1641209, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/87bc36422ad464f8b41dc245ac072112?s=256&d=identicon&r=PG', 'display_name': 'cevizmx', 'link': 'https://stackoverflow.com/users/1641209/cevizmx'}",True,53,12232617.0,1,2,1669041077,1346547376,12232610,CC BY-SA 4.0,https://stackoverflow.com/questions/12232610/creating-dynamic-height,creating dynamic height,1669041077.0,,,,,
2,"['javascript', 'jquery', 'html', 'css']","{'account_id': 948983, 'reputation': 29832, 'user_id': 975566, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/75f945ecacb75c315681710b709fb207?s=256&d=identicon&r=PG', 'display_name': 'Samantha J T Star', 'link': 'https://stackoverflow.com/users/975566/samantha-j-t-star'}",True,124,12366865.0,3,3,1669020637,1347356374,12366845,CC BY-SA 3.0,https://stackoverflow.com/questions/12366845/is-there-any-possible-reason-why-i-should-specify-type-button-for-my-button-el,Is there any possible reason why I should specify type=&quot;button&quot; for my button element?,,,,,,
3,"['html', 'css', 'text']","{'account_id': 1419500, 'reputation': 539, 'user_id': 1344434, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://i.stack.imgur.com/oUix3.jpg?s=256&g=1', 'display_name': 'Jo&#227;o Fernandes', 'link': 'https://stackoverflow.com/users/1344434/jo%c3%a3o-fernandes'}",True,24269,12461456.0,2,6,1668908803,1347891298,12461183,CC BY-SA 4.0,https://stackoverflow.com/questions/12461183/click-header-and-expand-text-without-using-javascript-jquery,Click header and expand text without using JavaScript / jQuery,1668908803.0,,,,,
4,"['html', 'css', 'button', 'submit-button']","{'account_id': 1853275, 'reputation': 4247, 'user_id': 1679342, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/9d6f802c594c17db485b692d2942e261?s=256&d=identicon&r=PG', 'display_name': 'Venkata Krishna', 'link': 'https://stackoverflow.com/users/1679342/venkata-krishna'}",True,431169,12471255.0,7,45,1668905866,1347947665,12471132,CC BY-SA 4.0,https://stackoverflow.com/questions/12471132/how-to-set-text-color-in-submit-button,How to set text color in submit button?,1531570549.0,,,,,
5,"['python', 'html', 'selenium', 'selenium-webdriver']","{'account_id': 254579, 'reputation': 8648, 'user_id': 534086, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/b23b88d5029dd59c7929bb9e7ed3d246?s=256&d=identicon&r=PG', 'display_name': 'josh', 'link': 'https://stackoverflow.com/users/534086/josh'}",True,152697,19040341.0,5,55,1668487883,1347052281,12325454,CC BY-SA 4.0,https://stackoverflow.com/questions/12325454/how-can-i-get-text-of-an-element-in-selenium-webdriver-without-including-child,"How can I get text of an element in Selenium WebDriver, without including child element text?",1668479823.0,,,,,
6,"['jquery', 'html']","{'account_id': 68422, 'reputation': 2587, 'user_id': 199640, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/324aab1a919f6dc710a2dabe3229bba8?s=256&d=identicon&r=PG', 'display_name': 'Anicho', 'link': 'https://stackoverflow.com/users/199640/anicho'}",True,13728,12456937.0,6,13,1667811902,1347875642,12456890,CC BY-SA 3.0,https://stackoverflow.com/questions/12456890/for-each-link-where-href-equals-myvalue,For each link where href equals myValue,1348377354.0,,,,,
7,"['html', 'css']","{'account_id': 1168318, 'reputation': 5501, 'user_id': 1146094, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/4b24c43824d179acb4c0dff101823534?s=256&d=identicon&r=PG', 'display_name': 'SwiftD', 'link': 'https://stackoverflow.com/users/1146094/swiftd'}",True,130389,12408519.0,10,45,1667236657,1347300846,12357242,CC BY-SA 4.0,https://stackoverflow.com/questions/12357242/stop-absolutely-positioned-div-from-overlapping-text,Stop absolutely positioned div from overlapping text,1545230339.0,,,,,
8,"['html', 'css']","{'account_id': 1804804, 'reputation': 1, 'user_id': 1642172, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ea7438b52416df224b7ccb9d3acdc84c?s=256&d=identicon&r=PG', 'display_name': 'user1642172', 'link': 'https://stackoverflow.com/users/1642172/user1642172'}",False,152,,1,-1,1666711393,1346653999,12243003,CC BY-SA 4.0,https://stackoverflow.com/questions/12243003/my-webpage-is-2-column-but-overlaps-into-1-column-when-zoomed-in,My webpage is 2 column but overlaps into 1 column when zoomed in?,1666711375.0,,,,,
9,"['html', 'google-chrome', 'google-translate']","{'account_id': 1586727, 'reputation': 8600, 'user_id': 1470887, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/be5148b43cdbb2b8eed7a6099aeb411b?s=256&d=identicon&r=PG', 'display_name': 'twinlakes', 'link': 'https://stackoverflow.com/users/1470887/twinlakes'}",True,161777,12238414.0,9,198,1666431055,1346608621,12238396,CC BY-SA 4.0,https://stackoverflow.com/questions/12238396/how-to-disable-google-translate-from-html-in-chrome,How to disable Google translate from HTML in Chrome,1613501879.0,1604837989.0,,,,
