,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,locked_date,community_owned_date
0,"['javascript', 'html', 'canvas', 'three.js', 'requestanimationframe']","{'account_id': 1439116, 'reputation': 36543, 'user_id': 1359785, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/c0c36fa082e40670bebb9be9628fce4e?s=256&d=identicon&r=PG', 'display_name': 'Cory Gross', 'link': 'https://stackoverflow.com/users/1359785/cory-gross'}",True,34736,11295465.0,6,39,1669388909,1341171560,1341173089.0,11285065,CC BY-SA 3.0,https://stackoverflow.com/questions/11285065/limiting-framerate-in-three-js-to-increase-performance-requestanimationframe,"Limiting framerate in Three.js to increase performance, requestAnimationFrame?",,,,,,
1,"['javascript', 'html', 'css']","{'account_id': 30799, 'reputation': 144835, 'user_id': 84201, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5cce99e9bf6154703d8ecdf474a750bd?s=256&d=identicon&r=PG', 'display_name': 'Jitendra Vyas', 'link': 'https://stackoverflow.com/users/84201/jitendra-vyas'}",True,30373,11455779.0,6,50,1669205898,1342108164,1530433254.0,11455667,,https://stackoverflow.com/questions/11455667/are-there-any-offline-html-css-javascript-editors-like-jsfiddle-jsbin-codepen,"Are there any offline HTML CSS JavaScript editors like JSFiddle, jsbin, codepen etc.?",1384185696.0,Not suitable for this site,,,,
2,"['javascript', 'html', 'caret', 'getcaretpos', 'selection-api']","{'user_type': 'does_not_exist', 'display_name': 'user978923'}",True,335,,1,1,1669018323,1343704369,1669018323.0,11732570,CC BY-SA 4.0,https://stackoverflow.com/questions/11732570/textarea-caret-position-when-shift-and-arrow-keys-are-used,textarea caret position when shift and arrow keys are used?,,,,,,
3,"['html', 'android-4.0-ice-cream-sandwich', 'galaxy', 'android-browser', 'samsung-mobile']","{'account_id': 1180369, 'reputation': 338, 'user_id': 1155421, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/dbdfde036e5c20b4153c80324384d121?s=256&d=identicon&r=PG', 'display_name': 'pantryfight', 'link': 'https://stackoverflow.com/users/1155421/pantryfight'}",False,9772,,3,15,1668204255,1342743366,1581841988.0,11571157,CC BY-SA 4.0,https://stackoverflow.com/questions/11571157/android-browser-samsung-galaxy-sii-scrolling-bug-on-web-forms-select-list-hit,Android browser / Samsung Galaxy SII scrolling bug on web forms. Select list hitboxes don&#39;t scroll,,,,,,
4,"['javascript', 'html', 'html5-video', 'webrtc', 'getusermedia']","{'account_id': 874689, 'reputation': 3737, 'user_id': 924578, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://graph.facebook.com/1829805438/picture?type=large', 'display_name': 'Shih-En Chou', 'link': 'https://stackoverflow.com/users/924578/shih-en-chou'}",True,204707,12436772.0,16,227,1667782835,1343191871,1667782778.0,11642926,CC BY-SA 4.0,https://stackoverflow.com/questions/11642926/stop-close-webcam-stream-which-is-opened-by-navigator-mediadevices-getusermedia,Stop/Close webcam stream which is opened by navigator.mediaDevices.getUserMedia,,,,,,
5,"['javascript', 'html', 'events']","{'account_id': 1587011, 'reputation': 853, 'user_id': 1471104, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/ccb2e619a7145a91363711f4f80208c0?s=256&d=identicon&r=PG', 'display_name': 'haxxerz', 'link': 'https://stackoverflow.com/users/1471104/haxxerz'}",True,5039,11742769.0,3,18,1667387784,1343729770,1557688600.0,11737873,CC BY-SA 4.0,https://stackoverflow.com/questions/11737873/why-are-inline-event-handler-attributes-a-bad-idea-in-modern-semantic-html,Why are inline event handler attributes a bad idea in modern semantic HTML?,,,,,,
6,"['javascript', 'html', 'tabindex']","{'account_id': 1462614, 'reputation': 6065, 'user_id': 1376473, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/74a23c3eaa34f0bd8097a6fd36aba34e?s=256&d=identicon&r=PG', 'display_name': 'Jigar Parekh', 'link': 'https://stackoverflow.com/users/1376473/jigar-parekh'}",True,24965,11299876.0,2,27,1666858264,1341256689,1642288272.0,11299832,CC BY-SA 4.0,https://stackoverflow.com/questions/11299832/document-activeelement-returns-body-in-onblur-handler,document.activeElement returns body in onblur handler,,,,,,
7,"['java', 'html', 'applet', 'ip-address', 'lighttpd']","{'account_id': 1633185, 'reputation': 47, 'user_id': 1507346, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/10467adfb983c83869b21a5d2916c686?s=256&d=identicon&r=PG', 'display_name': 'Dylan', 'link': 'https://stackoverflow.com/users/1507346/dylan'}",True,247,11567966.0,2,0,1665962018,1342725634,,11567828,CC BY-SA 3.0,https://stackoverflow.com/questions/11567828/how-do-i-get-the-address-used-to-access-a-website-in-java,How do I get the address used to access a website in java,,,,,,
8,"['html', 'input', 'checkbox']","{'account_id': 1369010, 'reputation': 2629, 'user_id': 1304767, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/3650d0639f0ae12043e7938840404bbc?s=256&d=identicon&r=PG', 'display_name': 'Mark', 'link': 'https://stackoverflow.com/users/1304767/mark'}",True,299187,11424089.0,13,214,1665612014,1341967729,1563976794.0,11424037,CC BY-SA 4.0,https://stackoverflow.com/questions/11424037/do-checkbox-inputs-only-post-data-if-theyre-checked,Do checkbox inputs only post data if they&#39;re checked?,,,,,,
9,"['javascript', 'html', 'regex']","{'account_id': 1321847, 'reputation': 795, 'user_id': 1267509, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/1fbbd6f5fa5951b93a647b962e4390ad?s=256&d=identicon&r=PG', 'display_name': 'mdp', 'link': 'https://stackoverflow.com/users/1267509/mdp'}",True,36205,11551506.0,11,18,1665463418,1342647691,1524553568.0,11550790,CC BY-SA 3.0,https://stackoverflow.com/questions/11550790/remove-hostname-and-port-from-url-using-regular-expression,remove hostname and port from url using regular expression,,,,,,
