,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,locked_date
0,"['html', 'css', 'bootstrap-4', 'navbar']","{'account_id': 19257593, 'reputation': 11, 'user_id': 14074146, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Ui7yONqN5B0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmAUbqxofeo6IIrsfw1LBNGv-QSPg/photo.jpg?sz=256', 'display_name': 'Ashwin', 'link': 'https://stackoverflow.com/users/14074146/ashwin'}",False,50,1,0,1669046647,1599500828,1669046647.0,63782133,CC BY-SA 4.0,https://stackoverflow.com/questions/63782133/dropdown-box-expands-within-navbar,Dropdown box expands within navbar,,,,,
1,"['html', 'css', 'image']","{'account_id': 1620855, 'reputation': 37581, 'user_id': 1497454, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/0a1b529539a71d7255c4215112c8385d?s=256&d=identicon&r=PG', 'display_name': 'omega', 'link': 'https://stackoverflow.com/users/1497454/omega'}",True,276,2,0,1668850814,1600546153,,63972996,CC BY-SA 4.0,https://stackoverflow.com/questions/63972996/how-to-make-a-css-transition-from-background-size-cover-to-105-105,How to make a css transition from background size cover to 105% 105%?,,,,,
2,"['html', 'amp-html', 'amp-bind']","{'account_id': 5059847, 'reputation': 71, 'user_id': 4061858, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://lh6.googleusercontent.com/-nZJqPNrOPhE/AAAAAAAAAAI/AAAAAAAAACk/EPMhZGOOK_I/photo.jpg?sz=256', 'display_name': 'maikelinhas', 'link': 'https://stackoverflow.com/users/4061858/maikelinhas'}",False,123,2,0,1668397264,1600676485,,63988574,CC BY-SA 4.0,https://stackoverflow.com/questions/63988574/how-can-i-automatically-bind-amp-state-from-remote-source,How can I automatically bind amp state (from remote source)?,,,,,
3,"['html', 'css', 'python-3.x', 'flask', 'flash-message']","{'account_id': 17152771, 'reputation': 67, 'user_id': 12414306, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDzhFK5KnXMcf6jMbaWffPEuUvZU5IXYR8vmcaAjA=k-s256', 'display_name': 'Aayush Lakkad', 'link': 'https://stackoverflow.com/users/12414306/aayush-lakkad'}",True,2064,3,2,1667974888,1599471902,1599491075.0,63775099,CC BY-SA 4.0,https://stackoverflow.com/questions/63775099/flask-flash-message-not-closing-on-clicking-the-x-button,Flask flash message not closing on clicking the &#39;x&#39; button,,,,,
4,"['javascript', 'html', 'css', 'reactjs', 'jsx']","{'account_id': 19340378, 'reputation': 23, 'user_id': 14140070, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6221aaa2266ab9abe707d06788e1ac14?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vukasin', 'link': 'https://stackoverflow.com/users/14140070/vukasin'}",True,493,4,0,1667721026,1600787019,1600788361.0,64012495,CC BY-SA 4.0,https://stackoverflow.com/questions/64012495/how-to-call-a-function-and-change-heading-text-and-color-depending-on-time-of-th,How to call a function and change heading text and color depending on time of the day in React?,64012768.0,,,,
5,"['javascript', 'html', 'vue.js']","{'account_id': 2816973, 'reputation': 153, 'user_id': 4818123, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/e9734aec5286ca639c05dd7ce7437afd?s=256&d=identicon&r=PG', 'display_name': 'Takeshi Tokugawa YD', 'link': 'https://stackoverflow.com/users/4818123/takeshi-tokugawa-yd'}",True,1428,3,3,1667579818,1599114928,1599816522.0,63718093,CC BY-SA 4.0,https://stackoverflow.com/questions/63718093/input-type-number-does-not-prevent-the-invalid-numbers-inputting-but-eleme,"&lt;input type=&quot;number&quot;&gt; does not prevent the invalid numbers inputting, but &quot;element.value&quot; does not allow me to correct them",,,,,
6,"['html', 'css', 'material-design']","{'account_id': 18972421, 'reputation': 63, 'user_id': 13845597, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-xVT_dm6wJZU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmcJcX-DlWlfAkAnsuOGlnyRPVF2w/photo.jpg?sz=256', 'display_name': 'mikkel Reng', 'link': 'https://stackoverflow.com/users/13845597/mikkel-reng'}",True,1240,5,0,1667176678,1599125411,1599128983.0,63720736,CC BY-SA 4.0,https://stackoverflow.com/questions/63720736/how-to-align-li-to-the-center-with-the-dot,How to align li to the center with the dot,63722062.0,,,,
7,"['html', 'css']","{'account_id': 15912196, 'reputation': 36, 'user_id': 11481849, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4dcfb7a1698a864f059029d7fe9388fe?s=256&d=identicon&r=PG&f=1', 'display_name': 'Recur', 'link': 'https://stackoverflow.com/users/11481849/recur'}",True,254,1,1,1666758564,1600304585,1600313473.0,63929855,CC BY-SA 4.0,https://stackoverflow.com/questions/63929855/how-would-you-have-independent-sibling-height-using-flex-grid-table-when-height,How would you have independent sibling height using flex/grid/table when height changes?,68597270.0,,,,
8,['html'],"{'account_id': 18235693, 'reputation': 154, 'user_id': 14335091, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgkGXgnmBUQZu_eIsXx62dH-w5RvrDJUbOi4NUH=k-s256', 'display_name': 'Officer Erik K', 'link': 'https://stackoverflow.com/users/14335091/officer-erik-k'}",True,56,1,0,1666269944,1601073229,1666269944.0,64072066,CC BY-SA 4.0,https://stackoverflow.com/questions/64072066/how-to-make-a-link-go-to-its-corresponding-href-if-the-files-are-not-in-the-sam,"How to make a link go to its corresponding href, if the files are not in the same folder?",64072119.0,,,,
9,"['javascript', 'html', 'reactjs', 'matter.js']","{'account_id': 17045430, 'reputation': 1793, 'user_id': 12332401, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/785c76285bd0f51a11690fefea9fc68e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Waelmas', 'link': 'https://stackoverflow.com/users/12332401/waelmas'}",True,1340,1,1,1665760650,1600187490,1608282764.0,63906218,CC BY-SA 4.0,https://stackoverflow.com/questions/63906218/using-matter-js-to-render-to-the-dom-or-react,Using Matter.js to render to the DOM or React,65354225.0,,,,
