,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,accepted_answer_id,closed_reason,migrated_from
0,"['html', 'core-web-vitals', 'cumulative-layout-shift']","{'account_id': 18477600, 'reputation': 27, 'user_id': 13460710, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1a676d8c70257b5838aa841033a1b464?s=256&d=identicon&r=PG&f=1', 'display_name': 'JMR', 'link': 'https://stackoverflow.com/users/13460710/jmr'}",False,479,1,0,1668915029,1632411850,1634734280.0,69303130,CC BY-SA 4.0,https://stackoverflow.com/questions/69303130/fixing-cumulative-layout-shift-in-div,Fixing Cumulative Layout Shift in Div,,,,
1,"['javascript', 'html', 'api', 'web', 'web-site-project']","{'account_id': 22863584, 'reputation': 69, 'user_id': 17007286, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyNYzv46xZcFrwkbIYnp7MOsdczCSgsQpc9z5Vb=k-s256', 'display_name': 'Harshil Sharma', 'link': 'https://stackoverflow.com/users/17007286/harshil-sharma'}",True,9701,1,2,1668873594,1632652869,1668873594.0,69334088,,https://stackoverflow.com/questions/69334088/error-the-page-at-index-html-was-loaded-over-https-but-requested-an-insecure,"Error: The page at &#39;index.html&#39; was loaded over HTTPS, but requested an insecure XMLHttpRequest endpoint",1632728245.0,69335810.0,Not suitable for this site,
2,"['html', 'css', 'web']","{'account_id': 19194353, 'reputation': 53, 'user_id': 14023413, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghh2aaM4Gu9AhsrY8YHe7QuAr2iuEV1ZG70VSKn=k-s256', 'display_name': 'Ayaz', 'link': 'https://stackoverflow.com/users/14023413/ayaz'}",False,29,0,-3,1668846935,1630477486,1668846935.0,69008733,,https://stackoverflow.com/questions/69008733/navigation-bar-move-ul-items-to-right-side-of-screen,Navigation bar move ul items to Right side of screen,1630492782.0,,Not suitable for this site,
3,"['javascript', 'html', 'function', 'return']","{'account_id': 6629014, 'reputation': 37, 'user_id': 5118226, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/--0Lp9_-Xw9s/AAAAAAAAAAI/AAAAAAAAAEY/x3oNyjee7mU/photo.jpg?sz=256', 'display_name': 'Skynet', 'link': 'https://stackoverflow.com/users/5118226/skynet'}",True,197,2,0,1668774434,1632672681,1632673571.0,69336712,CC BY-SA 4.0,https://stackoverflow.com/questions/69336712/why-does-my-javascript-code-runs-and-disappear-immediately,Why does my Javascript code runs and disappear immediately,,69336853.0,,
4,"['html', 'css', 'flexbox', 'shopify-template', 'flexboxgrid']","{'account_id': 22299152, 'reputation': 1, 'user_id': 16524658, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/FERyH.png?s=256&g=1', 'display_name': 'George Lugo', 'link': 'https://stackoverflow.com/users/16524658/george-lugo'}",False,450,4,0,1668484113,1632795199,1632795724.0,69355033,CC BY-SA 4.0,https://stackoverflow.com/questions/69355033/i-am-trying-to-display-3-columns-in-1-row,I am trying to display 3 columns in 1 row,,,,
5,"['javascript', 'html', 'css', 'svg', 'icons']","{'account_id': 4135051, 'reputation': 490, 'user_id': 3391887, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b21e35efbd9b0e1c0c185d9771a42bc4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeremias Nater', 'link': 'https://stackoverflow.com/users/3391887/jeremias-nater'}",True,1297,1,1,1668436395,1631267640,,69130461,CC BY-SA 4.0,https://stackoverflow.com/questions/69130461/most-practical-way-of-loading-svg-icons-into-a-html-page-without-repetition-s,Most practical way of loading svg icons into a html page without repetition? / Should i use &lt;use href&gt;?,,,,
6,"['html', 'css', 'forms', 'validation', 'smooth-scrolling']","{'account_id': 22627726, 'reputation': 91, 'user_id': 16805588, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgrAsG9n-25Ryrz_RDwNMxgLO8VBJ-vCG5opYrI=k-s256', 'display_name': 'Darren Greer', 'link': 'https://stackoverflow.com/users/16805588/darren-greer'}",False,1186,1,9,1668325785,1630505453,1630508557.0,69015407,CC BY-SA 4.0,https://stackoverflow.com/questions/69015407/html5-form-validation-message-doesnt-show-when-scroll-behaviour-is-set-to-smoo,HTML5 Form validation message doesn&#39;t show when scroll-behaviour is set to &#39;smooth&#39; on html tag in Chrome,,,,
7,"['python', 'html', 'django']","{'account_id': 22391570, 'reputation': 45, 'user_id': 16603555, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e84d9a1befd32fbc275ae820fb505fec?s=256&d=identicon&r=PG&f=1', 'display_name': 'TheGuntz', 'link': 'https://stackoverflow.com/users/16603555/theguntz'}",True,888,4,3,1668195010,1630474725,1630475418.0,69008290,CC BY-SA 4.0,https://stackoverflow.com/questions/69008290/logging-out-on-django-web-app-redirects-to-django-admin-logout-page-whats-goin,Logging out on django web app redirects to django admin logout page. What&#39;s going on?,,,,
8,"['javascript', 'html']","{'account_id': 22457395, 'reputation': 29, 'user_id': 16659888, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJws3ATk55DYYrd2RaFRtS2A0JJFWXQsrj3jWg9x=k-s256', 'display_name': 'Chloe', 'link': 'https://stackoverflow.com/users/16659888/chloe'}",True,430,2,0,1668038606,1631433141,1631433657.0,69149499,CC BY-SA 4.0,https://stackoverflow.com/questions/69149499/fibbonaci-series-using-arrow-functions,Fibbonaci series using Arrow Functions,,69149574.0,,
9,['html'],"{'account_id': 21065593, 'reputation': 13, 'user_id': 15482946, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1f827fec7af65845c703cb312727b4c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Saurav', 'link': 'https://stackoverflow.com/users/15482946/saurav'}",True,260,3,0,1668000610,1631529811,1631530289.0,69161321,CC BY-SA 4.0,https://stackoverflow.com/questions/69161321/create-two-table-side-by-side-using-html,Create two table side by side using HTML,,69161445.0,,
