,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date
0,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 10622262, 'reputation': 137, 'user_id': 7823016, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ca82d2a4a4901c9bbae905ff4e928ddf?s=256&d=identicon&r=PG&f=1', 'display_name': 'user7823016', 'link': 'https://stackoverflow.com/users/7823016/user7823016'}",True,4337,66629980.0,2,4,1669129016,1615737012,66626487,CC BY-SA 4.0,https://stackoverflow.com/questions/66626487/hiding-sidebar-component-on-outside-click,Hiding Sidebar Component on Outside Click,,,,
1,"['javascript', 'html', 'css']","{'account_id': 17716948, 'reputation': 27, 'user_id': 12863036, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nFqFG.jpg?s=256&g=1', 'display_name': 'Amin Gholami', 'link': 'https://stackoverflow.com/users/12863036/amin-gholami'}",True,200,66543465.0,4,0,1669125174,1615209438,66530574,CC BY-SA 4.0,https://stackoverflow.com/questions/66530574/validation-password-and-show-password-are-not-working-with-value-match-in-javasc,Validation password and show password are not working with value.match in javascript and password type in HTML,1615278729.0,,,
2,"['android', 'html', 'android-jetpack-compose', 'spannable']","{'account_id': 5644717, 'reputation': 805, 'user_id': 4467245, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/794a167c4d980f3eaafa3dff8c85fda3?s=256&d=identicon&r=PG&f=1', 'display_name': 'William', 'link': 'https://stackoverflow.com/users/4467245/william'}",True,12449,,12,33,1669106461,1614956404,66494838,CC BY-SA 4.0,https://stackoverflow.com/questions/66494838/android-compose-how-to-use-html-tags-in-a-text-view,Android Compose: How to use HTML tags in a Text view,1615302495.0,,,
3,"['html', 'css', 'border']","{'account_id': 14358563, 'reputation': 173, 'user_id': 10371641, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dff72bc1275dbaf35785cfdbd2fc9060?s=256&d=identicon&r=PG&f=1', 'display_name': 'Clown', 'link': 'https://stackoverflow.com/users/10371641/clown'}",False,270,,0,1,1669041050,1615782767,66632418,CC BY-SA 4.0,https://stackoverflow.com/questions/66632418/how-can-i-collapse-border-of-only-one-row-in-table-html,How can I collapse border of only one row in table HTML,1669041050.0,,,
4,"['php', 'html', 'css']","{'account_id': 20912676, 'reputation': 19, 'user_id': 15363193, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/961a958cd142c6673897333ef1eaa948?s=256&d=identicon&r=PG&f=1', 'display_name': 'Faruk &#199;elik', 'link': 'https://stackoverflow.com/users/15363193/faruk-%c3%87elik'}",True,55,,1,-2,1668975039,1615314751,66552777,CC BY-SA 4.0,https://stackoverflow.com/questions/66552777/my-css-class-code-doesnt-works-it-should-at-be-the-bottom-but-its-now-working,"My css class code doesnt works, it should at be the bottom but it&#39;s now working",1668975039.0,,,
5,"['html', 'css', 'reactjs', 'overflow', 'chakra-ui']","{'account_id': 7929172, 'reputation': 1533, 'user_id': 6059506, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/d66a6a2103f5f4acc19e94effa7f5f4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'theprogrammer', 'link': 'https://stackoverflow.com/users/6059506/theprogrammer'}",True,1576,66524868.0,2,0,1668561631,1615165234,66523133,CC BY-SA 4.0,https://stackoverflow.com/questions/66523133/why-does-react-chakra-ui-overflow-not-work,Why does react chakra-ui overflow not work?,,,,
6,"['html', 'reactjs', 'typescript', 'internationalization', 'i18next']","{'account_id': 15186891, 'reputation': 97, 'user_id': 10958607, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f8e06d4fb27940de139c3dad0c204f6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rodrigo Fernandes', 'link': 'https://stackoverflow.com/users/10958607/rodrigo-fernandes'}",False,13125,,3,2,1668247400,1616719183,66809494,CC BY-SA 4.0,https://stackoverflow.com/questions/66809494/i18next-i18n-change-language-not-working-with-the-whole-website,i18next/i18n Change Language not working with the whole website,,,,
7,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 15348651, 'reputation': 168, 'user_id': 11073182, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tMVKh.jpg?s=256&g=1', 'display_name': 'lukew3', 'link': 'https://stackoverflow.com/users/11073182/lukew3'}",True,1428,66592696.0,1,2,1668044172,1615510109,66592646,CC BY-SA 4.0,https://stackoverflow.com/questions/66592646/is-it-possible-to-create-a-video-from-a-javascript-animation,Is it possible to create a video from a Javascript animation?,1652729305.0,,,
8,"['html', 'python-3.x', 'web-scraping', 'scrapy']","{'account_id': 13352081, 'reputation': 97, 'user_id': 9636993, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dffe9027772a95579242c91fcb3cc219?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lady_Hangaku', 'link': 'https://stackoverflow.com/users/9636993/lady-hangaku'}",True,251,66705986.0,2,0,1667918225,1615818555,66639889,CC BY-SA 4.0,https://stackoverflow.com/questions/66639889/use-scrapy-response-css-for-style-tag,Use scrapy response.css for style tag,1615973648.0,,,
9,"['javascript', 'html', 'facebook-opengraph', 'share-open-graph']","{'account_id': 18572863, 'reputation': 171, 'user_id': 13534297, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OCBdn.jpg?s=256&g=1', 'display_name': 'dvbngln', 'link': 'https://stackoverflow.com/users/13534297/dvbngln'}",True,5594,66816822.0,3,4,1667909294,1616727286,66810391,CC BY-SA 4.0,https://stackoverflow.com/questions/66810391/twitter-open-graph-image-not-showing,Twitter Open Graph image not showing,1616758224.0,,,
