,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['html', 'css', 'google-chrome', 'webkit', 'autofill']","{'account_id': 5375435, 'reputation': 1840, 'user_id': 4282529, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/dW8oZ.jpg?s=256&g=1', 'display_name': 'kdweber89', 'link': 'https://stackoverflow.com/users/4282529/kdweber89'}",False,399,0,8,1669146976,1568744297,1669146976.0,57979937,CC BY-SA 4.0,https://stackoverflow.com/questions/57979937/pre-populated-values-on-chrome-autofill-are-different-sizes-before-selection,Pre-populated values on Chrome autofill are different sizes before selection,,,,
1,"['javascript', 'html', 'css']","{'account_id': 16621960, 'reputation': 9, 'user_id': 12011992, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c80cd9604c1b20b4c7ee1acfd823bec?s=256&d=identicon&r=PG&f=1', 'display_name': 'Itsbarker23', 'link': 'https://stackoverflow.com/users/12011992/itsbarker23'}",False,693,1,0,1669055491,1567472040,1669055491.0,57763857,CC BY-SA 4.0,https://stackoverflow.com/questions/57763857/how-to-make-page-auto-scroll-when-page-expands-collapsible-content,How to make page auto scroll when page expands? (Collapsible content),,,,
2,"['javascript', 'html', 'reactjs']","{'account_id': 9196910, 'reputation': 956, 'user_id': 6835349, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b4ad5ea265345db9ef67b0ab02b0216?s=256&d=identicon&r=PG', 'display_name': 'Chintan Palan', 'link': 'https://stackoverflow.com/users/6835349/chintan-palan'}",True,293,2,0,1668997848,1569499751,,58116523,CC BY-SA 4.0,https://stackoverflow.com/questions/58116523/want-to-move-cursor-across-multiple-content-editable-divs-depending-on-keypress,Want to move cursor across multiple content editable divs depending on keypress,61266393.0,,,
3,"['html', 'servlets', 'http-request-parameters']","{'account_id': 16776767, 'reputation': 19, 'user_id': 12127870, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAIC8m2BSajD5hRz0vtOWFd-Bk0QdCD9PPJEK-gfg=k-s256', 'display_name': 'Jvoo', 'link': 'https://stackoverflow.com/users/12127870/jvoo'}",False,10336,1,0,1668409320,1569685156,1624098806.0,58147868,CC BY-SA 4.0,https://stackoverflow.com/questions/58147868/how-to-resolve-req-getparameter-returning-null-in-servlet,How to resolve req.getParameter() returning null in servlet?,,,,
4,"['html', 'image', 'google-chrome', 'lazy-loading']","{'account_id': 14286485, 'reputation': 2313, 'user_id': 10319730, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yqWpw.jpg?s=256&g=1', 'display_name': 'Andr&#233; Ramon', 'link': 'https://stackoverflow.com/users/10319730/andr%c3%a9-ramon'}",True,23682,5,25,1667945528,1567410750,1588688449.0,57753240,CC BY-SA 4.0,https://stackoverflow.com/questions/57753240/native-lazy-loading-loading-lazy-not-working-even-with-flags-enabled,Native lazy-loading (loading=lazy) not working even with flags enabled,61867237.0,,,
5,"['javascript', 'html', 'camera', 'getusermedia']","{'account_id': 8525601, 'reputation': 157, 'user_id': 6391147, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3eac8975e474b53d77319db0905ff96f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marco Bozzola', 'link': 'https://stackoverflow.com/users/6391147/marco-bozzola'}",True,7122,2,5,1667939959,1568192416,1568203134.0,57885610,CC BY-SA 4.0,https://stackoverflow.com/questions/57885610/bad-resolution-image-taken-with-getusermedia-javascript,Bad Resolution Image taken with getuserMedia() Javascript,57941818.0,,,
6,"['javascript', 'html', 'css', 'canvas', 'charts']","{'account_id': 15162087, 'reputation': 419, 'user_id': 10940818, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/lsOr7.jpg?s=256&g=1', 'display_name': 'prophet5', 'link': 'https://stackoverflow.com/users/10940818/prophet5'}",True,588,2,1,1667920882,1569735143,,58152533,CC BY-SA 4.0,https://stackoverflow.com/questions/58152533/chart-js-blurs-when-resizing,Chart.js blurs when resizing,58152828.0,,,
7,"['javascript', 'html']","{'account_id': 14985944, 'reputation': 1161, 'user_id': 10818509, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be3c36f15912146c6d0f1201f89a5d0e?s=256&d=identicon&r=PG&f=1', 'display_name': 'jedu', 'link': 'https://stackoverflow.com/users/10818509/jedu'}",False,3533,4,0,1667849695,1569468379,,58109161,CC BY-SA 4.0,https://stackoverflow.com/questions/58109161/checkvalidity-always-returns-true-for-required-field,checkvalidity always returns true for required field,,,,
8,"['html', 'accessibility', 'section508']","{'account_id': 16647403, 'reputation': 3, 'user_id': 12031361, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAgviqbArDW6E9I8G9m3Ra6JR8k_oqDoHh9A61h=k-s256', 'display_name': 'Royce Hart', 'link': 'https://stackoverflow.com/users/12031361/royce-hart'}",True,258,1,0,1667501614,1567784649,1667501614.0,57825068,CC BY-SA 4.0,https://stackoverflow.com/questions/57825068/accessible-lengthy-terms-of-service-acceptance,"Accessible, lengthy Terms of Service acceptance",57859589.0,,,
9,"['html', 'accessibility', 'wai-aria']","{'account_id': 992225, 'reputation': 395, 'user_id': 1009167, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/bac4439986b9bd22ec886e2a80c67525?s=256&d=identicon&r=PG', 'display_name': 'AshotN', 'link': 'https://stackoverflow.com/users/1009167/ashotn'}",True,248,3,2,1667419384,1568251524,1667419384.0,57898602,CC BY-SA 4.0,https://stackoverflow.com/questions/57898602/multiple-images-of-same-product-accessibility-requirements,"Multiple images of same product, accessibility requirements",57901256.0,,,
