,tags,owner,is_answered,view_count,bounty_amount,bounty_closes_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,locked_date
0,"['javascript', 'html', 'iframe', 'mobile', 'blob']","{'account_id': 16796604, 'reputation': 119, 'user_id': 12142947, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/798367fdc755e704e63d537815af268f?s=256&d=identicon&r=PG', 'display_name': 'Geo Daz', 'link': 'https://stackoverflow.com/users/12142947/geo-daz'}",True,775,50.0,1669286225.0,74506543.0,1,2,1669200126,1651828982,1669200126.0,72139112,CC BY-SA 4.0,https://stackoverflow.com/questions/72139112/html-set-a-blob-pdf-url-in-an-iframe-doesnt-work-on-mobile,HTML set a blob (PDF) url in an iframe doesn&#39;t work on mobile,,,,,
1,"['javascript', 'html', 'jquery', 'django', 'rating-system']","{'account_id': 22292683, 'reputation': 29, 'user_id': 16519230, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjLpyFxiOVKlziX1LclcKZ4YR5EbtzffVch2KckLA=k-s256', 'display_name': 'Darwin Qui&#241;ones', 'link': 'https://stackoverflow.com/users/16519230/darwin-qui%c3%b1ones'}",True,740,,,72282328.0,2,-1,1669175984,1652836201,,72282228,CC BY-SA 4.0,https://stackoverflow.com/questions/72282228/how-can-i-show-a-star-rating-based-on-the-average,How can I show a star rating based on the average?,,,,,
2,"['html', 'reactjs', 'framer-motion']","{'account_id': 22286006, 'reputation': 137, 'user_id': 16513652, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1f181787168b860576c43cbf7af47c9?s=256&d=identicon&r=PG&f=1', 'display_name': 'frankieseattle', 'link': 'https://stackoverflow.com/users/16513652/frankieseattle'}",False,258,,,,1,0,1669155972,1653284445,,72343691,CC BY-SA 4.0,https://stackoverflow.com/questions/72343691/framer-motion-marquee-skipping-before-animation-ends,Framer motion marquee skipping before animation ends,,,,,
3,"['javascript', 'html', 'css']","{'account_id': 25312194, 'reputation': 11, 'user_id': 19134791, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d50516e78261d0c20b7347b42224690?s=256&d=identicon&r=PG', 'display_name': 'Monem', 'link': 'https://stackoverflow.com/users/19134791/monem'}",False,449,,,,1,1,1669050591,1652781111,,72271801,CC BY-SA 4.0,https://stackoverflow.com/questions/72271801/writing-mode-vertical-rl-not-working-on-print,writing-mode: vertical-rl; Not Working on print,,,,,
4,"['html', 'visual-studio-code']","{'account_id': 8289203, 'reputation': 1, 'user_id': 6231425, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef61024e9f09b26f04db1b4de2194d77?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vectoras', 'link': 'https://stackoverflow.com/users/6231425/vectoras'}",False,59,,,,0,-1,1668944027,1653382608,1668944027.0,72359983,CC BY-SA 4.0,https://stackoverflow.com/questions/72359983/html-breaks-collapsing-in-vscode,&lt;&lt;&lt;HTML breaks collapsing in VSCode,,,,,
5,"['html', 'hugo', 'docsy']","{'account_id': 12832182, 'reputation': 393, 'user_id': 9282988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9571ef44272d8960b63113d551a8d31a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Francis', 'link': 'https://stackoverflow.com/users/9282988/francis'}",False,250,,,,1,1,1668907193,1653980629,1654006403.0,72443471,CC BY-SA 4.0,https://stackoverflow.com/questions/72443471/hugo-site-deployed-to-public-directory-in-html-gives-weird-results,"Hugo site, deployed to public/ directory in html, gives weird results",,,,,
6,"['html', 'css', 'vue.js', 'vuejs3', 'vuestic']","{'account_id': 11817668, 'reputation': 1944, 'user_id': 8647537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a9ae55b74fcdc9f500fd57115d60ccd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Taha Malik', 'link': 'https://stackoverflow.com/users/8647537/taha-malik'}",True,46,,,74501964.0,1,0,1668877468,1653278662,,72343158,CC BY-SA 4.0,https://stackoverflow.com/questions/72343158/vuestic-vuejs-hide-element-on-small-devices,Vuestic VueJs hide element on small devices,,,,,
7,"['javascript', 'python', 'html', 'css', 'django']","{'account_id': 18299067, 'reputation': 385, 'user_id': 13324349, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7E3f5.png?s=256&g=1', 'display_name': 'Brian Barry', 'link': 'https://stackoverflow.com/users/13324349/brian-barry'}",True,119,,,,1,0,1668693195,1652925959,1652982498.0,72297872,CC BY-SA 4.0,https://stackoverflow.com/questions/72297872/highlight-js-not-working-on-djangodash-website,highlight.js not working on django+dash website,,,,,
8,"['javascript', 'html', 'forms', 'email', 'smtp']","{'account_id': 25177319, 'reputation': 55, 'user_id': 19019306, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiNFsfh_5K89J61uHvety2W8Q7Y2oqYUaWoSALJ=k-s256', 'display_name': 'Ethan', 'link': 'https://stackoverflow.com/users/19019306/ethan'}",True,2165,,,,3,-1,1668606406,1651529045,,72092854,CC BY-SA 4.0,https://stackoverflow.com/questions/72092854/how-to-fix-mailbox-name-not-allowed-the-server-response-was-envelope-from-e,How to fix: &quot;Mailbox name not allowed. The server response was: Envelope FROM &#39;example@example.com&#39; email address not allowed.&quot;,,,,,
9,"['html', 'reactjs', 'microsoft-graph-api']","{'account_id': 2834014, 'reputation': 1206, 'user_id': 2434978, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/d4iVT.jpg?s=256&g=1', 'display_name': 'nbi', 'link': 'https://stackoverflow.com/users/2434978/nbi'}",False,271,,,,2,0,1668594784,1652151595,,72180275,CC BY-SA 4.0,https://stackoverflow.com/questions/72180275/how-to-display-when-response-is-content-type-image-jpeg,How to display when response is Content-Type: image/jpeg,,,,,
10,"['python', 'html', 'import', 'package', 'pyscript']","{'account_id': 24808468, 'reputation': 47, 'user_id': 18690197, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjOHvvbHiFvhS6NQ16tKG7o6d_zKKBgeRXZ68i76Q=k-s256', 'display_name': 'RinUnderscore', 'link': 'https://stackoverflow.com/users/18690197/rinunderscore'}",True,7127,,,72120030.0,1,1,1668453520,1651699849,,72119683,CC BY-SA 4.0,https://stackoverflow.com/questions/72119683/import-modules-to-pyscript,Import Modules to Pyscript,,,,,
11,"['html', 'css', 'image', 'flexbox']","{'account_id': 19959670, 'reputation': 56, 'user_id': 14627571, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Jl9Cz.png?s=256&g=1', 'display_name': 'TheProgrammerEthan', 'link': 'https://stackoverflow.com/users/14627571/theprogrammerethan'}",False,41,,,,2,0,1668438866,1652476985,1668438866.0,72235554,CC BY-SA 4.0,https://stackoverflow.com/questions/72235554/how-can-i-make-text-and-image-be-on-the-same-height-alignment,How can I make text and image be on the same height alignment?,,,,,
