,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['html', 'pdf', 'google-drive-api', 'export-to-pdf']","{'account_id': 331620, 'reputation': 10445, 'user_id': 656408, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/71bddd14b9c0fcfa50330450485abbde?s=256&d=identicon&r=PG', 'display_name': 'proppy', 'link': 'https://stackoverflow.com/users/656408/proppy'}",True,10882,12843989.0,2,10,1669432914,1349971661,1669432914.0,12843913,CC BY-SA 4.0,https://stackoverflow.com/questions/12843913/html2pdf-using-google-drive-api,HTML2PDF using Google Drive API,,,,,
1,"['c#', 'html']","{'account_id': 367117, 'reputation': 101, 'user_id': 713092, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/33268dfed8b8c1a27e08ecfa02c9fe1f?s=256&d=identicon&r=PG', 'display_name': 'Dev', 'link': 'https://stackoverflow.com/users/713092/dev'}",False,2591,,3,3,1669357474,1351693613,1351693928.0,13160191,CC BY-SA 3.0,https://stackoverflow.com/questions/13160191/how-to-convert-the-asp-net-pages-as-pdf-and-download-the-samevalues-are-not-sta,How to convert the ASP.NET pages as PDF and download the same(values are not static),,,,,
2,"['javascript', 'css', 'html']","{'account_id': 454793, 'reputation': 711, 'user_id': 852602, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a41a46a4730a75900f0c31cadbdf37f3?s=256&d=identicon&r=PG', 'display_name': 'Akhil Paul', 'link': 'https://stackoverflow.com/users/852602/akhil-paul'}",True,6142,12790911.0,1,11,1669258719,1349737093,1349739208.0,12790645,CC BY-SA 3.0,https://stackoverflow.com/questions/12790645/how-to-scroll-a-background-image-together-with-text-in-textarea,How to scroll a background image together with text in textarea?,,,,,
3,"['javascript', 'html', 'printing']","{'account_id': 923741, 'reputation': 4805, 'user_id': 954930, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/1pEmC.png?s=256&g=1', 'display_name': 'Gregor Menih', 'link': 'https://stackoverflow.com/users/954930/gregor-menih'}",True,170805,12997207.0,18,86,1669205030,1350816268,,12997123,CC BY-SA 3.0,https://stackoverflow.com/questions/12997123/print-specific-part-of-webpage,Print specific part of webpage,,,,,
4,"['javascript', 'html', 'unicode']","{'account_id': 1205526, 'reputation': 12929, 'user_id': 1175276, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/e9f53d24beea7056b25f37491c094253?s=256&d=identicon&r=PG', 'display_name': 'Bluefire', 'link': 'https://stackoverflow.com/users/1175276/bluefire'}",True,198199,13093138.0,6,184,1668121814,1351279365,1351279499.0,13093126,CC BY-SA 3.0,https://stackoverflow.com/questions/13093126/insert-unicode-character-into-javascript,Insert Unicode character into JavaScript,,,,,
5,"['html', 'css', 'multiple-columns']","{'account_id': 1983979, 'reputation': 5964, 'user_id': 1779823, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/db49e95d75a7eca2d152689fa742b593?s=256&d=identicon&r=PG', 'display_name': 'Baumr', 'link': 'https://stackoverflow.com/users/1779823/baumr'}",True,1180,13106212.0,5,1,1667268716,1351394486,1351395231.0,13106121,CC BY-SA 3.0,https://stackoverflow.com/questions/13106121/simple-3-column-fluid-layout-but-center-column-empty-with-fixed-width,"Simple 3-column fluid layout, but center column empty with fixed-width?",,,,,
6,"['html', 'css']","{'account_id': 1367674, 'reputation': 2587, 'user_id': 1303771, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ed4c3a2b1773d5995451930d35afb81b?s=256&d=identicon&r=PG', 'display_name': 'Chanckjh', 'link': 'https://stackoverflow.com/users/1303771/chanckjh'}",True,11936,12912848.0,4,3,1667047809,1350383182,1350383336.0,12912604,CC BY-SA 3.0,https://stackoverflow.com/questions/12912604/make-one-divs-height-match-anothers,Make one &lt;div&gt;&#39;s height match another&#39;s,,,,,
7,"['php', 'javascript', 'html']","{'account_id': 1712194, 'reputation': 494, 'user_id': 1569995, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/cad06ff01cfe9f46dbd43e58caa35896?s=256&d=identicon&r=PG', 'display_name': 'Will Sampson', 'link': 'https://stackoverflow.com/users/1569995/will-sampson'}",True,2913,12700245.0,5,3,1667033470,1349222626,1349290906.0,12700171,CC BY-SA 3.0,https://stackoverflow.com/questions/12700171/view-actual-html-source-of-javascript-generated-html-page,view actual html source of javascript generated html page,,,,,
8,"['php', 'html', 'pdf', 'wkhtmltopdf']","{'account_id': 1939123, 'reputation': 768, 'user_id': 1745753, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c52a9a554186160889fed30f8b6f0637?s=256&d=identicon&r=PG', 'display_name': 'sacohe', 'link': 'https://stackoverflow.com/users/1745753/sacohe'}",True,10215,13466231.0,2,16,1666876557,1350689499,,12983785,CC BY-SA 3.0,https://stackoverflow.com/questions/12983785/mixing-page-orientations-in-wkhtmltopdf,Mixing page orientations in wkhtmltopdf,,,,,
9,['html'],"{'account_id': 269332, 'reputation': 2207, 'user_id': 558615, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/a95180668c531037af5d3e02db5780c0?s=256&d=identicon&r=PG', 'display_name': 'Joshua Sortino', 'link': 'https://stackoverflow.com/users/558615/joshua-sortino'}",True,86476,,7,70,1666841065,1350679817,,12982269,CC BY-SA 3.0,https://stackoverflow.com/questions/12982269/is-it-semantically-incorrect-to-put-a-div-or-span-inside-of-a-button,Is it semantically incorrect to put a &lt;div&gt; or &lt;span&gt; inside of a &lt;button&gt;?,,,,,
10,"['html', 'css', 'background']","{'account_id': 1678494, 'reputation': 5299, 'user_id': 1543403, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/03b64d1cfaeabf5734292079675ee05c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shrey Gupta', 'link': 'https://stackoverflow.com/users/1543403/shrey-gupta'}",True,10753,12753945.0,8,29,1666716976,1349470517,,12753900,CC BY-SA 3.0,https://stackoverflow.com/questions/12753900/is-there-any-difference-between-background-clip-and-background-origin,Is there any difference between background-clip and background-origin?,,,,,
11,"['html', 'css', 'position']","{'account_id': 1387439, 'reputation': 393, 'user_id': 1319140, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/a515f48b592e171e5b6f1e73709a5658?s=256&d=identicon&r=PG', 'display_name': 'Mohammer', 'link': 'https://stackoverflow.com/users/1319140/mohammer'}",False,2160,,4,0,1666510212,1351169372,1351172276.0,13068997,CC BY-SA 3.0,https://stackoverflow.com/questions/13068997/position-text-at-bottom-but-letting-it-stay-in-document-flow,"Position text at bottom, but letting it stay in document flow",,,,,
12,"['html', 'css', 'dynamic-columns']","{'account_id': 1249315, 'reputation': 155, 'user_id': 1210074, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/063ea811382501271576a405ef4cae84?s=256&d=identicon&r=PG', 'display_name': 'chazthetic', 'link': 'https://stackoverflow.com/users/1210074/chazthetic'}",False,440,,1,1,1666384718,1349808326,1666384718.0,12806418,CC BY-SA 4.0,https://stackoverflow.com/questions/12806418/making-a-3-column-grid-with-flexible-middle,Making a 3-column grid with flexible middle,,,,,
13,"['html', 'css', 'html-select', 'background-color']","{'account_id': 1176017, 'reputation': 19237, 'user_id': 1152045, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/xuvtX.png?s=256&g=1', 'display_name': 'ngplayground', 'link': 'https://stackoverflow.com/users/1152045/ngplayground'}",True,759353,12836286.0,9,154,1666129117,1349947093,1637586050.0,12836227,CC BY-SA 4.0,https://stackoverflow.com/questions/12836227/change-select-box-option-background-color,Change select box option background color,1535133421.0,,,,
