,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,protected_date,migrated_from
0,"['php', 'html']","{'account_id': 17630834, 'reputation': 65, 'user_id': 12794946, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27e44c21ec00b3a4930727b4204be4a7?s=256&d=identicon&r=PG&f=1', 'display_name': 'InsertIntoHTL', 'link': 'https://stackoverflow.com/users/12794946/insertintohtl'}",True,100,61320751.0,2,-2,1669146950,1587377619,61319996,CC BY-SA 4.0,https://stackoverflow.com/questions/61319996/is-there-a-way-to-compress-html-output-created-via-php,Is there a way to compress html output created via php?,,,,,
1,"['javascript', 'html', 'security', 'web', 'copy-protection']","{'account_id': 2086791, 'reputation': 316, 'user_id': 1857583, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/7aeVW.jpg?s=256&g=1', 'display_name': 'renatoaraujoc', 'link': 'https://stackoverflow.com/users/1857583/renatoaraujoc'}",True,246,,3,-1,1669073214,1587008551,61242314,,https://stackoverflow.com/questions/61242314/best-way-to-protect-sensitive-information-copying-in-html,Best way to protect sensitive information copying in HTML?,1669074498.0,1613385658.0,Opinion-based,,
2,"['html', 'jquery', 'css', 'twitter-bootstrap']","{'account_id': 9488230, 'reputation': 67, 'user_id': 7065693, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1240343079349083/picture?type=large', 'display_name': 'Nikita Kornienko', 'link': 'https://stackoverflow.com/users/7065693/nikita-kornienko'}",False,410,,1,0,1669047494,1585723042,60964932,CC BY-SA 4.0,https://stackoverflow.com/questions/60964932/how-to-turn-a-list-into-collapsible-list-using-bootstrap,"How to turn a list into collapsible list, using bootstrap",,1669047494.0,,,
3,"['javascript', 'html', 'css']","{'account_id': 8245480, 'reputation': 19, 'user_id': 6201709, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7oaiX.jpg?s=256&g=1', 'display_name': 'Phil', 'link': 'https://stackoverflow.com/users/6201709/phil'}",True,2194,61218186.0,2,1,1669040162,1586897315,61216973,CC BY-SA 4.0,https://stackoverflow.com/questions/61216973/how-to-close-collapsible-div-when-opening-new-one,How to close collapsible div when opening new one,,1669038959.0,,,
4,"['html', 'html5-canvas', 'html5-video']","{'account_id': 3444311, 'reputation': 404, 'user_id': 2885471, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/515084793/picture?type=large', 'display_name': 'Ben Close', 'link': 'https://stackoverflow.com/users/2885471/ben-close'}",True,567,61495379.0,2,1,1669000708,1588070171,61478157,CC BY-SA 4.0,https://stackoverflow.com/questions/61478157/how-do-you-play-a-canvas-in-a-video-element,How do you play a canvas in a video element?,,1669000708.0,,,
5,"['javascript', 'html', 'ios', 'safari']","{'account_id': 18392528, 'reputation': 21, 'user_id': 13397869, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ff43d9313c823e851be0b27995ec1d1c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Small Ants', 'link': 'https://stackoverflow.com/users/13397869/small-ants'}",False,217,,0,2,1668979012,1587724637,61406413,CC BY-SA 4.0,https://stackoverflow.com/questions/61406413/i-use-onclick-function-to-simulate-click-color-picker-but-it-doesnt-work-wi,"I use &quot;onclick&quot; function to simulate click color picker but it doesn&#39;t work . Windows and android are work well , only ios doesn&#39;t work",,,,,
6,"['html', 'css', 'outlook']","{'account_id': 15291625, 'reputation': 3, 'user_id': 11032961, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/513c246f605dcbfdaec40912d3c66287?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marcel', 'link': 'https://stackoverflow.com/users/11032961/marcel'}",True,304,,2,0,1668682138,1587723405,61406064,CC BY-SA 4.0,https://stackoverflow.com/questions/61406064/outlook-live-image-wrapped-in-p-with-spacing,Outlook live image wrapped in p with spacing,,,,,
7,"['html', 'css', 'twitter-bootstrap', 'bootstrap-4']","{'account_id': 16324487, 'reputation': 74, 'user_id': 11789390, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-UtCE3_SblRw/AAAAAAAAAAI/AAAAAAAAACs/V5O1Vzg5GIg/photo.jpg?sz=256', 'display_name': 'Cam Gottschall', 'link': 'https://stackoverflow.com/users/11789390/cam-gottschall'}",True,4838,61175130.0,6,1,1668663031,1586710442,61174994,CC BY-SA 4.0,https://stackoverflow.com/questions/61174994/bootstrap-justify-content-end-not-working-as-expected,Bootstrap justify-content-end not working as expected,,1586728313.0,,,
8,"['html', 'css', 'css-grid', 'centering']","{'account_id': 18285559, 'reputation': 41, 'user_id': 13429469, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-auFsov8FZgs/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMyMgRq5GtC4GAAfVU8SZRmRNQ4bQ/photo.jpg?sz=256', 'display_name': 'Adolin', 'link': 'https://stackoverflow.com/users/13429469/adolin'}",True,3236,,3,4,1668626590,1588122883,61492613,CC BY-SA 4.0,https://stackoverflow.com/questions/61492613/centering-in-css-grid-with-a-fixed-width-column,Centering in CSS grid with a fixed width column,,1588127030.0,,,
9,"['html', 'css']","{'account_id': 17437316, 'reputation': 746, 'user_id': 12640056, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2756755597697014/picture?type=large', 'display_name': 'Jon Nicholson', 'link': 'https://stackoverflow.com/users/12640056/jon-nicholson'}",True,3287,61353584.0,1,3,1668433508,1587503438,61353311,CC BY-SA 4.0,https://stackoverflow.com/questions/61353311/adding-background-blur-via-css-behind-pop-up-modal,Adding background blur via CSS behind pop-up modal,,1668433508.0,,,
