,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
0,"['php', 'html']","{'account_id': 17292249, 'reputation': 51, 'user_id': 12523603, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/362db4b260e39ad3a561fd18399fedc1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alexander', 'link': 'https://stackoverflow.com/users/12523603/alexander'}",True,161,2,1,1669103894,1592829569,1592898860.0,62514657,CC BY-SA 4.0,https://stackoverflow.com/questions/62514657/how-to-make-table-of-months-from-date-to-date,How to make table of months from date to date?,,,
1,"['html', 'flutter', 'dart']","{'account_id': 315939, 'reputation': 5182, 'user_id': 631843, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/vI7Mk.jpg?s=256&g=1', 'display_name': 'FetFrumos', 'link': 'https://stackoverflow.com/users/631843/fetfrumos'}",False,315,1,0,1669090711,1593013778,1669090711.0,62559048,CC BY-SA 4.0,https://stackoverflow.com/questions/62559048/flutter-how-show-local-html-file-in-webview,Flutter: How show local html file in webview?,,,
2,"['javascript', 'html', 'vue.js', 'mvvm', 'vuejs2']","{'account_id': 17285128, 'reputation': 133, 'user_id': 12517900, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCFrSPDTVT_CaYXU73jY6nTiqQ7qJ3O1tuBphXK=k-s256', 'display_name': 'SkydersZ', 'link': 'https://stackoverflow.com/users/12517900/skydersz'}",True,8480,3,4,1668790215,1591686569,1591694634.0,62276944,CC BY-SA 4.0,https://stackoverflow.com/questions/62276944/how-databind-a-textarea-component-text-value-and-update-it,How databind a textarea component text value and update it?,62277679.0,,
3,"['html', 'css', 'google-chrome']","{'account_id': 1334240, 'reputation': 1994, 'user_id': 1277378, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ef7bfdf964ec29bc456ddb8485108ba?s=256&d=identicon&r=PG', 'display_name': 'peteredhead', 'link': 'https://stackoverflow.com/users/1277378/peteredhead'}",True,63313,8,59,1668769309,1591138447,,62162645,CC BY-SA 4.0,https://stackoverflow.com/questions/62162645/change-color-of-chromes-calendar-icon-in-html-date-input,Change color of Chrome&#39;s calendar icon in HTML Date Input,62162805.0,,
4,"['android', 'html', 'css', 'vue.js']","{'account_id': 18914239, 'reputation': 1, 'user_id': 13799646, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg3dckP8trvQ3yyKCHjiJ9ctQrzDcm_wgJ2LlT6=k-s256', 'display_name': 'Mahdi Jafari', 'link': 'https://stackoverflow.com/users/13799646/mahdi-jafari'}",False,641,1,0,1668745821,1592923261,,62537392,CC BY-SA 4.0,https://stackoverflow.com/questions/62537392/how-to-prevent-android-keyboard-from-pushing-html-layout-up-like-ios-in-vue,How to prevent android keyboard from pushing html layout up like ios in vue?,,,
5,"['html', 'python-3.x', 'regex', 'web-scraping', 'beautifulsoup']","{'account_id': 18858445, 'reputation': 63, 'user_id': 13755864, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cec121c85ceeae70f8d67a5d0bf37ee2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Forscher', 'link': 'https://stackoverflow.com/users/13755864/forscher'}",True,707,2,4,1668696753,1592400665,1592407419.0,62430243,CC BY-SA 4.0,https://stackoverflow.com/questions/62430243/web-scraping-risk-factors-from-10-k-edgar,Web Scraping Risk Factors from 10-K EDGAR,,,
6,"['html', 'label', 'webstorm']","{'account_id': 7582429, 'reputation': 4377, 'user_id': 5752730, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ac1BW.jpg?s=256&g=1', 'display_name': 'DV82XL', 'link': 'https://stackoverflow.com/users/5752730/dv82xl'}",True,1346,2,2,1668670773,1593059118,1637728995.0,62567860,CC BY-SA 4.0,https://stackoverflow.com/questions/62567860/why-should-html-elements-input-textarea-and-select-have-associated-labels,"Why should HTML elements (input, textarea, and select) have associated labels?",62569005.0,,
7,"['javascript', 'html', 'reactjs', 'bootstrap-4', 'adminlte']","{'account_id': 18161445, 'reputation': 73, 'user_id': 13212764, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/306b352cb0418c3a152a66091becc9cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'MantzarisVas', 'link': 'https://stackoverflow.com/users/13212764/mantzarisvas'}",True,1927,2,0,1668333422,1591093006,,62149738,CC BY-SA 4.0,https://stackoverflow.com/questions/62149738/react-problem-with-adminlte3-sidebar-treeview,React problem with AdminLTE3 sidebar treeview,,,
8,"['html', 'css', 'position']","{'account_id': 18778705, 'reputation': 103, 'user_id': 13693859, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1e8d2edfd2346e1be97b2ccbf80e126?s=256&d=identicon&r=PG&f=1', 'display_name': 'sajgkh', 'link': 'https://stackoverflow.com/users/13693859/sajgkh'}",True,185,3,0,1668025914,1592451321,1668025914.0,62441904,CC BY-SA 4.0,https://stackoverflow.com/questions/62441904/image-overlapping-a-div,Image overlapping a div,62442201.0,,
9,"['javascript', 'html', 'jquery', 'bootstrap-4']","{'account_id': 9904498, 'reputation': 3463, 'user_id': 7333403, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/M0p3C.jpg?s=256&g=1', 'display_name': 'Rohit Verma', 'link': 'https://stackoverflow.com/users/7333403/rohit-verma'}",True,3533,1,-1,1667649488,1591781332,1604092246.0,62300204,CC BY-SA 4.0,https://stackoverflow.com/questions/62300204/why-data-html-true-is-not-working-with-tooltip,why data-html=&quot;true&quot; is not working with tooltip?,,,
