,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,community_owned_date,migrated_from,locked_date
0,"['c', 'linux', 'mmap']","{'account_id': 5933093, 'reputation': 624, 'user_id': 4666991, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hFSp9.jpg?s=256&g=1', 'display_name': 'matz', 'link': 'https://stackoverflow.com/users/4666991/matz'}",True,563,74506470.0,1,1,1668931051,1571909542,58538384,CC BY-SA 4.0,https://stackoverflow.com/questions/58538384/using-map-populate-for-writing-to-file,Using MAP_POPULATE for writing to file,,,,,,,
1,"['python', 'c', 'ctypes']","{'account_id': 15730516, 'reputation': 85, 'user_id': 11350975, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/knCJJ.jpg?s=256&g=1', 'display_name': 'trueDGP', 'link': 'https://stackoverflow.com/users/11350975/truedgp'}",True,3970,58611011.0,1,6,1665581995,1572362153,58610333,CC BY-SA 4.0,https://stackoverflow.com/questions/58610333/c-function-called-from-python-via-ctypes-returns-incorrect-value,C function called from Python via ctypes returns incorrect value,1574214431.0,,,,,,
2,"['c', 'gtk', 'gtk3']","{'account_id': 2155553, 'reputation': 1112, 'user_id': 1910890, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/9871372bb6d3926c1a7d79add5dad507?s=256&d=identicon&r=PG', 'display_name': 'headbanger', 'link': 'https://stackoverflow.com/users/1910890/headbanger'}",True,828,58593945.0,2,0,1665508608,1572263475,58590453,CC BY-SA 4.0,https://stackoverflow.com/questions/58590453/how-do-i-set-up-a-gtk-gpointer-to-a-struct,How do I set up a Gtk gpointer to a struct?,1572266719.0,,,,,,
3,"['c', 'assembly', 'binary-bomb']","{'account_id': 16888757, 'reputation': 3, 'user_id': 12212903, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e01ebec87f84216f029fbbc47d3ed5fa?s=256&d=identicon&r=PG&f=1', 'display_name': 'devcode', 'link': 'https://stackoverflow.com/users/12212903/devcode'}",True,97,58373365.0,1,-1,1664715934,1571038270,58371981,,https://stackoverflow.com/questions/58371981/binary-bomb-stage-2-arithmetic,Binary Bomb Stage 2 Arithmetic,1664715934.0,1571059290.0,Needs details or clarity,,,,
4,"['c', 'scanf']","{'account_id': 14952682, 'reputation': 14781, 'user_id': 10795151, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Eazk7.png?s=256&g=1', 'display_name': 'S.S. Anne', 'link': 'https://stackoverflow.com/users/10795151/s-s-anne'}",True,24066,,9,146,1664590152,1571179756,58403537,CC BY-SA 4.0,https://stackoverflow.com/questions/58403537/what-can-i-use-for-input-conversion-instead-of-scanf,What can I use for input conversion instead of scanf?,1571245587.0,,,,,,
5,"['c', 'integer', 'command']","{'account_id': 16831229, 'reputation': 28, 'user_id': 12169161, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBX9rRQ63VGI41z0nkRiOat7s2Wom_b2YhLl1S4GJg=k-s256', 'display_name': 'MattSales', 'link': 'https://stackoverflow.com/users/12169161/mattsales'}",True,14211,58259970.0,5,0,1663505562,1570383978,58259818,CC BY-SA 4.0,https://stackoverflow.com/questions/58259818/how-to-write-integers-with-write-function-in-c,How to write integers with write() function in C?,1570386033.0,,,,,,
6,"['c', 'printf', 'scanf', 'c-strings']","{'account_id': 16458207, 'reputation': 341, 'user_id': 11889907, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5615372ff92bc033f4876d823d6a5613?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shallon Kobusinge', 'link': 'https://stackoverflow.com/users/11889907/shallon-kobusinge'}",True,64,58216752.0,1,1,1662111351,1570096700,58216687,CC BY-SA 4.0,https://stackoverflow.com/questions/58216687/calling-sprintf-function,Calling sprintf function,1662111351.0,,,,,,
7,['c'],"{'account_id': 16126714, 'reputation': 2097, 'user_id': 11641316, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3afe6fa33790d03a1816aaa79ed787d3?s=256&d=identicon&r=PG&f=1', 'display_name': 'user010517720', 'link': 'https://stackoverflow.com/users/11641316/user010517720'}",True,30899,58225192.0,9,222,1661093118,1570126002,58224638,CC BY-SA 4.0,https://stackoverflow.com/questions/58224638/do-i-need-to-explicitly-handle-negative-numbers-or-zero-when-summing-squared-dig,Do I need to explicitly handle negative numbers or zero when summing squared digits?,1571845442.0,,,1570386466.0,,,
8,"['c', 'file', 'binary']","{'account_id': 16861656, 'reputation': 21, 'user_id': 12192299, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0efb63634140337169d008d3f9f60498?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sachin Nair', 'link': 'https://stackoverflow.com/users/12192299/sachin-nair'}",True,89,,2,0,1659716697,1570674054,58314562,CC BY-SA 4.0,https://stackoverflow.com/questions/58314562/is-there-any-way-to-write-individual-1s-and-0s-to-a-bin-file-in-c,Is there any way to write individual 1&#39;s and 0&#39;s to a .bin file in C?,1659714476.0,,,,,,
9,"['c', 'gcc']","{'account_id': 1239155, 'reputation': 7772, 'user_id': 1202172, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/8587094fc4666bee5d5852f163e6f86b?s=256&d=identicon&r=PG', 'display_name': 'Danijel', 'link': 'https://stackoverflow.com/users/1202172/danijel'}",True,1050,58324179.0,3,0,1659476571,1570714138,58324123,CC BY-SA 4.0,https://stackoverflow.com/questions/58324123/what-are-the-int64-t-range-limits-on-x86,What are the int64_t range limits on x86?,1570714653.0,,,,,,
