,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,locked_date
0,"['c', 'segmentation-fault', 'cs50']","{'account_id': 24870523, 'reputation': 1, 'user_id': 18745085, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxh3iB_L4av42gtdC_Y-zgfsmbJJ__STFAkrI-1=k-s256', 'display_name': 'Okonjo Mitchel', 'link': 'https://stackoverflow.com/users/18745085/okonjo-mitchel'}",False,1426,3,0,1668765084,1654250149,1654250696.0,72487891,CC BY-SA 4.0,https://stackoverflow.com/questions/72487891/cs50-inheritance-lab5,CS50 inheritance lab5,,,,
1,"['arrays', 'c', 'pointers', 'txt']","{'account_id': 13065935, 'reputation': 47, 'user_id': 12408598, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PN1wA.jpg?s=256&g=1', 'display_name': 'Dean Debrio', 'link': 'https://stackoverflow.com/users/12408598/dean-debrio'}",True,64,1,-1,1668681685,1654573619,1668681685.0,72525698,CC BY-SA 4.0,https://stackoverflow.com/questions/72525698/correct-way-to-limit-document-read-in-c-without-feof-document-error-cannot-rea,"Correct way to limit document read in C without !feof, document error cannot read the .txt",72531750.0,,,
2,"['c', 'timer', 'output', 'mplab-x']","{'account_id': 18406694, 'reputation': 37, 'user_id': 13408244, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/784b82efd0b2e680080deeddb864346e?s=256&d=identicon&r=PG&f=1', 'display_name': 'cparu', 'link': 'https://stackoverflow.com/users/13408244/cparu'}",False,72,1,1,1668368391,1655296645,1655296834.0,72631547,CC BY-SA 4.0,https://stackoverflow.com/questions/72631547/is-there-a-way-to-wait-for-something-without-interrupt-the-execution-of-other-co,is there a way to wait for something without interrupt the execution of other code?,,,,
3,"['c', 'elliptic-curve', 'mbedtls']","{'account_id': 25438465, 'reputation': 1, 'user_id': 19241834, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyUCP7auSSA2BiQDHQ73rOwMjO2k7Rcy6jHnad-=k-s256', 'display_name': 'Rohit Khera', 'link': 'https://stackoverflow.com/users/19241834/rohit-khera'}",True,72,1,0,1667825009,1654013798,1654015737.0,72451134,CC BY-SA 4.0,https://stackoverflow.com/questions/72451134/api-for-setting-ecc-key-mbedtls,API for setting ECC Key mbedTLS,,,,
4,"['c', 'ubuntu', 'makefile', 'glibc']","{'account_id': 24049647, 'reputation': 11, 'user_id': 18028285, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4473ce8e78fcd4a1666c206c9855290?s=256&d=identicon&r=PG', 'display_name': 'Ellariz', 'link': 'https://stackoverflow.com/users/18028285/ellariz'}",True,350,3,1,1667598240,1654273340,,72492507,CC BY-SA 4.0,https://stackoverflow.com/questions/72492507/how-to-link-strlcpy-in-makefile-in-c-undefined-reference-to-strlcpy,How to link strlcpy in makefile in c- undefined reference to `strlcpy&#39;,,,,
5,"['c', 'assembly', 'multidimensional-array', 'x86-64', 'reverse-engineering']","{'account_id': 24926574, 'reputation': 3, 'user_id': 18794247, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/442f53957d859389575a2212f11facd1?s=256&d=identicon&r=PG', 'display_name': 'chadsqlcoder', 'link': 'https://stackoverflow.com/users/18794247/chadsqlcoder'}",True,76,1,0,1667589994,1654115116,1667589994.0,72467662,CC BY-SA 4.0,https://stackoverflow.com/questions/72467662/nested-arrays-in-assembly-reach-desired-index,"Nested Arrays in Assembly, reach desired index",,,,
6,['c'],"{'account_id': 23548266, 'reputation': 41, 'user_id': 17591371, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzx0ZswH3ZGTrozK3aYfL6I1G_6tcD5uDkvz7ut=k-s256', 'display_name': 'sylphes', 'link': 'https://stackoverflow.com/users/17591371/sylphes'}",True,84,2,2,1667586560,1654287900,1654291500.0,72494840,CC BY-SA 4.0,https://stackoverflow.com/questions/72494840/c-language-is-there-a-function-like-isdigit-but-can-verify-whether-char-conta,C language- is there a function like isdigit() but can verify whether char contains double?,,,,
7,"['c', 'esp32', 'modbus', 'rs485', 'esp-idf']","{'account_id': 22563493, 'reputation': 93, 'user_id': 16750834, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2e5f400c0c293667a91b990121c34c38?s=256&d=identicon&r=PG&f=1', 'display_name': 'user16750834', 'link': 'https://stackoverflow.com/users/16750834/user16750834'}",False,382,0,0,1666873901,1654336536,,72498793,CC BY-SA 4.0,https://stackoverflow.com/questions/72498793/can-i-connect-directly-esp32-modbus-output-from-uart-pins-to-ttl-usb-converter,Can I connect directly ESP32 Modbus output from UART pins to TTL-USB converter?,,,,
8,"['c', 'memory-management', 'memory-leaks']","{'account_id': 23684756, 'reputation': 13, 'user_id': 17709860, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy5Yg4YovM6lEFkSF9ZlnvBq-lb7t_41CrCtqmO=k-s256', 'display_name': 'AMara', 'link': 'https://stackoverflow.com/users/17709860/amara'}",True,152,1,0,1666703190,1654802419,,72565582,CC BY-SA 4.0,https://stackoverflow.com/questions/72565582/installing-memory-sanitizer-and-leak-sanitizer-into-clang-compiler,Installing Memory Sanitizer and Leak Sanitizer into clang compiler,,,,
9,"['c++', 'c', 'gcc', 'openmp', 'apple-m1']","{'account_id': 22178568, 'reputation': 224, 'user_id': 16422658, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d942cfcd4462912fab4c8f621430e8f5?s=256&d=identicon&r=PG&f=1', 'display_name': 'theMyth', 'link': 'https://stackoverflow.com/users/16422658/themyth'}",False,816,0,0,1666629140,1655840766,1655845572.0,72706342,CC BY-SA 4.0,https://stackoverflow.com/questions/72706342/openmp-mac-m1-gcc-and-libomp-not-working,OpenMP - Mac M1 gcc and libomp not working,,,,
