,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,closed_date,closed_reason
0,"['c', 'windows', 'locale']","{'account_id': 18566527, 'reputation': 351, 'user_id': 13529335, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c882fee39f23ca98553eb0ab2ebccb79?s=256&d=identicon&r=PG&f=1', 'display_name': 'JustClaire', 'link': 'https://stackoverflow.com/users/13529335/justclaire'}",False,69,2,0,1669055484,1647926193,71567220,CC BY-SA 4.0,https://stackoverflow.com/questions/71567220/how-to-get-extended-locale-information-with-windows-crt-api,How to get extended locale information with Windows CRT API,,,,
1,"['c++', 'c', 'compiler-construction', 'c++14']","{'account_id': 24466389, 'reputation': 1, 'user_id': 18386687, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cab7e7de8c9bfdf5518dadbae5e067d5?s=256&d=identicon&r=PG', 'display_name': 'Amit Saha', 'link': 'https://stackoverflow.com/users/18386687/amit-saha'}",True,373,1,-1,1668555198,1646539712,71367610,CC BY-SA 4.0,https://stackoverflow.com/questions/71367610/how-to-identify-an-exe-file-is-in-c-or-c,How to identify an exe file is in c or c++?,1646539802.0,,,
2,"['c++', 'c', 'webrtc', 'gstreamer', 'h.264']","{'account_id': 10497348, 'reputation': 569, 'user_id': 7737097, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/0a1cc3f2ce943b7d548f7ed3be6b204a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arjan', 'link': 'https://stackoverflow.com/users/7737097/arjan'}",True,1017,2,5,1668514395,1646738733,71394244,CC BY-SA 4.0,https://stackoverflow.com/questions/71394244/gstreamer-h264-udp-webrtc-restreaming,Gstreamer H264 UDP -&gt; WebRTC Restreaming,,,,
3,"['c', 'cs50']","{'account_id': 23684352, 'reputation': 1, 'user_id': 17709514, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/412b7c921bb5cbe46af7753330c39532?s=256&d=identicon&r=PG', 'display_name': 'zikapro01', 'link': 'https://stackoverflow.com/users/17709514/zikapro01'}",False,359,3,-1,1667763977,1646933141,71428328,CC BY-SA 4.0,https://stackoverflow.com/questions/71428328/cs50-plurality-unable-to-print-if-there-are-too-many-winners,CS50 plurality - unable to print if there are too many winners,1646933489.0,,,
4,"['c', 'embedded', 'i2c', 'dma', 'raspberry-pi-pico']","{'account_id': 14079986, 'reputation': 21, 'user_id': 11045673, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-xHDpVL8T45E/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7ry8utr6AROjQORn2K35HGetF5OSg/mo/photo.jpg?sz=256', 'display_name': 'SKrish', 'link': 'https://stackoverflow.com/users/11045673/skrish'}",False,689,1,0,1667566002,1647058015,71446904,CC BY-SA 4.0,https://stackoverflow.com/questions/71446904/raspberry-pi-pico-dma-to-a-i2c-device,Raspberry Pi Pico DMA to a I2C device,,,,
5,['c'],"{'account_id': 24080602, 'reputation': 1, 'user_id': 18055315, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgWUxRytXbGNTdTQQLfBF-4_IJbzZyzYuvx9k61AA=k-s256', 'display_name': 'KN Ganendra Murthy', 'link': 'https://stackoverflow.com/users/18055315/kn-ganendra-murthy'}",False,219,1,0,1667096404,1647404724,71491778,CC BY-SA 4.0,https://stackoverflow.com/questions/71491778/error-implicit-declaration-of-function-i2c-new-device-did-you-mean-i2c-acpi,error: implicit declaration of function ‘i2c_new_device’; did you mean ‘i2c_acpi_new_device’? [-Werror=implicit-function-declaration],,,,
6,"['c', 'string', 'graph', 'adjacency-matrix']","{'account_id': 24468306, 'reputation': 69, 'user_id': 18388374, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d200e848f8f38404739b454bdfb93c08?s=256&d=identicon&r=PG', 'display_name': 'dtrinh', 'link': 'https://stackoverflow.com/users/18388374/dtrinh'}",False,260,0,0,1667031819,1648346372,71633184,CC BY-SA 4.0,https://stackoverflow.com/questions/71633184/graph-implementation-with-adjacency-matrix-and-strings,Graph Implementation with Adjacency Matrix and Strings,,,,
7,"['c', 'cs50']","{'account_id': 24585378, 'reputation': 21, 'user_id': 18489962, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJypPFsalBvYDiIK4c2Z1MDeBoJcP3SfU6k4k4BB=k-s256', 'display_name': 'manas login', 'link': 'https://stackoverflow.com/users/18489962/manas-login'}",True,2186,5,1,1667011601,1647495973,71507578,CC BY-SA 4.0,https://stackoverflow.com/questions/71507578/undefined-reference-to-get-string-compiling-cs50-code,Undefined reference to `get_string&#39; compiling CS50 code,1666978415.0,,,
8,"['c', 'embedded', 'stm32', 'gpio']","{'account_id': 24735576, 'reputation': 59, 'user_id': 18622993, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhOla4KltbEHdbDWYkR_Hrzw9Xh4IM7OXuaJIO4cw=k-s256', 'display_name': 'Karthikeyan Krishnanandan', 'link': 'https://stackoverflow.com/users/18622993/karthikeyan-krishnanandan'}",True,89,1,1,1666836755,1648588064,71668789,CC BY-SA 4.0,https://stackoverflow.com/questions/71668789/stm32l47x-gpio-register-config,STM32L47x GPIO register config,1648591368.0,,,
9,"['c', 'gtk', 'gtk3', 'lablgtk']","{'account_id': 2126830, 'reputation': 734, 'user_id': 1888743, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b5adcb9a2cdef2e701aac6d3831c9c66?s=256&d=identicon&r=PG&f=1', 'display_name': 'Couchy', 'link': 'https://stackoverflow.com/users/1888743/couchy'}",True,86,1,2,1666459591,1647917766,71566428,CC BY-SA 4.0,https://stackoverflow.com/questions/71566428/gtk3-set-fixed-height-from-font-does-not-produce-cells-of-correct-height,Gtk3 `set_fixed_height_from_font` does not produce cells of correct height,1648220833.0,71594476.0,,
