,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,migrated_from,community_owned_date,locked_date
0,"['c', 'arrays', 'parameters', 'multidimensional-array', 'parameter-passing']","{'account_id': 1342129, 'reputation': 4079, 'user_id': 1285943, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/9d583f0eaa182b80ff257d8b8e70354f?s=256&d=identicon&r=PG&f=1', 'display_name': 'jantristanmilan', 'link': 'https://stackoverflow.com/users/1285943/jantristanmilan'}",True,48630,1516370145.0,12813676.0,8,42,1669354782,1349851583,12813494,CC BY-SA 3.0,https://stackoverflow.com/questions/12813494/why-do-we-need-to-specify-the-column-size-when-passing-a-2d-array-as-a-parameter,Why do we need to specify the column size when passing a 2D array as a parameter?,,,,,,
1,"['objective-c', 'c']","{'account_id': 163421, 'reputation': 52531, 'user_id': 385559, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/P0Bxd.jpg?s=256&g=1', 'display_name': 'Eric Brotto', 'link': 'https://stackoverflow.com/users/385559/eric-brotto'}",True,6692,,,3,2,1669296448,1350741844,12989172,CC BY-SA 3.0,https://stackoverflow.com/questions/12989172/what-causes-a-nan-error-result,What causes a nan error result?,1495541178.0,,,,,
2,"['c', 'hashtable']","{'account_id': 1808709, 'reputation': 1563, 'user_id': 1645203, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/daf3d0489332f883dfc5ed87a376bdd0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Assasins', 'link': 'https://stackoverflow.com/users/1645203/assasins'}",True,3408,,12955542.0,1,0,1669289425,1350565625,12955453,CC BY-SA 3.0,https://stackoverflow.com/questions/12955453/hash-table-implementation-for-storing-strings,Hash table implementation for storing strings,1350575343.0,,,,,
3,"['c', 'algorithm', 'prime-factoring']","{'user_type': 'does_not_exist', 'display_name': 'user1372984'}",True,14238,,12759741.0,2,9,1668862861,1349492767,12756335,CC BY-SA 3.0,https://stackoverflow.com/questions/12756335/fast-prime-factorization-algorithm,Fast Prime Factorization Algorithm,,,,,,
4,"['c', 'input', 'printf', 'scanf']","{'account_id': 1395786, 'reputation': 2553, 'user_id': 1325569, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/6b317d6f7a9bb62ce3018b368165041c?s=256&d=identicon&r=PG', 'display_name': 'Vivek Maran', 'link': 'https://stackoverflow.com/users/1325569/vivek-maran'}",True,3691,,12830110.0,2,4,1668091974,1349912030,12830052,CC BY-SA 3.0,https://stackoverflow.com/questions/12830052/wrong-format-specifiers-in-scanf-or-printf,Wrong format specifiers in scanf (or) printf,,,,,,
5,"['c', 'x86', 'calling-convention', 'cdecl', 'fastcall']","{'account_id': 1980843, 'reputation': 542, 'user_id': 1777508, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/6ba3df0f4297c21e9fd968cee91ac9f7?s=256&d=identicon&r=PG', 'display_name': 'lucastamoios', 'link': 'https://stackoverflow.com/users/1777508/lucastamoios'}",True,5311,,13089929.0,2,12,1668091337,1351264915,13089752,CC BY-SA 4.0,https://stackoverflow.com/questions/13089752/why-should-i-not-use-fastcall-instead-the-standard-cdecl,Why should I not use __fastcall instead the standard __cdecl?,1668091337.0,,,,,
6,"['c++', 'c', 'linux', 'ubuntu', 'exec']","{'account_id': 1877114, 'reputation': 127, 'user_id': 1698102, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/9599802a86b9d8cb318f3dbd38976361?s=256&d=identicon&r=PG', 'display_name': 'user1698102', 'link': 'https://stackoverflow.com/users/1698102/user1698102'}",True,33153,,12677236.0,6,8,1667546880,1349108258,12677120,CC BY-SA 3.0,https://stackoverflow.com/questions/12677120/execl-arguments-in-ubuntu,execl() arguments in Ubuntu,1349109146.0,,,,,
7,"['c', 'string', 'char', 'segmentation-fault', 'append']","{'account_id': 1829783, 'reputation': 1092, 'user_id': 1661566, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/ecf928f22155d33cd7409257b56de390?s=256&d=identicon&r=PG', 'display_name': 'Man Person', 'link': 'https://stackoverflow.com/users/1661566/man-person'}",True,47045,,12939440.0,6,9,1666700316,1350492805,12939370,CC BY-SA 3.0,https://stackoverflow.com/questions/12939370/c-appending-char-to-char,C appending char to char*,1358177972.0,,,,,
8,"['c', 'windows', 'kernel', 'driver', 'device-driver']","{'account_id': 1543811, 'reputation': 1241, 'user_id': 1437830, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/pTxZH.jpg?s=256&g=1', 'display_name': 'Amro Younes', 'link': 'https://stackoverflow.com/users/1437830/amro-younes'}",True,5036,,13016619.0,2,2,1666506209,1350685934,12983345,CC BY-SA 3.0,https://stackoverflow.com/questions/12983345/windows-driver-timestamp-function,Windows Driver Timestamp function,1350685993.0,,,,,
9,"['c', 'binary']","{'account_id': 1980268, 'reputation': 173, 'user_id': 1777068, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/w7kIN.jpg?s=256&g=1', 'display_name': 'Tiago Santos', 'link': 'https://stackoverflow.com/users/1777068/tiago-santos'}",True,35121,,13099270.0,8,4,1665171056,1351333183,13099252,CC BY-SA 3.0,https://stackoverflow.com/questions/13099252/decimal-to-binary-on-c-library,Decimal to Binary on C library,1351334261.0,,,,,
10,"['c', 'linux', 'kernel', 'system-calls', 'ls']","{'account_id': 377027, 'reputation': 5713, 'user_id': 728863, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/64936cc4c75e06d36178ee08bb21e87f?s=256&d=identicon&r=PG', 'display_name': 'footy', 'link': 'https://stackoverflow.com/users/728863/footy'}",True,24762,,12921138.0,3,24,1665096160,1350411568,12920976,CC BY-SA 3.0,https://stackoverflow.com/questions/12920976/which-linux-system-call-is-used-by-ls-command-in-linux-to-display-the-folder-fil,Which linux system call is used by ls command in linux to display the folder/file name?,,,,,,
11,"['c++', 'c', 'eclipse', 'eclipse-cdt']","{'account_id': 1937706, 'reputation': 1544, 'user_id': 1744745, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/df16495c8c78982e3b7d4eec67f39708?s=256&d=identicon&r=PG', 'display_name': 'Praveen Kumar', 'link': 'https://stackoverflow.com/users/1744745/praveen-kumar'}",False,7463,,,1,1,1664622255,1351022420,13038283,CC BY-SA 3.0,https://stackoverflow.com/questions/13038283/error-running-c-program-eclipse-nothing-to-build,Error running C++ program eclipse (nothing to build),1351022809.0,,,,,
12,"['c', 'dll', 'vb6']","{'account_id': 1984654, 'reputation': 33, 'user_id': 1780279, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be8a2c3d0910eb6f7df086fbaeee4677?s=256&d=identicon&r=PG', 'display_name': 'user1780279', 'link': 'https://stackoverflow.com/users/1780279/user1780279'}",True,4059,,13107105.0,3,3,1663732884,1351396406,13106234,CC BY-SA 3.0,https://stackoverflow.com/questions/13106234/vb6-declaring-and-calling-c-dll-with-pointers,VB6 - Declaring and calling C DLL with pointers,,,,,,
13,"['c++', 'c', 'memory-management', 'terminology']","{'account_id': 1858666, 'reputation': 9274, 'user_id': 1683718, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/ebfec43805061c95c0f9434b23346376?s=256&d=identicon&r=PG', 'display_name': 'Nocturno', 'link': 'https://stackoverflow.com/users/1683718/nocturno'}",True,42732,,12825221.0,5,147,1663579916,1349890683,12825148,CC BY-SA 4.0,https://stackoverflow.com/questions/12825148/what-is-the-meaning-of-the-term-arena-in-relation-to-memory,What is the meaning of the term arena in relation to memory?,1590145110.0,,,,,
14,"['c', 'sockets', 'tcp', 'client-server']","{'account_id': 279465, 'reputation': 1658, 'user_id': 574636, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/d96f36e74ae19027a59b8e37607148c2?s=256&d=identicon&r=PG', 'display_name': 'DavidMFrey', 'link': 'https://stackoverflow.com/users/574636/davidmfrey'}",True,64937,,,4,29,1662492982,1349363852,12730477,CC BY-SA 4.0,https://stackoverflow.com/questions/12730477/close-is-not-closing-socket-properly,close() is not closing socket properly,1635455487.0,,,,,
15,"['c++', 'c', 'visual-studio-2010', 'gcc']","{'account_id': 225869, 'reputation': 52827, 'user_id': 486578, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/51f25affd1ea28bd28e61422868f02d5?s=256&d=identicon&r=PG', 'display_name': 'Damir', 'link': 'https://stackoverflow.com/users/486578/damir'}",True,17887,,,5,12,1662229690,1350299720,12894454,CC BY-SA 3.0,https://stackoverflow.com/questions/12894454/how-to-remove-gcc-warning-on-pragma-region,How to remove GCC warning on #pragma region?,1395333490.0,,,,,
16,['c'],"{'account_id': 1922717, 'reputation': 1116, 'user_id': 1733823, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/a76ed49769b056df6083cf7c93fbd2e6?s=256&d=identicon&r=PG', 'display_name': 'Afaq', 'link': 'https://stackoverflow.com/users/1733823/afaq'}",True,3785,,,2,7,1661364041,1349856044,12814649,CC BY-SA 4.0,https://stackoverflow.com/questions/12814649/controlling-keyboard-led-lights-using-c,Controlling keyboard LED lights using C,1661363832.0,,,,,
17,"['c', 'memory-management', 'heap-memory', 'stack-memory']","{'account_id': 1395786, 'reputation': 2553, 'user_id': 1325569, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/6b317d6f7a9bb62ce3018b368165041c?s=256&d=identicon&r=PG', 'display_name': 'Vivek Maran', 'link': 'https://stackoverflow.com/users/1325569/vivek-maran'}",True,74131,,12688734.0,4,58,1661152708,1349168203,12687274,,https://stackoverflow.com/questions/12687274/size-of-stack-and-heap-memory,Size of stack and heap memory,1623773792.0,1349263595.0,exact duplicate,,,
