,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
0,"['c++', 'c', 'shared-libraries', 'static-libraries', 'tensorflow-c++']","{'account_id': 15470796, 'reputation': 648, 'user_id': 11160943, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/q1bHd.png?s=256&g=1', 'display_name': 'fisakhan', 'link': 'https://stackoverflow.com/users/11160943/fisakhan'}",False,355,2,2,1668708854,1616749373,66813820,CC BY-SA 4.0,https://stackoverflow.com/questions/66813820/tensorflow-c-api-static-library,tensorflow C API static library,,,,,,
1,"['c', 'floating-point']","{'account_id': 2802349, 'reputation': 132137, 'user_id': 2410359, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/pIl9T.png?s=256&g=1', 'display_name': 'chux - Reinstate Monica', 'link': 'https://stackoverflow.com/users/2410359/chux-reinstate-monica'}",True,352,2,11,1668190056,1615771978,66631288,CC BY-SA 4.0,https://stackoverflow.com/questions/66631288/when-does-appending-an-f-change-the-value-of-a-floating-constant-when-assigned,When does appending an &#39;f&#39; change the value of a floating constant when assigned to a `float`?,66631298.0,1619353703.0,,,,
2,['c'],"{'account_id': 20594338, 'reputation': 1, 'user_id': 15117182, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eeae8333e6088b9df13ae12e9c2546b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gal Zaken', 'link': 'https://stackoverflow.com/users/15117182/gal-zaken'}",False,37,1,-5,1666091053,1615739071,66626838,CC BY-SA 4.0,https://stackoverflow.com/questions/66626838/the-complier-doesnt-recoginze-flags-using-makefile,The complier doesnt recoginze flags using makefile,,1666091053.0,,,,
3,"['c', 'macros', 'c-preprocessor']","{'account_id': 19621523, 'reputation': 1573, 'user_id': 14656198, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-N2kF3v4S_YI/AAAAAAAAAAI/AAAAAAAAAFI/AMZuucmPSiR-QIZRKIdtaX-aerQCKRukKg/photo.jpg?sz=256', 'display_name': 'Luiz Martins', 'link': 'https://stackoverflow.com/users/14656198/luiz-martins'}",True,2820,3,81,1666047306,1615520500,66593868,CC BY-SA 4.0,https://stackoverflow.com/questions/66593868/understanding-the-behavior-of-cs-preprocessor-when-a-macro-indirectly-expands-i,Understanding the behavior of C&#39;s preprocessor when a macro indirectly expands itself,,1615737673.0,,,,
4,"['c++', 'c', 'c-preprocessor']","{'account_id': 16326039, 'reputation': 83, 'user_id': 11790583, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c2772496d6d6071f140133be033dd89?s=256&d=identicon&r=PG&f=1', 'display_name': 'Super Cat123', 'link': 'https://stackoverflow.com/users/11790583/super-cat123'}",True,879,4,2,1664233200,1615299682,66548702,CC BY-SA 4.0,https://stackoverflow.com/questions/66548702/what-do-you-call-in-c-and-c,What do you call &quot;#&quot; in C and C++?,,1615300465.0,,,,
5,"['c', 'winapi', 'struct', 'unions']","{'account_id': 480174, 'reputation': 11827, 'user_id': 893254, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/e4417c43fd253cd5b52e2dd709e34b44?s=256&d=identicon&r=PG&f=1', 'display_name': 'FreelanceConsultant', 'link': 'https://stackoverflow.com/users/893254/freelanceconsultant'}",False,82,0,0,1663003511,1615848489,66646736,,https://stackoverflow.com/questions/66646736/c-how-to-interpret-the-union-containing-2-struct-objects-ularge-integer,C: How to interpret the union containing 2 struct objects? ULARGE_INTEGER,,1663003511.0,1615849096.0,Duplicate,,
6,"['c', 'pointers']","{'account_id': 15346985, 'reputation': 659, 'user_id': 15472475, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/754af6f9ef9047c5a8fd267a41815281?s=256&d=identicon&r=PG&f=1', 'display_name': 'programmer', 'link': 'https://stackoverflow.com/users/15472475/programmer'}",True,154,3,-2,1662946296,1616612455,66787656,CC BY-SA 4.0,https://stackoverflow.com/questions/66787656/is-it-possible-to-use-the-symbol-instead-of-pointers,Is it possible to use the &#39;&amp;&#39; symbol instead of pointers?,66787732.0,1662946296.0,,,,
7,"['c', 'eclipse', 'stm32', 'stm32cubeide']","{'account_id': 14889277, 'reputation': 51, 'user_id': 12033122, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1988344867945657/picture?type=large', 'display_name': 'Jeremy Wolfe', 'link': 'https://stackoverflow.com/users/12033122/jeremy-wolfe'}",True,2278,1,1,1662714043,1615836393,66644445,CC BY-SA 4.0,https://stackoverflow.com/questions/66644445/changing-directory-of-stm32cubeide-projects,Changing Directory of STM32CubeIDE Projects,,,,,,
8,"['c', 'reflection']","{'account_id': 20864591, 'reputation': 29, 'user_id': 15325949, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-lbFWvHMI5Tg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl2nmn2lWJ8qEEcnJ90yhwLKaRLsA/s96-c/photo.jpg?sz=256', 'display_name': 'user15325949', 'link': 'https://stackoverflow.com/users/15325949/user15325949'}",True,349,4,2,1661969977,1614819887,66467130,CC BY-SA 4.0,https://stackoverflow.com/questions/66467130/how-to-i-output-the-name-of-an-input,How to I output the name of an input?,,1614822637.0,,,,
9,"['c', 'malloc', 'undefined-behavior']","{'account_id': 11752991, 'reputation': 465, 'user_id': 11451325, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6b6b758d857bb9d0ca3d306c3a5e4fdf?s=256&d=identicon&r=PG&f=1', 'display_name': 'morimn', 'link': 'https://stackoverflow.com/users/11451325/morimn'}",True,435,3,2,1661546868,1616921553,66839765,CC BY-SA 4.0,https://stackoverflow.com/questions/66839765/does-reading-an-uninitialized-malloc-memory-invoke-undefined-behaviors,Does reading an uninitialized malloc() memory invoke Undefined Behaviors?,66840190.0,,,,,
10,['c'],"{'account_id': 20860329, 'reputation': 61, 'user_id': 15322725, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/484db1f4404732af77e6dbbc89503d57?s=256&d=identicon&r=PG&f=1', 'display_name': 'samyyy15', 'link': 'https://stackoverflow.com/users/15322725/samyyy15'}",True,7606,2,0,1660857448,1614980796,66500056,CC BY-SA 4.0,https://stackoverflow.com/questions/66500056/how-to-solve-the-error-expected-identifier-before-token-in-c,how to solve the error (expected identifier before&#39;(&#39; token) in C,66500099.0,1614981570.0,,,,
