,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
0,"['c', 'heroku', 'gcc', 'console']","{'account_id': 22770348, 'reputation': 41, 'user_id': 16927880, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzSUWTgnNwC8lgkxnuEJKNBZPS2Fyb7ncx_iqWS=k-s256', 'display_name': 'Mushtaq Mahar', 'link': 'https://stackoverflow.com/users/16927880/mushtaq-mahar'}",False,65,1,0,1669141987,1643207985,70865225,CC BY-SA 4.0,https://stackoverflow.com/questions/70865225/how-will-i-compile-and-run-a-c-program-on-heroku,How will I compile and run a C program on Heroku?,,,,,,
1,"['c', 'file', 'comments']","{'account_id': 22896038, 'reputation': 43, 'user_id': 17696198, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Om5XJ.jpg?s=256&g=1', 'display_name': 'Ossowitz', 'link': 'https://stackoverflow.com/users/17696198/ossowitz'}",True,442,2,2,1669097473,1643125893,70851688,CC BY-SA 4.0,https://stackoverflow.com/questions/70851688/removing-comments-in-c-language,Removing comments in C language,70852405.0,1643126536.0,,,,
2,['c'],"{'account_id': 23479793, 'reputation': 1, 'user_id': 17532114, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhO8twbJDm40OeO0OfB6MZ6SCS3TadRBTCqspwALw=k-s256', 'display_name': 'PREDATOR', 'link': 'https://stackoverflow.com/users/17532114/predator'}",True,391,2,-2,1669042190,1643016712,70831637,CC BY-SA 4.0,https://stackoverflow.com/questions/70831637/justdoing-some-data-structures-examples,Justdoing some data structures examples,,1643016755.0,,,,
3,['c'],"{'account_id': 18984969, 'reputation': 27, 'user_id': 13855517, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-iFRgMbUni-g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUSbLmUnSF994X82yXx2-eDkYF6w/photo.jpg?sz=256', 'display_name': 'JArch', 'link': 'https://stackoverflow.com/users/13855517/jarch'}",True,114,3,0,1668018757,1643625132,70924465,,https://stackoverflow.com/questions/70924465/why-is-my-if-conditional-expression-always-true,Why is my if conditional expression always true?,70924566.0,1643627236.0,1643644839.0,Duplicate,,
4,"['c', 'openssl', 'aes']","{'account_id': 22873643, 'reputation': 45, 'user_id': 17016288, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/z5WfZ.jpg?s=256&g=1', 'display_name': 'Michael Papageorge', 'link': 'https://stackoverflow.com/users/17016288/michael-papageorge'}",True,383,1,2,1667729529,1642679116,70785657,CC BY-SA 4.0,https://stackoverflow.com/questions/70785657/openssl-aes-ecb-encrypt-padding-option,OpenSSL AES_ecb_encrypt padding option?,70787442.0,1667729529.0,,,,
5,['c'],"{'account_id': 23608480, 'reputation': 53, 'user_id': 17643850, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiUCm98FV7eBBV1c2kDpzhhUaGN1VGQ_Zcdg1pKww=k-s256', 'display_name': 'NewbieBoy', 'link': 'https://stackoverflow.com/users/17643850/newbieboy'}",True,76,2,1,1667211704,1642732822,70795738,CC BY-SA 4.0,https://stackoverflow.com/questions/70795738/replace-3-first-elements-of-string-by-other-2-from-keyboard-in-c,Replace 3 first elements of string by other 2 from keyboard in C,70795855.0,,,,,
6,"['c', 'linux', 'linker', 'undefined-symbol', 'lto']","{'account_id': 514136, 'reputation': 109075, 'user_id': 1593077, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/10c44e0d9568e48d05708ae196ad936f?s=256&d=identicon&r=PG', 'display_name': 'einpoklum', 'link': 'https://stackoverflow.com/users/1593077/einpoklum'}",True,228,2,1,1667073865,1642797917,70807464,CC BY-SA 4.0,https://stackoverflow.com/questions/70807464/why-cant-ld-ignore-an-unused-unresolved-symbol,Why can&#39;t ld ignore an unused unresolved symbol?,70807758.0,1667073865.0,,,,
7,"['c', 'gcc', 'windows-subsystem-for-linux']","{'account_id': 21011363, 'reputation': 1, 'user_id': 15439896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/342a6c9830f543f995bd2365eec7e730?s=256&d=identicon&r=PG&f=1', 'display_name': 'Princez', 'link': 'https://stackoverflow.com/users/15439896/princez'}",True,718,1,0,1666609611,1642867979,70814710,CC BY-SA 4.0,https://stackoverflow.com/questions/70814710/gcc-error-getting-started-c-no-such-file-or-directory,gcc: error: getting-started.c: No such file or directory,,1666609611.0,,,,
8,"['c', 'alsa']","{'account_id': 19601445, 'reputation': 45, 'user_id': 14346183, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/705ff22aacd1f9243af900baa4cc4ada?s=256&d=identicon&r=PG&f=1', 'display_name': 'RHL120', 'link': 'https://stackoverflow.com/users/14346183/rhl120'}",False,601,0,0,1666473934,1643564755,70917259,CC BY-SA 4.0,https://stackoverflow.com/questions/70917259/alsa-lib-control-c1528snd-ctl-open-noupdate-invalid-ctl-default,ALSA lib control.c:1528:(snd_ctl_open_noupdate) Invalid CTL default,,1666473934.0,,,,
9,"['c', 'graphics', 'sdl', 'antialiasing', 'sdl-ttf']","{'account_id': 19401942, 'reputation': 5, 'user_id': 17629517, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjE5VuiwzXD1F2pBJcoA-KOmloVM6rTiy5GhoVX=k-s256', 'display_name': 'Yacine Megrah', 'link': 'https://stackoverflow.com/users/17629517/yacine-megrah'}",False,93,0,0,1666357499,1642017688,70687722,CC BY-SA 4.0,https://stackoverflow.com/questions/70687722/sdl-ttf-render-modes-are-identical-in-quality,"SDL_TTF, Render Modes are identical in quality",,1666357499.0,,,,
