,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['c', 'unit-testing', 'googletest']","{'account_id': 16440759, 'reputation': 57, 'user_id': 11877100, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2362160460737963/picture?type=large', 'display_name': 'Tiến TeoCri', 'link': 'https://stackoverflow.com/users/11877100/ti%e1%ba%bfn-teocri'}",True,1713,59428522.0,1,1,1668509333,1576680814,1577589343.0,59394613,CC BY-SA 4.0,https://stackoverflow.com/questions/59394613/stub-system-function-in-google-test,Stub system function in google test,,,
1,"['c', 'queue', 'posix', 'ipc']","{'account_id': 17306891, 'reputation': 11, 'user_id': 12535406, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-IyBiPp78Soo/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcoL8W0qE2dnacj1AZdOY0j0tfkSg/photo.jpg?sz=256', 'display_name': 'Moh3N ', 'link': 'https://stackoverflow.com/users/12535406/moh3n'}",False,72,,0,0,1668500612,1576486241,1668500612.0,59353167,CC BY-SA 4.0,https://stackoverflow.com/questions/59353167/problem-with-argument-of-mq-open-function-in-c-programming,problem with argument of mq_open() function in C programming,,,
2,"['c', 'ruby', 'linux', 'api', 'ubuntu']","{'account_id': 12291205, 'reputation': 33, 'user_id': 8968483, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1742943012385656/picture?type=large', 'display_name': 'Erick Pro', 'link': 'https://stackoverflow.com/users/8968483/erick-pro'}",True,176,,1,0,1667771023,1576283555,1667770918.0,59331345,CC BY-SA 4.0,https://stackoverflow.com/questions/59331345/running-ruby-in-c,Running Ruby in C,,,
3,"['c', 'memory-management', 'standards', 'realloc']","{'account_id': 2339529, 'reputation': 16807, 'user_id': 2051137, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/1sIMq.jpg?s=256&g=1', 'display_name': 'Remi.b', 'link': 'https://stackoverflow.com/users/2051137/remi-b'}",True,502,59386745.0,2,4,1667618841,1576650007,1592644375.0,59386465,CC BY-SA 4.0,https://stackoverflow.com/questions/59386465/why-does-realloc-not-re-allocate-in-place-when-possible,Why does `realloc` not re-allocate in-place when possible?,,,
4,"['c', 'macos', 'debugging', 'memory-leaks', 'command-line-tool']","{'account_id': 13132635, 'reputation': 372, 'user_id': 9486718, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/18a8afd5068b97f0d5b97a026c95f9af?s=256&d=identicon&r=PG&f=1', 'display_name': 'KIYZ', 'link': 'https://stackoverflow.com/users/9486718/kiyz'}",True,8779,,3,3,1667001471,1575169795,1620452165.0,59122213,CC BY-SA 4.0,https://stackoverflow.com/questions/59122213/how-to-use-leaks-command-line-tool-to-find-memory-leaks,How to use leaks command-line tool to find memory leaks?,,,
5,"['c++', 'c', 'googletest', 'automake']","{'account_id': 3709957, 'reputation': 968, 'user_id': 3087555, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/fe453dd9d1b38e7fcc19dc5f71e3cc4a?s=256&d=identicon&r=PG&f=1', 'display_name': 'ZeppRock', 'link': 'https://stackoverflow.com/users/3087555/zepprock'}",True,2741,59300287.0,2,4,1665593021,1576074369,,59287962,CC BY-SA 4.0,https://stackoverflow.com/questions/59287962/fff-fake-function-with-google-test,FFF fake function with google test,,,
6,['c'],"{'user_type': 'does_not_exist', 'display_name': 'user11772901'}",True,662,59332121.0,2,-1,1664928040,1576293811,1576296170.0,59332056,CC BY-SA 4.0,https://stackoverflow.com/questions/59332056/how-to-print-ascii-codes-for-letters,How to print ASCII codes for letters?,,,
7,"['c', 'audio', 'ffmpeg', 'pcm', 'transcoding']","{'account_id': 4079298, 'reputation': 21, 'user_id': 3350133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df44ca1e8563415959026df5c792b07b?s=256&d=identicon&r=PG&f=1', 'display_name': 'oli21270', 'link': 'https://stackoverflow.com/users/3350133/oli21270'}",False,152,,0,2,1663086405,1577110054,1586879669.0,59456690,CC BY-SA 4.0,https://stackoverflow.com/questions/59456690/ffmpeg-encode-audio-c-crashes-with-g722-encoder,FFMPEG encode_audio.c crashes with g722 encoder,,,
8,"['c', 'visual-studio', 'compiler-errors']","{'account_id': 17292096, 'reputation': 23, 'user_id': 12523465, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-L3zpqCFXAn8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3resZrlacOTbA8aJRCIQZ_RXN844BQ/photo.jpg?sz=256', 'display_name': 'Roger Feng', 'link': 'https://stackoverflow.com/users/12523465/roger-feng'}",False,74,,1,0,1659432756,1577711802,,59531526,CC BY-SA 4.0,https://stackoverflow.com/questions/59531526/c2440-compiler-error-only-with-new-project-but-not-from-existing-project,C2440 compiler error only with new project but not from existing project,,,
9,['c'],"{'account_id': 17285690, 'reputation': 9, 'user_id': 12518367, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mA3GAIz8hCkupFf9I-oiGDabX0UXB1m5m6-MOsN9A=k-s256', 'display_name': 'Aryan Aher', 'link': 'https://stackoverflow.com/users/12518367/aryan-aher'}",True,9659,,5,0,1658106962,1576068407,1576068664.0,59286173,CC BY-SA 4.0,https://stackoverflow.com/questions/59286173/how-to-calculate-the-total-sum-of-the-multiplication-table,How to calculate the total sum of the multiplication table,,,
