,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date,migrated_from
0,"['c', 'linux', 'openssl', 'ssl-certificate', 'verify']","{'account_id': 961846, 'reputation': 7840, 'user_id': 986020, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/1737005f1801659c3c0b33d91324a328?s=256&d=identicon&r=PG', 'display_name': 'Lunar Mushrooms', 'link': 'https://stackoverflow.com/users/986020/lunar-mushrooms'}",True,284121,12180757.0,5,35,1669373768,1346251331,1442298930.0,12180552,CC BY-SA 3.0,https://stackoverflow.com/questions/12180552/openssl-error-self-signed-certificate-in-certificate-chain,Openssl : error &quot;self signed certificate in certificate chain&quot;,,,,,
1,"['c', 'security']","{'account_id': 159758, 'reputation': 2757, 'user_id': 379360, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/f15f76b1c0a34c351fe5ba148faaacde?s=256&d=identicon&r=PG', 'display_name': 'EMiller', 'link': 'https://stackoverflow.com/users/379360/emiller'}",True,2735,12095361.0,6,13,1667334523,1345735716,1345738211.0,12095135,CC BY-SA 3.0,https://stackoverflow.com/questions/12095135/are-uninitialized-values-ever-a-security-risk,Are uninitialized values ever a security risk?,,,,,
2,"['c++', 'c', 'string']","{'account_id': 1297789, 'reputation': 2357, 'user_id': 1248401, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/1c35f8fcadd984819a7e32d982f13e87?s=256&d=identicon&r=PG', 'display_name': 'deniz', 'link': 'https://stackoverflow.com/users/1248401/deniz'}",True,8829,11800010.0,4,4,1666623760,1344012493,,11799956,CC BY-SA 3.0,https://stackoverflow.com/questions/11799956/performance-comparison-strstr-vs-stdstringfind,Performance comparison: strstr() vs std::string::find(),,,,,
3,"['c', 'performance', 'optimization', 'assembly', 'operators']","{'account_id': 1042029, 'reputation': 1519, 'user_id': 1047870, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6c6259256d7d28c86d8d206ebfd34363?s=256&d=identicon&r=PG', 'display_name': 'Dimitar Slavchev', 'link': 'https://stackoverflow.com/users/1047870/dimitar-slavchev'}",True,4112,11764955.0,2,7,1666470908,1343837722,1343839718.0,11763399,,https://stackoverflow.com/questions/11763399/which-operator-is-faster-or-or,"Which operator is faster (&gt; or &gt;=), (&lt; or &lt;=)?",1343939027.0,not constructive,,,
4,"['c++', 'c', 'coding-style', 'curly-braces', 'defensive-programming']","{'account_id': 408442, 'reputation': 20570, 'user_id': 779111, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/808763efea1a993c937ac96e7e83032f?s=256&d=identicon&r=PG', 'display_name': 'JAN', 'link': 'https://stackoverflow.com/users/779111/jan'}",True,47572,12193202.0,24,339,1666131487,1346316609,1403588589.0,12193170,CC BY-SA 3.0,https://stackoverflow.com/questions/12193170/whats-the-purpose-of-using-braces-i-e-for-a-single-line-if-or-loop,What&#39;s the purpose of using braces (i.e. {}) for a single-line if or loop?,,,1413622412.0,,
5,"['c#', 'c++', 'c']","{'account_id': 1087592, 'reputation': 33, 'user_id': 1082943, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e7d73416094e0e3200064721e36e4330?s=256&d=identicon&r=PG', 'display_name': 'user1082943', 'link': 'https://stackoverflow.com/users/1082943/user1082943'}",True,253,11926786.0,2,-4,1665608646,1344796341,1665608646.0,11924707,,https://stackoverflow.com/questions/11924707/how-to-create-a-dll-library-from-sourcecode-c-and-then-use-it-with-c,How to create a DLL library from sourcecode.c and then use it with C#,1344820530.0,not a real question,,,
6,"['c', 'memory-management', 'local-variables', 'stack-memory']","{'account_id': 431204, 'reputation': 524, 'user_id': 815111, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/368867b0454e21d05daa284bc052dd93?s=256&d=identicon&r=PG', 'display_name': 'simar', 'link': 'https://stackoverflow.com/users/815111/simar'}",True,607,,3,1,1665167637,1345033738,1665167637.0,11969273,CC BY-SA 4.0,https://stackoverflow.com/questions/11969273/does-compiler-knows-relocatable-address-of-local-variables,Does compiler knows relocatable address of local variables,,,,,
7,"['c++', 'c', 'random', 'uniform']","{'account_id': 910755, 'reputation': 7646, 'user_id': 944687, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/9e4b32705e40c455ffd41e0ca7c6db29?s=256&d=identicon&r=PG', 'display_name': 'Desmond Hume', 'link': 'https://stackoverflow.com/users/944687/desmond-hume'}",True,7388,11766794.0,7,16,1665136523,1343822704,1495541379.0,11758809,CC BY-SA 3.0,https://stackoverflow.com/questions/11758809/what-is-the-optimal-algorithm-for-generating-an-unbiased-random-integer-within-a,What is the optimal algorithm for generating an unbiased random integer within a range?,,,,,
8,"['c', 'algorithm', 'math']","{'account_id': 1423187, 'reputation': 9828, 'user_id': 1347366, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/6NGKT.jpg?s=256&g=1', 'display_name': 'Green goblin', 'link': 'https://stackoverflow.com/users/1347366/green-goblin'}",True,29600,11892024.0,7,17,1663672897,1344546487,1344547790.0,11891984,CC BY-SA 3.0,https://stackoverflow.com/questions/11891984/count-the-number-of-occurrences-of-0s-in-integers-from-1-to-n,Count the number of occurrences of 0&#39;s in integers from 1 to N,,,,,
9,"['c', 'pointers', 'gcc-warning']","{'account_id': 371518, 'reputation': 4721, 'user_id': 720094, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/35013754d4f6afb9d366c36271d6bcee?s=256&d=identicon&r=PG', 'display_name': 'Sandeep Singh', 'link': 'https://stackoverflow.com/users/720094/sandeep-singh'}",True,83886,11797103.0,3,11,1663648341,1344001176,1344002431.0,11796909,CC BY-SA 3.0,https://stackoverflow.com/questions/11796909/how-to-resolve-cast-to-pointer-from-integer-of-different-size-warning-in-c-co,How to resolve: &quot;cast to pointer from integer of different size&quot; warning in C code?,,,,,
