,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
0,"['c', 'linux-kernel', 'operating-system', 'kernel']","{'account_id': 19563279, 'reputation': 19, 'user_id': 14316064, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhMgn_TEGpy-1R9DoIyrgXGuzP_OzFN2WvTb-42=k-s256', 'display_name': 'Chintha Siva Prasad', 'link': 'https://stackoverflow.com/users/14316064/chintha-siva-prasad'}",True,56,3,-1,1669182343,1667049016,74245555,CC BY-SA 4.0,https://stackoverflow.com/questions/74245555/what-are-the-exact-programming-instructions-that-are-in-user-space,What are the exact programming instructions that are in user space?,,,,,,
1,"['c', 'embedded', 'stm32', 'state-machine']","{'account_id': 26579539, 'reputation': 11, 'user_id': 20204406, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/658e72554b44170f81d1f9e20bec83a0?s=256&d=identicon&r=PG', 'display_name': 'AnatolianPerseus', 'link': 'https://stackoverflow.com/users/20204406/anatolianperseus'}",False,39,1,0,1669150498,1666852433,74217687,CC BY-SA 4.0,https://stackoverflow.com/questions/74217687/how-can-i-use-idr,How can i use IDR,,,,,,
2,"['c', 'cmake', 'dll', 'sdk', 'nvidia']","{'account_id': 21095629, 'reputation': 1, 'user_id': 15506666, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/92a80a99a7763aadac028722eac7b25c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peppo', 'link': 'https://stackoverflow.com/users/15506666/peppo'}",False,34,1,0,1669148401,1665849536,74080959,CC BY-SA 4.0,https://stackoverflow.com/questions/74080959/error-cannot-find-nvcvimage-dll-or-its-dependencies,Error: Cannot find nvCVImage DLL or its dependencies,,,,,,
3,['c'],"{'account_id': 26392464, 'reputation': 35, 'user_id': 20044158, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cabff86af89385b26851359cc9c21771?s=256&d=identicon&r=PG', 'display_name': 'nalabof679', 'link': 'https://stackoverflow.com/users/20044158/nalabof679'}",True,47,4,1,1669048199,1665694404,74061689,CC BY-SA 4.0,https://stackoverflow.com/questions/74061689/do-processes-run-until-termination-when-using-fork,Do processes run until termination when using `fork()`,74061728.0,,,,,
4,"['c++', 'c', 'constants', 'language-lawyer', 'memcpy']","{'account_id': 22900208, 'reputation': 697, 'user_id': 17039046, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxGw4O9KE6p7tA9XpP0YjVYJ8VzbOAH3ZJ9NGfZ=k-s256', 'display_name': 'Jackson Allan', 'link': 'https://stackoverflow.com/users/17039046/jackson-allan'}",True,1973,2,35,1669046812,1665326155,74005650,CC BY-SA 4.0,https://stackoverflow.com/questions/74005650/memcpy-zero-bytes-into-const-variable-undefined-behavior,memcpy zero bytes into const variable - undefined behavior?,,1665399488.0,,,,
5,"['c++', 'c', 'code-analysis', 'coverity']","{'account_id': 9707992, 'reputation': 619, 'user_id': 7200859, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/8b36a5883c42690004f991c0edf36396?s=256&d=identicon&r=PG&f=1', 'display_name': 'ge45mue', 'link': 'https://stackoverflow.com/users/7200859/ge45mue'}",False,47,2,0,1669038081,1666790732,74208599,CC BY-SA 4.0,https://stackoverflow.com/questions/74208599/how-to-configure-coverity-for-iar-arm-iccarm,How to configure Coverity for IAR ARM (iccarm),,1666793286.0,,,,
6,"['python', 'android', 'c', 'kivy', 'buildozer']","{'account_id': 20476276, 'reputation': 11, 'user_id': 15025544, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjkLkLSTZ9JGBYCVkTP_qoXaDFM-6CzWTcUX0Au=k-s256', 'display_name': 'Elman Shokri', 'link': 'https://stackoverflow.com/users/15025544/elman-shokri'}",True,75,1,0,1668686411,1665144687,73986991,CC BY-SA 4.0,https://stackoverflow.com/questions/73986991/configure-error-c-compiler-cannot-create-executables-in-buildozer-kivy,configure: error: C compiler cannot create executables in buildozer kivy,,,,,,
7,"['c', 'gtk', 'gtk3']","{'account_id': 9865364, 'reputation': 127, 'user_id': 7307021, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/906da0ad35316ac28a873d452d09d62e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Laura', 'link': 'https://stackoverflow.com/users/7307021/laura'}",True,35,2,0,1668608762,1666958279,74235064,CC BY-SA 4.0,https://stackoverflow.com/questions/74235064/emit-custom-gtk-signal-with-variable-as-user-data,Emit custom gtk signal with variable as user data,74462161.0,,,,,
8,"['c', 'variables', 'parameters', 'callback']","{'account_id': 25263332, 'reputation': 21, 'user_id': 19093920, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7631b3d7c64657887134746b2f9a4ce3?s=256&d=identicon&r=PG', 'display_name': 'hr13', 'link': 'https://stackoverflow.com/users/19093920/hr13'}",True,45,3,0,1668576168,1666315732,74147866,CC BY-SA 4.0,https://stackoverflow.com/questions/74147866/in-c-language-is-there-any-way-to-use-callback-with-arbitrary-variable-argume,"In C language, is there any way to use callback with arbitrary / variable arguments?",74148454.0,,,,,
9,['c'],"{'account_id': 16976014, 'reputation': 45, 'user_id': 12279359, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ejeGgIlmQZc/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdFhskHRb81PF0UZzfj35t1OxLWzw/photo.jpg?sz=256', 'display_name': 'Wemerson Jesus', 'link': 'https://stackoverflow.com/users/12279359/wemerson-jesus'}",True,56,1,0,1668565984,1665946256,74089887,CC BY-SA 4.0,https://stackoverflow.com/questions/74089887/control-execution-flow-for-better-code-design,Control execution flow for better code design,74454476.0,,,,,
