,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,migrated_from
0,"['c', 'linux', 'assembly', 'nasm', 'strcmp']","{'account_id': 14773312, 'reputation': 641, 'user_id': 10669066, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zo0wL.jpg?s=256&g=1', 'display_name': 'Holy semicolon', 'link': 'https://stackoverflow.com/users/10669066/holy-semicolon'}",True,528,1607646667.0,65240970.0,1,2,1668176419,1607627587,1668176419.0,65240861,https://stackoverflow.com/questions/65240861/implement-strcmp-function-in-assembly-64-on-linux,Duplicate,Implement strcmp function in assembly 64 on linux,,
1,"['c', 'cortex-m', 'renode']","{'account_id': 20303249, 'reputation': 11, 'user_id': 14892147, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-9kJmQ8a7VI8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn77Fd5H682njPCTnAYmne66VzFNA/s96-c/photo.jpg?sz=256', 'display_name': 'Jan Baer', 'link': 'https://stackoverflow.com/users/14892147/jan-baer'}",True,228,,,1,1,1667920972,1608992144,1667920972.0,65457255,https://stackoverflow.com/questions/65457255/how-to-benchmark-some-algorithms-for-cortex-m-architecture,,How to benchmark some algorithms for Cortex-M architecture,CC BY-SA 4.0,
2,"['c', 'gcc', 'compilation', 'shared-libraries', 'weak-symbol']","{'account_id': 2188951, 'reputation': 86, 'user_id': 1936612, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c7c59fd15e98f5a7587831bfe4e5679?s=256&d=identicon&r=PG', 'display_name': 'Deepak', 'link': 'https://stackoverflow.com/users/1936612/deepak'}",False,193,,,0,0,1667350728,1607950519,1667350728.0,65289346,https://stackoverflow.com/questions/65289346/gcc-weak-symbol-with-attributeweak-handling-with-shared-library,,gcc weak symbol with __attribute((weak)) handling with shared library,CC BY-SA 4.0,
3,"['c', 'macos', 'entitlements', 'hypervisor']","{'account_id': 106352, 'reputation': 14546, 'user_id': 283342, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/e3ef6dbec3a443e7cda5b5624311ca08?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adrian', 'link': 'https://stackoverflow.com/users/283342/adrian'}",True,325,,,2,2,1667349076,1609302893,,65502057,https://stackoverflow.com/questions/65502057/how-to-add-entitlements-to-a-command-line-program-written-in-c,,How to add entitlements to a command line program written in C,CC BY-SA 4.0,
4,"['c', 'gcc', 'lib']","{'account_id': 14679831, 'reputation': 354, 'user_id': 10601715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dde09edfb712cbe0fbd978fa444dd398?s=256&d=identicon&r=PG&f=1', 'display_name': 'aviad1', 'link': 'https://stackoverflow.com/users/10601715/aviad1'}",True,346,,65479092.0,3,0,1666079720,1609153892,1609159313.0,65476684,https://stackoverflow.com/questions/65476684/gcc-doesnt-find-functions-in-lib,,GCC doesn&#39;t find functions in lib,CC BY-SA 4.0,
5,"['c', 'graphics', 'sfml']","{'user_type': 'does_not_exist', 'display_name': 'user14557497'}",True,203,,65122829.0,1,0,1663061200,1606982162,1663061200.0,65121857,https://stackoverflow.com/questions/65121857/make-a-jump-with-the-csfml-library-in-c,,Make a jump with the CSFML library in C,CC BY-SA 4.0,
6,"['c', 'semaphore']","{'account_id': 18197517, 'reputation': 1087, 'user_id': 13242312, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d11960bf460e9c2a48771b60fdce709?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fayeure', 'link': 'https://stackoverflow.com/users/13242312/fayeure'}",True,236,,,2,0,1662817031,1608544086,1662817031.0,65390563,https://stackoverflow.com/questions/65390563/does-sem-open-allocate-memory,,Does sem_open allocate memory?,CC BY-SA 4.0,
7,"['c', 'python-3.x', 'cython', 'cythonize']","{'account_id': 3292077, 'reputation': 945, 'user_id': 2770149, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/81d02c00ddc7343bbc7fa1d9cf3d55e5?s=256&d=identicon&r=PG&f=1', 'display_name': 'stagermane', 'link': 'https://stackoverflow.com/users/2770149/stagermane'}",False,268,,,1,0,1661684288,1608951045,1608953293.0,65453298,https://stackoverflow.com/questions/65453298/cython-constructor-overloads-in-pxd-file-error-self-argument-of-c-method-does,,Cython constructor overloads in .pxd file error: &quot;Self argument of C method does not match parent type&quot; for factory function,CC BY-SA 4.0,
8,"['c', 'docker', 'arm', 'alpine-linux', 'musl']","{'account_id': 5342344, 'reputation': 143, 'user_id': 4258961, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17feb5c465187b5bacdf2a68447564d6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Thomas', 'link': 'https://stackoverflow.com/users/4258961/thomas'}",True,388,,65456457.0,3,4,1660765125,1608727902,1608737245.0,65424630,https://stackoverflow.com/questions/65424630/issues-with-time-when-running-a-c-musl-application-in-docker-container-on-arm,,Issues with time() when running a C musl application in docker container on arm,CC BY-SA 4.0,
9,"['c', 'math', 'unsigned']","{'account_id': 16875722, 'reputation': 199, 'user_id': 12203185, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-XLdh9-ikkDE/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcNzgoS9AwpWbt0Hgiy_pbPR8YI8A/photo.jpg?sz=256', 'display_name': 'Bj&#246;rn Max Jakobsen', 'link': 'https://stackoverflow.com/users/12203185/bj%c3%b6rn-max-jakobsen'}",True,107,,65506805.0,1,1,1660647858,1609325198,1609326667.0,65505709,https://stackoverflow.com/questions/65505709/c-is-integer-math-equivalent-with-unsigned-math,,C is integer math equivalent with unsigned math?,CC BY-SA 4.0,
