,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date,locked_date
0,"['c', 'objective-c', 'swift', 'xcode', 'flutter']","{'account_id': 16352485, 'reputation': 3, 'user_id': 11810601, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4379e5dea786cdd38cd60bb3d0b3316f?s=256&d=identicon&r=PG&f=1', 'display_name': 'noworries', 'link': 'https://stackoverflow.com/users/11810601/noworries'}",False,270,2,0,1668759678,1587244414,1587256365.0,61296324,CC BY-SA 4.0,https://stackoverflow.com/questions/61296324/flutter-c-interop-with-omp-h-on-ios,Flutter C Interop with omp.h on iOS,,,,,,
1,"['c#', 'c', '.net', 'visual-studio', 'xamarin']","{'account_id': 18256492, 'reputation': 65, 'user_id': 13290327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c35a26a5bbf296b1cab73cecb70501e?s=256&d=identicon&r=PG&f=1', 'display_name': 'pybll', 'link': 'https://stackoverflow.com/users/13290327/pybll'}",True,3841,5,1,1668575420,1586645382,1616877332.0,61164680,CC BY-SA 4.0,https://stackoverflow.com/questions/61164680/visual-studio-2019-installer-doesnt-start,Visual Studio 2019 Installer doesn&#39;t start,,,,,,
2,"['c', 'assembly', 'msvcrt']","{'account_id': 17791463, 'reputation': 31, 'user_id': 13288044, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/624e0fbc41a86e3a85c6fcb92bf6fa03?s=256&d=identicon&r=PG&f=1', 'display_name': 'qwertyuiqwertyui', 'link': 'https://stackoverflow.com/users/13288044/qwertyuiqwertyui'}",False,155,1,1,1668158155,1586621877,1586622940.0,61159944,CC BY-SA 4.0,https://stackoverflow.com/questions/61159944/getting-stdout-pointer-in-assembly,Getting stdout pointer in assembly,,,,,,
3,"['c', 'gtk', 'gtk3']","{'account_id': 8990551, 'reputation': 1659, 'user_id': 6702598, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/yZQB0.png?s=256&g=1', 'display_name': 'DarkTrick', 'link': 'https://stackoverflow.com/users/6702598/darktrick'}",True,513,1,1,1668026716,1587647339,,61388055,CC BY-SA 4.0,https://stackoverflow.com/questions/61388055/gtk3-how-to-propagate-key-events-accelerators-shortcuts-from-local-to-global,gtk3: How to propagate key-events/accelerators (shortcuts) from local to global?,,,,,,
4,"['c', 'visual-studio-code', 'include-path']","{'account_id': 17448840, 'reputation': 132, 'user_id': 12649245, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAloq40uuQ5ysFFR26KJYEp6t0I2CgcUFcChRKd=k-s256', 'display_name': 'Kelvin Bouma', 'link': 'https://stackoverflow.com/users/12649245/kelvin-bouma'}",True,8787,4,5,1667831422,1586260926,1586277250.0,61079599,CC BY-SA 4.0,https://stackoverflow.com/questions/61079599/includepath-in-c-cpp-properties-json-not-working-in-vscode-for-c,includePath in c_cpp_properties.json not working in VSCode for C,65136331.0,,,,,
5,"['java', 'android', 'c', 'android-ndk', 'java-native-interface']","{'account_id': 17607100, 'reputation': 91, 'user_id': 12775949, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-yvqQMIsL9x4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfxN2tQZGNJ_ZHUON-KcSlKdvGSDg/photo.jpg?sz=256', 'display_name': 'docker dev', 'link': 'https://stackoverflow.com/users/12775949/docker-dev'}",True,554,1,1,1667799891,1587727027,1667799891.0,61407109,CC BY-SA 4.0,https://stackoverflow.com/questions/61407109/using-existing-c-code-files-to-build-in-android-and-pass-information-from-my-jav,Using existing C code files to build in Android and pass information from my java code to the C code,61417904.0,,,,,
6,"['c', 'linked-list', 'polynomials']","{'account_id': 16966218, 'reputation': 31, 'user_id': 12272001, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCSgCNvZQP9GePYs3WWOqRHR3J5Ua1BTT-zivPD=k-s256', 'display_name': 'wedeservehappiness', 'link': 'https://stackoverflow.com/users/12272001/wedeservehappiness'}",False,180,0,0,1667455661,1586888773,1667455661.0,61214648,CC BY-SA 4.0,https://stackoverflow.com/questions/61214648/c-add-a-polynomial-term-to-a-linked-list-in-the-increasing-order-of-exponents,C: add a polynomial term to a linked list in the increasing order of exponents,,,,,,
7,"['c++', 'c', 'windows', 'wifi', 'sid']","{'account_id': 7312113, 'reputation': 53, 'user_id': 5570919, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/otCLL.png?s=256&g=1', 'display_name': 'Googe', 'link': 'https://stackoverflow.com/users/5570919/googe'}",True,614,1,0,1667453852,1586446461,1667453852.0,61124778,CC BY-SA 4.0,https://stackoverflow.com/questions/61124778/lookupaccountname-always-fails-with-error-122-error-insufficient-buffer,LookupAccountName Always Fails With Error 122 (ERROR_INSUFFICIENT_BUFFER),61125273.0,,,,,
8,"['c', 'file', 'file-io']","{'account_id': 17098781, 'reputation': 105, 'user_id': 12373210, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/69a75cf11e60000cb552a65b5a7fda5c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Spyros Mouchlianitis', 'link': 'https://stackoverflow.com/users/12373210/spyros-mouchlianitis'}",True,192,1,0,1666295904,1586960390,1586968803.0,61231099,CC BY-SA 4.0,https://stackoverflow.com/questions/61231099/how-to-open-a-file-in-c-without-losing-its-previous-contents,How to open a file in C without losing its previous contents?,,,,,,
9,"['c', 'cs50', 'caesar-cipher']","{'account_id': 6932413, 'reputation': 11, 'user_id': 5321504, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10207572548057879/picture?type=large', 'display_name': 'Jaden Tran', 'link': 'https://stackoverflow.com/users/5321504/jaden-tran'}",False,492,2,0,1666295546,1587474630,1587476135.0,61344370,CC BY-SA 4.0,https://stackoverflow.com/questions/61344370/cs50-caesar-check50-fail,Cs50 Caesar Check50 fail,,,,,,
