,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,migrated_from
0,"['c', 'for-loop']","{'account_id': 18711779, 'reputation': 23, 'user_id': 13641715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f729c64c39ebb3c997f0dd91d01a7780?s=256&d=identicon&r=PG&f=1', 'display_name': 'ne0.exe', 'link': 'https://stackoverflow.com/users/13641715/ne0-exe'}",True,91,1591127568.0,62160174.0,1,-1,1668723714,1591126947,1668723714.0,62160139,https://stackoverflow.com/questions/62160139/new-form-of-for-loop-in-c-language,Duplicate,New form of for loop in C language?,,
1,['c'],"{'account_id': 18531081, 'reputation': 11, 'user_id': 13501838, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjlxyj1L_4yTBUIFzZwseSInPHpzSdVs4Dti1z-kA=k-s256', 'display_name': 'insideouteyes', 'link': 'https://stackoverflow.com/users/13501838/insideouteyes'}",False,37,,,0,1,1667455135,1592066418,1667455135.0,62362795,https://stackoverflow.com/questions/62362795/fgets-breaks-when-ran-for-102-times-c-programming,,fgets breaks when ran for 102 times (C Programming),CC BY-SA 4.0,
2,"['c', 'cs50']","{'account_id': 18804717, 'reputation': 13, 'user_id': 13714318, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/21cf5abf2f63875525c1f68895e7b905?s=256&d=identicon&r=PG&f=1', 'display_name': 'mrfl275', 'link': 'https://stackoverflow.com/users/13714318/mrfl275'}",True,42,,,1,1,1667455101,1591722244,1667455101.0,62288046,https://stackoverflow.com/questions/62288046/i-keep-getting-shown-double-free-or-corruption-out-in-my-reading-program-and,,I keep getting shown &quot;double free or corruption (out)&quot; in my reading program and I&#39;m not sure what it means,CC BY-SA 4.0,
3,"['c++', 'c']","{'account_id': 18663049, 'reputation': 169, 'user_id': 13603774, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-CGMVx_H-HwI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckDYK2L4yVul7BhkhevCVJMuZmaIQ/photo.jpg?sz=256', 'display_name': 'tan', 'link': 'https://stackoverflow.com/users/13603774/tan'}",True,15975,,,6,13,1666600027,1592075576,1592123523.0,62364507,https://stackoverflow.com/questions/62364507/compiled-c-executable-is-detected-as-a-virus-by-windows-defender,,Compiled C executable is detected as a virus by windows defender,CC BY-SA 4.0,
4,"['c++', 'c', 'clang', 'clang++', 'ubuntu-20.04']","{'account_id': 1614556, 'reputation': 6522, 'user_id': 1492613, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d05f70836a7f9f7bcde2eb0142f0424e?s=256&d=identicon&r=PG', 'display_name': 'Wang', 'link': 'https://stackoverflow.com/users/1492613/wang'}",True,5134,,74083393.0,2,9,1665872187,1591913729,1591966400.0,62334452,https://stackoverflow.com/questions/62334452/fast-math-cause-undefined-reference-to-pow-finite,,fast-math cause undefined reference to `__pow_finite&#39;,CC BY-SA 4.0,
5,"['c', 'function', 'linker', 'function-declaration', 'function-definition']","{'account_id': 18724708, 'reputation': 23, 'user_id': 13651672, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2118439024968711/picture?type=large', 'display_name': 'Bacim Oueslati', 'link': 'https://stackoverflow.com/users/13651672/bacim-oueslati'}",True,2182,,62363376.0,3,1,1665616613,1592068609,1665534131.0,62363238,https://stackoverflow.com/questions/62363238/should-every-function-in-c-have-its-own-c-file-or-can-i-put-all-the-functions,,Should every function in C have its own .c file ? or can i put all the functions of my program in one .c file?,CC BY-SA 4.0,
6,"['c', 'arrays', 'readfile']","{'account_id': 18838887, 'reputation': 3, 'user_id': 13740893, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ECAzha4Ty60/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclgJGjXSYZkmAhnJVrPz8pQT8KYGA/photo.jpg?sz=256', 'display_name': 'Anne', 'link': 'https://stackoverflow.com/users/13740893/anne'}",True,251,,62392202.0,2,0,1665595767,1592070426,1592236998.0,62363602,https://stackoverflow.com/questions/62363602/how-to-read-large-number-of-columns-from-file-to-arrays-in-c,,How to read large number of columns from file to arrays in C?,CC BY-SA 4.0,
7,"['c++', 'c', 'macos', 'clang']","{'account_id': 1620950, 'reputation': 2100, 'user_id': 1497516, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/2b240f9c5894cf2dd484081db7fd719e?s=256&d=identicon&r=PG', 'display_name': 'OzB', 'link': 'https://stackoverflow.com/users/1497516/ozb'}",True,967,,62523094.0,2,3,1665392585,1592858233,1665392585.0,62523093,https://stackoverflow.com/questions/62523093/compile-llvm-from-sources-on-macos-catalina-how-to-solve-stdio-h-not-found,,Compile LLVM from sources on macOS Catalina (How to solve &quot;stdio.h&quot; not found),CC BY-SA 4.0,
8,"['c', 'makefile', 'gtk', 'gtk3']","{'account_id': 18938638, 'reputation': 1044, 'user_id': 13819183, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WjX6I.jpg?s=256&g=1', 'display_name': 'Steinn Hauser Magnusson', 'link': 'https://stackoverflow.com/users/13819183/steinn-hauser-magnusson'}",True,105,,62636969.0,2,0,1665388915,1593176819,,62595403,https://stackoverflow.com/questions/62595403/trouble-in-linking-the-libiec61850-library-with-gtk3-for-c,,Trouble in linking the libIEC61850 library with GTK3+ for C,CC BY-SA 4.0,
9,"['c', 'visual-studio-code', 'build', 'vscode-tasks']","{'account_id': 9214876, 'reputation': 378, 'user_id': 6846456, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xj3rK.png?s=256&g=1', 'display_name': 'TobTobXX', 'link': 'https://stackoverflow.com/users/6846456/tobtobxx'}",True,1170,,73014973.0,1,4,1665311186,1591773677,1665311186.0,62297913,https://stackoverflow.com/questions/62297913/visual-studio-code-run-task-on-save,,[Visual Studio Code]: Run task on save,CC BY-SA 4.0,
