,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,['c'],"{'account_id': 20367707, 'reputation': 2570, 'user_id': 14940626, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-LucAsL4MxrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclq9iM2Olu0Zf6xOn8ewBSqcr-Rfw/s96-c/photo.jpg?sz=256', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/14940626/dan'}",True,78,65636434.0,1,5,1669104414,1610139982,65636413,CC BY-SA 4.0,https://stackoverflow.com/questions/65636413/adding-two-characters-and-assigning-the-result-to-an-int-in-c,Adding two characters and assigning the result to an int in C,,,,,
1,"['c', 'function']","{'account_id': 20352333, 'reputation': 35, 'user_id': 14928717, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-qXTIx49TSaU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmP2VhU2oIYxwK31Yf-PlMrR4ze-Q/s96-c/photo.jpg?sz=256', 'display_name': 'Babak Abdolahzade', 'link': 'https://stackoverflow.com/users/14928717/babak-abdolahzade'}",True,48,65543346.0,1,2,1669071134,1609615585,65543180,CC BY-SA 4.0,https://stackoverflow.com/questions/65543180/using-struct-aliasname-for-a-function-return-type-in-c-language,Using struct Aliasname* for a function return type in C language,,,,,
2,"['c++', 'c', 'visual-studio', 'sqlite']","{'account_id': 10890580, 'reputation': 185, 'user_id': 8006506, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://i.stack.imgur.com/gmkBg.jpg?s=256&g=1', 'display_name': 'Hari prasad kasavajjala', 'link': 'https://stackoverflow.com/users/8006506/hari-prasad-kasavajjala'}",True,947,65878315.0,2,-1,1668510109,1611335908,65849805,CC BY-SA 4.0,https://stackoverflow.com/questions/65849805/c-header-files-missing-to-compile-sqlite3-c,C header files missing to compile Sqlite3.c,1668510109.0,,,,
3,"['arrays', 'c', 'string', 'while-loop', 'scanf']","{'account_id': 12210706, 'reputation': 41, 'user_id': 8912569, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5489b70fa760e432910efb762286284c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Satyam thassu', 'link': 'https://stackoverflow.com/users/8912569/satyam-thassu'}",True,554,65925068.0,2,2,1667303665,1611767019,65923893,CC BY-SA 4.0,https://stackoverflow.com/questions/65923893/how-to-store-string-value-in-specific-index-of-array-using-while-loop,How to store string value in specific index of array using while loop,1667303665.0,,,,
4,"['php', 'c', 'macos', 'yaml', 'homebrew']","{'account_id': 10874234, 'reputation': 99, 'user_id': 7995091, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-hM3DulNtCwM/AAAAAAAAAAI/AAAAAAAAACs/aBRXYtmLYcA/photo.jpg?sz=256', 'display_name': 'Kyle Ferguson', 'link': 'https://stackoverflow.com/users/7995091/kyle-ferguson'}",True,2934,,3,7,1665672465,1610673777,65729211,CC BY-SA 4.0,https://stackoverflow.com/questions/65729211/cant-install-php-yaml-extension-on-mac-big-sur,Cant install PHP yaml extension on Mac Big Sur,,,,,
5,"['c', 'printf', 'sizeof', 'size-t', 'conversion-specifier']","{'account_id': 16981326, 'reputation': 1328, 'user_id': 12283181, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/398e8e51e6741f151c69ebef04c5afa6?s=256&d=identicon&r=PG&f=1', 'display_name': 'carl.hiass', 'link': 'https://stackoverflow.com/users/12283181/carl-hiass'}",True,449,,2,1,1665435262,1610263586,65650987,CC BY-SA 4.0,https://stackoverflow.com/questions/65650987/usage-of-zd-vs-lu-for-sizeof,Usage of zd vs lu for sizeof,1665435262.0,,,,
6,"['c', 'homebrew', 'uuid']","{'account_id': 7167862, 'reputation': 1484, 'user_id': 5476399, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ppMZs.png?s=256&g=1', 'display_name': 'blkpingu', 'link': 'https://stackoverflow.com/users/5476399/blkpingu'}",True,357,,2,2,1665331318,1610555423,65705999,CC BY-SA 4.0,https://stackoverflow.com/questions/65705999/how-do-i-install-libuuid-with-homebrew-on-macos-11-1,How do I install libuuid with Homebrew on MacOS 11.1?,1665331318.0,,,,
7,"['arrays', 'c', 'swift', 'firebird']","{'account_id': 16803530, 'reputation': 64, 'user_id': 12148249, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc1e85ecc03ffb98a2ca3a32bc14c6dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'ugocottin', 'link': 'https://stackoverflow.com/users/12148249/ugocottin'}",True,96,73997895.0,2,1,1665240324,1612055571,65974827,CC BY-SA 4.0,https://stackoverflow.com/questions/65974827/unable-to-read-data-from-fixed-size-c-array-in-swift-with-out-of-bounds-data,Unable to read data from fixed size C array in Swift with out of bounds data,1612099936.0,,,,
8,"['c', 'opengl', 'glsl']","{'account_id': 18841574, 'reputation': 23, 'user_id': 13742878, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7aae294d4693f5b1e51e8fddf2a98060?s=256&d=identicon&r=PG&f=1', 'display_name': 'Riley', 'link': 'https://stackoverflow.com/users/13742878/riley'}",False,184,,1,0,1664812694,1611009682,65783041,CC BY-SA 4.0,https://stackoverflow.com/questions/65783041/syntax-error-unexpected-end-when-compiling-glsl-programs,"&quot;syntax error, unexpected $end&quot; when compiling GLSL programs?",1664812694.0,,,,
9,"['c', 'loops', 'series']","{'account_id': 11780067, 'reputation': 51, 'user_id': 8620021, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/P37Vk.jpg?s=256&g=1', 'display_name': 'Prasoon Shukla', 'link': 'https://stackoverflow.com/users/8620021/prasoon-shukla'}",True,314,65548576.0,5,0,1664241247,1609667831,65548508,CC BY-SA 4.0,https://stackoverflow.com/questions/65548508/c-program-to-print-a-series,C program to print a series,1609686269.0,,,,
10,"['c', 'embedded', 'stm32', 'stm8']","{'account_id': 20329292, 'reputation': 21, 'user_id': 14911715, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/30195d55ecdec7abb0686b21a1bbf1f4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naman Shandilya', 'link': 'https://stackoverflow.com/users/14911715/naman-shandilya'}",False,194,,1,0,1663838998,1609938022,65596251,CC BY-SA 4.0,https://stackoverflow.com/questions/65596251/issue-in-interfacing-e-ink-display-with-stm8s103f3p6-microcontroller,Issue in interfacing E-Ink display with STM8S103F3P6 microcontroller,1663838998.0,,,,
11,"['c', 'macros']","{'account_id': 8472439, 'reputation': 1607, 'user_id': 6354590, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/deb0b820eb3a35cac0947e60cdff0aaa?s=256&d=identicon&r=PG&f=1', 'display_name': 'gaurav bharadwaj', 'link': 'https://stackoverflow.com/users/6354590/gaurav-bharadwaj'}",True,488,65798632.0,1,2,1661792895,1611086249,65798613,CC BY-SA 4.0,https://stackoverflow.com/questions/65798613/stringizing-with-function-not-working,Stringizing with __FUNCTION__ not working,,,,,
12,"['c', 'visual-studio-code']","{'account_id': 20525126, 'reputation': 1, 'user_id': 15063744, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-r33B72fSNoc/AAAAAAAAAAI/AAAAAAAAAJo/AMZuuclazl-eOMqHK2b3MMGGqHq_0Iq_cg/s96-c/photo.jpg?sz=256', 'display_name': 'vineet purohit', 'link': 'https://stackoverflow.com/users/15063744/vineet-purohit'}",False,363,,1,0,1661277929,1611379643,65856041,CC BY-SA 4.0,https://stackoverflow.com/questions/65856041/vs-code-access-denied-when-executing-user-input-file-in-terminal,VS code access denied when executing user input file in terminal,1611434542.0,,,,
13,"['c', 'visual-studio-code']","{'account_id': 20528133, 'reputation': 69, 'user_id': 15066094, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-nIfJkRelcyc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmipbMIoPHgQwrEF2kdJ_-5BkNyNw/s96-c/photo.jpg?sz=256', 'display_name': 'Rehan Aziz', 'link': 'https://stackoverflow.com/users/15066094/rehan-aziz'}",True,7138,,2,5,1660714488,1611413520,65860598,CC BY-SA 4.0,https://stackoverflow.com/questions/65860598/visual-studio-code-property-console-not-allowed-error,Visual Studio Code Property Console not allowed error,1611414129.0,,,,
