,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,community_owned_date,locked_date,migrated_from,protected_date
0,"['c++', 'c', 'string']","{'account_id': 1869102, 'reputation': 1109, 'user_id': 1691818, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b166b7576366612b54f9c0d46d3abe8f?s=256&d=identicon&r=PG', 'display_name': 'OneMore', 'link': 'https://stackoverflow.com/users/1691818/onemore'}",True,13330,14095175.0,7,15,1669515912,1356901345,14094621,CC BY-SA 3.0,https://stackoverflow.com/questions/14094621/change-all-accented-letters-to-normal-letters-in-c,Change all accented letters to normal letters in C++,,,,,,,
1,['c'],"{'account_id': 1917359, 'reputation': 904, 'user_id': 1729678, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/015c4559a530fc9de9c92ebee0cfe3a9?s=256&d=identicon&r=PG', 'display_name': 'JT9', 'link': 'https://stackoverflow.com/users/1729678/jt9'}",True,85602,13887952.0,7,37,1669389886,1355529644,13887947,CC BY-SA 4.0,https://stackoverflow.com/questions/13887947/how-to-compile-and-run-c-program-on-mac-os-x,How to compile and run C program on Mac OS X,1652218117.0,,,,,,
2,"['c', 'strcpy', 'strdup']","{'account_id': 1449145, 'reputation': 1843, 'user_id': 1366644, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/e235fd611044d0357c50f9b0da519f07?s=256&d=identicon&r=PG', 'display_name': 'johan', 'link': 'https://stackoverflow.com/users/1366644/johan'}",True,83724,14021039.0,6,82,1669134090,1356346431,14020380,CC BY-SA 3.0,https://stackoverflow.com/questions/14020380/strcpy-vs-strdup,strcpy vs strdup,,,,,,,
3,"['c++', 'c', 'ssh', 'sftp', 'libssh']","{'account_id': 2102518, 'reputation': 696, 'user_id': 1869741, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c0f291b977b2099cf9c183aafa6d6a10?s=256&d=identicon&r=PG', 'display_name': 'Raphael Teubner', 'link': 'https://stackoverflow.com/users/1869741/raphael-teubner'}",True,19528,13692035.0,3,11,1668874991,1354568088,13691520,CC BY-SA 4.0,https://stackoverflow.com/questions/13691520/how-to-copy-a-file-in-c-c-with-libssh-and-sftp,How to copy a file in C/C++ with libssh and SFTP,1620638289.0,,,,,,
4,"['c', 'unix', 'pthreads', 'mutex', 'errno']","{'account_id': 2051677, 'reputation': 1483, 'user_id': 1830544, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/75a1ebf8f7c75d05e7fde4afa4e76e7f?s=256&d=identicon&r=PG', 'display_name': 'Alfred', 'link': 'https://stackoverflow.com/users/1830544/alfred'}",True,7955,14005291.0,4,3,1668799360,1356199451,14005229,CC BY-SA 3.0,https://stackoverflow.com/questions/14005229/pthread-mutex-trylock-in-linux,pthread_mutex_trylock() in Linux,,,,,,,
5,"['c++', 'c', 'heap-memory', 'stack-memory']","{'account_id': 197478, 'reputation': 4282, 'user_id': 441575, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5850d3950f566e69b3c1f176a115f5ea?s=256&d=identicon&r=PG&f=1', 'display_name': 'Raj', 'link': 'https://stackoverflow.com/users/441575/raj'}",True,12490,13720219.0,7,21,1667908473,1354698354,13719563,CC BY-SA 4.0,https://stackoverflow.com/questions/13719563/how-to-find-if-a-variable-is-allocated-in-stack-or-heap,How to find if a variable is allocated in stack or heap?,1623773537.0,,,,,,
6,"['c', 'string', 'function', 'replace']","{'account_id': 1319036, 'reputation': 174, 'user_id': 1265262, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/3032deac72d82609b8548fa3a8d1567d?s=256&d=identicon&r=PG', 'display_name': 'Mark Birger', 'link': 'https://stackoverflow.com/users/1265262/mark-birger'}",False,241,,4,1,1667843023,1354492873,13675400,CC BY-SA 4.0,https://stackoverflow.com/questions/13675400/algorithm-for-processing-the-string,Algorithm for processing the string,1667843023.0,,,,,,
7,"['c', 'sequence']","{'account_id': 1608142, 'reputation': 1083, 'user_id': 1487765, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/df29d5d32e8452f55498e185a9518d0e?s=256&d=identicon&r=PG', 'display_name': 'yuvanesh', 'link': 'https://stackoverflow.com/users/1487765/yuvanesh'}",True,1807,14044204.0,3,2,1667674940,1356543436,14044036,CC BY-SA 3.0,https://stackoverflow.com/questions/14044036/find-the-longest-non-decreasing-sub-sequence,find the longest non decreasing sub sequence,1356544449.0,,,,,,
8,"['c', 'operating-system', 'printf']","{'user_type': 'does_not_exist', 'display_name': 'user1868357'}",True,11553,13659290.0,3,13,1667523490,1354351916,13657890,,https://stackoverflow.com/questions/13657890/what-goes-behind-printf-in-c,What goes behind printf in C?,1495541422.0,1354364641.0,exact duplicate,,,,
9,"['c', 'gcc', 'c99']","{'account_id': 516016, 'reputation': 62577, 'user_id': 962891, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/7Bcxm.png?s=256&g=1', 'display_name': 'Homunculus Reticulli', 'link': 'https://stackoverflow.com/users/962891/homunculus-reticulli'}",True,12789,14050198.0,2,6,1666897909,1356588542,14050183,CC BY-SA 4.0,https://stackoverflow.com/questions/14050183/implicit-declaration-of-function-strncasecmp-werror-implicit-function-decl,Implicit declaration of function ‘str[n]casecmp’ [-Werror=implicit-function-declaration],1666897909.0,,,,,,
10,['c'],"{'account_id': 2121171, 'reputation': 1, 'user_id': 1884376, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/55a5e4c56405027647e728442ea6f125?s=256&d=identicon&r=PG', 'display_name': 'mobilityRadeon', 'link': 'https://stackoverflow.com/users/1884376/mobilityradeon'}",True,73,,1,0,1665613967,1354854852,13756962,CC BY-SA 4.0,https://stackoverflow.com/questions/13756962/finding-the-minimum-number-named-as-n-from-the-function-of-e,Finding the minimum number (named as &quot;n&quot;) from the function of e,1665613967.0,,,,,,
11,['c'],"{'account_id': 2181529, 'reputation': 211, 'user_id': 1930901, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ff3bf05998b7075861c68822c01125b4?s=256&d=identicon&r=PG', 'display_name': 'user1930901', 'link': 'https://stackoverflow.com/users/1930901/user1930901'}",True,102,,2,-5,1665613563,1356603010,14052880,,https://stackoverflow.com/questions/14052880/difficulty-with-files-in-a-c-database,Difficulty with files in a C database,1665613563.0,1356764611.0,not a real question,,,,
12,"['c', 'stack']","{'account_id': 1946726, 'reputation': 2515, 'user_id': 1751692, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/Qs0vK.jpg?s=256&g=1', 'display_name': 'PhoonOne', 'link': 'https://stackoverflow.com/users/1751692/phoonone'}",True,1354,13714696.0,2,0,1665547501,1354666510,13714284,CC BY-SA 3.0,https://stackoverflow.com/questions/13714284/stack-of-cards-and-the-game-of-war,Stack of cards and the game of War,1354667080.0,,,,,,
13,"['c++', 'c', 'linux', 'infinite-loop', 'daemon']","{'account_id': 196922, 'reputation': 15137, 'user_id': 440646, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/100a92bf127fb31cfd90962ac793baf5?s=256&d=identicon&r=PG', 'display_name': 'resting', 'link': 'https://stackoverflow.com/users/440646/resting'}",True,18549,13680552.0,3,27,1664615954,1354527551,13680512,CC BY-SA 4.0,https://stackoverflow.com/questions/13680512/does-endless-while-loop-take-up-cpu-resources,Does endless While loop take up CPU resources?,1664615954.0,,,,,,
14,"['c', 'linux', 'assembly', 'gcc', 'x86']","{'account_id': 2108539, 'reputation': 119, 'user_id': 1874284, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/c41bc8ab43e4c36e8fad911c1fa3b726?s=256&d=identicon&r=PG', 'display_name': 'Ali U.', 'link': 'https://stackoverflow.com/users/1874284/ali-u'}",True,54894,,5,9,1664363163,1355660660,13901261,CC BY-SA 4.0,https://stackoverflow.com/questions/13901261/calling-assembly-function-from-c,calling assembly function from c,1611296347.0,,,,,,
15,"['c++', 'c', 'ffmpeg', 'thread-safety', 'libav']","{'account_id': 1996279, 'reputation': 167, 'user_id': 1846448, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/515691d4e22249132e49947130a52959?s=256&d=identicon&r=PG', 'display_name': 'user71512', 'link': 'https://stackoverflow.com/users/1846448/user71512'}",True,6281,13896657.0,2,6,1663188506,1355540463,13888915,CC BY-SA 4.0,https://stackoverflow.com/questions/13888915/thread-safety-of-libav-ffmpeg,Thread Safety of LibAv/FFMpeg?,1663180001.0,,,,,,
