,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,protected_date
0,"['c', 'sorting']","{'account_id': 15463059, 'reputation': 165, 'user_id': 11155208, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6dd378baac5dae07f7567ceae0c2e0b0?s=256&d=identicon&r=PG&f=1', 'display_name': 'codeR', 'link': 'https://stackoverflow.com/users/11155208/coder'}",True,7869,55021907.0,5,3,1668783833,1551806743,1551817868.0,55008384,CC BY-SA 4.0,https://stackoverflow.com/questions/55008384/can-quicksort-be-implemented-in-c-without-stack-and-recursion,Can quicksort be implemented in C without stack and recursion?,,,,
1,"['c', 'pointers', 'constants', 'glibc']","{'account_id': 5976642, 'reputation': 3719, 'user_id': 6872717, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/UCuzs.png?s=256&g=1', 'display_name': 'alx', 'link': 'https://stackoverflow.com/users/6872717/alx'}",True,469,55232244.0,2,4,1668107567,1552955722,,55232038,CC BY-SA 4.0,https://stackoverflow.com/questions/55232038/return-type-for-strchr-non-const,return type for strchr() non const?,,,,
2,['c'],"{'account_id': 15326714, 'reputation': 21, 'user_id': 11057650, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/94qCI.jpg?s=256&g=1', 'display_name': 'Lester Crest', 'link': 'https://stackoverflow.com/users/11057650/lester-crest'}",True,58,55263775.0,2,1,1665591862,1553092751,1665591862.0,55263404,CC BY-SA 4.0,https://stackoverflow.com/questions/55263404/how-to-add-keep-asking-for-user-input-and-save-all-input-to-file,How to add keep asking for user input and save all input to file,,,,
3,"['c', 'gcc', 'profiling']","{'account_id': 4531205, 'reputation': 1129, 'user_id': 4526336, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://lh5.googleusercontent.com/-BO8B82i2_3s/AAAAAAAAAAI/AAAAAAAAADE/rFZk81Re8II/photo.jpg?sz=256', 'display_name': 'Brydon Gibson', 'link': 'https://stackoverflow.com/users/4526336/brydon-gibson'}",True,209,,2,0,1665525319,1551973357,,55047671,CC BY-SA 4.0,https://stackoverflow.com/questions/55047671/get-a-function-name-from-the-symbol-table-at-compile-time,Get a function name from the symbol table at compile time,,,,
4,"['c', 'if-statement', 'null']","{'account_id': 15436944, 'reputation': 43, 'user_id': 11136772, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb8ceb48fe96a763b04932ea6c104690?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sandesh Ghimire', 'link': 'https://stackoverflow.com/users/11136772/sandesh-ghimire'}",True,3928,,3,2,1665317576,1551932537,1551933999.0,55036051,CC BY-SA 4.0,https://stackoverflow.com/questions/55036051/why-is-passing-null-in-if-else-condition-true-in-c,Why is passing (!NULL) in if-else condition true in C?,,,,
5,"['c', 'opengl', 'rendering']","{'account_id': 2464329, 'reputation': 829, 'user_id': 2147770, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/80b0509ef867549331df9680b1c2541f?s=256&d=identicon&r=PG', 'display_name': 'S&#233;bastien B&#233;melmans', 'link': 'https://stackoverflow.com/users/2147770/s%c3%a9bastien-b%c3%a9melmans'}",True,922,55170098.0,1,3,1665089877,1552585825,1665089877.0,55169053,CC BY-SA 4.0,https://stackoverflow.com/questions/55169053/opengl-render-to-cubemap-using-dsa-direct-state-access,OpenGL render to cubemap using DSA (Direct State Access),,,,
6,"['c', 'linux', 'assembly', 'x86', 'binary-bomb']","{'account_id': 12147933, 'reputation': 55, 'user_id': 8869444, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a623ed6f7fb5ef31e5e0631d4b3b9de?s=256&d=identicon&r=PG&f=1', 'display_name': 'Henry Chen', 'link': 'https://stackoverflow.com/users/8869444/henry-chen'}",True,1502,55038157.0,1,2,1664715956,1551891721,1664715956.0,55028487,CC BY-SA 4.0,https://stackoverflow.com/questions/55028487/how-to-defuse-this-binary-bomb-phase-4,how to defuse this binary bomb phase 4,,,,
7,"['c', 'ssl', 'curl', 'openssl', 'tls1.3']","{'account_id': 1235774, 'reputation': 1055, 'user_id': 1199381, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/Xqe74.jpg?s=256&g=1', 'display_name': 'Brijesh Valera', 'link': 'https://stackoverflow.com/users/1199381/brijesh-valera'}",True,18486,,3,9,1664147105,1551769003,1551811359.0,54997035,CC BY-SA 4.0,https://stackoverflow.com/questions/54997035/curl-rsa-padding-check-pkcs1-type-1invalid-padding,curl: RSA_padding_check_PKCS1_type_1:invalid padding,,,,
8,['c'],"{'account_id': 10963267, 'reputation': 35, 'user_id': 8055845, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9ecb6c31f859ff950d3cb37596d1ef26?s=256&d=identicon&r=PG&f=1', 'display_name': 'Zakys98', 'link': 'https://stackoverflow.com/users/8055845/zakys98'}",True,77,55089366.0,1,-2,1663881129,1552232162,1663660190.0,55089328,CC BY-SA 4.0,https://stackoverflow.com/questions/55089328/array-allocation-in-structure,Array allocation in structure,,,,
9,"['c', 'variadic-functions']","{'account_id': 7690561, 'reputation': 157, 'user_id': 6899451, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d89cba201ca3978c82d255b88727161d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Math', 'link': 'https://stackoverflow.com/users/6899451/math'}",True,138,55295075.0,2,-1,1663211188,1553240828,1663211188.0,55295014,CC BY-SA 4.0,https://stackoverflow.com/questions/55295014/strange-output-iterating-va-list-varibles,Strange output iterating va_list varibles,,,,
10,"['c', 'linux-kernel', 'kernel-module', 'vdso']","{'account_id': 9172661, 'reputation': 109, 'user_id': 6819537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b28e45a9f6258d1a1a8f9ddbc46824fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Massimiliano Di Cavio', 'link': 'https://stackoverflow.com/users/6819537/massimiliano-di-cavio'}",True,443,55389677.0,2,1,1662595477,1553605706,,55357984,CC BY-SA 4.0,https://stackoverflow.com/questions/55357984/is-there-a-way-to-create-a-vdso-with-the-latest-kernel,Is there a way to create a vDSO with the latest kernel?,,,,
11,"['c++', 'c', 'unicode', 'unions']","{'account_id': 15482683, 'reputation': 23, 'user_id': 11169479, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-iLEEXrag54w/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdsv5gdsuj1di7amTxKOeJZ4e7m5w/mo/photo.jpg?sz=256', 'display_name': 'Maram', 'link': 'https://stackoverflow.com/users/11169479/maram'}",True,118,55059056.0,2,1,1661804594,1552031976,1661804594.0,55058935,CC BY-SA 4.0,https://stackoverflow.com/questions/55058935/unicode-of-char-misused-for-int,unicode of char misused for int,,,,
