,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,migrated_from
0,"['c', 'data-structures']","{'account_id': 12665035, 'reputation': 9, 'user_id': 9204642, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ad4bbe4d7a42317c0acdd8deb2e8ed3a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rosch Rocks', 'link': 'https://stackoverflow.com/users/9204642/rosch-rocks'}",False,8399,2,0,1665961290,1568175123,1619697710.0,57882040,CC BY-SA 4.0,https://stackoverflow.com/questions/57882040/creating-a-phonebook-using-linked-list-and-file-operations,Creating a phonebook using linked list and file operations,,,,
1,['c'],"{'account_id': 9888026, 'reputation': 2155, 'user_id': 7321961, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/b8c1a12e677622cb5818e155f6190c4c?s=256&d=identicon&r=PG&f=1', 'display_name': 'jwkoo', 'link': 'https://stackoverflow.com/users/7321961/jwkoo'}",True,89,1,-1,1665595658,1568568997,1665595658.0,57946617,,https://stackoverflow.com/questions/57946617/unsigned-integer-divison-example,unsigned integer divison example,1568627174.0,Needs details or clarity,,
2,"['c++', 'c', 'debugging', 'assert']","{'account_id': 179242, 'reputation': 5484, 'user_id': 411768, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/68c7cc0d48dc36878142557289acbd02?s=256&d=identicon&r=PG', 'display_name': 'shuhalo', 'link': 'https://stackoverflow.com/users/411768/shuhalo'}",True,10206,9,13,1665514551,1568298704,,57908992,CC BY-SA 4.0,https://stackoverflow.com/questions/57908992/better-alternatives-to-assertfalse-in-c-c,Better alternatives to assert(false) in C/C++,,,57909024.0,
3,"['c++', 'c', 'warnings', 'compiler-warnings', 'c++-faq']","{'account_id': 406349, 'reputation': 107372, 'user_id': 775806, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/XNd2C.png?s=256&g=1', 'display_name': 'n. m.', 'link': 'https://stackoverflow.com/users/775806/n-m'}",True,38039,20,342,1662117178,1567952435,1570558390.0,57842756,CC BY-SA 4.0,https://stackoverflow.com/questions/57842756/why-should-i-always-enable-compiler-warnings,Why should I always enable compiler warnings?,,,57842757.0,
4,"['c', 'crc', 'lookup-tables']","{'account_id': 16690234, 'reputation': 39, 'user_id': 12063027, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/4dOYv.jpg?s=256&g=1', 'display_name': 'IKA', 'link': 'https://stackoverflow.com/users/12063027/ika'}",True,7915,2,2,1662088017,1568376114,1654875090.0,57923291,CC BY-SA 4.0,https://stackoverflow.com/questions/57923291/finding-polynomial-used-in-crc-8-calculation-table,Finding polynomial used in CRC-8 calculation table,,,57924552.0,
5,"['c', 'sockets', 'tcp', 'udp']","{'account_id': 9723364, 'reputation': 49, 'user_id': 7211314, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/325ac495e2175169b8b2f7fa2f605357?s=256&d=identicon&r=PG&f=1', 'display_name': 'ylwester', 'link': 'https://stackoverflow.com/users/7211314/ylwester'}",True,6957,3,0,1660092125,1567624377,,57794550,CC BY-SA 4.0,https://stackoverflow.com/questions/57794550/sending-large-files-over-udp,Sending large files over UDP,,,,
6,"['c', 'arduino', 'at-command']","{'account_id': 16662236, 'reputation': 1, 'user_id': 12041903, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/18ce31974204153fcfb2955844ec1815?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hussam', 'link': 'https://stackoverflow.com/users/12041903/hussam'}",False,418,1,0,1659720943,1568037510,1568037914.0,57855533,CC BY-SA 4.0,https://stackoverflow.com/questions/57855533/http-error-when-trying-to-send-data-from-arduino-to-sql-server-httpaction-0-3,"HTTP Error When trying to send data from arduino to sql server. +HTTPACTION: 0,301,305",,,,
7,"['python', 'c', 'tensorflow', 'keras']","{'account_id': 5036815, 'reputation': 374, 'user_id': 4045358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7a4155a2b1de9702bfc105612a44dce9?s=256&d=identicon&r=PG&f=1', 'display_name': 'jregalad', 'link': 'https://stackoverflow.com/users/4045358/jregalad'}",False,2495,1,8,1659537832,1568813001,,57993832,CC BY-SA 4.0,https://stackoverflow.com/questions/57993832/load-weights-from-checkpoint-not-working-in-keras-model,Load weights from checkpoint not working in keras model,,,,
8,"['c', 'linux', 'routing', 'ioctl']","{'account_id': 15093210, 'reputation': 11, 'user_id': 10892441, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f9f2b7e426f8829ee0f25eabccdf7d90?s=256&d=identicon&r=PG&f=1', 'display_name': 'Asdas', 'link': 'https://stackoverflow.com/users/10892441/asdas'}",False,1309,1,0,1659435677,1568755246,1568757928.0,57982213,CC BY-SA 4.0,https://stackoverflow.com/questions/57982213/how-to-add-route-programmatically-in-c-using-ioctl,How to add route programmatically in C using ioctl?,,,,
9,"['c', 'xcode', 'gcc', 'clang']","{'account_id': 1115401, 'reputation': 2085, 'user_id': 1104854, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/c310125176e9e7b3f2e14d41f5406ec1?s=256&d=identicon&r=PG', 'display_name': 'user1104854', 'link': 'https://stackoverflow.com/users/1104854/user1104854'}",True,3129,2,2,1658439682,1568326728,1568332335.0,57915149,CC BY-SA 4.0,https://stackoverflow.com/questions/57915149/using-c11-standard-with-clang-for-use-of-strcpy-s,using c11 standard with clang for use of strcpy_s,,,57915261.0,
