,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from
0,"['c', 'gcc', 'rust', 'rust-tokio']","{'account_id': 19805944, 'reputation': 288, 'user_id': 14505884, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/coESw.jpg?s=256&g=1', 'display_name': 'HippoBaguette', 'link': 'https://stackoverflow.com/users/14505884/hippobaguette'}",True,3427,2,1,1666942131,1624787906,68149955,CC BY-SA 4.0,https://stackoverflow.com/questions/68149955/rust-sorry-unimplemented-64-bit-mode-not-compiled-in,"Rust - sorry, unimplemented: 64-bit mode not compiled in",,,,,
1,"['c', 'optimization', 'microcontroller', 'atmelstudio', 'attiny']","{'account_id': 6555883, 'reputation': 123, 'user_id': 15598379, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6b3f39007cd719ea7eb92f774b03cb29?s=256&d=identicon&r=PG&f=1', 'display_name': 'Wossname', 'link': 'https://stackoverflow.com/users/15598379/wossname'}",True,131,2,1,1666897676,1622570883,67793987,CC BY-SA 4.0,https://stackoverflow.com/questions/67793987/optimising-c-code-for-small-size-sharing-static-variables,Optimising C code for small size - sharing static variables?,67794398.0,1622573800.0,,,
2,"['c', 'macos', 'codeblocks', 'nosuchfileexception']","{'account_id': 22042385, 'reputation': 1, 'user_id': 16308006, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgKeBkKZHFIbfl76vNZVW7sFOweUzWfAnMCuO47Bg=k-s256', 'display_name': 'deep krishnan', 'link': 'https://stackoverflow.com/users/16308006/deep-krishnan'}",False,352,0,0,1666609680,1624549085,68118787,CC BY-SA 4.0,https://stackoverflow.com/questions/68118787/no-such-file-or-directory-error-on-code-blocks-in-mac,No such file or directory error on code blocks in Mac,,1666609680.0,,,
3,"['c', 'gcc', 'dynamic-library', 'ld-preload']","{'account_id': 3032157, 'reputation': 27394, 'user_id': 4561887, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/1ecb6a74fca21551bd8157504ad47faf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gabriel Staples', 'link': 'https://stackoverflow.com/users/4561887/gabriel-staples'}",True,308,2,0,1665592305,1624926174,68171246,CC BY-SA 4.0,https://stackoverflow.com/questions/68171246/in-gcc-is-there-any-way-to-dynamically-add-a-function-call-to-the-start-of-main,In gcc is there any way to dynamically add a function call to the start of main()?,68219244.0,1624976363.0,,,
4,"['python', 'c', 'ubuntu']","{'account_id': 9600179, 'reputation': 27, 'user_id': 7128000, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1065865230177621/picture?type=large', 'display_name': 'Ameen Izhac', 'link': 'https://stackoverflow.com/users/7128000/ameen-izhac'}",True,239,2,1,1665140800,1623344127,67925492,CC BY-SA 4.0,https://stackoverflow.com/questions/67925492/python-h-no-such-file-or-directory,&quot;&lt;Python.h&gt; no such file or directory&quot;,67925994.0,,,,
5,"['c', 'error-handling', 'errno', 'eintr']","{'account_id': 21866301, 'reputation': 1056, 'user_id': 16217248, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/620094ff81279d4f0d59abef846b6ace?s=256&d=identicon&r=PG&f=1', 'display_name': 'user16217248', 'link': 'https://stackoverflow.com/users/16217248/user16217248'}",False,310,0,1,1664159756,1624225592,68060289,CC BY-SA 4.0,https://stackoverflow.com/questions/68060289/should-i-retry-system-calls-that-fail-because-of-eintr,Should I retry system calls that fail because of EINTR?,,1664159756.0,,,
6,"['python', 'c', 'python-cffi', 'cffi']","{'account_id': 8079840, 'reputation': 67, 'user_id': 6089494, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ce8ec5d019698f4354bb2730806fdd3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/6089494/matt'}",True,296,1,1,1663386393,1622740521,67825899,CC BY-SA 4.0,https://stackoverflow.com/questions/67825899/cffi-and-char-as-an-argument,Cffi and char** as an argument,,,,,
7,"['c', 'gcc', 'inline-assembly', 'volatile', 'memory-barriers']","{'account_id': 20311583, 'reputation': 189, 'user_id': 15465233, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-gtEidNVdUpk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfv9bXHEd6plLHH6ZIhR6PEFpkig/s96-c/photo.jpg?sz=256', 'display_name': 'zzzhhh', 'link': 'https://stackoverflow.com/users/15465233/zzzhhh'}",True,1002,2,-1,1663357709,1623446182,67943540,CC BY-SA 4.0,https://stackoverflow.com/questions/67943540/why-can-asm-volatile-memory-serve-as-a-compiler-barrier,Why can `asm volatile(&quot;&quot; ::: &quot;memory&quot;)` serve as a compiler barrier?,67944421.0,1623452957.0,,,
8,"['c', 'filter', 'cs50', 'edge-detection', 'edx']","{'account_id': 13798008, 'reputation': 103, 'user_id': 9964115, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/J9azd.jpg?s=256&g=1', 'display_name': 'Mateaș Mario', 'link': 'https://stackoverflow.com/users/9964115/matea%c8%99-mario'}",True,214,2,0,1662563402,1624531558,68114261,CC BY-SA 4.0,https://stackoverflow.com/questions/68114261/cs50-filter-edge-returns-white-image,CS50 Filter &#39;Edge&#39; returns white image,68115323.0,,,,
9,"['c', 'struct', 'unions']","{'account_id': 14791727, 'reputation': 147, 'user_id': 10958195, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d36c9683e3bcfe21bb55425d8586b723?s=256&d=identicon&r=PG&f=1', 'display_name': 'Londo', 'link': 'https://stackoverflow.com/users/10958195/londo'}",True,283,2,1,1662528468,1623130902,67882000,CC BY-SA 4.0,https://stackoverflow.com/questions/67882000/data-of-a-struct-into-a-union,Data of a struct into a union,67882239.0,1662528468.0,,,
