,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['c', 'unit-testing', 'configure', 'cunit']","{'account_id': 1136091, 'reputation': 4006, 'user_id': 1121139, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://i.stack.imgur.com/c8ZRU.jpg?s=256&g=1', 'display_name': 'guisantogui', 'link': 'https://stackoverflow.com/users/1121139/guisantogui'}",False,8968,2,1,1669550690,1337017301,1341525314.0,10588378,CC BY-SA 3.0,https://stackoverflow.com/questions/10588378/importing-cunit-sources,Importing CUnit sources,,,,,,
1,"['c', 'gcc', 'pow', 'math.h']","{'account_id': 1517667, 'reputation': 151, 'user_id': 1418277, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/247f5e98f6070976e0eb11b6f51208bc?s=256&d=identicon&r=PG', 'display_name': 'hamb', 'link': 'https://stackoverflow.com/users/1418277/hamb'}",True,62747,5,9,1669413214,1338123744,1338124099.0,10774177,CC BY-SA 3.0,https://stackoverflow.com/questions/10774177/pow-function-in-c,pow function in C,10774199.0,,,,,
2,"['c', 'performance', 'winapi', 'performancecounter', 'intel-pmu']","{'account_id': 259071, 'reputation': 200635, 'user_id': 541686, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/f2d0d2c0f7a83e2f8797a5ae79a324b6?s=256&d=identicon&r=PG', 'display_name': 'user541686', 'link': 'https://stackoverflow.com/users/541686/user541686'}",True,2474,3,2,1669196814,1337298082,1508009021.0,10644919,CC BY-SA 3.0,https://stackoverflow.com/questions/10644919/intel-performance-monitor-any-way-to-monitor-per-process,Intel Performance Monitor -- any way to monitor per-process?,,,,,,
3,"['c', 'gcc', 'unicode']","{'account_id': 395044, 'reputation': 2694, 'user_id': 757808, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/3d68e27bc7504fe519d4d8c93f5204c7?s=256&d=identicon&r=PG', 'display_name': 'Ulterior', 'link': 'https://stackoverflow.com/users/757808/ulterior'}",True,5834,7,2,1669049131,1336125991,,10446754,CC BY-SA 3.0,https://stackoverflow.com/questions/10446754/vsnwprintf-alternative-on-linux,vsnwprintf alternative on linux,10446890.0,,,,,
4,"['c', 'bash', 'shell', 'command-line', 'terminal']","{'account_id': 474764, 'reputation': 3407, 'user_id': 884652, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/477556bbd7ac8b05ba1eefeef785b7a3?s=256&d=identicon&r=PG', 'display_name': 'Jonovono', 'link': 'https://stackoverflow.com/users/884652/jonovono'}",True,275,5,2,1668095257,1337815931,,10729303,CC BY-SA 3.0,https://stackoverflow.com/questions/10729303/hooks-on-terminal-can-i-call-a-method-before-a-command-is-run-in-the-terminal,Hooks on terminal. Can I call a method before a command is run in the terminal?,,,,,,
5,"['c', 'strtol', 'c-standard-library']","{'account_id': 1442787, 'reputation': 3313, 'user_id': 1362366, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/GcrmP.jpg?s=256&g=1', 'display_name': 'Mark E', 'link': 'https://stackoverflow.com/users/1362366/mark-e'}",True,1119,1,4,1667737182,1337302601,1667737182.0,10645420,CC BY-SA 4.0,https://stackoverflow.com/questions/10645420/weird-crash-with-strtol-in-c,weird crash with strtol() in C,10645472.0,,,,,
6,"['c', 'linux', 'performance', 'microprocessors']","{'account_id': 1478230, 'reputation': 319, 'user_id': 1394356, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/82c479969c7d0a1184d3bd605b66b6a1?s=256&d=identicon&r=PG', 'display_name': 'William the Pleaser', 'link': 'https://stackoverflow.com/users/1394356/william-the-pleaser'}",True,14819,6,20,1667533688,1337018238,1337102265.0,10588567,CC BY-SA 3.0,https://stackoverflow.com/questions/10588567/how-can-i-cause-an-instruction-cache-miss,How can I cause an instruction cache miss?,,,,,,
7,"['c', 'pointers', 'assignment-operator']","{'account_id': 1355514, 'reputation': 815, 'user_id': 1293997, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/37bf22b987e33be9171f6943122b7b7c?s=256&d=identicon&r=PG', 'display_name': 'user1293997', 'link': 'https://stackoverflow.com/users/1293997/user1293997'}",True,23718,6,5,1667421284,1336424274,1536146355.0,10489027,CC BY-SA 4.0,https://stackoverflow.com/questions/10489027/assigning-a-pointer-to-an-integer,Assigning a pointer to an integer,10489616.0,,,,,
8,"['c', 'debugging', 'gdb']","{'account_id': 914786, 'reputation': 872, 'user_id': 947839, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/813a73d7279efdda53dc8cd61a2348a2?s=256&d=identicon&r=PG', 'display_name': 'Luke Peterson', 'link': 'https://stackoverflow.com/users/947839/luke-peterson'}",True,4675,4,9,1667137832,1336470166,1667137249.0,10496195,CC BY-SA 4.0,https://stackoverflow.com/questions/10496195/gdb-macro-symbols-are-not-present-even-when-using-g3-or-ggdb3-or-gdwarf-4,GDB macro symbols are not present even when using -g3 or -ggdb3 or -gdwarf-4,10496376.0,,,,,
9,"['c', 'localization', 'internationalization', 'gettext']","{'user_type': 'does_not_exist', 'display_name': 'user945967'}",True,606,3,9,1665810010,1336845203,1665810010.0,10566109,CC BY-SA 4.0,https://stackoverflow.com/questions/10566109/fputs-what-does-the-underscore-stand-for,fputs( _(&quot;&quot;) ) what does the underscore stand for?,10566149.0,,,,,
