,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from,locked_date
0,"['c', 'linux', 'makefile', 'gnu-make']","{'user_type': 'does_not_exist', 'display_name': 'user4395023'}",True,1310,56065366.0,2,0,1669135814,1557424259,1557433881.0,56064983,CC BY-SA 4.0,https://stackoverflow.com/questions/56064983/automatic-variable-not-expanding-properly-in-makefile,Automatic variable not expanding properly in Makefile,,,,
1,"['c', 'gcc', 'header', 'intel', 'intrinsics']","{'account_id': 325643, 'reputation': 12778, 'user_id': 646947, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3f954319b2491c00532c2f40ca984e5d?s=256&d=identicon&r=PG', 'display_name': 'Cyan', 'link': 'https://stackoverflow.com/users/646947/cyan'}",True,2588,56049645.0,1,2,1668759390,1557349898,1557350384.0,56049110,CC BY-SA 4.0,https://stackoverflow.com/questions/56049110/including-the-correct-intrinsic-header,Including the correct intrinsic header,,,,
2,"['c', 'cmake', 'mingw', 'clion']","{'account_id': 15852869, 'reputation': 31, 'user_id': 11438195, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8835f44a97ff274e252ad94a3d3060e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'alecander', 'link': 'https://stackoverflow.com/users/11438195/alecander'}",False,12204,,2,3,1668369645,1556731278,1556734450.0,55940045,CC BY-SA 4.0,https://stackoverflow.com/questions/55940045/c-compiler-broken-is-not-able-to-compile-a-simple-test-program,C compiler broken: is not able to compile a simple test program,,,,
3,"['c', 'keyword']","{'account_id': 4060173, 'reputation': 29382, 'user_id': 6699433, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/1mOTM.jpg?s=256&g=1', 'display_name': 'klutt', 'link': 'https://stackoverflow.com/users/6699433/klutt'}",True,754,56212489.0,3,13,1667689832,1558299081,1580904512.0,56211904,CC BY-SA 4.0,https://stackoverflow.com/questions/56211904/why-does-c-have-keywords-starting-with-underscore,Why does C have keywords starting with underscore,,,,
4,"['c++', 'c', 'gcc', 'cmake', 'ld']","{'account_id': 3992330, 'reputation': 1156, 'user_id': 3290848, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/51ba190445123c026ddf012ff947302e?s=256&d=identicon&r=PG&f=1', 'display_name': 'NorbertM', 'link': 'https://stackoverflow.com/users/3290848/norbertm'}",True,3666,56283942.0,1,3,1666250533,1558652742,1666250533.0,56283941,CC BY-SA 4.0,https://stackoverflow.com/questions/56283941/why-gcc-gc-sections-and-ffunction-sections-is-not-working-cmake-build,Why GCC --gc-sections and -ffunction-sections is not working? (cmake build),,,,
5,"['c++', 'c', 'language-lawyer', 'signed', 'integer-overflow']","{'account_id': 5823909, 'reputation': 120836, 'user_id': 4593267, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/EEyLy.jpg?s=256&g=1', 'display_name': 'chqrlie', 'link': 'https://stackoverflow.com/users/4593267/chqrlie'}",True,1013,56051070.0,4,40,1666120824,1557343350,1666120824.0,56047702,CC BY-SA 4.0,https://stackoverflow.com/questions/56047702/is-there-some-meaningful-statistical-data-to-justify-keeping-signed-integer-arit,Is there some meaningful statistical data to justify keeping signed integer arithmetic overflow undefined?,,,,
6,"['c', 'arrays', 'missing-data']","{'account_id': 16037110, 'reputation': 1, 'user_id': 11574514, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-mBda3n5-1QI/AAAAAAAAAAI/AAAAAAAAANw/bSF5FJllVdw/photo.jpg?sz=256', 'display_name': 'Venkateswara rao Kayitha', 'link': 'https://stackoverflow.com/users/11574514/venkateswara-rao-kayitha'}",True,2266,,3,0,1665045769,1559154660,1559154820.0,56366596,CC BY-SA 4.0,https://stackoverflow.com/questions/56366596/missing-number-in-array-in-c-programming,Missing number in array in C programming,,,,
7,['c'],"{'user_type': 'does_not_exist', 'display_name': 'user8910676'}",True,1651,56214895.0,1,0,1662505613,1558330643,1662505613.0,56214828,CC BY-SA 4.0,https://stackoverflow.com/questions/56214828/empty-character-constant-in-c,Empty character constant in C,,,,
8,"['c++', 'c', 'windows', 'clang', 'llvm']","{'account_id': 12919606, 'reputation': 601, 'user_id': 9342577, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-ggnVul0bOpo/AAAAAAAAAAI/AAAAAAAAADY/G5r3S70PxQ4/photo.jpg?sz=256', 'display_name': 'Link0', 'link': 'https://stackoverflow.com/users/9342577/link0'}",True,5758,64292222.0,1,14,1662373986,1557143816,1662373986.0,56004739,CC BY-SA 4.0,https://stackoverflow.com/questions/56004739/clang-not-generating-debug-info-on-g-flag,Clang not generating debug info on -g flag,,,,
9,"['c', 'ide', 'clion', 'jetbrains-ide']","{'account_id': 5858656, 'reputation': 1, 'user_id': 7700131, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/crYWV.gif?s=256&g=1', 'display_name': 'eis3nheim', 'link': 'https://stackoverflow.com/users/7700131/eis3nheim'}",False,676,,2,0,1660890449,1556871913,1556880449.0,55965941,CC BY-SA 4.0,https://stackoverflow.com/questions/55965941/why-is-there-an-extra-space-in-console-output-of-clion,Why is there an extra space in console output of CLion?,,,,
