,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason,migrated_from
0,"['c', 'format-specifiers']","{'account_id': 1134283, 'reputation': 151, 'user_id': 1119685, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/dca9ebe8600366436d4f86b0f6b8cc51?s=256&d=identicon&r=PG', 'display_name': 'Prateek', 'link': 'https://stackoverflow.com/users/1119685/prateek'}",True,11389,11673569.0,6,7,1667709364,1343318952,1590950672.0,11673503,CC BY-SA 4.0,https://stackoverflow.com/questions/11673503/using-f-to-print-an-integer-variable,Using %f to print an integer variable,,,,,
1,"['c', 'unix', 'chmod', 'stat']","{'account_id': 1636837, 'reputation': 66, 'user_id': 1510101, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cc66f8d47c13b30f977d69ebb9f6685a?s=256&d=identicon&r=PG', 'display_name': 'Stephen Smally', 'link': 'https://stackoverflow.com/users/1510101/stephen-smally'}",False,9676,,3,0,1667696881,1343306425,1343313355.0,11669504,CC BY-SA 3.0,https://stackoverflow.com/questions/11669504/store-st-mode-from-stat-in-a-file-and-reuse-it-in-chmod,Store st_mode (from stat) in a file and reuse it in chmod,,,,,
2,"['c', 'arrays', 'pointers', 'char']","{'account_id': 1632670, 'reputation': 2277, 'user_id': 1506919, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/3ee079a6da78678821267f55083f108c?s=256&d=identicon&r=PG', 'display_name': 'user1506919', 'link': 'https://stackoverflow.com/users/1506919/user1506919'}",True,494638,11656585.0,8,199,1667506913,1343242025,1667504104.0,11656532,CC BY-SA 4.0,https://stackoverflow.com/questions/11656532/returning-an-array-using-c,Returning an array using C,1462202138.0,,,,
3,"['c', 'parsing', 'gcc', 'cross-compiling', 'objdump']","{'account_id': 174298, 'reputation': 4642, 'user_id': 403571, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/c50481e6b5ce49d4779e0adbd2e85b68?s=256&d=identicon&r=PG', 'display_name': 'RushPL', 'link': 'https://stackoverflow.com/users/403571/rushpl'}",True,53256,11720779.0,4,42,1666960304,1343646831,,11720340,CC BY-SA 3.0,https://stackoverflow.com/questions/11720340/tool-to-analyze-size-of-elf-sections-and-symbol,Tool to analyze size of ELF sections and symbol,,,,,
4,"['c', 'gcc', 'modulo', 'negative-number']","{'account_id': 1066162, 'reputation': 2782, 'user_id': 1066676, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cdd89682ec9c462ba9ac7abfa6c6567b?s=256&d=identicon&r=PG', 'display_name': 'Alva', 'link': 'https://stackoverflow.com/users/1066676/alva'}",True,334330,,12,274,1666408980,1343647882,1623203354.0,11720656,CC BY-SA 4.0,https://stackoverflow.com/questions/11720656/modulo-operation-with-negative-numbers,Modulo operation with negative numbers,,,,,
5,"['c', 'macos', 'unix', 'pthreads', 'semaphore']","{'account_id': 81185, 'reputation': 11547, 'user_id': 229072, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/85ce24f0898626a07a59058bea0d78db?s=256&d=identicon&r=PG', 'display_name': 'Derek', 'link': 'https://stackoverflow.com/users/229072/derek'}",True,1684,,4,4,1666146589,1343252007,,11658979,CC BY-SA 3.0,https://stackoverflow.com/questions/11658979/pthread-mutex-init-vs-sem-init-unshared,pthread_mutex_init vs sem_init (Unshared),,,,,
6,"['c', 'brainfuck']","{'account_id': 1540532, 'reputation': 2594, 'user_id': 1435323, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/9ea82898a275911db2c2563faabd5580?s=256&d=identicon&r=PG', 'display_name': 'MyNameIsKhan', 'link': 'https://stackoverflow.com/users/1435323/mynameiskhan'}",True,15269,11423407.0,2,20,1666115763,1341935627,1359488153.0,11417189,CC BY-SA 3.0,https://stackoverflow.com/questions/11417189/c-to-brainfuck-compiler,C to brainfuck compiler?,,,,,
7,"['c', 'math', 'division', 'divide']","{'account_id': 1423187, 'reputation': 9828, 'user_id': 1347366, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/6NGKT.jpg?s=256&g=1', 'display_name': 'Green goblin', 'link': 'https://stackoverflow.com/users/1347366/green-goblin'}",True,151462,11694778.0,48,700,1665494671,1343417671,1542225496.0,11694546,CC BY-SA 4.0,https://stackoverflow.com/questions/11694546/divide-a-number-by-3-without-using-operators,"Divide a number by 3 without using *, /, +, -, % operators",1394803675.0,1343834175.0,,,
8,"['c', 'ubuntu', 'printf', 'gnu', 'format-specifiers']","{'account_id': 1559114, 'reputation': 1178, 'user_id': 1449443, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/de8b952d9c1a4cdcd5110087dc8ed715?s=256&d=identicon&r=PG', 'display_name': 'ironicaldiction', 'link': 'https://stackoverflow.com/users/1449443/ironicaldiction'}",True,26900,11695126.0,3,5,1664769615,1343419294,1664769615.0,11694901,CC BY-SA 4.0,https://stackoverflow.com/questions/11694901/how-can-i-format-currency-with-commas-in-c,How can I format currency with commas in C?,,,,,
9,"['c', 'gcc', 'posix']","{'account_id': 1439526, 'reputation': 1376, 'user_id': 1360075, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/d14c4b87877b71c72cb8562f446ba8ba?s=256&d=identicon&r=PG', 'display_name': 'historystamp', 'link': 'https://stackoverflow.com/users/1360075/historystamp'}",True,26910,11351171.0,5,30,1664633351,1341515077,1495540426.0,11350878,CC BY-SA 3.0,https://stackoverflow.com/questions/11350878/how-can-i-determine-if-the-operating-system-is-posix-in-c,How can I determine if the operating system is POSIX in C?,,,,,
