,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,community_owned_date,migrated_from
0,"['c', 'http', 'sockets', 'networking', 'http-headers']","{'account_id': 1068844, 'reputation': 2819, 'user_id': 1068609, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8a25458f79094fd580dda8fde39b8629?s=256&d=identicon&r=PG', 'display_name': 'asudhak', 'link': 'https://stackoverflow.com/users/1068609/asudhak'}",True,93540,11208699.0,4,57,1669563024,1340717090,1536751789.0,11208299,CC BY-SA 4.0,https://stackoverflow.com/questions/11208299/how-to-make-an-http-get-request-in-c-without-libcurl,How to make an HTTP get request in C without libcurl?,,,,,
1,"['c++', 'c', 'gdb', 'constants']","{'account_id': 1413944, 'reputation': 58491, 'user_id': 1339987, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/76aa5ba88e0d95b6480113239fe50008?s=256&d=identicon&r=PG', 'display_name': 'djechlin', 'link': 'https://stackoverflow.com/users/1339987/djechlin'}",True,974,10986783.0,3,5,1669291686,1339444578,,10986682,CC BY-SA 3.0,https://stackoverflow.com/questions/10986682/gdb-re-setting-a-const,gdb - re-setting a const,,,,,
2,['c'],"{'account_id': 976189, 'reputation': 4295, 'user_id': 997301, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/ac3149ba38c67d60478c2f650aef5e3d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Eiyrio&#252; von Kauyf', 'link': 'https://stackoverflow.com/users/997301/eiyrio%c3%bc-von-kauyf'}",True,9994,10876838.0,5,12,1668434504,1338788735,,10876776,CC BY-SA 3.0,https://stackoverflow.com/questions/10876776/why-can-you-use-multiple-semicolons-in-c,Why can you use multiple semicolons in C?,,,,,
3,"['c', 'linux', 'system-calls', 'ptrace']","{'account_id': 1232747, 'reputation': 185, 'user_id': 1196987, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/d5c5c238bee2fbbba38ba9c40cac81ef?s=256&d=identicon&r=PG', 'display_name': '1der', 'link': 'https://stackoverflow.com/users/1196987/1der'}",True,13141,,4,6,1666805026,1340018947,1340058790.0,11081859,CC BY-SA 3.0,https://stackoverflow.com/questions/11081859/how-to-trace-a-process-for-system-calls,How to trace a process for system calls?,,,,,
4,"['c', 'string']","{'account_id': 1223628, 'reputation': 203, 'user_id': 1189723, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/cac6089dd84a6a68edb1731206858987?s=256&d=identicon&r=PG', 'display_name': 'W00t', 'link': 'https://stackoverflow.com/users/1189723/w00t'}",True,67137,10844649.0,1,5,1666634700,1338526654,,10844629,CC BY-SA 3.0,https://stackoverflow.com/questions/10844629/string-find-in-c,String Find in C,,,,,
5,"['c', 'string', 'constants', 'literals']","{'account_id': 66762, 'reputation': 1946, 'user_id': 195701, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/f2f4ce6b4d40a0e632338a50f7740fe3?s=256&d=identicon&r=PG', 'display_name': 'Miguel', 'link': 'https://stackoverflow.com/users/195701/miguel'}",True,206,,3,0,1664962629,1339816773,1664962629.0,11060504,,https://stackoverflow.com/questions/11060504/where-are-literal-strings-placed-and-why-can-i-return-pointers-to-them,Where are literal strings placed and why can I return pointers to them?,1664896835.0,Duplicate,,,
6,"['java', 'c', 'autoboxing', 'coercion', 'type-coercion']","{'account_id': 37812, 'reputation': 24706, 'user_id': 108207, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/M1X8W.jpg?s=256&g=1', 'display_name': 'Niklas Rosencrantz', 'link': 'https://stackoverflow.com/users/108207/niklas-rosencrantz'}",True,8609,11086191.0,3,2,1663680272,1340033657,1663680272.0,11086114,,https://stackoverflow.com/questions/11086114/what-is-the-difference-between-autoboxing-and-coercion,What is the difference between autoboxing and coercion?,1340034315.0,not a real question,,,
7,"['c', 'gcc', 'compilation', 'makefile']","{'user_type': 'does_not_exist', 'display_name': 'user1492478'}",True,2344,,2,2,1662584189,1341024237,1341025041.0,11271014,CC BY-SA 3.0,https://stackoverflow.com/questions/11271014/makefile-for-multiple-c-files-same-directory,"makefile for multiple .c files, same directory",,,,,
8,['c'],"{'account_id': 204027, 'reputation': 1065, 'user_id': 451996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/94450a58166315b88f637e6ee742fc34?s=256&d=identicon&r=PG&f=1', 'display_name': 'Daniel', 'link': 'https://stackoverflow.com/users/451996/daniel'}",True,4073,10858444.0,5,5,1662075707,1338591959,1338593098.0,10858391,,https://stackoverflow.com/questions/10858391/why-do-programs-in-c-compile-even-when-the-return-statement-is-missing,Why do programs in C compile even when the return statement is missing?,1529070446.0,Duplicate,,,
9,"['c', 'loop-unrolling', 'bionic']","{'account_id': 1583324, 'reputation': 3951, 'user_id': 1468181, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/04473f9c51aaf61200b1b376cbb5f156?s=256&d=identicon&r=PG', 'display_name': 'Victor S', 'link': 'https://stackoverflow.com/users/1468181/victor-s'}",True,180,11113408.0,1,1,1661365809,1340170630,1661365809.0,11113404,CC BY-SA 4.0,https://stackoverflow.com/questions/11113404/why-does-memcmp-have-duplicated-lines-in-bionic,Why does memcmp have duplicated lines in bionic?,,,,,
