,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date
0,"['c++', 'c']","{'account_id': 479846, 'reputation': 1455, 'user_id': 892759, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/OUvbe.jpg?s=256&g=1', 'display_name': 'Forever Learner', 'link': 'https://stackoverflow.com/users/892759/forever-learner'}",True,630,8732268.0,3,7,1669420766,1325702954,1669420766.0,8732234,CC BY-SA 4.0,https://stackoverflow.com/questions/8732234/what-difference-between-c-and-c-prohibits-this-eclectic-code-sample-from-compi,What difference between C and C++ prohibits this eclectic code sample from compiling in the latter?,,,,,
1,"['c++', 'c', 'compilation']","{'account_id': 476896, 'reputation': 17369, 'user_id': 888051, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/c4e1477113874fc2971bee45c984b3d6?s=256&d=identicon&r=PG', 'display_name': 'Alcott', 'link': 'https://stackoverflow.com/users/888051/alcott'}",True,35530,8776886.0,4,46,1668557529,1326018811,,8776810,CC BY-SA 3.0,https://stackoverflow.com/questions/8776810/parameter-name-omitted-c-vs-c,"parameter name omitted, C++ vs C",,,,,
2,"['c', 'sockets', 'networking', 'network-programming']","{'user_type': 'does_not_exist', 'display_name': 'user529758'}",True,4583,9064032.0,2,7,1667662762,1327857018,1377161372.0,9055000,CC BY-SA 3.0,https://stackoverflow.com/questions/9055000/get-list-of-devices-on-lan-in-c,Get list of devices on LAN in C,,,,,
3,"['c', 'malloc', 'dynamic-memory-allocation']","{'account_id': 1095793, 'reputation': 1917, 'user_id': 1089415, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/61146e4f8343f8aed7096992586c5404?s=256&d=identicon&r=PG', 'display_name': 'pr1m3x', 'link': 'https://stackoverflow.com/users/1089415/pr1m3x'}",True,101552,8800553.0,6,90,1666641202,1326184807,1666639032.0,8800482,CC BY-SA 4.0,https://stackoverflow.com/questions/8800482/when-and-why-to-use-malloc,When and why to use malloc,,,,,
4,['c'],"{'account_id': 1075918, 'reputation': 1851, 'user_id': 1074077, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a75d5dac712cbb0402e0bbf1c1b4da1b?s=256&d=identicon&r=PG', 'display_name': 'summerc', 'link': 'https://stackoverflow.com/users/1074077/summerc'}",True,123435,8716761.0,9,47,1666311116,1325614174,1616314909.0,8716714,CC BY-SA 4.0,https://stackoverflow.com/questions/8716714/what-is-the-meaning-of-bus-error-10-in-c,What is the meaning of Bus: error 10 in C,1616314877.0,,,,
5,"['c', 'windows', 'winapi', 'sleep']","{'account_id': 1042910, 'reputation': 1019, 'user_id': 1048534, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/4826df16d4f2abba91e0977b4cbef6ff?s=256&d=identicon&r=PG', 'display_name': 'Mengfei Murphy', 'link': 'https://stackoverflow.com/users/1048534/mengfei-murphy'}",True,44205,8764595.0,3,14,1666274997,1325882954,1525210153.0,8764295,CC BY-SA 3.0,https://stackoverflow.com/questions/8764295/undefined-reference-to-sleep-but-i-did-include-unistd-h,Undefined reference to &quot;sleep&quot; but I did include &lt;unistd.h&gt;,,,,,
6,"['objective-c', 'c', 'pointers', 'dot-operator']","{'account_id': 541816, 'reputation': 865, 'user_id': 910509, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/21006436/picture?type=large', 'display_name': 'Charles', 'link': 'https://stackoverflow.com/users/910509/charles'}",True,56871,9073157.0,5,66,1665412497,1327968748,1377497915.0,9072688,CC BY-SA 3.0,https://stackoverflow.com/questions/9072688/dot-operator-and-arrow-operator-use-in-c-vs-objective-c,Dot (&quot;.&quot;) operator and arrow (&quot;-&gt;&quot;) operator use in C vs. Objective-C,,,,,
7,"['c', 'function', 'pointers', 'struct']","{'account_id': 266049, 'reputation': 4876, 'user_id': 553406, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/98e541e37d2bceeec691a0a824153901?s=256&d=identicon&r=PG', 'display_name': 'Akash', 'link': 'https://stackoverflow.com/users/553406/akash'}",True,15860,8694379.0,7,42,1664560809,1325438312,1325438663.0,8694365,CC BY-SA 3.0,https://stackoverflow.com/questions/8694365/how-is-the-result-struct-of-localtime-allocated-in-c,How is the result struct of localtime allocated in C?,,,,,
8,"['c', 'c-preprocessor', 'endianness', 'compile-time']","{'account_id': 325643, 'reputation': 12808, 'user_id': 646947, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3f954319b2491c00532c2f40ca984e5d?s=256&d=identicon&r=PG', 'display_name': 'Cyan', 'link': 'https://stackoverflow.com/users/646947/cyan'}",True,26310,8979034.0,17,27,1663681555,1327354536,1500417503.0,8978935,CC BY-SA 3.0,https://stackoverflow.com/questions/8978935/detecting-endianness,Detecting Endianness,,,,,
9,"['c', 'gcc', 'c-preprocessor']","{'account_id': 302924, 'reputation': 7042, 'user_id': 611562, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/3dbe1a93b0b5d353b419d62de19832c3?s=256&d=identicon&r=PG', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/611562/matt'}",True,9936,8714356.0,6,18,1663259271,1325599039,,8713336,CC BY-SA 3.0,https://stackoverflow.com/questions/8713336/run-preprocessor-only-but-with-only-for-certain-statements,Run preprocessor only but with only for certain statements,,,,,
