,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,accepted_answer_id,content_license,protected_date,migrated_from
0,['c'],"{'account_id': 17586057, 'reputation': 51, 'user_id': 12758760, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa88e1b15db4a34ab90b81b434e5078e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Zhao Yu', 'link': 'https://stackoverflow.com/users/12758760/zhao-yu'}",True,246,1668854020.0,2,5,1668785849,1579666684,1627371505.0,59852550,https://stackoverflow.com/questions/59852550/whats-the-meaning-of-the-letter-v-in-setvbuf,Opinion-based,What&#39;s the meaning of the letter ‘v’ in setvbuf()?,,,,
1,"['c', 'multithreading', 'c11', 'atomic']","{'account_id': 12034650, 'reputation': 753, 'user_id': 8803665, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/KV4Zb.png?s=256&g=1', 'display_name': 'Theo d&#39;Or', 'link': 'https://stackoverflow.com/users/8803665/theo-dor'}",True,601,,4,1,1666883585,1578566928,1578574966.0,59662263,https://stackoverflow.com/questions/59662263/making-data-reads-writes-atomic-in-c11-gcc-using-stdatomic-h,,Making data reads/writes atomic in C11 GCC using &lt;stdatomic.h&gt;?,59665292.0,CC BY-SA 4.0,,
2,"['c', 'arrays', 'file', 'bit']","{'user_type': 'does_not_exist', 'display_name': 'user12458252'}",False,86,,2,0,1665590166,1579459868,1665590166.0,59813292,https://stackoverflow.com/questions/59813292/tips-with-fread,,Tips with fread,,CC BY-SA 4.0,,
3,"['c', 'unit-testing', 'clang', 'static-libraries']","{'account_id': 1942389, 'reputation': 761, 'user_id': 1748274, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/da8b01da0f194f454e68d1936292f1b0?s=256&d=identicon&r=PG', 'display_name': 'xlw12', 'link': 'https://stackoverflow.com/users/1748274/xlw12'}",False,635,,2,7,1663470593,1580131668,,59932124,https://stackoverflow.com/questions/59932124/enable-mocking-for-unit-testing-a-library-in-c,,Enable mocking for unit testing a library in C,,CC BY-SA 4.0,,
4,"['c', 'runtime-error', 'microprocessors']","{'account_id': 17534395, 'reputation': 17, 'user_id': 12717811, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBQYYQu6w0uRy5PZMoCKcBBJO6HRvA_KQGTZ-ap=k-s256', 'display_name': 'shivani lal', 'link': 'https://stackoverflow.com/users/12717811/shivani-lal'}",False,9358,,2,0,1663308210,1579093473,1579095727.0,59752063,https://stackoverflow.com/questions/59752063/how-to-solve-this-issue-chip-enable-program-error,,How to solve this issue &quot;chip enable program error&quot;,,CC BY-SA 4.0,,
5,"['c', 'raytracing', 'geometry-surface', 'cartesian-coordinates', 'mobius']","{'account_id': 16130249, 'reputation': 75, 'user_id': 11644133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b61e38d5c04273f7dfe249fb81d6702c?s=256&d=identicon&r=PG&f=1', 'display_name': 'peppone', 'link': 'https://stackoverflow.com/users/11644133/peppone'}",True,385,,3,0,1661370847,1579387012,,59805509,https://stackoverflow.com/questions/59805509/it-is-possible-to-render-a-mobius-strip-with-a-raytracer,,It is possible to render a mobius strip with a raytracer?,60218965.0,CC BY-SA 4.0,,
6,"['c', 'gcc']","{'account_id': 17492047, 'reputation': 11, 'user_id': 12683993, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c1578c9f343c8c427ab83f46f19a078?s=256&d=identicon&r=PG&f=1', 'display_name': 'ndy76729.zzrgg.com', 'link': 'https://stackoverflow.com/users/12683993/ndy76729-zzrgg-com'}",True,192,,3,0,1661268618,1578587196,1661268618.0,59668282,https://stackoverflow.com/questions/59668282/gcc-compile-function-in-ifdef,,gcc compile function in ifdef,,CC BY-SA 4.0,,
7,"['c++', 'c', 'terminology', 'ellipsis', 'variadic']","{'account_id': 14190547, 'reputation': 3657, 'user_id': 10251345, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rO0vo.jpg?s=256&g=1', 'display_name': 'Ardent Coder', 'link': 'https://stackoverflow.com/users/10251345/ardent-coder'}",True,4637,,4,31,1661003140,1578764945,1580576588.0,59697071,https://stackoverflow.com/questions/59697071/what-is-the-called-in-c-and-c,,What is the (...) called in C and C++?,59697523.0,CC BY-SA 4.0,,
8,"['c', 'floating-point', 'nan', 'c99', 'c89']","{'account_id': 1410014, 'reputation': 657, 'user_id': 1336815, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/61fcbda129ff1e0534c5cb5031470ffe?s=256&d=identicon&r=PG&f=1', 'display_name': 'hukeping', 'link': 'https://stackoverflow.com/users/1336815/hukeping'}",True,672,,4,6,1660238784,1579319055,1606503446.0,59797359,https://stackoverflow.com/questions/59797359/how-people-check-nan-and-inf-in-c89,,How people check nan and inf in C89,,CC BY-SA 4.0,,
9,"['c', 'function', 'matrix', 'c89', 'variable-length-array']","{'account_id': 16879198, 'reputation': 528, 'user_id': 12424975, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBMfeWyN5BPvagrSIppYMVBtrR_IZqt6FEVRYssQA=k-s256', 'display_name': 'Samuele B.', 'link': 'https://stackoverflow.com/users/12424975/samuele-b'}",True,393,,4,6,1660212231,1579450113,1660212231.0,59811874,https://stackoverflow.com/questions/59811874/matrices-as-function-parameters-in-c89,,Matrices as function parameters in C89,59812121.0,CC BY-SA 4.0,,
10,"['python', 'c', 'debugging', 'scip']","{'account_id': 17078850, 'reputation': 45, 'user_id': 12357798, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-C2dfpvfKEV4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3re_cSvoJNNg0u9-v8qnveqSPc9ypg/photo.jpg?sz=256', 'display_name': 'Avrech ben david', 'link': 'https://stackoverflow.com/users/12357798/avrech-ben-david'}",True,203,,1,1,1659714820,1578519043,1578593802.0,59654089,https://stackoverflow.com/questions/59654089/pyscipopt-is-frequently-interrupted-by-segmentation-fault-sigsegv,,PySCIPOpt is frequently interrupted by segmentation fault (SIGSEGV),59749309.0,CC BY-SA 4.0,,
11,"['c', 'linux', 'linux-kernel', 'arm', 'watchdog']","{'account_id': 17271044, 'reputation': 119, 'user_id': 12548220, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/80d07553f91fc0ebf58abb73b86027a1?s=256&d=identicon&r=PG&f=1', 'display_name': 'yfr24493AzzrggAcom', 'link': 'https://stackoverflow.com/users/12548220/yfr24493azzrggacom'}",True,1428,,1,3,1658250611,1577814637,1580931895.0,59547136,https://stackoverflow.com/questions/59547136/how-to-ping-dev-watchdog-from-2-processes,,How to ping /dev/watchdog from 2 processes?,,CC BY-SA 4.0,,
12,"['c', 'linux', 'gcc', 'g++', 'kernel']","{'account_id': 12036734, 'reputation': 123, 'user_id': 8804960, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0baeea02c3017681f64a8b0b0d2c803c?s=256&d=identicon&r=PG&f=1', 'display_name': 'fjaokfaw', 'link': 'https://stackoverflow.com/users/8804960/fjaokfaw'}",False,1049,,2,0,1657022226,1579400897,,59806631,https://stackoverflow.com/questions/59806631/add-linux-headers-in-gcc-command,,Add linux headers in gcc command,,CC BY-SA 4.0,,
13,"['c++', 'c', 'parsing', 'debugging']","{'account_id': 17457183, 'reputation': 17, 'user_id': 12655723, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dc1d63743904905d43517eded0dd8f88?s=256&d=identicon&r=PG&f=1', 'display_name': 'runtimeX', 'link': 'https://stackoverflow.com/users/12655723/runtimex'}",False,468,,1,0,1656908598,1578217034,1656908598.0,59598572,https://stackoverflow.com/questions/59598572/need-help-debugging-attribute-parser-c-question-from-hackerrank,,Need help debugging &quot;attribute parser&quot;! C++ Question from HackerRank,,CC BY-SA 4.0,,
14,"['c', 'compilation', 'stack']","{'user_type': 'does_not_exist', 'display_name': 'user12633902'}",True,974,,4,-2,1655068848,1577824414,1577840428.0,59548259,https://stackoverflow.com/questions/59548259/why-cant-the-size-of-stack-be-determined-at-compile-time,,Why can&#39;t the size of stack be determined at compile time?,,CC BY-SA 4.0,,
15,"['c', 'rust', 'ffi', 'nim-lang']","{'account_id': 16645246, 'reputation': 577, 'user_id': 12029705, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cd1de2d386e583758ff0fb8ca08e980e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hossain Adnan', 'link': 'https://stackoverflow.com/users/12029705/hossain-adnan'}",True,1287,,2,5,1654806235,1579786012,,59879692,https://stackoverflow.com/questions/59879692/how-to-call-a-nim-function-from-rust-through-c-ffi,,How to call a Nim function from Rust through C-FFI?,59883589.0,CC BY-SA 4.0,,
16,"['c', 'pointers', 'null', 'argv', 'argc']","{'account_id': 16791696, 'reputation': 13979, 'user_id': 12139179, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a50aa08ca41bf24e8478a9b4dbc067c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'RobertS supports Monica Cellio', 'link': 'https://stackoverflow.com/users/12139179/roberts-supports-monica-cellio'}",True,496,,5,1,1654775251,1578156123,1578157306.0,59592752,https://stackoverflow.com/questions/59592752/why-is-argvargc-a-pointer-to-null,,Why is argv[argc] a pointer to NULL?,,CC BY-SA 4.0,,
17,"['c', 'linux', 'gcc', 'raspberry-pi', 'cross-compiling']","{'account_id': 16433738, 'reputation': 19, 'user_id': 11871861, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0HBzCZAUOJ8/AAAAAAAAAAI/AAAAAAAAAKw/uQbpKNIHB80/photo.jpg?sz=256', 'display_name': 'developer_in_the_making', 'link': 'https://stackoverflow.com/users/11871861/developer-in-the-making'}",False,1565,,3,2,1654582526,1578884864,1578903026.0,59710153,https://stackoverflow.com/questions/59710153/fatal-error-json-c-json-h-no-such-file-or-directory-cross-compiling-on-ubuntu,,fatal error: json-c/json.h: No such file or directory Cross compiling on ubuntu x64 for raspberry pi arm,,CC BY-SA 4.0,,
18,"['c', 'while-loop']","{'account_id': 11207415, 'reputation': 23, 'user_id': 8222588, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c2f0ce5f07f4fc8b523b122f26aafa07?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mistah Jorge', 'link': 'https://stackoverflow.com/users/8222588/mistah-jorge'}",True,233,,2,1,1653739591,1580120924,1583753322.0,59929271,https://stackoverflow.com/questions/59929271/problem-calling-a-function-that-uses-strtok-inside-of-a-while-loop,,Problem calling a function that uses strtok() inside of a while loop,59929397.0,CC BY-SA 4.0,,
19,"['c++', 'c', 'windows', 'native']","{'account_id': 16791696, 'reputation': 13979, 'user_id': 12139179, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a50aa08ca41bf24e8478a9b4dbc067c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'RobertS supports Monica Cellio', 'link': 'https://stackoverflow.com/users/12139179/roberts-supports-monica-cellio'}",True,20764,,6,9,1652788218,1579512271,1594329775.0,59820244,https://stackoverflow.com/questions/59820244/has-windows-an-integrated-built-in-c-c-compiler-package,,Has Windows an integrated built-in C/C++ compiler package?,59820828.0,CC BY-SA 4.0,,
20,"['c', 'visual-studio', 'warnings']","{'account_id': 11700116, 'reputation': 61, 'user_id': 8565522, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1514382701940758/picture?type=large', 'display_name': 'Michael Morozov', 'link': 'https://stackoverflow.com/users/8565522/michael-morozov'}",True,3364,,1,6,1652760287,1579200755,1652450805.0,59776080,https://stackoverflow.com/questions/59776080/what-does-crt-secure-no-warnings-actually-mean,,What does _CRT_SECURE_NO_WARNINGS actually mean?,,CC BY-SA 4.0,,
