,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date
0,"['c', 'printf']","{'account_id': 2802349, 'reputation': 132162, 'user_id': 2410359, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/pIl9T.png?s=256&g=1', 'display_name': 'chux - Reinstate Monica', 'link': 'https://stackoverflow.com/users/2410359/chux-reinstate-monica'}",True,2841,1,7,1667590594,1546915372,1546924659.0,54084570,CC BY-SA 4.0,https://stackoverflow.com/questions/54084570/how-to-detect-snprintf-errors,How to detect `snprintf` errors?,,,,,
1,"['c', 'linux', 'velocity', 'clion']","{'account_id': 12121365, 'reputation': 362, 'user_id': 8852667, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0526a3e31205e5b0e5036a41e3a88f25?s=256&d=identicon&r=PG&f=1', 'display_name': 'Moris Huxley', 'link': 'https://stackoverflow.com/users/8852667/moris-huxley'}",False,239,1,1,1667163188,1547303549,1667163188.0,54160548,CC BY-SA 4.0,https://stackoverflow.com/questions/54160548/custom-file-template-for-c-files-in-clion,Custom file template for C files in CLion,,,,,
2,"['c', 'multithreading']","{'account_id': 9916198, 'reputation': 59, 'user_id': 7340936, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://graph.facebook.com/1409614419073238/picture?type=large', 'display_name': 'Alastair Micallef', 'link': 'https://stackoverflow.com/users/7340936/alastair-micallef'}",True,43,2,0,1667009428,1548033346,1667009428.0,54282449,CC BY-SA 4.0,https://stackoverflow.com/questions/54282449/c-programming-multiple-threads-on-xubuntu,C Programming multiple threads on XUbuntu,,,,,
3,"['c', 'makefile', 'htk']","{'account_id': 3609600, 'reputation': 984, 'user_id': 3010930, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'William', 'link': 'https://stackoverflow.com/users/3010930/william'}",True,132218,2,69,1666884230,1546898285,1546979868.0,54082459,CC BY-SA 4.0,https://stackoverflow.com/questions/54082459/fatal-error-bits-libc-header-start-h-no-such-file-or-directory-while-compili,&quot;fatal error: bits/libc-header-start.h: No such file or directory&quot; while compiling HTK,54082790.0,,,,
4,['c'],"{'account_id': 15168899, 'reputation': 9, 'user_id': 10945606, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b51847a4b52b5ca4b4335c769af4b2d?s=256&d=identicon&r=PG&f=1', 'display_name': 'k0na', 'link': 'https://stackoverflow.com/users/10945606/k0na'}",True,3286,2,-4,1666380053,1548084724,,54293135,,https://stackoverflow.com/questions/54293135/what-does-the-constant-e-do-in-the-c-language,What does the constant E do in the c language,54293228.0,1548092242.0,Duplicate,,
5,"['c', 'python-3.x', 'dll', 'ctypes', 'access-violation']","{'account_id': 13687406, 'reputation': 11, 'user_id': 9876184, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'ZZG', 'link': 'https://stackoverflow.com/users/9876184/zzg'}",False,7898,1,0,1666260085,1548400310,1548412342.0,54360555,CC BY-SA 4.0,https://stackoverflow.com/questions/54360555/python-ctypes-oserror-exception-access-violation-reading-0x00000000,Python Ctypes OSError: exception: access violation reading 0x00000000,,,,,
6,"['c', 'visual-studio-code', 'preprocessor', 'folding']","{'account_id': 5119434, 'reputation': 113, 'user_id': 4103526, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-CzajNZBV40g/AAAAAAAAAAI/AAAAAAAAAPs/He2gxjHnerQ/photo.jpg?sz=256', 'display_name': 'Nos', 'link': 'https://stackoverflow.com/users/4103526/nos'}",False,824,2,4,1665132200,1548339426,,54348687,CC BY-SA 4.0,https://stackoverflow.com/questions/54348687/how-to-fold-control-statements-with-preprocessors-in-them,How to fold control statements with preprocessors in them?,,,,,
7,"['c++', 'c', 'compilation', 'special-characters', 'identifier']","{'account_id': 2818905, 'reputation': 2513, 'user_id': 2423150, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/f8d0598639a453f140fc8790be00da94?s=256&d=identicon&r=PG', 'display_name': 'Ingwie Phoenix', 'link': 'https://stackoverflow.com/users/2423150/ingwie-phoenix'}",True,189,2,0,1665028603,1548880855,1665028603.0,54449184,CC BY-SA 4.0,https://stackoverflow.com/questions/54449184/c-identifier-names-what-goes-with-which-compiler,C identifier names: What goes with which compiler?,54449386.0,,,,
8,"['c', 'pointers']","{'account_id': 14930905, 'reputation': 57, 'user_id': 10780341, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5772a1cea24fd787e98834193b821081?s=256&d=identicon&r=PG&f=1', 'display_name': 'M.Noufale', 'link': 'https://stackoverflow.com/users/10780341/m-noufale'}",True,433,4,2,1664699881,1546978839,1547002970.0,54099155,CC BY-SA 4.0,https://stackoverflow.com/questions/54099155/what-does-this-mean-exactly-in-c,What does this mean exactly in C?,,,,,
9,"['c', 'micro-optimization']","{'account_id': 14403026, 'reputation': 492, 'user_id': 10404034, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7e0fb47ee062edfc3346b8a6268d264d?s=256&d=identicon&r=PG', 'display_name': 'legale', 'link': 'https://stackoverflow.com/users/10404034/legale'}",True,117,2,-8,1664142269,1547252347,,54155679,,https://stackoverflow.com/questions/54155679/what-code-is-more-cpu-expensive-whilep-or-whilei,What code is more CPU expensive: while(*p) or while(i--)?,54155773.0,1547271103.0,Needs more focus,,
