,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
0,"['c', 'linux', 'sockets']","{'account_id': 482605, 'reputation': 7427, 'user_id': 897090, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/Wuvbi.jpg?s=256&g=1', 'display_name': 'Nelson Tatius', 'link': 'https://stackoverflow.com/users/897090/nelson-tatius'}",True,5357,12657077.0,4,13,1667663774,1348957653,1537552496.0,12657063,CC BY-SA 4.0,https://stackoverflow.com/questions/12657063/does-send-always-send-whole-buffer,Does send() always send whole buffer?,,,,,
1,"['c', 'memory-management', 'malloc']","{'account_id': 1857998, 'reputation': 227, 'user_id': 1683181, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/65b0ea207a66729c7aff3b2372619fce?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vikram', 'link': 'https://stackoverflow.com/users/1683181/vikram'}",True,136,12496390.0,3,1,1666580718,1348063095,1666580718.0,12496346,CC BY-SA 4.0,https://stackoverflow.com/questions/12496346/returning-a-pointer-from-a-function,Returning a pointer from a function,,,,,
2,"['c', 'arrays', 'string', 'literals']","{'account_id': 1414160, 'reputation': 453, 'user_id': 1340147, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/7d39add8d165c7de64d23ab2add83559?s=256&d=identicon&r=PG', 'display_name': 'Zack', 'link': 'https://stackoverflow.com/users/1340147/zack'}",True,20977,12542503.0,7,17,1665413201,1348298916,,12541739,CC BY-SA 3.0,https://stackoverflow.com/questions/12541739/determining-the-length-of-a-string-literal,Determining the Length of a String Literal,,,,,
3,"['c', 'posix', 'shared-memory', 'freebsd']","{'account_id': 379740, 'reputation': 803, 'user_id': 733310, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/96baea6135a8166af88deae6c85b4094?s=256&d=identicon&r=PG', 'display_name': 'SanityIO', 'link': 'https://stackoverflow.com/users/733310/sanityio'}",True,6138,12697488.0,2,7,1663436559,1347648813,1663436356.0,12430351,CC BY-SA 4.0,https://stackoverflow.com/questions/12430351/how-to-get-list-of-open-posix-shared-memory-segments-in-freebsd,How to get list of open posix shared memory segments in FreeBSD,,,,,
4,"['c', 'string', 'go']","{'account_id': 50804, 'reputation': 2660, 'user_id': 151617, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ff75c7220eff90cc1f8f01f8c33dd8fc?s=256&d=identicon&r=PG', 'display_name': 'knarf', 'link': 'https://stackoverflow.com/users/151617/knarf'}",True,8629,27834860.0,5,9,1662185188,1347312656,,12359777,CC BY-SA 3.0,https://stackoverflow.com/questions/12359777/how-can-i-convert-a-null-terminated-string-in-a-byte-buffer-to-a-string-in-go,How can I convert a null-terminated string in a byte buffer to a string in Go?,,,,,
5,"['c', 'io', 'posix']","{'account_id': 1063558, 'reputation': 24292, 'user_id': 1064659, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/1dc6f55bbe6f9c53e9d9a145b1f5158f?s=256&d=identicon&r=PG', 'display_name': 'Taymon', 'link': 'https://stackoverflow.com/users/1064659/taymon'}",True,106726,12252195.0,2,37,1661440031,1346694021,1661440031.0,12252103,CC BY-SA 4.0,https://stackoverflow.com/questions/12252103/how-to-read-a-line-from-stdin-blocking-until-the-newline-is-found,"How to read a line from stdin, blocking until the newline is found?",,,,,
6,"['c', 'floating-point', 'bit-manipulation', 'bitwise-operators']","{'account_id': 1825918, 'reputation': 199, 'user_id': 1658727, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/14fcc997e4ecd5706387c5a993190817?s=256&d=identicon&r=PG', 'display_name': 'Anonymous', 'link': 'https://stackoverflow.com/users/1658727/anonymous'}",True,46071,,8,19,1660300743,1347224252,1542982957.0,12342926,CC BY-SA 4.0,https://stackoverflow.com/questions/12342926/casting-float-to-int-bitwise-in-c,Casting float to int (bitwise) in C,,,,,
7,"['c', 'buffer', 'fflush']","{'account_id': 533957, 'reputation': 3003, 'user_id': 904194, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/KGqRa.png?s=256&g=1', 'display_name': 'mrk', 'link': 'https://stackoverflow.com/users/904194/mrk'}",True,218083,12450125.0,1,75,1659966542,1347824146,1414632777.0,12450066,CC BY-SA 3.0,https://stackoverflow.com/questions/12450066/flushing-buffers-in-c,Flushing buffers in C,,,,,
8,"['c++', 'c', 'clang']","{'account_id': 469918, 'reputation': 1255, 'user_id': 876824, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/64a22fce2265b0ae4eef3942443f4839?s=256&d=identicon&r=PG', 'display_name': 'sunny2016', 'link': 'https://stackoverflow.com/users/876824/sunny2016'}",True,8250,12498724.0,3,13,1658431992,1347979749,,12479458,CC BY-SA 3.0,https://stackoverflow.com/questions/12479458/how-to-build-clang-with-clang,How to build clang with clang?,,,,,
9,"['c', 'ascii', 'xll']","{'account_id': 208456, 'reputation': 4294, 'user_id': 458955, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/230ec0245eab94386b664c0026dcea63?s=256&d=identicon&r=PG', 'display_name': 'a sandwhich', 'link': 'https://stackoverflow.com/users/458955/a-sandwhich'}",True,5206,12344275.0,3,8,1657826478,1347235283,,12343987,CC BY-SA 3.0,https://stackoverflow.com/questions/12343987/convert-ascii-character-to-x11-keycode,Convert ASCII character to x11 keycode,,,,,
