,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
0,"['c', 'azure', 'printf', 'azure-iot-hub', 'azure-iot-edge']","{'account_id': 8302561, 'reputation': 1569, 'user_id': 6240756, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://lh3.googleusercontent.com/-04YIAx_01kY/AAAAAAAAAAI/AAAAAAAAnhw/V94DoARneK4/photo.jpg?sz=256', 'display_name': 'iAmoric', 'link': 'https://stackoverflow.com/users/6240756/iamoric'}",True,650,54671938.0,1,1,1668774531,1550062100,54670587,CC BY-SA 4.0,https://stackoverflow.com/questions/54670587/understanding-azure-iot-edge-modules,Understanding Azure IoT Edge Modules,,,,,
1,"['c', 'nfc', 'lib-nfc']","{'account_id': 9494858, 'reputation': 49, 'user_id': 7058315, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-YvIWLlOZ2zM/AAAAAAAAAAI/AAAAAAAAiWY/hmaQTbjMdJ0/photo.jpg?sz=256', 'display_name': 'Francesco Baldan', 'link': 'https://stackoverflow.com/users/7058315/francesco-baldan'}",True,2585,55331443.0,2,3,1668174970,1550073352,54674335,CC BY-SA 4.0,https://stackoverflow.com/questions/54674335/libnfc-unable-to-open-nfc-device,libnfc: unable to open NFC device,,,,,
2,['c'],"{'account_id': 9127113, 'reputation': 97, 'user_id': 8221678, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://lh4.googleusercontent.com/-Rp1TCVfqyJU/AAAAAAAAAAI/AAAAAAAAABU/xiIoYKhphgg/photo.jpg?sz=256', 'display_name': 'Akash kumar', 'link': 'https://stackoverflow.com/users/8221678/akash-kumar'}",True,263,,3,6,1667059166,1550502069,54750029,CC BY-SA 4.0,https://stackoverflow.com/questions/54750029/print-the-first-letter-of-each-word-in-a-sentence,Print the first letter of each word in a sentence,1550502776.0,,,,
3,['c'],"{'account_id': 15359619, 'reputation': 3, 'user_id': 11080912, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-1pJzZk3zTn4/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMV_aacakHubQud-MPA72imPOAkuw/mo/photo.jpg?sz=256', 'display_name': 'vestomude', 'link': 'https://stackoverflow.com/users/11080912/vestomude'}",True,59,54755450.0,2,0,1665886889,1550519733,54754454,CC BY-SA 4.0,https://stackoverflow.com/questions/54754454/diy-comment-remover-not-working-what-am-i-doing-wrong-invalid-read-of-size-1,"diy comment remover not working, what am i doing wrong? (Invalid read of size 1, segfault)",1665886889.0,,,,
4,"['mysql', 'c', 'mysql-connector']","{'account_id': 10917095, 'reputation': 312, 'user_id': 8024584, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://lh6.googleusercontent.com/-Pwwdk425ODE/AAAAAAAAAAI/AAAAAAAAAC4/LtAdfXYroZE/photo.jpg?sz=256', 'display_name': 'sixpain', 'link': 'https://stackoverflow.com/users/8024584/sixpain'}",True,525,54790378.0,1,-1,1665851691,1550677832,54790294,CC BY-SA 4.0,https://stackoverflow.com/questions/54790294/calling-mysql-stored-procedure-in-c-passing-variable-argument,"Calling MySQL stored procedure in c, passing variable argument",1665851691.0,,,,
5,"['c', 'linux', 'memory', 'stack-memory', 'aslr']","{'account_id': 1083412, 'reputation': 56103, 'user_id': 1084774, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/13403db744d8aa130bb317576cc1df30?s=256&d=identicon&r=PG', 'display_name': 'PSkocik', 'link': 'https://stackoverflow.com/users/1084774/pskocik'}",True,202,54544841.0,1,8,1664478812,1549403470,54543603,CC BY-SA 4.0,https://stackoverflow.com/questions/54543603/beginning-of-stack-on-linux,Beginning of stack on Linux,1664478812.0,,,,
6,"['c', 'linux', 'macos', 'filesystems']","{'account_id': 5415383, 'reputation': 146, 'user_id': 4310653, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8cdd5ed48c9d0f1f4340002afe7f1679?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yi Zhenfei', 'link': 'https://stackoverflow.com/users/4310653/yi-zhenfei'}",True,3235,,2,7,1664356117,1550826509,54823541,CC BY-SA 4.0,https://stackoverflow.com/questions/54823541/what-do-f-bsize-and-f-frsize-in-struct-statvfs-stand-for,What do f_bsize and f_frsize in struct statvfs stand for?,,,,,
7,"['c', 'pointers', 'arm', 'reverse', 'rom']","{'account_id': 6164464, 'reputation': 11, 'user_id': 4804929, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98e5caba604108aa58b6d02d827fddbb?s=256&d=identicon&r=PG&f=1', 'display_name': 'timb55', 'link': 'https://stackoverflow.com/users/4804929/timb55'}",True,989,,2,0,1661899107,1549550076,54575691,CC BY-SA 4.0,https://stackoverflow.com/questions/54575691/arm-reverse-engineering-rom-dump,ARM reverse engineering ROM dump,,,,,
8,"['python', 'c', 'security', 'md5', 'libcrypto']","{'account_id': 4175649, 'reputation': 1353, 'user_id': 3422257, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7a04e0de07e2e710f21e22e70e2a8df4?s=256&d=identicon&r=PG', 'display_name': 'robert', 'link': 'https://stackoverflow.com/users/3422257/robert'}",True,3032,60322377.0,3,6,1661081764,1550269603,54717862,CC BY-SA 4.0,https://stackoverflow.com/questions/54717862/how-do-i-know-if-the-usedforsecurity-flag-is-supported-by-hashlib-md5,How do I know if the &#39;usedforsecurity&#39; flag is supported by hashlib.md5?,,,,,
9,"['c++', 'c', 'argv', 'abbreviation']","{'account_id': 13104527, 'reputation': 109, 'user_id': 9467799, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-x-KWEALBCNY/AAAAAAAAAAI/AAAAAAAAADQ/1W7YpIm7uOo/photo.jpg?sz=256', 'display_name': 'nngm', 'link': 'https://stackoverflow.com/users/9467799/nngm'}",True,8574,54723654.0,4,6,1661076276,1550323887,54723587,CC BY-SA 4.0,https://stackoverflow.com/questions/54723587/what-does-envp-stand-for,What does envp stand for?,1599557121.0,,,,
