,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
0,"['java', 'android', 'kotlin', 'android-manifest', 'android-12']","{'account_id': 19518437, 'reputation': 1986, 'user_id': 14280831, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/PjAsS.jpg?s=256&g=1', 'display_name': 'Ashique Bava', 'link': 'https://stackoverflow.com/users/14280831/ashique-bava'}",True,147652,1669108062.0,68648841.0,32,183,1669099691,1627445371,1627463577.0,68554294,CC BY-SA 4.0,https://stackoverflow.com/questions/68554294/androidexported-needs-to-be-explicitly-specified-for-activity-apps-targeting,android:exported needs to be explicitly specified for &lt;activity&gt;. Apps targeting Android 12 and higher are required to specify,,
1,"['java', 'hibernate', 'security', 'java-8', 'checkmarx']","{'account_id': 7527372, 'reputation': 844, 'user_id': 5717021, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/SqqDp.jpg?s=256&g=1', 'display_name': 'sromit', 'link': 'https://stackoverflow.com/users/5717021/sromit'}",False,4869,,,2,1,1669097984,1627519246,1627573673.0,68568827,CC BY-SA 4.0,https://stackoverflow.com/questions/68568827/unsafe-object-binding-checkmarx,Unsafe Object binding Checkmarx,,
2,"['java', 'android', 'android-studio', 'kotlin', 'android-mediaplayer']","{'account_id': 327994, 'reputation': 1820, 'user_id': 650700, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/903771edca4d12cdf517119e28a7a537?s=256&d=identicon&r=PG', 'display_name': 'Adelino', 'link': 'https://stackoverflow.com/users/650700/adelino'}",True,76697,,69152986.0,14,127,1669096213,1626886267,1627420698.0,68473542,CC BY-SA 4.0,https://stackoverflow.com/questions/68473542/mediasessioncompattargeting-s-version-31-and-above-requires-that-one-of-flag,MediaSessionCompat:Targeting S+ (version 31 and above) requires that one of FLAG_IMMUTABLE or FLAG_MUTABLE be specified when creating a PendingIntent,,
3,"['java', 'hibernate', 'websocket', 'quarkus', 'hibernate-reactive']","{'account_id': 10764067, 'reputation': 86, 'user_id': 10808187, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/64c0952021fe047dc980d1ed90db9d37?s=256&d=identicon&r=PG&f=1', 'display_name': 'chamoK', 'link': 'https://stackoverflow.com/users/10808187/chamok'}",True,1150,,,2,2,1668690244,1626136167,1626717361.0,68355159,CC BY-SA 4.0,https://stackoverflow.com/questions/68355159/how-to-access-reactive-panache-entity-session-manager-from-a-websocket-endpoint,"How to access reactive Panache Entity Session Manager from a websocket endpoint? (Quarkus, Mutiny, Panache, Reactive)",,
4,"['java', 'postgresql', 'spring-boot', 'hibernate', 'jpa']","{'account_id': 6558714, 'reputation': 71, 'user_id': 5070603, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9af928497848e3f8557e6b8e54a45e99?s=256&d=identicon&r=PG&f=1', 'display_name': 'Blay-Z', 'link': 'https://stackoverflow.com/users/5070603/blay-z'}",True,4309,,,7,3,1668633236,1625338438,,68239143,CC BY-SA 4.0,https://stackoverflow.com/questions/68239143/spring-boot-jpa-hibernate-not-creating-tables-automatically,Spring Boot - JPA Hibernate not creating tables automatically?,,
5,"['java', 'android', 'sqlite', 'intellij-idea', 'full-text-search']","{'account_id': 19767781, 'reputation': 323, 'user_id': 14475367, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/441a102e5b8cdf14a55d07f748115ce0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Thomas', 'link': 'https://stackoverflow.com/users/14475367/thomas'}",True,95,,,2,1,1668510125,1625758510,1668510125.0,68304625,CC BY-SA 4.0,https://stackoverflow.com/questions/68304625/result-column-expected-got-end-error-when-using-fts-tokenizer,"&quot;&lt;result column&gt; expected, got &#39;end&#39;&quot; error when using FTS tokenizer",,
6,"['java', 'spring', 'spring-boot', 'hibernate', 'jpa']","{'account_id': 18932969, 'reputation': 81, 'user_id': 13814708, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JPFOx.jpg?s=256&g=1', 'display_name': 'Rohail Iqbal', 'link': 'https://stackoverflow.com/users/13814708/rohail-iqbal'}",True,24554,,,4,3,1668442004,1627740248,,68602821,CC BY-SA 4.0,https://stackoverflow.com/questions/68602821/handler-dispatch-failed-nested-exception-is-java-lang-stackoverflowerror-with-r,Handler dispatch failed; nested exception is java.lang.StackOverflowError with root cause,,
7,"['java', 'adobe', 'aem']","{'account_id': 7108805, 'reputation': 53, 'user_id': 5437538, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10154404668373782/picture?type=large', 'display_name': 'Lee Daniels', 'link': 'https://stackoverflow.com/users/5437538/lee-daniels'}",True,719,,68560655.0,2,2,1668440098,1626808783,,68460284,CC BY-SA 4.0,https://stackoverflow.com/questions/68460284/aem-acs-commons-generic-list-editor-breaks-when-more-than-8-items-are-added,AEM ACS Commons Generic List editor breaks when more than 8 items are added,,
8,"['java', 'sql-server', 'spring', 'spring-boot', 'hibernate']","{'account_id': 18932969, 'reputation': 81, 'user_id': 13814708, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/JPFOx.jpg?s=256&g=1', 'display_name': 'Rohail Iqbal', 'link': 'https://stackoverflow.com/users/13814708/rohail-iqbal'}",False,331,,,1,0,1668226210,1626734207,,68447716,CC BY-SA 4.0,https://stackoverflow.com/questions/68447716/data-stored-twice-in-database-issue-using-spring-boot,Data stored twice in database issue using spring boot,,
9,"['java', 'amazon-web-services', 'spring-boot', 'amazon-s3']","{'account_id': 12156027, 'reputation': 12878, 'user_id': 8874958, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/39990cd5d2bd537729f7b2b7a1a724a7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kishan Solanki', 'link': 'https://stackoverflow.com/users/8874958/kishan-solanki'}",True,2568,,68481553.0,2,0,1668160943,1626936662,1626936857.0,68480357,CC BY-SA 4.0,https://stackoverflow.com/questions/68480357/how-to-list-all-files-from-a-specific-s3-bucket,How to list all files from a specific S3 Bucket?,,
