,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,community_owned_date,closed_date,closed_reason,locked_date
0,"['java', 'postgresql', 'jpa']","{'account_id': 24511, 'reputation': 4462, 'user_id': 62388, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6a2072c38368b64225980bf81d467f80?s=256&d=identicon&r=PG', 'display_name': 'Jasper Floor', 'link': 'https://stackoverflow.com/users/62388/jasper-floor'}",True,33533,857219.0,5,54,1668422126,1242117462,1242465232.0,851758,CC BY-SA 2.5,https://stackoverflow.com/questions/851758/java-enums-jpa-and-postgres-enums-how-do-i-make-them-work-together,"Java Enums, JPA and Postgres enums - How do I make them work together?",,,,,
1,"['java', 'performance', 'real-time']","{'account_id': 59464, 'reputation': 11321, 'user_id': 177931, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/F5A6J.jpg?s=256&g=1', 'display_name': 'ldog', 'link': 'https://stackoverflow.com/users/177931/ldog'}",True,2784,898531.0,9,13,1667654384,1242947424,1242949804.0,895725,CC BY-SA 2.5,https://stackoverflow.com/questions/895725/java-realtime-performance,Java Realtime Performance,,,,,
2,"['java', 'field', 'transient']","{'account_id': 39046, 'reputation': 16478, 'user_id': 112532, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9db5833f02d63552977138795c00ebea?s=256&d=identicon&r=PG', 'display_name': 'Animesh', 'link': 'https://stackoverflow.com/users/112532/animesh'}",True,765325,910522.0,15,1619,1667353147,1243339896,1462536312.0,910374,CC BY-SA 3.0,https://stackoverflow.com/questions/910374/why-does-java-have-transient-fields,Why does Java have transient fields?,1397130703.0,,,,
3,"['java', 'loops', 'nested-loops']","{'account_id': 8396, 'reputation': 23719, 'user_id': 15108, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/9ca9e0c0bf07d39f1c29776e766ba4cc?s=256&d=identicon&r=PG', 'display_name': 'boutta', 'link': 'https://stackoverflow.com/users/15108/boutta'}",True,1345354,886979.0,37,2012,1667217639,1242810463,1638772530.0,886955,CC BY-SA 4.0,https://stackoverflow.com/questions/886955/how-do-i-break-out-of-nested-loops-in-java,How do I break out of nested loops in Java?,1375117442.0,,,,
4,"['java', 'java-web-start', 'jnlp']","{'account_id': 34760, 'reputation': 3624, 'user_id': 98275, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/f95033f62c1ba8c5643db0118e52f348?s=256&d=identicon&r=PG', 'display_name': 'r&#228;ph', 'link': 'https://stackoverflow.com/users/98275/r%c3%a4ph'}",True,25123,920403.0,9,29,1667175738,1243510104,1243987215.0,920386,CC BY-SA 2.5,https://stackoverflow.com/questions/920386/how-to-allow-running-only-one-instance-of-a-java-program-at-a-time,How to allow running only one instance of a Java program at a time?,,,,,
5,"['java', 'file-io']","{'account_id': 16886, 'reputation': 2382, 'user_id': 37257, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/0ce4fc4435774bca280ecd377d5e2976?s=256&d=identicon&r=PG&f=1', 'display_name': 'atsjoo', 'link': 'https://stackoverflow.com/users/37257/atsjoo'}",True,112085,,18,99,1667076854,1243501815,1465070886.0,919918,CC BY-SA 3.0,https://stackoverflow.com/questions/919918/file-exists-returns-false-when-file-exists,File.exists() returns false when file exists,,,,,
6,"['java', 'arrays', 'generics', 'collections']","{'user_type': 'does_not_exist', 'display_name': 'John'}",True,249967,,13,205,1666268215,1242696262,1646829260.0,880581,CC BY-SA 4.0,https://stackoverflow.com/questions/880581/how-can-i-convert-int-to-integer-in-java,How can I convert int[] to Integer[] in Java?,1480022879.0,,,,
7,"['java', 'oop', 'class', 'inheritance', 'polymorphism']","{'account_id': 32661, 'reputation': 48614, 'user_id': 90777, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/43918f842a892d0deb9ef1d8dcc9fe49?s=256&d=identicon&r=PG', 'display_name': 'lfaraone', 'link': 'https://stackoverflow.com/users/90777/lfaraone'}",True,86973,822688.0,11,31,1665645666,1241480458,,822648,CC BY-SA 2.5,https://stackoverflow.com/questions/822648/accessing-private-instance-variables-of-parent-from-child-class,Accessing private instance variables of parent from child class?,,,,,
8,"['java', 'multithreading', 'algorithm', 'sudoku']","{'account_id': 12682, 'reputation': 15866, 'user_id': 25111, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/1dd287e1721847d59bcb9b51bfaa0811?s=256&d=identicon&r=PG', 'display_name': 'Jon', 'link': 'https://stackoverflow.com/users/25111/jon'}",True,12068,850959.0,14,18,1665130765,1242094594,1347751728.0,850866,CC BY-SA 3.0,https://stackoverflow.com/questions/850866/multi-threaded-algorithm-for-solving-sudoku,Multi-threaded algorithm for solving sudoku?,,,,,
9,"['java', 'multithreading', 'concurrency', 'thread-local', 'thread-confinement']","{'user_type': 'does_not_exist', 'display_name': 'Sasha'}",True,364697,817926.0,26,963,1664737068,1241380760,1557365663.0,817856,CC BY-SA 4.0,https://stackoverflow.com/questions/817856/when-and-how-should-i-use-a-threadlocal-variable,When and how should I use a ThreadLocal variable?,,,,,
10,"['java', 'ntp']","{'account_id': 9191, 'reputation': 39501, 'user_id': 16881, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/xbx1L.jpg?s=256&g=1', 'display_name': 'Matt Howells', 'link': 'https://stackoverflow.com/users/16881/matt-howells'}",True,32487,,5,22,1664409981,1243589912,,925191,CC BY-SA 2.5,https://stackoverflow.com/questions/925191/java-ntp-client,Java NTP client,,,,,
11,"['java', 'string', 'multiline']","{'account_id': 9733, 'reputation': 93842, 'user_id': 18103, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/f224e093f5d375d77316a1c4835bcfcc?s=256&d=identicon&r=PG', 'display_name': 'skiphoppy', 'link': 'https://stackoverflow.com/users/18103/skiphoppy'}",True,707782,878958.0,44,597,1663189583,1242664127,1629994895.0,878573,CC BY-SA 4.0,https://stackoverflow.com/questions/878573/does-java-have-support-for-multiline-strings,Does Java have support for multiline strings?,1456324422.0,1395034670.0,,,
12,"['java', 'callback', 'notify', 'executor']","{'account_id': 19827, 'reputation': 10175, 'user_id': 46799, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/347a316c4264c392d83d0195a0b5b01c?s=256&d=identicon&r=PG', 'display_name': 'Shahbaz', 'link': 'https://stackoverflow.com/users/46799/shahbaz'}",True,157669,826283.0,12,181,1662899929,1241547236,1241547516.0,826212,CC BY-SA 2.5,https://stackoverflow.com/questions/826212/java-executors-how-to-be-notified-without-blocking-when-a-task-completes,"Java executors: how to be notified, without blocking, when a task completes?",,,,,
13,"['java', 'enums']","{'account_id': 3517, 'reputation': 31293, 'user_id': 5074, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/5ed19e00dca9ce442f9d057337a5634f?s=256&d=identicon&r=PG', 'display_name': 'Jay R.', 'link': 'https://stackoverflow.com/users/5074/jay-r'}",True,75334,904565.0,4,41,1662694595,1243195470,1601372675.0,904546,CC BY-SA 4.0,https://stackoverflow.com/questions/904546/what-results-when-you-pass-an-invalid-string-to-a-java-enum-valueof-call,What results when you pass an invalid String to a Java enum .valueOf call?,,,,,
14,"['java', 'interface', 'annotations', 'language-features']","{'account_id': 3360, 'reputation': 11463, 'user_id': 4843, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/fe5ef732ebda902e666b2f2ea197bc2c?s=256&d=identicon&r=PG', 'display_name': 'Bittercoder', 'link': 'https://stackoverflow.com/users/4843/bittercoder'}",True,134751,918417.0,6,393,1661535033,1243465411,1392796191.0,918393,CC BY-SA 3.0,https://stackoverflow.com/questions/918393/whats-the-difference-between-interface-and-interface-in-java,What&#39;s the difference between interface and @interface in java?,,,,,
15,"['java', 'dictionary', 'hashmap']","{'account_id': 560347, 'reputation': 4603, 'user_id': 111583, 'user_type': 'unregistered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/98c63536d29b4b8caf6159e7a7051c0c?s=256&d=identicon&r=PG', 'display_name': 'n00bstackie', 'link': 'https://stackoverflow.com/users/111583/n00bstackie'}",True,727652,,17,435,1660676731,1243536186,1660575159.0,922528,CC BY-SA 4.0,https://stackoverflow.com/questions/922528/how-can-i-sort-map-values-by-key-in-java,How can I sort Map values by key in Java?,1377073176.0,,,,
16,"['java', 'html', 'swing']","{'account_id': 11983, 'reputation': 69935, 'user_id': 23368, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/2ace1b52352e1260c6a42df36e36f356?s=256&d=identicon&r=PG', 'display_name': 'Daniel Rikowski', 'link': 'https://stackoverflow.com/users/23368/daniel-rikowski'}",True,5731,15405231.0,5,17,1660050830,1242495485,1516395510.0,872871,CC BY-SA 3.0,https://stackoverflow.com/questions/872871/which-html-tags-are-supported-in-swing-components,Which HTML tags are supported in Swing components?,,,,,
17,"['java', 'synchronization']","{'account_id': 37891, 'reputation': 111, 'user_id': 108475, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b94eee3af761545863fcff5326944e5b?s=256&d=identicon&r=PG', 'display_name': 'Madan', 'link': 'https://stackoverflow.com/users/108475/madan'}",True,12469,,5,11,1658730099,1242585326,1658730099.0,875175,CC BY-SA 4.0,https://stackoverflow.com/questions/875175/block-level-synchronization,Block level synchronization,,,,,
18,"['java', 'string', 'hex']","{'user_type': 'does_not_exist', 'display_name': 'Keith'}",True,479962,,23,120,1658499412,1243556317,1243557599.0,923863,CC BY-SA 2.5,https://stackoverflow.com/questions/923863/converting-a-string-to-hexadecimal-in-java,Converting A String To Hexadecimal In Java,,,,,
19,"['java', 'log4j']","{'user_type': 'does_not_exist', 'display_name': 'Apps'}",True,77188,896646.0,1,27,1658324563,1242971797,1658324563.0,896530,CC BY-SA 4.0,https://stackoverflow.com/questions/896530/use-maxbackupindex-in-dailyrollingfileappender-log4j,Use MaxBackupIndex in DailyRollingFileAppender -log4j,,,,,
20,"['java', 'command-line', 'progress-bar']","{'account_id': 562140, 'reputation': 2041, 'user_id': 105355, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/674d75f7b5ec94950078b4da725bfd5e?s=256&d=identicon&r=PG', 'display_name': 'g andrieu', 'link': 'https://stackoverflow.com/users/105355/g-andrieu'}",True,115107,852802.0,18,158,1658031321,1242133409,1434216011.0,852665,CC BY-SA 3.0,https://stackoverflow.com/questions/852665/command-line-progress-bar-in-java,Command line progress bar in Java,,,,,
21,"['java', 'email', 'tomcat', 'servlets']","{'account_id': 2146, 'reputation': 51140, 'user_id': 2959, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1bf77682e06e19438854c1ea3ec5f5fa?s=256&d=identicon&r=PG', 'display_name': 'Steve McLeod', 'link': 'https://stackoverflow.com/users/2959/steve-mcleod'}",True,31892,884989.0,12,33,1657866637,1242766220,1592644375.0,884943,CC BY-SA 4.0,https://stackoverflow.com/questions/884943/how-do-i-send-an-e-mail-in-java,How do I send an e-mail in Java?,1657538276.0,,,,
22,"['java', 'serialization', 'integer']","{'user_type': 'does_not_exist', 'display_name': 'Colin Henry'}",True,12413,,5,0,1657261700,1242111447,,851491,CC BY-SA 2.5,https://stackoverflow.com/questions/851491/java-deserialization-of-java-lang-integer-exception,Java Deserialization of java.lang.Integer - Exception,,,,,
