,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,community_owned_date
0,['java'],"{'account_id': 1047596, 'reputation': 9018, 'user_id': 1052284, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/7032e676c9790e067cba9cb68c61ae88?s=256&d=identicon&r=PG', 'display_name': 'Mark Jeronimus', 'link': 'https://stackoverflow.com/users/1052284/mark-jeronimus'}",True,596,10025407.0,4,1,1669324943,1333614896,1669324943.0,10025239,CC BY-SA 4.0,https://stackoverflow.com/questions/10025239/include-include-equivalent-in-java,$Include #include equivalent in Java,,,,
1,"['java', 'treemap']","{'account_id': 1366706, 'reputation': 31, 'user_id': 1302991, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/92161f3d8ad318b7be7e5b33a40b480e?s=256&d=identicon&r=PG', 'display_name': 'kuks', 'link': 'https://stackoverflow.com/users/1302991/kuks'}",True,7642,10025045.0,6,0,1669151663,1333613852,1585386381.0,10025003,CC BY-SA 4.0,https://stackoverflow.com/questions/10025003/java-util-concurrentmodificationexception-in-a-treemap,java.util.ConcurrentModificationException in a TreeMap,,,,
2,"['java', 'hadoop', 'mapreduce', 'combiners']","{'account_id': 335032, 'reputation': 227, 'user_id': 661867, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/ae63c76a2f627ce98c183b577c985267?s=256&d=identicon&r=PG', 'display_name': 'honeywind', 'link': 'https://stackoverflow.com/users/661867/honeywind'}",True,1621,10067849.0,2,0,1669126797,1333910166,1669126731.0,10065314,CC BY-SA 4.0,https://stackoverflow.com/questions/10065314/hadoop-combiner-class-for-text,Hadoop Combiner Class for Text,,,,
3,"['java', 'android', 'eclipse']","{'account_id': 550510, 'reputation': 11241, 'user_id': 1921872, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/cPqCo.jpg?s=256&g=1', 'display_name': 'Muhammad Umar', 'link': 'https://stackoverflow.com/users/1921872/muhammad-umar'}",True,8887,10240195.0,4,5,1669104288,1334893000,1334894312.0,10239897,CC BY-SA 3.0,https://stackoverflow.com/questions/10239897/open-an-image-in-gallery-using-file-path,Open an image in gallery using file path,,,,
4,"['java', 'android', 'launcher']","{'account_id': 1104091, 'reputation': 3016, 'user_id': 1095875, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e3ddddb55141eefcf5e318edbbc58c25?s=256&d=identicon&r=PG&f=1', 'display_name': 'HardCoder', 'link': 'https://stackoverflow.com/users/1095875/hardcoder'}",True,18818,10344985.0,3,31,1668786413,1335501753,,10344824,CC BY-SA 3.0,https://stackoverflow.com/questions/10344824/how-can-i-get-the-package-name-of-the-current-launcher-in-android-2-3-and-above,How can I get the package name of the current launcher in android 2.3 and above?,,,,
5,"['java', 'android']","{'account_id': 542294, 'reputation': 1800, 'user_id': 911086, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/fa5e05545847faa9fc3fde413b32e184?s=256&d=identicon&r=PG', 'display_name': 'alexl', 'link': 'https://stackoverflow.com/users/911086/alexl'}",True,99076,10202879.0,6,96,1668031162,1334723551,1388131188.0,10202805,CC BY-SA 3.0,https://stackoverflow.com/questions/10202805/how-do-i-get-file-size-of-temp-file-in-android,how do I get file size of temp file in android?,,,,
6,"['java', 'android', 'fonts', 'resize', 'textview']","{'account_id': 1420071, 'reputation': 51, 'user_id': 1344881, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/67af0a7400d1ec2fc766b1888337678a?s=256&d=identicon&r=PG', 'display_name': 'Spammy Spamsalot', 'link': 'https://stackoverflow.com/users/1344881/spammy-spamsalot'}",True,2881,,5,3,1667676657,1334865163,1623169811.0,10235740,CC BY-SA 4.0,https://stackoverflow.com/questions/10235740/i-need-my-textview-to-fit-within-the-screen-on-one-line-is-there-like-an-autore,I need my textView to fit within the screen on one line. Is there like an autoResize function on anything in android?,,,,
7,"['java', 'hadoop', 'mapreduce']","{'account_id': 1016954, 'reputation': 2421, 'user_id': 1028315, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/3691596914ed73b42426211ab057240a?s=256&d=identicon&r=PG', 'display_name': 'lucky_start_izumi', 'link': 'https://stackoverflow.com/users/1028315/lucky-start-izumi'}",True,14758,10038290.0,2,2,1667309478,1333669708,1667309478.0,10037562,CC BY-SA 4.0,https://stackoverflow.com/questions/10037562/need-to-use-hadoop-native,need to use hadoop native,,,,
8,"['java', 'jasper-reports', 'ireport']","{'account_id': 1442996, 'reputation': 11, 'user_id': 1362513, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7910199d6f9221bdca0376e146f09e3b?s=256&d=identicon&r=PG', 'display_name': 'user1362513', 'link': 'https://stackoverflow.com/users/1362513/user1362513'}",False,8217,,1,1,1667257525,1335596463,1335599427.0,10361368,CC BY-SA 3.0,https://stackoverflow.com/questions/10361368/compile-error-in-jasper-report-error-filling-print,Compile error in jasper report-Error&#160;filling&#160;print,,,,
9,"['java', 'algorithm', 'search', 'depth-first-search', 'breadth-first-search']","{'account_id': 1262003, 'reputation': 10329, 'user_id': 1220022, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/43dabe4a39f505b3e15c9fba40a1b204?s=256&d=identicon&r=PG', 'display_name': 'user1220022', 'link': 'https://stackoverflow.com/users/1220022/user1220022'}",True,23333,13150405.0,7,15,1667132131,1335005819,1351648952.0,10258305,CC BY-SA 3.0,https://stackoverflow.com/questions/10258305/how-to-implement-a-breadth-first-search-to-a-certain-depth,How to implement a breadth first search to a certain depth?,,,,
10,"['java', 'windows', 'textfield', 'touchscreen']","{'account_id': 295243, 'reputation': 546, 'user_id': 599552, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/cf9c558c7d602d7263e1bd146c0ecfdc?s=256&d=identicon&r=PG&f=1', 'display_name': 'fean', 'link': 'https://stackoverflow.com/users/599552/fean'}",False,349,,1,1,1666427815,1335089843,1335090158.0,10267107,CC BY-SA 3.0,https://stackoverflow.com/questions/10267107/detect-text-field-of-an-windows-application-in-java,detect text field of an windows application in java,,,,
