,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['java', 'recursion', 'binary', 'linked-list', 'return']","{'account_id': 1863685, 'reputation': 23, 'user_id': 1687709, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eae14718724af7a82ad043e909bf57de?s=256&d=identicon&r=PG', 'display_name': 'Gene Frank', 'link': 'https://stackoverflow.com/users/1687709/gene-frank'}",False,12073,3,2,1669546950,1351191870,13075456,CC BY-SA 3.0,https://stackoverflow.com/questions/13075456/returning-multiple-values-from-a-recursive-function,Returning multiple values from a recursive function,,,,,,,
1,"['java', 'debian']","{'account_id': 1855163, 'reputation': 1113, 'user_id': 1680916, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf862eb4cf57355c1e91dd9694e50776?s=256&d=identicon&r=PG', 'display_name': 'user1680916', 'link': 'https://stackoverflow.com/users/1680916/user1680916'}",True,398521,10,111,1669229934,1349722624,12787757,CC BY-SA 3.0,https://stackoverflow.com/questions/12787757/how-to-use-the-command-update-alternatives-config-java,How to use the command update-alternatives --config java,1498053544.0,,,,,,
2,"['java', 'validation', 'parsing', 'date']","{'account_id': 71704, 'reputation': 4013, 'user_id': 207352, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/fa8609ca62438a65a86bcebe95dccbb6?s=256&d=identicon&r=PG', 'display_name': 'Pavel Vlasov', 'link': 'https://stackoverflow.com/users/207352/pavel-vlasov'}",True,11445,3,21,1669155079,1351259081,13088140,CC BY-SA 3.0,https://stackoverflow.com/questions/13088140/java-how-to-parse-a-date-strictly,Java: How to parse a date strictly?,,13088166.0,,,,,
3,"['java', 'eclipse', 'checkstyle']","{'account_id': 1964778, 'reputation': 51, 'user_id': 1765332, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6046de5f63fba221c02b44c919d5f0cf?s=256&d=identicon&r=PG', 'display_name': 'eva', 'link': 'https://stackoverflow.com/users/1765332/eva'}",True,541,2,4,1668889000,1350909425,13011609,CC BY-SA 3.0,https://stackoverflow.com/questions/13011609/checkstyle-one-declaration-per-line-aligned-to-a-block,Checkstyle - One Declaration per line aligned to a block,1350909734.0,13013849.0,,,,,
4,"['java', 'swing', 'jbutton', 'imageicon']","{'account_id': 1994308, 'reputation': 103, 'user_id': 1787568, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23aaaeec94112fca2b3398ab98fc35c3?s=256&d=identicon&r=PG', 'display_name': 'VenuMadhava', 'link': 'https://stackoverflow.com/users/1787568/venumadhava'}",True,25457,5,10,1668799267,1351662719,13151979,CC BY-SA 3.0,https://stackoverflow.com/questions/13151979/null-pointer-exception-when-an-imageicon-is-added-to-jbutton-in-netbeans,Null pointer exception when an ImageIcon is added to jbutton in NetBeans,1435254014.0,13152312.0,,,,,
5,"['java', 'jsf']","{'account_id': 1595517, 'reputation': 780, 'user_id': 1477749, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/98dd944dda9baf6ea280170eb3cc4016?s=256&d=identicon&r=PG', 'display_name': 'Md. Mahabubur Rahman', 'link': 'https://stackoverflow.com/users/1477749/md-mahabubur-rahman'}",True,263597,14,51,1668787062,1350717371,12986234,CC BY-SA 3.0,https://stackoverflow.com/questions/12986234/cant-find-bundle-for-base-name-bundle-locale-en-us,"Can&#39;t find bundle for base name /Bundle, locale en_US",,,1591610830.0,,,,
6,"['java', 'python', 'jython', 'scikit-learn']","{'account_id': 903892, 'reputation': 10053, 'user_id': 939259, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/4ee12a004bdd48dab9a040fae4aa51f6?s=256&d=identicon&r=PG', 'display_name': 'Thomas Johnson', 'link': 'https://stackoverflow.com/users/939259/thomas-johnson'}",True,44091,6,35,1668610640,1349405426,12738827,CC BY-SA 3.0,https://stackoverflow.com/questions/12738827/how-can-i-call-scikit-learn-classifiers-from-java,How can I call scikit-learn classifiers from Java?,,12743013.0,,,,,
7,"['java', 'if-statement', 'scope', 'curly-braces']","{'account_id': 1930617, 'reputation': 141, 'user_id': 1740066, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/106ce9b8041c095b31ae1309073b013d?s=256&d=identicon&r=PG', 'display_name': 'user1740066', 'link': 'https://stackoverflow.com/users/1740066/user1740066'}",True,145433,3,4,1668592468,1351123673,13059729,,https://stackoverflow.com/questions/13059729/error-else-without-if,Error: &#39;else&#39; without &#39;if&#39;,1351124600.0,13059743.0,,1668594002.0,Not suitable for this site,,
8,"['java', 'oop', 'this']","{'account_id': 103699, 'reputation': 43469, 'user_id': 277603, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/7a9cef13e8a7de2131328fa033d94a5a?s=256&d=identicon&r=PG', 'display_name': 'Rajeev', 'link': 'https://stackoverflow.com/users/277603/rajeev'}",True,843,8,1,1668540917,1349257661,12705895,CC BY-SA 3.0,https://stackoverflow.com/questions/12705895/this-keyword-in-java,&#39;this&#39; keyword in Java,1349259316.0,12705941.0,,,,,
9,"['java', 'maven', 'groovy', 'gmaven']","{'account_id': 23524, 'reputation': 28195, 'user_id': 59015, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/0ab0ae433d1b3f8bee9b7d13392bf333?s=256&d=identicon&r=PG', 'display_name': 'Marty Pitt', 'link': 'https://stackoverflow.com/users/59015/marty-pitt'}",True,10159,4,9,1668524918,1351459316,13113142,CC BY-SA 3.0,https://stackoverflow.com/questions/13113142/gmaven-build-fails-with-an-api-incompatibility-was-encountered,GMaven build fails with &quot;An API incompatibility was encountered&quot;,,,,,,,
