,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,locked_date,migrated_from
0,"['java', 'bluetooth', 'bluecove']","{'account_id': 1341948, 'reputation': 1, 'user_id': 1283461, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bbe56fb1c67254f0b3e03b5cb734c752?s=256&d=identicon&r=PG', 'display_name': 'user1283461', 'link': 'https://stackoverflow.com/users/1283461/user1283461'}",False,1891,1,0,1668903907,1332518155,1332528340.0,9842412,CC BY-SA 3.0,https://stackoverflow.com/questions/9842412/java-bluetooth-connectivity,Java - bluetooth connectivity,,,,,,
1,"['java', 'while-loop', 'java.util.scanner']","{'account_id': 1340915, 'reputation': 61, 'user_id': 1282579, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/34dd68309699c396c28208c879d9a681?s=256&d=identicon&r=PG', 'display_name': 'mPierce', 'link': 'https://stackoverflow.com/users/1282579/mpierce'}",False,20299,4,6,1668852290,1332394376,1332495103.0,9816965,CC BY-SA 3.0,https://stackoverflow.com/questions/9816965/java-scanner-wont-finish-reading-input,Java Scanner won&#39;t &quot;finish&quot; reading input,,,,,,
2,"['java', 'inner-classes']","{'account_id': 298225, 'reputation': 3595, 'user_id': 604136, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4086a1a6129c15eb735289995a9d0c29?s=256&d=identicon&r=PG', 'display_name': 'coolpapa', 'link': 'https://stackoverflow.com/users/604136/coolpapa'}",True,322873,11,348,1668712355,1330911076,1638964075.0,9560600,CC BY-SA 4.0,https://stackoverflow.com/questions/9560600/what-causes-error-no-enclosing-instance-of-type-foo-is-accessible-and-how-do-i,What causes error &quot;No enclosing instance of type Foo is accessible&quot; and how do I fix it?,9560633.0,,,,,
3,"['java', 'multithreading', 'dynamic']","{'account_id': 1313619, 'reputation': 103, 'user_id': 1261068, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/8d5f945357142a22768dd76213ebe6ef?s=256&d=identicon&r=PG', 'display_name': 'shri ram', 'link': 'https://stackoverflow.com/users/1261068/shri-ram'}",True,6930,1,0,1668701826,1332774109,,9874587,,https://stackoverflow.com/questions/9874587/how-to-create-threads-dynamically,How to create threads dynamically?,9874617.0,1332774284.0,not a real question,,,
4,"['java', 'data-structures', 'computational-geometry']","{'account_id': 158235, 'reputation': 1591, 'user_id': 376726, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/f6cd96195135872bf40d008a58a0a5c2?s=256&d=identicon&r=PG', 'display_name': 'chaitanya', 'link': 'https://stackoverflow.com/users/376726/chaitanya'}",True,1248,2,3,1668598888,1331088058,1585654960.0,9595091,CC BY-SA 4.0,https://stackoverflow.com/questions/9595091/quad-edge-data-structure-makeedge-logic,quad edge data structure makeEdge logic,,,,,,
5,"['java', 'sleep']","{'account_id': 110530, 'reputation': 2151, 'user_id': 292442, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1d5003c3ecb99fcb386a20db5688fa18?s=256&d=identicon&r=PG', 'display_name': 'Rachel', 'link': 'https://stackoverflow.com/users/292442/rachel'}",True,99442,2,112,1668298794,1331050896,1331052540.0,9587673,CC BY-SA 3.0,https://stackoverflow.com/questions/9587673/thread-sleep-vs-timeunit-seconds-sleep,Thread.sleep vs. TimeUnit.SECONDS.sleep,9587726.0,,,,,
6,"['java', 'floating-point']","{'account_id': 92573, 'reputation': 13071, 'user_id': 253656, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3cabc63d4b152fa68056259e6eee4054?s=256&d=identicon&r=PG&f=1', 'display_name': 'ipkiss', 'link': 'https://stackoverflow.com/users/253656/ipkiss'}",True,109415,9,95,1668188698,1331969196,1363599504.0,9748160,CC BY-SA 3.0,https://stackoverflow.com/questions/9748160/why-f-is-placed-after-float-values,why f is placed after float values?,9748169.0,,,,,
7,"['java', 'logging']","{'account_id': 440158, 'reputation': 315374, 'user_id': 829571, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/zflGZ.png?s=256&g=1', 'display_name': 'assylias', 'link': 'https://stackoverflow.com/users/829571/assylias'}",True,444,3,3,1667741759,1332844842,1592644375.0,9887972,CC BY-SA 4.0,https://stackoverflow.com/questions/9887972/logging-good-practice,Logging good practice,9888050.0,,,,,
8,"['java', 'database', 'jpa', 'distributed', 'application-server']","{'account_id': 1234620, 'reputation': 3665, 'user_id': 1198474, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/pUCYm.jpg?s=256&g=1', 'display_name': 'salocinx', 'link': 'https://stackoverflow.com/users/1198474/salocinx'}",True,1460,4,1,1667650784,1331413286,1667650784.0,9650149,CC BY-SA 4.0,https://stackoverflow.com/questions/9650149/how-to-design-a-2-3-tier-distributed-application-in-java,How to design a 2/3 tier distributed application in Java?,9660922.0,,,,,
9,"['java', 'parsing', 'constructor']","{'account_id': 1026917, 'reputation': 1980, 'user_id': 1036032, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/aae167e246c8a63cfedab4cc16559fb0?s=256&d=identicon&r=PG', 'display_name': 'ict1991', 'link': 'https://stackoverflow.com/users/1036032/ict1991'}",True,862,2,2,1667409836,1331887332,1495541639.0,9734151,CC BY-SA 3.0,https://stackoverflow.com/questions/9734151/how-to-be-able-to-identify-a-constructor-using-javaparser,How to be able to identify a constructor using JavaParser?,9734272.0,,,,,
10,"['java', 'eclipse', 'junit']","{'account_id': 1047674, 'reputation': 627, 'user_id': 1052348, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/4e5e04a5dca416295a3542fc64b8fa09?s=256&d=identicon&r=PG', 'display_name': 'blueSky', 'link': 'https://stackoverflow.com/users/1052348/bluesky'}",True,10687,7,7,1666857257,1331661008,1331671777.0,9689323,CC BY-SA 3.0,https://stackoverflow.com/questions/9689323/my-eclipse-can-no-longer-run-or-debug-my-junit-tests,My Eclipse can no longer run (or debug) my JUnit tests,9690357.0,,,,,
11,"['java', 'c++', 'java-native-interface', 'kinect', 'com+']","{'account_id': 1293012, 'reputation': 1282, 'user_id': 1244730, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8f5f1c377b77b9c6d20ca30cf0ac02a0?s=256&d=identicon&r=PG', 'display_name': 'seveves', 'link': 'https://stackoverflow.com/users/1244730/seveves'}",True,13948,3,4,1666742135,1331273846,,9629766,CC BY-SA 3.0,https://stackoverflow.com/questions/9629766/communication-between-java-application-and-c-application,Communication between Java Application and C++ Application,9629859.0,,,,,
12,"['java', 'bytearray', 'hex']","{'account_id': 37603, 'reputation': 8710, 'user_id': 107544, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/ml6KF.jpg?s=256&g=1', 'display_name': 'Andre', 'link': 'https://stackoverflow.com/users/107544/andre'}",True,940392,34,783,1666707285,1331471184,1430596539.0,9655181,CC BY-SA 3.0,https://stackoverflow.com/questions/9655181/how-to-convert-a-byte-array-to-a-hex-string-in-java,How to convert a byte array to a hex string in Java?,9855338.0,,,1447931893.0,,
13,"['java', 'tomcat', 'timezone', 'default', 'utc']","{'account_id': 1227292, 'reputation': 1572, 'user_id': 1192617, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/62536946a87377567114b8beffd5fe10?s=256&d=identicon&r=PG', 'display_name': 'samz', 'link': 'https://stackoverflow.com/users/1192617/samz'}",True,10188,2,13,1666639667,1332859638,1495542875.0,9891881,CC BY-SA 3.0,https://stackoverflow.com/questions/9891881/java-timezone-setdefault-effects,java Timezone setDefault effects,9891971.0,,,,,
14,"['java', 'string', 'encoding', 'utf-8', 'utf-16']","{'account_id': 1317509, 'reputation': 5443, 'user_id': 1264058, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/0v3e3.png?s=256&g=1', 'display_name': 'Johnny Lim', 'link': 'https://stackoverflow.com/users/1264058/johnny-lim'}",True,41188,6,53,1666325005,1331717167,1382920644.0,9699071,CC BY-SA 3.0,https://stackoverflow.com/questions/9699071/what-is-the-javas-internal-represention-for-string-modified-utf-8-utf-16,What is the Java&#39;s internal represention for String? Modified UTF-8? UTF-16?,9699224.0,,,,,
15,"['ubuntu', 'environment-variables', 'java']","{'account_id': 1194221, 'reputation': 3366, 'user_id': 1166283, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://i.stack.imgur.com/xM6Mh.jpg?s=256&g=1', 'display_name': 'Ullas Prabhakar', 'link': 'https://stackoverflow.com/users/1166283/ullas-prabhakar'}",True,744069,26,210,1666090917,1331181331,1351518316.0,9612941,CC BY-SA 3.0,https://stackoverflow.com/questions/9612941/how-to-set-java-environment-path-in-ubuntu,How to set Java environment path in Ubuntu,18972665.0,,,,,
16,"['java', 'spring', 'prototype-scope']","{'account_id': 206866, 'reputation': 1821, 'user_id': 456423, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/FQGz9.png?s=256&g=1', 'display_name': 'Tarun Sapra', 'link': 'https://stackoverflow.com/users/456423/tarun-sapra'}",True,17745,4,45,1665928150,1331545784,1431266232.0,9664810,CC BY-SA 3.0,https://stackoverflow.com/questions/9664810/spring-prototype-scope-use-cases,Spring prototype scope - Use Cases?,,,,,,
17,"['java', 'linux', 'sockets', 'tcp', 'keep-alive']","{'account_id': 231667, 'reputation': 3223, 'user_id': 496015, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/5f48fb721335cce93c5390fe88f3f269?s=256&d=identicon&r=PG', 'display_name': 'Marc', 'link': 'https://stackoverflow.com/users/496015/marc'}",True,2730,1,2,1665862375,1333113626,1333116127.0,9943817,CC BY-SA 3.0,https://stackoverflow.com/questions/9943817/socket-keep-alive-not-working-on-linux,Socket keep alive not working on Linux,,,,,,
18,"['java', 'xml', 'stax']","{'account_id': 1357787, 'reputation': 683, 'user_id': 1295827, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/n8hSk.png?s=256&g=1', 'display_name': 'Ondino', 'link': 'https://stackoverflow.com/users/1295827/ondino'}",False,2059,0,2,1665834917,1332862721,1665834917.0,9892857,CC BY-SA 4.0,https://stackoverflow.com/questions/9892857/how-to-filter-xml-tags-then-write-filtered-tags-in-dynamically-generated-files,"How to filter XML tags, then write filtered tags in dynamically generated files",,,,,,
19,"['java', 'string', 'if-statement']","{'account_id': 1230287, 'reputation': 1305, 'user_id': 1195033, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/65eb8724fcbb8879b643474f9ac9c064?s=256&d=identicon&r=PG', 'display_name': 'FredBones', 'link': 'https://stackoverflow.com/users/1195033/fredbones'}",True,208074,10,120,1665579681,1332259902,1571404031.0,9790584,CC BY-SA 4.0,https://stackoverflow.com/questions/9790584/how-to-check-if-a-string-starts-with-one-of-several-prefixes,How to check if a string starts with one of several prefixes?,9790627.0,,,,,
20,"['java', 'android', 'libgdx']","{'account_id': 350873, 'reputation': 171, 'user_id': 687042, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/309c0aea7c9c05bcb551731a40af0010?s=256&d=identicon&r=PG', 'display_name': 'Rhymes', 'link': 'https://stackoverflow.com/users/687042/rhymes'}",True,1129,1,4,1665166607,1333145276,1546686786.0,9951008,CC BY-SA 4.0,https://stackoverflow.com/questions/9951008/java-lang-noclassdeffounderror-while-using-truetypefontfactory-in-libgdx-for-and,java.lang.NoClassDefFoundError while using TrueTypeFontFactory in Libgdx for android,,,,,,
21,"['java', 'hibernate', 'jpa', 'annotations', 'hibernate-annotations']","{'account_id': 105232, 'reputation': 19476, 'user_id': 280924, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/171b07ba15c1db361fd3e36977cb9e21?s=256&d=identicon&r=PG', 'display_name': 'brainydexter', 'link': 'https://stackoverflow.com/users/280924/brainydexter'}",True,102931,5,113,1665058855,1333017250,1569174313.0,9923643,CC BY-SA 4.0,https://stackoverflow.com/questions/9923643/can-someone-please-explain-me-mapsid-in-hibernate,can someone please explain me @MapsId in hibernate?,9925895.0,,,,,
22,"['java', 'access-specifier']","{'account_id': 180421, 'reputation': 724, 'user_id': 413727, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/p2fnb.jpg?s=256&g=1', 'display_name': 'Abhilash PS', 'link': 'https://stackoverflow.com/users/413727/abhilash-ps'}",True,85528,6,30,1665048549,1332745686,1576320079.0,9867976,,https://stackoverflow.com/questions/9867976/difference-between-the-default-access-specifier-and-protected-access-specifier-i,Difference between the default access specifier and protected access specifier in java,9867997.0,1604050373.0,Duplicate,,,
23,"['java', 'sockets']","{'account_id': 368578, 'reputation': 387, 'user_id': 715477, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/ea48eb64df07e842f36983135a389658?s=256&d=identicon&r=PG', 'display_name': 'Hari', 'link': 'https://stackoverflow.com/users/715477/hari'}",True,7653,4,5,1664980026,1331021336,1395761748.0,9579958,CC BY-SA 3.0,https://stackoverflow.com/questions/9579958/system-setproperty-used-by-a-thread-impacts-other-thread-in-communication-to-ext,System.setProperty used by a thread impacts other thread in communication to external network elements. How to resolve it?,,,,,,
24,"['java', 'python', 'google-app-engine', 'google-cloud-sql']","{'account_id': 223139, 'reputation': 6157, 'user_id': 482169, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/5bc4178afdb6745063547b26ceac5742?s=256&d=identicon&r=PG', 'display_name': 'lucemia', 'link': 'https://stackoverflow.com/users/482169/lucemia'}",True,2547,3,1,1664849173,1330564078,1664849173.0,9509232,CC BY-SA 4.0,https://stackoverflow.com/questions/9509232/access-google-cloud-sql-from-python-in-local-machine,Access Google Cloud SQL from python in local machine?,9814778.0,,,,,
25,"['java', 'jar', 'executable']","{'account_id': 1254047, 'reputation': 3295, 'user_id': 1213900, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/EiSdv.jpg?s=256&g=1', 'display_name': 'Arian', 'link': 'https://stackoverflow.com/users/1213900/arian'}",True,36918,4,77,1664794454,1331208558,1386623890.0,9617420,CC BY-SA 3.0,https://stackoverflow.com/questions/9617420/difference-between-extracting-and-packaging-libraries-into-a-jar-file,Difference between extracting and packaging libraries into a jar file,9617708.0,,,,,
26,"['java', 'php']","{'account_id': 156132, 'reputation': 927, 'user_id': 373230, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/f9f3148469661a789038d63b5be0ca8a?s=256&d=identicon&r=PG', 'display_name': 'jSherz', 'link': 'https://stackoverflow.com/users/373230/jsherz'}",True,2550,3,-2,1664679694,1331991987,,9750456,CC BY-SA 3.0,https://stackoverflow.com/questions/9750456/interfacing-php-with-java-server,Interfacing PHP with Java server,9751969.0,,,,,
27,"['java', 'nexus']","{'account_id': 1255004, 'reputation': 291, 'user_id': 1214662, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/6dc3014bf47185bb4d10db35526fe472?s=256&d=identicon&r=PG', 'display_name': 'John Kroubalkian', 'link': 'https://stackoverflow.com/users/1214662/john-kroubalkian'}",False,7945,1,1,1664543150,1330536671,1330539786.0,9503835,CC BY-SA 3.0,https://stackoverflow.com/questions/9503835/nexus-2-0-not-caching-remote-artifacts,Nexus 2.0 not caching remote artifacts,,,,,,
28,"['java', 'mongodb', 'mongodb-java']","{'account_id': 445028, 'reputation': 2447, 'user_id': 837208, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/772d2ea49bd4e797030b82386246e1b3?s=256&d=identicon&r=PG', 'display_name': 'user837208', 'link': 'https://stackoverflow.com/users/837208/user837208'}",True,84707,7,47,1664497212,1332297782,,9797935,CC BY-SA 3.0,https://stackoverflow.com/questions/9797935/how-to-query-documents-using-id-field-in-java-mongodb-driver,How to query documents using &quot;_id&quot; field in Java mongodb driver?,9798055.0,,,,,
29,"['java', 'android', 'text-to-speech']","{'account_id': 1343647, 'reputation': 179, 'user_id': 1284791, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6e173ad1f169d6d3d95f6f74e12772b?s=256&d=identicon&r=PG', 'display_name': 'user1284791', 'link': 'https://stackoverflow.com/users/1284791/user1284791'}",True,34908,8,14,1663761927,1332379725,,9815245,CC BY-SA 3.0,https://stackoverflow.com/questions/9815245/android-text-to-speech-male-voice,Android Text To Speech Male Voice,,,,,,
30,"['java', 'hibernate', 'postgresql', 'maven']","{'account_id': 985857, 'reputation': 2636, 'user_id': 1004374, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/VEBsW.jpg?s=256&g=1', 'display_name': 'Dmitrii Borovoi', 'link': 'https://stackoverflow.com/users/1004374/dmitrii-borovoi'}",True,8376,5,3,1663757325,1331092738,1331093084.0,9595624,CC BY-SA 3.0,https://stackoverflow.com/questions/9595624/java-lang-classcastexception-org-hibernate-action-delayedpostinsertidentifier-c,java.lang.ClassCastException: org.hibernate.action.DelayedPostInsertIdentifier cannot be cast to java.lang.Long,,,,,,
31,"['java', 'swing', 'user-interface', 'joptionpane']","{'account_id': 334202, 'reputation': 845, 'user_id': 660496, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/c334ba239564d3f5afb3b7545de9c553?s=256&d=identicon&r=PG', 'display_name': 'andrew', 'link': 'https://stackoverflow.com/users/660496/andrew'}",True,13168,2,11,1663408252,1332684216,1332684907.0,9860731,CC BY-SA 3.0,https://stackoverflow.com/questions/9860731/how-to-close-message-dialog-programmatically,How to close message dialog programmatically?,9860799.0,,,,,
32,"['sms', 'sms-gateway', 'java']","{'account_id': 484213, 'reputation': 189, 'user_id': 899751, 'user_type': 'registered', 'accept_rate': 10, 'profile_image': 'https://www.gravatar.com/avatar/6f1bb58472b06759aa884f1d447d74d1?s=256&d=identicon&r=PG', 'display_name': 'fers', 'link': 'https://stackoverflow.com/users/899751/fers'}",False,8190,2,0,1663301020,1331593549,1428945497.0,9676063,CC BY-SA 3.0,https://stackoverflow.com/questions/9676063/send-free-sms-with-java,Send free sms with java,,,,,,
33,"['java', 'sftp', 'apache-commons-vfs']","{'account_id': 183857, 'reputation': 14834, 'user_id': 419516, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/ce3e68b78511c5c328fb42337727232a?s=256&d=identicon&r=PG&f=1', 'display_name': 'user219882', 'link': 'https://stackoverflow.com/users/419516/user219882'}",True,11229,4,7,1663271822,1331544499,1337351422.0,9664510,CC BY-SA 3.0,https://stackoverflow.com/questions/9664510/commons-vfs-cannot-list-the-contents-of-a-directory,Commons VFS - Cannot list the contents of a directory,9664637.0,,,,,
34,"['java', 'java-native-interface', 'osx-lion']","{'account_id': 227656, 'reputation': 1033, 'user_id': 489457, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/2f5c28ecfca02f114691d0bd44b709ce?s=256&d=identicon&r=PG', 'display_name': 'Steve', 'link': 'https://stackoverflow.com/users/489457/steve'}",True,22899,2,21,1663185237,1331736980,1370972966.0,9704376,CC BY-SA 3.0,https://stackoverflow.com/questions/9704376/how-to-install-java-native-development-headers-on-os-x-lion,How to install Java native development headers on OS X Lion,,,,,,
35,"['java', 'svg', 'jfreechart']","{'account_id': 1290269, 'reputation': 63, 'user_id': 1242510, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/700bd14e18b0368e79535c74daa6e5a6?s=256&d=identicon&r=PG', 'display_name': 'super_ernie77', 'link': 'https://stackoverflow.com/users/1242510/super-ernie77'}",True,11130,3,6,1663001917,1330601441,,9515373,CC BY-SA 3.0,https://stackoverflow.com/questions/9515373/how-to-create-an-svg-with-jfreechart,How to create an SVG with JFreeChart?,9515676.0,,,,,
