,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date,community_owned_date
0,"['java', 'variables', 'duplicates', 'local']","{'account_id': 1723240, 'reputation': 41, 'user_id': 1578485, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/67305f68aeb7af7bec9ee887edb671e5?s=256&d=identicon&r=PG', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/1578485/ryan'}",True,56959,7,4,1669549410,1344236958,11823885,CC BY-SA 3.0,https://stackoverflow.com/questions/11823885/java-error-duplicate-local-variable,"Java error, duplicate local variable",,,,,,,,
1,"['java', 'json', 'parsing']","{'account_id': 434144, 'reputation': 18328, 'user_id': 819916, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/1d5036972c6c5d712b9d7a558eaa4c2d?s=256&d=identicon&r=PG&f=1', 'display_name': 'AKIWEB', 'link': 'https://stackoverflow.com/users/819916/akiweb'}",True,439569,7,80,1669522006,1344469966,11874919,CC BY-SA 3.0,https://stackoverflow.com/questions/11874919/parsing-json-string-in-java,Parsing JSON string in Java,11875002.0,1461234542.0,,,,,,
2,"['java', 'spring', 'aop', 'aspectj', 'spring-aop']","{'account_id': 1754050, 'reputation': 195, 'user_id': 1602481, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/5376b84da709eb9447543ce60ec2ec29?s=256&d=identicon&r=PG', 'display_name': 'eliorsh', 'link': 'https://stackoverflow.com/users/1602481/eliorsh'}",True,2127,1,2,1669282235,1346187358,12167397,CC BY-SA 3.0,https://stackoverflow.com/questions/12167397/aspectj-doesnt-work-fine-in-eclipse,AspectJ doesnt work fine in Eclipse,12175090.0,1346233125.0,,,,,,
3,"['java', 'jar']","{'account_id': 1714555, 'reputation': 1960, 'user_id': 1571933, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/e054fe794f80d06ab3e460c3e35ae53e?s=256&d=identicon&r=PG', 'display_name': 'joshualan', 'link': 'https://stackoverflow.com/users/1571933/joshualan'}",True,129858,12,99,1669249221,1345660149,12079230,CC BY-SA 3.0,https://stackoverflow.com/questions/12079230/what-exactly-does-a-jar-file-contain,What exactly does a jar file contain?,12079258.0,1449031719.0,,,,,,
4,"['java', 'web-services', 'rest', 'soa', 'distributed-computing']","{'account_id': 415780, 'reputation': 6377, 'user_id': 790785, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/cdb8f89a5395e05ec3b5a427f0d82b09?s=256&d=identicon&r=PG', 'display_name': 'Atharva', 'link': 'https://stackoverflow.com/users/790785/atharva'}",True,251,2,1,1668881294,1346165114,12161847,,https://stackoverflow.com/questions/12161847/framework-protocol-tools-to-use-for-implementing-request-response-type-applicati,Framework/Protocol/Tools to use for implementing request-response type application in SOA environment,12176978.0,1346246930.0,1371084351.0,not constructive,,,,
5,['java'],"{'account_id': 63162, 'reputation': 99544, 'user_id': 187141, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/f9e28dc83496320c87c55b3cf988ab60?s=256&d=identicon&r=PG', 'display_name': 'yegor256', 'link': 'https://stackoverflow.com/users/187141/yegor256'}",True,7508,4,14,1668679523,1345455332,12035286,,https://stackoverflow.com/questions/12035286/lorem-ipsum-generator-for-java-available-in-maven-central,"lorem ipsum generator for java, available in Maven Central?",12035382.0,,1581969532.0,Not suitable for this site,,,,
6,['java'],"{'account_id': 279648, 'reputation': 86, 'user_id': 574926, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f3a5a46cf6ecf5e5b99aa587efbc3600?s=256&d=identicon&r=PG', 'display_name': 'Jonathan P.', 'link': 'https://stackoverflow.com/users/574926/jonathan-p'}",True,10394,2,6,1668552199,1345160668,11996991,CC BY-SA 4.0,https://stackoverflow.com/questions/11996991/how-to-deploy-basic-java-application,How to deploy basic java application,11997043.0,1668552199.0,,,,,,
7,"['java', 'jvm']","{'account_id': 1741732, 'reputation': 71, 'user_id': 1592936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a37822b874e0d38e93c24f9cd0b0199e?s=256&d=identicon&r=PG', 'display_name': 'user1592936', 'link': 'https://stackoverflow.com/users/1592936/user1592936'}",True,6655,5,7,1668258146,1344740526,11919400,CC BY-SA 4.0,https://stackoverflow.com/questions/11919400/release-java-memory-for-os-at-runtime,Release java memory for OS at runtime,,1668258146.0,,,,,,
8,"['java', 'http', 'network-programming', 'jetty']","{'account_id': 327841, 'reputation': 10075, 'user_id': 650444, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/e8ea44260ab15b5af3941a96c178dd4e?s=256&d=identicon&r=PG', 'display_name': 'Michael', 'link': 'https://stackoverflow.com/users/650444/michael'}",True,838,1,1,1668183219,1344419566,11861952,CC BY-SA 3.0,https://stackoverflow.com/questions/11861952/how-to-cancel-reading-request-with-jetty,How to cancel reading request with Jetty?,11911313.0,1344420492.0,,,,,,
9,"['java', 'jakarta-ee', 'logging', 'websphere', 'logback']","{'account_id': 346993, 'reputation': 8594, 'user_id': 680847, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/yfnDv.jpg?s=256&g=1', 'display_name': 'stephen.hanson', 'link': 'https://stackoverflow.com/users/680847/stephen-hanson'}",True,3016,3,6,1668070979,1344373900,11854221,CC BY-SA 3.0,https://stackoverflow.com/questions/11854221/websphere-with-logback-logging-to-system-out-formatting-issue,Websphere with Logback logging to system out - formatting issue,11872472.0,,,,,,,
