,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date
0,"['java', 'swing', 'file', 'jframe']","{'account_id': 23120458, 'reputation': 5, 'user_id': 17227064, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/E72kZ.jpg?s=256&g=1', 'display_name': 'Lvcaa', 'link': 'https://stackoverflow.com/users/17227064/lvcaa'}",True,73,1646261855.0,71329377.0,1,-4,1669217293,1646256405,1669217293.0,71329340,https://stackoverflow.com/questions/71329340/return-a-chosen-file-in-java-jframe,Needs details or clarity,Return a chosen file in java (JFrame),,
1,"['java', 'selenium', 'google-chrome', 'selenium-webdriver', 'selenium-chromedriver']","{'account_id': 24643987, 'reputation': 9, 'user_id': 18541866, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxNhX3Sb_k2Fc3y96dgLnF4nEYv5I6iUS-JsAVd=k-s256', 'display_name': 'Dmitriy N', 'link': 'https://stackoverflow.com/users/18541866/dmitriy-n'}",False,7470,,,5,1,1669179915,1647949954,1647989397.0,71571616,https://stackoverflow.com/questions/71571616/org-openqa-selenium-sessionnotcreatedexception-message-could-not-start-a-new-s,,org.openqa.selenium.SessionNotCreatedException: Message: Could not start a new session. Response code 500 error using Selenium Java,CC BY-SA 4.0,
2,"['java', 'jpa', 'inheritance', 'jpql']","{'account_id': 18678794, 'reputation': 1, 'user_id': 13615867, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-LMqh2Mm5GCU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckSaRVr650AAeb1KDVXJXiFhJAhTA/photo.jpg?sz=256', 'display_name': 'Valentina Politi', 'link': 'https://stackoverflow.com/users/13615867/valentina-politi'}",False,193,,,1,0,1669150955,1646761820,1646769598.0,71399443,https://stackoverflow.com/questions/71399443/jpa-query-in-inheritance-tables,,JPA Query in inheritance tables,CC BY-SA 4.0,
3,"['java', 'html', 'selenium', 'validation', 'selenium-webdriver']","{'account_id': 24507222, 'reputation': 95, 'user_id': 18422063, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzXQ-x4CebuKh-sZUcrFhlD7YK7ka_uH1_i3IdH=k-s256', 'display_name': 'tester', 'link': 'https://stackoverflow.com/users/18422063/tester'}",True,54,,71580089.0,1,0,1669138447,1647937871,1669138447.0,71568981,https://stackoverflow.com/questions/71568981/how-to-extract-the-error-hint-of-text-box-when-user-entered-incorrect-value-in-s,,How to extract the error hint of text box when user entered incorrect value in Selenium,CC BY-SA 4.0,
4,"['java', 'encryption', 'aes']","{'account_id': 23843683, 'reputation': 1, 'user_id': 17848437, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d98ee953b3786c98aa2de921525f989?s=256&d=identicon&r=PG', 'display_name': 'PeterJ', 'link': 'https://stackoverflow.com/users/17848437/peterj'}",False,1074,,,1,0,1669134920,1646907650,,71422498,https://stackoverflow.com/questions/71422498/javax-crypto-aeadbadtagexception-tag-mismatch-when-password-length-16,,javax.crypto.AEADBadTagException: Tag mismatch! when password.length &gt;= 16,CC BY-SA 4.0,
5,"['java', 'android', 'admob', 'google-play-console', 'google-advertising-id']","{'account_id': 23288910, 'reputation': 609, 'user_id': 17371284, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ac34ba2912e68c4ff7810b45d75861cf?s=256&d=identicon&r=PG', 'display_name': 'Abdullah', 'link': 'https://stackoverflow.com/users/17371284/abdullah'}",True,44821,,71474159.0,11,57,1669132286,1647287915,1647339178.0,71473553,https://stackoverflow.com/questions/71473553/action-requested-declare-your-ad-id-permission,,Action requested: Declare your Ad ID permission,CC BY-SA 4.0,1647336511.0
6,"['java', 'arrays', 'loops', 'if-statement']","{'account_id': 20895823, 'reputation': 11, 'user_id': 15350105, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-VwqQmtakMiA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-e3paJw42mmpleLh4N3mhODNe8A/s96-c/photo.jpg?sz=256', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/15350105/alex'}",False,151,,,1,1,1669047385,1648602568,,71670421,https://stackoverflow.com/questions/71670421/how-do-i-iterate-over-elements-of-an-array-in-java-while-i-am-inside-of-a-for-lo,,How do I iterate over elements of an array in Java while I am inside of a for loop to iterate over the elements of an array?,CC BY-SA 4.0,
7,"['java', 'sonarqube']","{'account_id': 24442258, 'reputation': 21, 'user_id': 18365784, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/555c3beb8a0e7c22c63d346035c0b731?s=256&d=identicon&r=PG&f=1', 'display_name': 'Prox', 'link': 'https://stackoverflow.com/users/18365784/prox'}",False,285,,,1,2,1669007787,1646323468,1646323923.0,71340170,https://stackoverflow.com/questions/71340170/how-do-i-solve-sonarcube-issue-call-is-marked-javax-annotation-nonnull-but-nu,,How do I solve SonarCube issue: call is marked &quot;javax.annotation.Nonnull&quot; but null could be passed,CC BY-SA 4.0,
8,"['java', 'binary', 'decimal']","{'account_id': 24335461, 'reputation': 17, 'user_id': 18273596, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a2e71f3fee15e56c933e25ce2a38858f?s=256&d=identicon&r=PG', 'display_name': 'bdavidson024', 'link': 'https://stackoverflow.com/users/18273596/bdavidson024'}",True,170,,,1,2,1668945322,1648085665,1668945322.0,71596060,https://stackoverflow.com/questions/71596060/java-program-converting-user-input-string-representing-binary-number-to-decimal,,Java program converting user input string representing binary number to decimal,CC BY-SA 4.0,
9,"['java', 'spring-boot', 'amazon-cognito']","{'account_id': 460854, 'reputation': 75, 'user_id': 862210, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/0eb0629d9e18bfac71c8a0352d99d4a1?s=256&d=identicon&r=PG', 'display_name': 'Frotty', 'link': 'https://stackoverflow.com/users/862210/frotty'}",True,452,,,2,0,1668945182,1647365006,1647432169.0,71486456,https://stackoverflow.com/questions/71486456/spring-boot-with-cognito-always-shows-login-screen-in-postman,,Spring Boot with Cognito always shows login screen in postman,CC BY-SA 4.0,
10,"['java', 'junit', 'mockito']","{'account_id': 10106801, 'reputation': 123, 'user_id': 7469100, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/3dccbd8e1e5f99379f0632f875d1c5d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Karthick', 'link': 'https://stackoverflow.com/users/7469100/karthick'}",False,170,,,0,0,1668932716,1648636137,1648642520.0,71675554,https://stackoverflow.com/questions/71675554/mockito-mongotemplate-aggregationresults-getmappedresults-getting-nullpointer-ex,,Mockito Mongotemplate AggregationResults.getMappedResults getting nullpointer exception,CC BY-SA 4.0,
11,"['java', 'spring', 'spring-security', 'adfs', 'spring-saml']","{'account_id': 8258510, 'reputation': 2673, 'user_id': 6210860, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/4a232876caf352bfa930b34d9904b02f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Asfourhundred', 'link': 'https://stackoverflow.com/users/6210860/asfourhundred'}",False,56,,,0,0,1668887390,1647426244,,71495360,https://stackoverflow.com/questions/71495360/spring-security-saml-adfs-on-non-spring-project,,Spring Security SAML ADFS on NON Spring project,CC BY-SA 4.0,
12,"['java', 'android', 'facebook-login', 'facebook-android-sdk']","{'account_id': 3078147, 'reputation': 725, 'user_id': 2607017, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/6ed98f55bce42092df4fb55e748f8e96?s=256&d=identicon&r=PG', 'display_name': 'Zhang Zhan', 'link': 'https://stackoverflow.com/users/2607017/zhang-zhan'}",True,502,,71317432.0,2,2,1668779607,1646193029,1646197106.0,71317253,https://stackoverflow.com/questions/71317253/android-callbackmanager-call-back-stopped-working-after-upgrading-to-facebook-sd,,Android CallbackManager call back stopped working after upgrading to Facebook SDK 12.0.0 (Or 13),CC BY-SA 4.0,
13,"['java', 'spring-boot', 'jpa', 'quarkus', 'specifications']","{'account_id': 22791844, 'reputation': 185, 'user_id': 16946039, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjrKJ_Ylo_mjf85VXvouqEcm31cqBciAMZVoakD=k-s256', 'display_name': 'Hugo Vinhal', 'link': 'https://stackoverflow.com/users/16946039/hugo-vinhal'}",False,232,,,1,1,1668727955,1647971106,,71576690,https://stackoverflow.com/questions/71576690/jpa-specification-in-quarkus,,JPA Specification in Quarkus,CC BY-SA 4.0,
14,"['java', 'android', 'firebase', 'android-bottomsheetdialog']","{'account_id': 15004654, 'reputation': 23, 'user_id': 11923435, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-rKyxI96JgkY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3re3RSDBJMRXRq4U4lkIHHTDswxi7Q/photo.jpg?sz=256', 'display_name': 'Amit Swami', 'link': 'https://stackoverflow.com/users/11923435/amit-swami'}",False,308,,,0,1,1668711693,1648533240,1648533960.0,71657080,https://stackoverflow.com/questions/71657080/error-inflating-class-unknown-in-android,,Error inflating class &lt;unknown&gt; in android,CC BY-SA 4.0,
15,"['java', 'spring', 'spring-boot', 'spring-mvc', 'webflux']","{'account_id': 3870891, 'reputation': 25, 'user_id': 3206193, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'nicari', 'link': 'https://stackoverflow.com/users/3206193/nicari'}",False,1501,,,1,1,1668701995,1646081049,1646139096.0,71300847,https://stackoverflow.com/questions/71300847/spring-no-converter-for-class-java-util-arraylist-with-preset-content-type-n,,Spring: No converter for [class java.util.ArrayList] with preset Content-Type &#39;null&#39;,CC BY-SA 4.0,
16,"['javascript', 'java', 'mongodb', 'spring-data-mongodb']","{'account_id': 20017385, 'reputation': 96, 'user_id': 14673069, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/U5CB6.jpg?s=256&g=1', 'display_name': 'wtyork', 'link': 'https://stackoverflow.com/users/14673069/wtyork'}",True,194,,71467532.0,3,2,1668687317,1647247204,1647327684.0,71464951,https://stackoverflow.com/questions/71464951/java-mongotemplate-aggregate-with-project-nested-document,,java MongoTemplate aggregate with project nested document,CC BY-SA 4.0,
17,"['java', 'eclipse']","{'account_id': 24407742, 'reputation': 1, 'user_id': 18335677, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJywFoHTYN0PY_K4H8oaEHrcOh9TRd_3d0om-IVu=k-s256', 'display_name': 'Amyy', 'link': 'https://stackoverflow.com/users/18335677/amyy'}",False,123,,,0,0,1668623471,1646065925,1646077064.0,71298155,https://stackoverflow.com/questions/71298155/how-can-i-fix-my-ide-which-puts-lots-of-squiggle-lines-over-my-java-code,,"How can I fix my IDE, which puts lots of squiggle lines over my Java code?",CC BY-SA 4.0,
18,"['java', 'soap', 'saaj']","{'account_id': 7691896, 'reputation': 779, 'user_id': 5827891, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/30e757fb2c2b37a32ddf72c768bd673c?s=256&d=identicon&r=PG&f=1', 'display_name': 'DarkCrow', 'link': 'https://stackoverflow.com/users/5827891/darkcrow'}",False,915,,,1,4,1668597969,1646932481,,71428192,https://stackoverflow.com/questions/71428192/unable-to-create-saaj-meta-factory-in-java-17,,Unable to create SAAJ meta-factory in Java 17,CC BY-SA 4.0,
19,"['java', 'spring', 'spring-boot', 'yaml', 'quartz-scheduler']","{'account_id': 16017482, 'reputation': 178, 'user_id': 11559775, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-2erLiRy_vzg/AAAAAAAAAAI/AAAAAAAAABM/URh2zBpyutQ/photo.jpg?sz=256', 'display_name': 'Abhinav Mani', 'link': 'https://stackoverflow.com/users/11559775/abhinav-mani'}",False,623,,,1,1,1668595572,1647962582,1647964231.0,71574635,https://stackoverflow.com/questions/71574635/quartz-scheduler-not-started,,Quartz Scheduler NOT STARTED,CC BY-SA 4.0,
20,"['java', 'spring-boot', 'vue.js', 'cookies']","{'account_id': 12206881, 'reputation': 760, 'user_id': 8909722, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4f3c3578f8424af3e063703f2f1964e?s=256&d=identicon&r=PG&f=1', 'display_name': 'monstereo', 'link': 'https://stackoverflow.com/users/8909722/monstereo'}",False,583,,,1,0,1668587127,1646518439,,71366306,https://stackoverflow.com/questions/71366306/httponly-cookie-between-rest-apispring-boot-and-vuejs,,httpOnly cookie between rest api(Spring Boot) and VueJS,CC BY-SA 4.0,
