,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,closed_date,closed_reason,migrated_from
0,"['python', 'java', 'jdbc', 'sybase', 'jaydebeapi']","{'account_id': 8244213, 'reputation': 296, 'user_id': 6200901, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/lACSH.jpg?s=256&g=1', 'display_name': 'Stykes', 'link': 'https://stackoverflow.com/users/6200901/stykes'}",True,220,73520769.0,2,1,1669213532,1661632225,1661634851.0,73514224,CC BY-SA 4.0,https://stackoverflow.com/questions/73514224/jaydebeapi-connect-always-returning-typeerror-class-sajdbc4-jar-is-not-found,jaydebeapi.connect always returning: &quot;TypeError: Class sajdbc4.jar is not found&quot;,,,,,
1,"['java', 'spring', 'spring-boot', 'spring-batch']","{'account_id': 14072999, 'reputation': 63, 'user_id': 10166044, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1826208904095174/picture?type=large', 'display_name': 'Amit Chaudhary', 'link': 'https://stackoverflow.com/users/10166044/amit-chaudhary'}",False,155,,1,1,1669211290,1661849923,1661850778.0,73539723,CC BY-SA 4.0,https://stackoverflow.com/questions/73539723/encountered-fatal-error-executing-job-org-springframework-dao-emptyresultdataac,"Encountered fatal error executing job: org.springframework.dao.EmptyResultDataAccessException: Incorrect result size: expected 1, actual 0",,,,,
2,"['java', 'ubuntu', 'log4j', 'tomcat9']","{'account_id': 20794822, 'reputation': 51, 'user_id': 15272074, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-C_gZGW5EEZw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKO4Rdn38pz_KOVUHJD-oMWm48rA/s96-c/photo.jpg?sz=256', 'display_name': 'Ravi Teja RVN', 'link': 'https://stackoverflow.com/users/15272074/ravi-teja-rvn'}",False,522,,1,0,1669206669,1660900392,1660903349.0,73414457,CC BY-SA 4.0,https://stackoverflow.com/questions/73414457/unable-to-create-file-logs-connectivityserver-log-java-io-ioexception-could-not,Unable to create file logs/connectivityserver.log java.io.IOException: Could not create directory /logs,,,,,
3,"['java', 'android', 'bundle', 'release']","{'account_id': 13215174, 'reputation': 51, 'user_id': 12282631, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Mawon', 'link': 'https://stackoverflow.com/users/12282631/mawon'}",True,500,73517082.0,5,3,1669182776,1659883094,1659940751.0,73268365,CC BY-SA 4.0,https://stackoverflow.com/questions/73268365/create-signed-bundle-release-error-android-resource-linking-failed,Create signed bundle release. Error: Android resource linking failed,,,,,
4,"['java', 'wordpress', 'wordpress-rest-api']","{'account_id': 3634682, 'reputation': 1269, 'user_id': 3030060, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/vjjqk.png?s=256&g=1', 'display_name': 'Brittany', 'link': 'https://stackoverflow.com/users/3030060/brittany'}",False,112,,1,2,1669160754,1661010959,,73428110,CC BY-SA 4.0,https://stackoverflow.com/questions/73428110/wp-rest-api-post-to-acf-field,WP Rest API - Post to ACF field?,100.0,1669765554.0,,,
5,"['java', 'spring', 'properties', 'aop', 'aspectj']","{'account_id': 1288376, 'reputation': 53, 'user_id': 1240976, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/4Ieyt.jpg?s=256&g=1', 'display_name': 'robhyx', 'link': 'https://stackoverflow.com/users/1240976/robhyx'}",False,72,,0,0,1669126172,1660313032,1669126172.0,73335382,CC BY-SA 4.0,https://stackoverflow.com/questions/73335382/inject-properties-into-aspectj-class,Inject Properties into AspectJ Class,,,,,
6,"['java', 'android', 'kotlin', 'sdk', 'libs']","{'account_id': 21413989, 'reputation': 13, 'user_id': 15773565, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c1b46a3617ec845451a2b8c920047b4?s=256&d=identicon&r=PG&f=1', 'display_name': 'tahreem', 'link': 'https://stackoverflow.com/users/15773565/tahreem'}",True,235,74533797.0,1,0,1669125473,1659605124,,73233424,CC BY-SA 4.0,https://stackoverflow.com/questions/73233424/getting-java-lang-unsatisfiedlinkerror-no-implementation-found-for-error,Getting java.lang.UnsatisfiedLinkError: No implementation found for error,,,,,
7,"['java', 'java-8', 'chronicle', 'chronicle-map']","{'account_id': 6920012, 'reputation': 605, 'user_id': 5312971, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/6bb1637ed21073f3b6ed6bd1c52e4675?s=256&d=identicon&r=PG&f=1', 'display_name': 'howard roark', 'link': 'https://stackoverflow.com/users/5312971/howard-roark'}",False,38,,1,1,1669125462,1660828245,,73403687,CC BY-SA 4.0,https://stackoverflow.com/questions/73403687/openhft-chronicle-map-frequency-of-persist-on-to-the-disk,OpenHFT Chronicle Map frequency of persist on to the disk,,,,,
8,"['java', 'gradle']","{'account_id': 25996340, 'reputation': 41, 'user_id': 19707654, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucqgIuM7o52ao935AOTWUEQchg7jUX8-BXOOKy5j=k-s256', 'display_name': 'Pp1', 'link': 'https://stackoverflow.com/users/19707654/pp1'}",False,345,,0,3,1669118469,1659811990,,73262474,CC BY-SA 4.0,https://stackoverflow.com/questions/73262474/rule-violated-for-bundle-java-gradle-examples-lines-covered-ratio-is-0-0-but-e,"Rule violated for bundle java-gradle-examples: lines covered ratio is 0.0, but expected minimum is 0.5",,,,,
9,"['java', 'spring', 'tomcat', 'swagger-ui']","{'account_id': 25538040, 'reputation': 1, 'user_id': 19324727, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1a75630741912b9e378390489934e7d?s=256&d=identicon&r=PG', 'display_name': 'Seician', 'link': 'https://stackoverflow.com/users/19324727/seician'}",False,282,,0,0,1669065359,1659684520,1659684641.0,73246152,CC BY-SA 4.0,https://stackoverflow.com/questions/73246152/how-to-add-swagger-ui-to-a-project-running-with-tomcat-9-0-41-and-spring-withou,"How to add Swagger-UI to a project running with tomcat 9.0.41 and Spring, without Spring Boot",,,,,
10,"['java', 'azure', 'unit-testing', 'cosmosclient']","{'account_id': 6180465, 'reputation': 101, 'user_id': 4816131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b51cb1aba14c4f54c3fc2d0d99bc978b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Wafa Saba', 'link': 'https://stackoverflow.com/users/4816131/wafa-saba'}",False,130,,1,0,1669027755,1661777791,,73529141,CC BY-SA 4.0,https://stackoverflow.com/questions/73529141/mock-cosmosclient-in-java-junits,Mock CosmosClient in Java junits,,,,,
11,"['java', 'swing', 'intellij-idea']","{'account_id': 19705285, 'reputation': 113, 'user_id': 14427121, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/NhgD9.jpg?s=256&g=1', 'display_name': 'Rishon J', 'link': 'https://stackoverflow.com/users/14427121/rishon-j'}",False,93,,2,0,1669013226,1660053019,1669013226.0,73293007,CC BY-SA 4.0,https://stackoverflow.com/questions/73293007/how-do-i-get-a-preview-of-a-java-swing-application-without-actually-running-it,how do I get a preview of a java swing application without actually running it?,,,,,
12,"['java', 'spring-boot', 'azure', 'maven', 'azure-spring-cloud']","{'account_id': 2852205, 'reputation': 801, 'user_id': 2449161, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/d5f113e297bc8f65919ea501c9cb4fa7?s=256&d=identicon&r=PG', 'display_name': '2dor', 'link': 'https://stackoverflow.com/users/2449161/2dor'}",False,50,,1,0,1669003248,1661713243,,73521418,CC BY-SA 4.0,https://stackoverflow.com/questions/73521418/azure-spring-cloud-deployment-of-springboot-stuck-at-deployment-step,Azure Spring Cloud deployment of SpringBoot stuck at deployment step,,,,,
13,"['java', 'json', 'spring-boot', 'jwt-simple']","{'account_id': 21843131, 'reputation': 21, 'user_id': 16136385, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhyWCAkHK-kbTwRn5Sdt3EPZSWVZUiTq4Bbvnyg=k-s256', 'display_name': 'Md Esadulhaq', 'link': 'https://stackoverflow.com/users/16136385/md-esadulhaq'}",True,733,,1,0,1668896353,1661427956,,73486900,CC BY-SA 4.0,https://stackoverflow.com/questions/73486900/how-to-fix-parser-is-deprecated-and-setsigningkeyjava-security-key-is-depr,How to fix parser() is deprecated and &#39;setSigningKey(java.security.Key)&#39; is deprecated?,,,,,
14,"['java', 'spring', 'spring-boot', 'universe', 'u2']","{'account_id': 25946781, 'reputation': 1, 'user_id': 19665413, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoz89RpKnNnXMdmIX4HiFCSUUtpiXVUhmaHPpm_=k-s256', 'display_name': 'herv&#233; 2 iko', 'link': 'https://stackoverflow.com/users/19665413/herv%c3%a9-2-iko'}",False,56,,1,0,1668838495,1659351301,,73192672,CC BY-SA 4.0,https://stackoverflow.com/questions/73192672/how-to-connect-spring-boot-application-with-u2-universe-database,How to connect Spring boot application with U2 universe database?,,,,,
15,"['java', 'kotlin', 'gradle', 'junit-jupiter']","{'account_id': 9162277, 'reputation': 12670, 'user_id': 6813231, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/gy8Sg.jpg?s=256&g=1', 'display_name': 'Alexei', 'link': 'https://stackoverflow.com/users/6813231/alexei'}",False,210,,1,1,1668784909,1659296124,,73186364,CC BY-SA 4.0,https://stackoverflow.com/questions/73186364/could-not-find-method-testruntime-for-arguments-org-junit-jupiterjunit-jupit,Could not find method testRuntime() for arguments [org.junit.jupiter:junit-jupiter-engine],,,,,
16,"['java', 'jar', 'java-11', 'javac']","{'account_id': 11741517, 'reputation': 3369, 'user_id': 8593689, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-kY2lz_X3qgg/AAAAAAAAAAI/AAAAAAAAFd8/kH8aLaFLJuc/photo.jpg?sz=256', 'display_name': 'Shane Bishop', 'link': 'https://stackoverflow.com/users/8593689/shane-bishop'}",True,78,73489133.0,2,-3,1668709018,1661436492,1661436987.0,73489019,CC BY-SA 4.0,https://stackoverflow.com/questions/73489019/how-to-compile-and-run-a-runnable-jar-using-only-javac-and-jar,How to compile and run a runnable JAR using only javac and jar,,,,,
17,"['java', 'android', 'flutter', 'kotlin', 'mobile']","{'account_id': 15601247, 'reputation': 175, 'user_id': 11255333, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-nAPSQoYy28M/AAAAAAAAAAI/AAAAAAAAAAc/GedTLknkZ5E/photo.jpg?sz=256', 'display_name': 'Oussama Rid&#233;ne', 'link': 'https://stackoverflow.com/users/11255333/oussama-rid%c3%a9ne'}",True,99,74476212.0,1,0,1668691322,1660310070,,73334772,CC BY-SA 4.0,https://stackoverflow.com/questions/73334772/registerforactivityresult-is-not-working-in-flutter,registerForActivityResult is not working in Flutter,,,,,
18,"['java', 'spring-boot', 'spring-boot-starter']","{'account_id': 5279068, 'reputation': 746, 'user_id': 4215032, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d389024d744780666f61b986ecd0122?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pp88', 'link': 'https://stackoverflow.com/users/4215032/pp88'}",True,259,74473532.0,3,0,1668680832,1661845904,1662669417.0,73538904,CC BY-SA 4.0,https://stackoverflow.com/questions/73538904/spring-boot-custom-starter-define-entities-in-it-without-using-entityscan-is,"spring boot custom starter, define entities in it, without using @EntityScan. Is it possible?",,,,,
