,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date,migrated_from,community_owned_date
0,"['java', 'import', 'package', 'bytecode']","{'account_id': 200877, 'reputation': 2937, 'user_id': 446976, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b6cf523d3a52f2fdd73cbec1ae7e6b2b?s=256&d=identicon&r=PG', 'display_name': 'Dheeraj Joshi', 'link': 'https://stackoverflow.com/users/446976/dheeraj-joshi'}",True,28998,8724078.0,6,89,1669569800,1325666218,1660151952.0,8724045,CC BY-SA 4.0,https://stackoverflow.com/questions/8724045/do-unused-import-and-objects-have-a-performance-impact,Do unused import and objects have a performance impact?,,,,,,
1,"['java', 'exit-code', 'runtime.exec', 'errorlevel']","{'account_id': 931382, 'reputation': 4493, 'user_id': 961215, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/W8HF0.jpg?s=256&g=1', 'display_name': 'Abhishek_Mishra', 'link': 'https://stackoverflow.com/users/961215/abhishek-mishra'}",True,3041,8922553.0,4,1,1669212783,1326958342,1669212783.0,8922485,CC BY-SA 4.0,https://stackoverflow.com/questions/8922485/how-to-execute-echo-errorlevel-in-java,How to execute echo %errorlevel% in java,,,,,,
2,"['java', 'architecture', 'naming-conventions']","{'account_id': 169624, 'reputation': 17707, 'user_id': 395804, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/182ec4df5cfc9285908e29aaa0273812?s=256&d=identicon&r=PG', 'display_name': 'Gal Bracha', 'link': 'https://stackoverflow.com/users/395804/gal-bracha'}",True,1953,8779499.0,4,2,1669071953,1326042284,1326042469.0,8779413,,https://stackoverflow.com/questions/8779413/how-to-name-a-base-class-which-holds-id-and-name,How to name a base class which holds Id and Name?,1669097306.0,Opinion-based,,,,
3,"['java', 'datetime', 'calendar']","{'account_id': 1096046, 'reputation': 14652, 'user_id': 1089623, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/84cea2df5455fab19a915ec582cab9f6?s=256&d=identicon&r=PG', 'display_name': 'Klausos Klausos', 'link': 'https://stackoverflow.com/users/1089623/klausos-klausos'}",True,270915,8940484.0,22,188,1667812475,1327057528,1525002380.0,8940438,CC BY-SA 3.0,https://stackoverflow.com/questions/8940438/number-of-days-in-particular-month-of-particular-year,Number of days in particular month of particular year?,,,,,,
4,"['java', 'binary-tree', 'pretty-print']","{'account_id': 895894, 'reputation': 181, 'user_id': 933194, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/e6a5de6fe4812fe6b311892834c3a8be?s=256&d=identicon&r=PG', 'display_name': 'neojb1989', 'link': 'https://stackoverflow.com/users/933194/neojb1989'}",True,13133,8964370.0,5,2,1667727867,1327263034,1327265579.0,8964279,CC BY-SA 3.0,https://stackoverflow.com/questions/8964279/coding-a-basic-pretty-printer-for-trees-in-java,Coding a basic pretty printer for trees in Java,,,,,,
5,"['java', 'jakarta-ee', 'exception-handling', 'postconstruct']","{'account_id': 83902, 'reputation': 17326, 'user_id': 234922, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/499bb5c773bcc8a961483e53b1a7a8db?s=256&d=identicon&r=PG', 'display_name': 'fasseg', 'link': 'https://stackoverflow.com/users/234922/fasseg'}",True,23690,8740304.0,3,40,1667510105,1325756055,1325756205.0,8740234,CC BY-SA 3.0,https://stackoverflow.com/questions/8740234/postconstruct-checked-exceptions,@PostConstruct &amp; Checked exceptions,,,,,,
6,"['java', 'string', 'performance', 'char', 'iteration']","{'account_id': 69149, 'reputation': 228758, 'user_id': 201359, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/t7odj.jpg?s=256&g=1', 'display_name': '&#211;scar L&#243;pez', 'link': 'https://stackoverflow.com/users/201359/%c3%93scar-l%c3%b3pez'}",True,286726,11876086.0,9,186,1667317659,1326801733,1326810297.0,8894258,CC BY-SA 3.0,https://stackoverflow.com/questions/8894258/fastest-way-to-iterate-over-all-the-chars-in-a-string,Fastest way to iterate over all the chars in a String,,,,,,
7,"['java', 'integer', 'new-operator', 'value-of']","{'account_id': 997968, 'reputation': 716, 'user_id': 1013463, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e01f61298f2e59eaf666b62059e822a6?s=256&d=identicon&r=PG', 'display_name': 'MicNeo', 'link': 'https://stackoverflow.com/users/1013463/micneo'}",True,63698,,6,34,1667285776,1327654142,1327655426.0,9030817,CC BY-SA 3.0,https://stackoverflow.com/questions/9030817/differences-between-new-integer123-integer-valueof123-and-just-123,"Differences between new Integer(123), Integer.valueOf(123) and just 123",,,,,,
8,"['java', 'ant', 'junit', 'timeout', 'junit4']","{'account_id': 525472, 'reputation': 5016, 'user_id': 1132278, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/846f4d6bc7df9f3296e1e3e60d7982d7?s=256&d=identicon&r=PG', 'display_name': 'Jun-Dai Bates-Kobashigawa', 'link': 'https://stackoverflow.com/users/1132278/jun-dai-bates-kobashigawa'}",True,14547,32034936.0,3,24,1667095362,1325771285,,8743594,CC BY-SA 3.0,https://stackoverflow.com/questions/8743594/whats-the-best-way-to-set-up-a-per-test-or-per-class-timeout-when-using-junit,What&#39;s the best way to set up a per-test or per-class timeout when using &lt;junit&gt; in perBatch forkmode?,,,,,,
9,"['java', 'configuration', 'hocon']","{'account_id': 7307, 'reputation': 7602, 'user_id': 12649, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/9eec32a3bf283593835bbc2aff3755f0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anand', 'link': 'https://stackoverflow.com/users/12649/anand'}",True,9595,13576082.0,4,10,1666940057,1327430679,1457357408.0,8992262,CC BY-SA 3.0,https://stackoverflow.com/questions/8992262/human-editable-json-like-or-yaml-like-program-configuration-in-java,Human editable JSON-like or YAML-like program configuration in Java,,,,,,
10,"['java', 'file-io']","{'account_id': 161788, 'reputation': 5726, 'user_id': 382827, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/68941f6897d0fb799c898958c84f1fbe?s=256&d=identicon&r=PG', 'display_name': 'Omid Kamangar', 'link': 'https://stackoverflow.com/users/382827/omid-kamangar'}",True,69624,8895205.0,3,18,1666896177,1326805694,,8895123,CC BY-SA 3.0,https://stackoverflow.com/questions/8895123/java-how-to-write-binary-files,Java: How to write binary files?,,,,,,
11,['java'],"{'account_id': 1171586, 'reputation': 1836, 'user_id': 1148656, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/cd819e37608b8fcd004cf4c56727f6f3?s=256&d=identicon&r=PG', 'display_name': 'Daniel Cook', 'link': 'https://stackoverflow.com/users/1148656/daniel-cook'}",True,109390,9073310.0,30,41,1666396359,1327972124,1435567686.0,9073150,CC BY-SA 3.0,https://stackoverflow.com/questions/9073150/converting-roman-numerals-to-decimal,Converting Roman Numerals To Decimal,,,1451205049.0,,,
12,"['java', 'javascript', 'regex', 'matcher']","{'account_id': 225326, 'reputation': 47946, 'user_id': 485743, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/2a92e2d3aa2f16ee42e0efed5953a51b?s=256&d=identicon&r=PG&f=1', 'display_name': 'copenndthagen', 'link': 'https://stackoverflow.com/users/485743/copenndthagen'}",True,39710,8754472.0,7,37,1666095712,1325833032,,8754444,CC BY-SA 3.0,https://stackoverflow.com/questions/8754444/convert-javascript-regular-expression-to-java-syntax,Convert Javascript regular expression to Java syntax,,,,,,
13,"['java', 'search', 'lucene']","{'account_id': 203038, 'reputation': 3315, 'user_id': 450460, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/87f9c8667e3ef4c7d705be27fcee51cd?s=256&d=identicon&r=PG', 'display_name': 'RikSaunderson', 'link': 'https://stackoverflow.com/users/450460/riksaunderson'}",True,26687,9084178.0,5,9,1665952358,1327937511,1575639049.0,9066347,CC BY-SA 4.0,https://stackoverflow.com/questions/9066347/lucene-multi-word-phrases-as-search-terms,Lucene: Multi-word phrases as search terms,,,,,,
14,"['java', 'css-selectors', 'nio', 'unix-socket']","{'account_id': 136531, 'reputation': 20615, 'user_id': 340088, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/e01618347bd158e35c34cce5bc006a92?s=256&d=identicon&r=PG', 'display_name': 'jbx', 'link': 'https://stackoverflow.com/users/340088/jbx'}",True,5938,17385917.0,4,7,1665748714,1326064719,,8782287,CC BY-SA 3.0,https://stackoverflow.com/questions/8782287/using-java-nio-with-unix-domain-sockets-in-non-blocking-mode-with-selectors,Using Java NIO with Unix Domain sockets in non-blocking mode with selectors,,,,,,
