,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,community_owned_date,closed_reason,protected_date,locked_date
0,"['java', 'refactoring', 'comparison', 'null', 'compareto']","{'account_id': 22705, 'reputation': 78709, 'user_id': 56285, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/0u454.jpg?s=256&g=1', 'display_name': 'Jonik', 'link': 'https://stackoverflow.com/users/56285/jonik'}",True,197951,23908426.0,18,189,1668791882,1233012314,1495540498.0,481813,CC BY-SA 3.0,https://stackoverflow.com/questions/481813/how-to-simplify-a-null-safe-compareto-implementation,How to simplify a null-safe compareTo() implementation?,,,,,
1,"['java', 'c++', 'programming-languages', 'language-design']","{'account_id': 12204, 'reputation': 66734, 'user_id': 23903, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/f29924841336dd32eb9831999c73c203?s=256&d=identicon&r=PG', 'display_name': 'dsimcha', 'link': 'https://stackoverflow.com/users/23903/dsimcha'}",True,5054,484551.0,19,16,1668723973,1233074781,1668723973.0,484172,,https://stackoverflow.com/questions/484172/do-we-need-a-java,Do we need a Java++?,1351432632.0,1233074781.0,not constructive,,
2,"['java', 'colors', 'color-scheme', 'color-picker']","{'account_id': 18859, 'reputation': 8915, 'user_id': 43665, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/b5797a86acd27838b156aaffa4f6bf81?s=256&d=identicon&r=PG', 'display_name': 'job', 'link': 'https://stackoverflow.com/users/43665/job'}",True,162501,470747.0,18,237,1668365994,1232656440,1481546551.0,470690,CC BY-SA 3.0,https://stackoverflow.com/questions/470690/how-to-automatically-generate-n-distinct-colors,How to automatically generate N &quot;distinct&quot; colors?,,,,,
3,"['java', 'httpurlconnection']","{'account_id': 8005, 'reputation': 2519, 'user_id': 14128, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/bc94a9e1b8aba82b74edc70ece18f965?s=256&d=identicon&r=PG', 'display_name': 'user14128', 'link': 'https://stackoverflow.com/users/14128/user14128'}",True,279143,496707.0,12,137,1668266737,1233340713,1339998399.0,496651,CC BY-SA 3.0,https://stackoverflow.com/questions/496651/connecting-to-remote-url-which-requires-authentication-using-java,Connecting to remote URL which requires authentication using Java,,,,,
4,"['java', 'date']","{'account_id': 20215, 'reputation': 10223, 'user_id': 48094, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/24354b5b5d415800310889e741ea08fc?s=256&d=identicon&r=PG', 'display_name': 'user48094', 'link': 'https://stackoverflow.com/users/48094/user48094'}",True,1111937,,32,647,1668257865,1231521609,1516813064.0,428918,CC BY-SA 3.0,https://stackoverflow.com/questions/428918/how-can-i-increment-a-date-by-one-day-in-java,How can I increment a date by one day in Java?,,,,1626779533.0,
5,"['java', 'xslt', 'processor']","{'account_id': 8532, 'reputation': 12570, 'user_id': 15452, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/76d427963d4a3dfb76062b0842125cb3?s=256&d=identicon&r=PG', 'display_name': 'Vihung', 'link': 'https://stackoverflow.com/users/15452/vihung'}",True,18436,461661.0,3,29,1668178599,1232450805,1337156699.0,460895,,https://stackoverflow.com/questions/460895/what-is-the-most-efficient-java-based-streaming-xslt-processor,What is the Most Efficient Java-Based streaming XSLT Processor?,1442251016.0,,Not suitable for this site,,
6,"['java', 'callback', 'function-pointers']","{'account_id': 10732, 'reputation': 53497, 'user_id': 20400, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/40bd6fa511aed8cab1e12bb104b88b4e?s=256&d=identicon&r=PG', 'display_name': 'Omar Kooheji', 'link': 'https://stackoverflow.com/users/20400/omar-kooheji'}",True,300864,443741.0,18,203,1666742741,1231951216,1342781069.0,443708,CC BY-SA 3.0,https://stackoverflow.com/questions/443708/callback-functions-in-java,Callback functions in Java,,,,,
7,"['java', 'c++', 'reference']","{'user_type': 'does_not_exist', 'display_name': 'al bundy'}",True,14122,,11,7,1666166069,1231556814,,430479,CC BY-SA 2.5,https://stackoverflow.com/questions/430479/how-do-i-use-an-equivalent-to-c-reference-parameters-in-java,How do I use an equivalent to C++ reference parameters in Java?,,,,,
8,"['java', 'sockets', 'port']","{'account_id': 22052, 'reputation': 1401, 'user_id': 54075, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG', 'display_name': 'user54075', 'link': 'https://stackoverflow.com/users/54075/user54075'}",True,167688,,10,140,1665928968,1231745898,1362666280.0,434718,CC BY-SA 3.0,https://stackoverflow.com/questions/434718/sockets-discover-port-availability-using-java,Sockets: Discover port availability using Java,,,,,
9,"['java', 'arrays', 'printing']","{'account_id': 7090, 'reputation': 52575, 'user_id': 12149, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/23e5406a16f4b8552eb037d4332b6c6d?s=256&d=identicon&r=PG', 'display_name': 'Alex Spurling', 'link': 'https://stackoverflow.com/users/12149/alex-spurling'}",True,2999325,409795.0,36,2321,1664478123,1231015179,1562511530.0,409784,CC BY-SA 4.0,https://stackoverflow.com/questions/409784/whats-the-simplest-way-to-print-a-java-array,What&#39;s the simplest way to print a Java array?,,,,1443812073.0,
