,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,community_owned_date,closed_date,closed_reason,migrated_from
0,"['java', 'webdriver', 'pageobjects']","{'account_id': 205630, 'reputation': 9439, 'user_id': 454488, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/ohaDv.gif?s=256&g=1', 'display_name': 'kamal', 'link': 'https://stackoverflow.com/users/454488/kamal'}",False,7720,1,0,1669428420,1347281464,12352100,CC BY-SA 3.0,https://stackoverflow.com/questions/12352100/webdriver-error-driver-info-driver-version-unknown,Webdriver Error &quot;Driver info: driver.version: unknown&quot;,,,,,,,
1,['java'],"{'account_id': 937013, 'reputation': 4578, 'user_id': 965769, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/f9ec25bee314dc001f3ff0955be78ce1?s=256&d=identicon&r=PG', 'display_name': 'Lucas_Santos', 'link': 'https://stackoverflow.com/users/965769/lucas-santos'}",True,144737,5,65,1669323275,1348745403,12620369,CC BY-SA 3.0,https://stackoverflow.com/questions/12620369/how-does-java-import-work,How does Java import work?,12620773.0,1506162298.0,,,,,
2,"['java', 'android', 'dialog', 'progressdialog', 'android-alertdialog']","{'account_id': 1520684, 'reputation': 3956, 'user_id': 1420433, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/21f3d2cec6a2d60ea77754ec9c2ad9d5?s=256&d=identicon&r=PG', 'display_name': 'oikonomopo', 'link': 'https://stackoverflow.com/users/1420433/oikonomopo'}",True,6610,1,4,1669300220,1348081996,12501357,CC BY-SA 4.0,https://stackoverflow.com/questions/12501357/alert-dialog-after-another-alert-dialog-the-first-is-missing-android,alert dialog after another alert dialog ? The first is missing! android,12501440.0,1669300220.0,,,,,
3,"['java', 'eclipse', 'io']","{'account_id': 1136986, 'reputation': 199, 'user_id': 1121856, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/9df5fe1480a37855a87fa260ba772c19?s=256&d=identicon&r=PG', 'display_name': 'Charlie Mulic', 'link': 'https://stackoverflow.com/users/1121856/charlie-mulic'}",False,565,1,1,1668805037,1347818813,12449334,CC BY-SA 3.0,https://stackoverflow.com/questions/12449334/eclipse-java-reloading-a-files-contents-when-external-changes-are-detected-fi,"Eclipse/Java: Reloading a file&#39;s contents when external changes are detected, file locks",,,,,,,
4,"['java', 'data-structures', 'stack', 'deque']","{'account_id': 1658137, 'reputation': 25979, 'user_id': 1527084, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/3c93245c8f90bb4256781ab91e212821?s=256&d=identicon&r=PG', 'display_name': 'Geek', 'link': 'https://stackoverflow.com/users/1527084/geek'}",True,113013,8,241,1668762950,1348205884,12524826,CC BY-SA 4.0,https://stackoverflow.com/questions/12524826/why-should-i-use-deque-over-stack,Why should I use Deque over Stack?,12524949.0,1619180864.0,,,,,
5,"['java', 'log4j', 'rollingfileappender']","{'account_id': 108392, 'reputation': 845, 'user_id': 287735, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/5f471d3a8f1ecc09f47324a84b55be68?s=256&d=identicon&r=PG', 'display_name': 'Samurai', 'link': 'https://stackoverflow.com/users/287735/samurai'}",True,26209,4,9,1668639438,1346737814,12257477,CC BY-SA 3.0,https://stackoverflow.com/questions/12257477/how-to-use-sizebasedtriggeringpolicy-with-timebasedrollingpolicy-in-log4j,How to use SizeBasedTriggeringPolicy with TimeBasedRollingPolicy in Log4j?,,,,,,,
6,"['java', 'jaxb', 'glassfish-3']","{'account_id': 1004551, 'reputation': 285, 'user_id': 1018644, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/7c54016fcf14cacf7b1ac2cc3e2a93a2?s=256&d=identicon&r=PG', 'display_name': 'Eva Donaldson', 'link': 'https://stackoverflow.com/users/1018644/eva-donaldson'}",True,478,2,2,1668631943,1346763951,12264106,CC BY-SA 3.0,https://stackoverflow.com/questions/12264106/glassfish-3-1-jaxb-counts-of-illegalannotationexceptions-no-detail,"Glassfish 3.1, JAXB counts of IllegalAnnotationExceptions, no detail",12266213.0,1346764050.0,,,,,
7,"['java', 'android', 'kotlin', 'image-processing', 'colors']","{'account_id': 246829, 'reputation': 21597, 'user_id': 521180, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ba2547eb8ddbae235fea3cb2d72d6d67?s=256&d=identicon&r=PG', 'display_name': '124697', 'link': 'https://stackoverflow.com/users/521180/124697'}",True,42830,8,44,1668448552,1347545991,12408431,CC BY-SA 4.0,https://stackoverflow.com/questions/12408431/how-can-i-get-the-average-color-of-an-image,How can I get the average color of an image?,12408627.0,1668448227.0,,,,,
8,"['java', 'android', 'json', 'arrays']","{'account_id': 1359879, 'reputation': 9391, 'user_id': 1297445, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/4243850fb352160089d0576d9479a2ff?s=256&d=identicon&r=PG', 'display_name': 'Luke Taylor', 'link': 'https://stackoverflow.com/users/1297445/luke-taylor'}",True,178577,9,125,1668359604,1346879331,12289844,CC BY-SA 3.0,https://stackoverflow.com/questions/12289844/difference-between-jsonobject-and-jsonarray,Difference between JSONObject and JSONArray,12289961.0,,,,,,
9,"['java', 'security', 'xss', 'sanitization', 'owasp']","{'account_id': 195439, 'reputation': 58198, 'user_id': 438319, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/e67d8015cee56fdd33ada1a7e154fbcf?s=256&d=identicon&r=PG&f=1', 'display_name': 'ams', 'link': 'https://stackoverflow.com/users/438319/ams'}",True,12759,5,15,1667903296,1348457196,12558471,CC BY-SA 3.0,https://stackoverflow.com/questions/12558471/how-to-allow-specific-characters-with-owasp-html-sanitizer,How to allow specific characters with OWASP HTML Sanitizer?,12610759.0,1348699100.0,,,,,
