,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,question_id,link,closed_reason,title,accepted_answer_id,last_edit_date,content_license,protected_date,migrated_from
0,"['java', 'code-coverage', 'jacoco']","{'account_id': 8525408, 'reputation': 603, 'user_id': 6391001, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/7ea6b4c150bd5d5321179cf5bed70ec9?s=256&d=identicon&r=PG&f=1', 'display_name': 'user9492428', 'link': 'https://stackoverflow.com/users/6391001/user9492428'}",False,453,1669201466.0,0,3,1669191236,1583078161,60476901,https://stackoverflow.com/questions/60476901/attaching-jacoco-agent-to-a-running-jvm,Needs more focus,Attaching jacoco agent to a running JVM,,,,,
1,"['javascript', 'java', 'build', 'ant', 'nashorn']","{'account_id': 4578717, 'reputation': 13, 'user_id': 3716460, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/100001860215923/picture?type=large', 'display_name': 'ScottD', 'link': 'https://stackoverflow.com/users/3716460/scottd'}",True,1306,,1,0,1669151713,1583188730,60497654,https://stackoverflow.com/questions/60497654/replacing-javascript-nashornmozilla-compat-js-use-in-ant-script,,Replacing javascript nashorn:mozilla_compat.js use in ant script,60515528.0,1583189109.0,CC BY-SA 4.0,,
2,"['java', 'spring-boot', 'spring-security', 'tomcat9', 'contextpath']","{'account_id': 297889, 'reputation': 9345, 'user_id': 603633, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/f5b61cb2ae8c6e521753360ab1541b52?s=256&d=identicon&r=PG', 'display_name': 'Sangeet Menon', 'link': 'https://stackoverflow.com/users/603633/sangeet-menon'}",True,1059,,4,5,1669017004,1584016735,60654318,https://stackoverflow.com/questions/60654318/accessing-context-pathroot-folder-does-not-show-login-page-in-spring-boot-appl,,Accessing context path(root folder) does not show login page in Spring Boot Application,,1584598009.0,CC BY-SA 4.0,,
3,"['java', 'authentication', 'jwt', 'jwk']","{'account_id': 1042454, 'reputation': 2444, 'user_id': 1048185, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/18bec43376eb20e4b27d334b4da4ccc8?s=256&d=identicon&r=PG', 'display_name': 'Ihor M.', 'link': 'https://stackoverflow.com/users/1048185/ihor-m'}",True,19242,,2,10,1669005819,1583185210,60497057,https://stackoverflow.com/questions/60497057/how-to-obtain-jwks-and-use-them-in-jwt-signing,,How to obtain JWKs and use them in JWT signing?,,,CC BY-SA 4.0,,
4,"['java', 'arrays']","{'account_id': 7170230, 'reputation': 15, 'user_id': 5477947, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hF5M9.jpg?s=256&g=1', 'display_name': 'Quang', 'link': 'https://stackoverflow.com/users/5477947/quang'}",True,18611,,3,-1,1668966907,1585350277,60895270,https://stackoverflow.com/questions/60895270/airplane-seating-program-2-dimensional-array,,Airplane seating program (2 dimensional array),,1650482039.0,CC BY-SA 4.0,,
5,"['java', 'jmx']","{'account_id': 12810781, 'reputation': 1, 'user_id': 9269078, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fdab11a8cc42426c06bc475cb748aaaf?s=256&d=identicon&r=PG&f=1', 'display_name': 'CVVR', 'link': 'https://stackoverflow.com/users/9269078/cvvr'}",False,11836,,1,0,1668884625,1583379944,60537915,https://stackoverflow.com/questions/60537915/how-to-fix-java-jmx-rmi-accessible-without-credentials,,How to fix Java JMX RMI Accessible without Credentials,,,CC BY-SA 4.0,,
6,"['java', 'android', 'firebase', 'firebase-authentication']","{'account_id': 109266, 'reputation': 713, 'user_id': 289597, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/ab105bf9725e6afd20c9393bda057d5c?s=256&d=identicon&r=PG', 'display_name': 'Renuka', 'link': 'https://stackoverflow.com/users/289597/renuka'}",True,42734,,10,23,1668693618,1583928429,60635672,https://stackoverflow.com/questions/60635672/e-firebaseinstanceid-failed-to-get-fis-auth-token,,E/FirebaseInstanceId: Failed to get FIS auth token,,1583994161.0,CC BY-SA 4.0,,
7,"['java', 'arrays', 'multidimensional-array', 'swap']","{'account_id': 18055049, 'reputation': 31, 'user_id': 13123731, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8979a79d09910fe0389f1c6b52583ef6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mihai012', 'link': 'https://stackoverflow.com/users/13123731/mihai012'}",True,156,,2,1,1668679667,1585155066,60853490,https://stackoverflow.com/questions/60853490/how-to-change-the-first-line-of-a-2d-array-with-the-last-line,,How to change the first line of a 2d array with the last line?,,1610550018.0,CC BY-SA 4.0,,
8,"['java', 'windows', 'java-8', 'java-home', 'system32']","{'account_id': 1680317, 'reputation': 579, 'user_id': 1544690, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/a7a251a4fc15056a43b4a62f606155f4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mirlo', 'link': 'https://stackoverflow.com/users/1544690/mirlo'}",False,82,,1,-1,1668615674,1584957690,60811337,https://stackoverflow.com/questions/60811337/windows-7-ignores-my-java-home-created-by-my-account,,Windows 7 ignores my JAVA_HOME created by my account,,1629318756.0,CC BY-SA 4.0,,
9,"['java', 'android', 'android-print-manager']","{'account_id': 9665998, 'reputation': 56, 'user_id': 7172484, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GMZnj.gif?s=256&g=1', 'display_name': 'Janekxyz', 'link': 'https://stackoverflow.com/users/7172484/janekxyz'}",True,1545,,2,1,1668599660,1583244217,60508970,https://stackoverflow.com/questions/60508970/malformed-pdf-print-doesnt-catch-runtimeexception,,Malformed PDF print doesn&#39;t catch RuntimeException,,,CC BY-SA 4.0,,
