,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from
0,"['java', 'reactive-programming', 'reactive-streams', 'mutiny']","{'account_id': 2176611, 'reputation': 519, 'user_id': 1927161, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/d61f6cc55080caf2de33d65bb4768a87?s=256&d=identicon&r=PG', 'display_name': 'Panos Karampis', 'link': 'https://stackoverflow.com/users/1927161/panos-karampis'}",True,146,72885769.0,1,1,1669207488,1656878359,1669207488.0,72849522,CC BY-SA 4.0,https://stackoverflow.com/questions/72849522/mutiny-propagate-completion-to-parent-multi-polling,Mutiny - Propagate completion to parent multi / polling,,,,
1,"['java', 'android', 'wordpress', 'flutter', 'android-studio']","{'account_id': 25730576, 'reputation': 1, 'user_id': 19486232, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86aae3f97916e731f6869e5cce4fbdce?s=256&d=identicon&r=PG&f=1', 'display_name': 'kddrycb', 'link': 'https://stackoverflow.com/users/19486232/kddrycb'}",False,93,,0,0,1669186375,1657092808,,72879508,CC BY-SA 4.0,https://stackoverflow.com/questions/72879508/in-flutter-android-studio-web-view-upload-image-button-not-working,In Flutter Android studio Web view Upload Image Button Not Working,,,,
2,"['java', 'frequency']","{'account_id': 25915340, 'reputation': 1, 'user_id': 19638813, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf47567093598833d5844c69d4da03f0?s=256&d=identicon&r=PG&f=1', 'display_name': 'redbull_luvr', 'link': 'https://stackoverflow.com/users/19638813/redbull-luvr'}",True,343,,5,0,1669184404,1658998466,1658999771.0,73149937,CC BY-SA 4.0,https://stackoverflow.com/questions/73149937/word-frequencies,Word frequencies,,,,
3,"['java', 'android', 'android-studio', 'bluetooth']","{'account_id': 25846806, 'reputation': 1, 'user_id': 19581506, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmk1q8ecfO2R0r-XvYbPhApHwyMgNKSSAznQkDTG0A=k-s256', 'display_name': 'Aditya', 'link': 'https://stackoverflow.com/users/19581506/aditya'}",False,57,,1,0,1669184311,1658253255,1658253374.0,73041497,CC BY-SA 4.0,https://stackoverflow.com/questions/73041497/bluetoothadapter-startdiscovery-doesnt-start-without-clicking-the-bluetooth-b,bluetoothAdapter.startDiscovery() doesn&#39;t start without clicking the bluetooth button from the notification panel and finishes immediately,,,,
4,"['java', 'android', 'android-lifecycle']","{'account_id': 16447516, 'reputation': 85, 'user_id': 11881850, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-TN-W4R-LGOs/AAAAAAAAAAI/AAAAAAAAAYI/PuB63EsVnGo/photo.jpg?sz=256', 'display_name': 'kpwn Apps', 'link': 'https://stackoverflow.com/users/11881850/kpwn-apps'}",False,270,,2,2,1669102887,1657555424,1657562954.0,72941456,CC BY-SA 4.0,https://stackoverflow.com/questions/72941456/onmenuitemselected-is-not-called,onMenuItemSelected is not called,,,,
5,"['java', 'spring-boot', 'junit', 'yaml']","{'account_id': 18044315, 'reputation': 642, 'user_id': 13115701, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3107156475982143/picture?type=large', 'display_name': 'Paul Marcelin Bejan', 'link': 'https://stackoverflow.com/users/13115701/paul-marcelin-bejan'}",True,309,73110842.0,2,0,1669067474,1658140094,1669067474.0,73020838,CC BY-SA 4.0,https://stackoverflow.com/questions/73020838/how-to-test-externalized-configuration-reading-from-yaml,How to test Externalized Configuration reading from yaml,,,,
6,"['java', 'android', 'react-native', 'expo', 'java-11']","{'account_id': 18466761, 'reputation': 100, 'user_id': 13452723, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5z97j.jpg?s=256&g=1', 'display_name': 'dukizwe', 'link': 'https://stackoverflow.com/users/13452723/dukizwe'}",True,1180,,2,2,1668956170,1658742674,,73107234,CC BY-SA 4.0,https://stackoverflow.com/questions/73107234/how-to-fix-jlink-does-not-exist,How to fix jlink does not exist?,,,,
7,"['java', 'spring', 'hibernate', 'junit', 'mockmvc']","{'account_id': 25696176, 'reputation': 1, 'user_id': 19456818, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a59756d1b8fd23a3122e258110a09c35?s=256&d=identicon&r=PG', 'display_name': 'Melod_Yi', 'link': 'https://stackoverflow.com/users/19456818/melod-yi'}",False,87,,1,0,1668930975,1656644117,1668930975.0,72823932,CC BY-SA 4.0,https://stackoverflow.com/questions/72823932/try-integration-test-spring-data-jpa-throw-mockmvc-but-update-does-not-work,"Try integration test spring-data-jpa throw MockMVC, but update does not work",,,,
8,"['java', 'android', 'sqlite', 'kotlin']","{'account_id': 2613857, 'reputation': 1953, 'user_id': 2263395, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/YTACu.jpg?s=256&g=1', 'display_name': 'NeverEndingQueue', 'link': 'https://stackoverflow.com/users/2263395/neverendingqueue'}",False,51,,1,1,1668783261,1657619514,1668782744.0,72950355,CC BY-SA 4.0,https://stackoverflow.com/questions/72950355/on-insert-changes-sometimes-returns-1-even-if-row-already-existed,"On INSERT, changes() sometimes returns 1 even if row already existed",,,,
9,"['java', 'spring-boot', 'spring-mvc', 'spring-actuator']","{'account_id': 1428016, 'reputation': 326, 'user_id': 1351061, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/87dbd0bbacf2f715d56b1edc2cde5adf?s=256&d=identicon&r=PG', 'display_name': 'santik', 'link': 'https://stackoverflow.com/users/1351061/santik'}",True,165,73080026.0,2,2,1668766320,1657545018,1657548901.0,72939126,CC BY-SA 4.0,https://stackoverflow.com/questions/72939126/how-to-point-a-single-spring-actuator-endpoint-to-the-root,How to point a single spring actuator endpoint to the root (&quot;/&quot;),,,,
