,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
0,"['java', 'string', 'printf']","{'account_id': 1335455, 'reputation': 141, 'user_id': 1278336, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/eae03442e44b0dd70c4743a2860303cd?s=256&d=identicon&r=PG', 'display_name': 'Beth Ann Meredith', 'link': 'https://stackoverflow.com/users/1278336/beth-ann-meredith'}",True,47667,4,12,1669214702,1353580157,1635957467.0,13510661,CC BY-SA 4.0,https://stackoverflow.com/questions/13510661/taking-a-new-line-using-printf-in-java-is-n-correct,Taking a new line using printf in java? Is %n correct?,,,,,,
1,"['java', 'scala', 'executable-jar', 'eclipse-juno', 'slick2d']","{'account_id': 1347013, 'reputation': 2805, 'user_id': 1287554, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/f21a0b64108bc8a214b24ac41e6a3916?s=256&d=identicon&r=PG', 'display_name': 'Plasty Grove', 'link': 'https://stackoverflow.com/users/1287554/plasty-grove'}",True,33875,8,10,1669203441,1353668984,1353674635.0,13527869,CC BY-SA 3.0,https://stackoverflow.com/questions/13527869/could-not-find-main-method-from-given-launch-configuration-when-using-javasca,&quot;Could not find main method from given launch configuration&quot; when using Java+Scala+Slick2D,13529430.0,,,,,
2,"['java', 'iterator']","{'account_id': 1999556, 'reputation': 101, 'user_id': 1790936, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a63d3c24931016f7487d8109c407e17?s=256&d=identicon&r=PG', 'display_name': 'Hercules', 'link': 'https://stackoverflow.com/users/1790936/hercules'}",True,46621,8,10,1669125770,1351764087,1537160042.0,13174707,CC BY-SA 4.0,https://stackoverflow.com/questions/13174707/how-can-i-print-a-list-employee-type-using-iterator,How can I print a list (employee type) using Iterator?,,,,,,
3,"['java', 'postgresql', 'servlets', 'auto-increment']","{'account_id': 908759, 'reputation': 69, 'user_id': 943104, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/22772dc968ad45fdd618f518184aed54?s=256&d=identicon&r=PG', 'display_name': 'RyanH', 'link': 'https://stackoverflow.com/users/943104/ryanh'}",True,3338,2,1,1669043901,1354227551,1669043901.0,13635812,CC BY-SA 4.0,https://stackoverflow.com/questions/13635812/how-to-increment-id-for-each-insert,How to increment ID for each INSERT?,13635844.0,,,,,
4,"['java', 'php', 'regex', 'xml', 'perl']","{'account_id': 54736, 'reputation': 6939, 'user_id': 163845, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/e5fee5f1ea1c8232bbd2b98a2505c67e?s=256&d=identicon&r=PG', 'display_name': 'Doz', 'link': 'https://stackoverflow.com/users/163845/doz'}",True,205382,5,78,1669017816,1352155473,1526921017.0,13241615,CC BY-SA 4.0,https://stackoverflow.com/questions/13241615/find-everything-between-two-xml-tags-with-regex,Find everything between two XML tags with RegEx,13241658.0,,,,,
5,"['java', 'jsp', 'jstl', 'jooq']","{'account_id': 374907, 'reputation': 4874, 'user_id': 725400, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/bbef2fe5dec6f7d6bb28ff731a76c776?s=256&d=identicon&r=PG', 'display_name': 'kskaradzinski', 'link': 'https://stackoverflow.com/users/725400/kskaradzinski'}",True,2168,5,2,1668788181,1353945808,1353949275.0,13568538,CC BY-SA 3.0,https://stackoverflow.com/questions/13568538/loop-through-resultrecord-from-jooq-in-cforeach,Loop through Result&lt;Record&gt; from jOOQ in &lt;c:forEach&gt;,13570924.0,,,,,
6,"['java', 'string', 'algorithm']","{'account_id': 1413469, 'reputation': 4886, 'user_id': 1339620, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/05e3a5e35ddf0dbb9156c619780fd35f?s=256&d=identicon&r=PG', 'display_name': 'Valentino Ru', 'link': 'https://stackoverflow.com/users/1339620/valentino-ru'}",True,13568,5,12,1668647429,1353931335,1353947754.0,13564464,CC BY-SA 3.0,https://stackoverflow.com/questions/13564464/problems-with-levenshtein-algorithm-in-java,Problems with Levenshtein algorithm in Java,13564498.0,,,,,
7,"['java', 'annotations', 'nullpointerexception', 'nullable', 'code-standards']","{'account_id': 199370, 'reputation': 18710, 'user_id': 444639, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/76bfe9645715492707b67ed7d04bc73a?s=256&d=identicon&r=PG', 'display_name': 'Mike Rylander', 'link': 'https://stackoverflow.com/users/444639/mike-rylander'}",True,217546,10,171,1668598818,1353455283,1478196513.0,13484202,CC BY-SA 3.0,https://stackoverflow.com/questions/13484202/how-to-use-nullable-and-nonnull-annotations-more-effectively,How to use @Nullable and @Nonnull annotations more effectively?,,,,,,
8,"['java', 'date', 'calendar']","{'account_id': 476363, 'reputation': 16149, 'user_id': 887235, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/4quRD.png?s=256&g=1', 'display_name': 'Vicky', 'link': 'https://stackoverflow.com/users/887235/vicky'}",True,249362,16,76,1668251403,1354187414,1522941550.0,13624442,CC BY-SA 3.0,https://stackoverflow.com/questions/13624442/getting-last-day-of-the-month-in-a-given-string-date,Getting last day of the month in a given string date,13624504.0,,,,,
9,"['java', 'arraylist']","{'account_id': 972233, 'reputation': 4543, 'user_id': 994541, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/a73cce4c1e9faad5ff99a10ceb6d1dba?s=256&d=identicon&r=PG', 'display_name': 'iaacp', 'link': 'https://stackoverflow.com/users/994541/iaacp'}",True,275809,19,167,1668207690,1353528096,1546620947.0,13501142,CC BY-SA 4.0,https://stackoverflow.com/questions/13501142/java-arraylist-how-can-i-tell-if-two-lists-are-equal-order-not-mattering,"Java ArrayList - how can I tell if two lists are equal, order not mattering?",13501200.0,,,,,
10,"['java', 'annotations', 'mockito']","{'user_type': 'does_not_exist', 'display_name': 'user1653241'}",False,9852,1,3,1668060230,1351701840,1351713179.0,13162810,CC BY-SA 3.0,https://stackoverflow.com/questions/13162810/what-are-the-necessary-imports-for-unit-testing-with-mockito,What are the necessary imports for unit testing with Mockito?,,,,,,
11,"['java', 'sql-server', 'maven', 'netbeans', 'jdbc']","{'account_id': 2066793, 'reputation': 183, 'user_id': 1842168, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://i.stack.imgur.com/HItdZ.jpg?s=256&g=1', 'display_name': 'Kadymov Mukhammed', 'link': 'https://stackoverflow.com/users/1842168/kadymov-mukhammed'}",False,11663,3,17,1668017020,1353507419,1619199805.0,13495203,CC BY-SA 4.0,https://stackoverflow.com/questions/13495203/how-to-add-sqljdbc-auth-dll-to-my-maven-project,How to add sqljdbc_auth.dll to my maven project,,,,,,
12,"['java', 'hashmap', 'capacity']","{'account_id': 2027945, 'reputation': 4616, 'user_id': 1812434, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/gTQAt.jpg?s=256&g=1', 'display_name': 'Venkata Raju', 'link': 'https://stackoverflow.com/users/1812434/venkata-raju'}",True,1164,3,3,1667982241,1352624579,1667982241.0,13329819,CC BY-SA 4.0,https://stackoverflow.com/questions/13329819/why-hashmap-initial-capacity-is-not-properly-handled-by-the-library,Why HashMap initial capacity is not properly handled by the library?,,,,,,
13,"['java', 'char', 'type-conversion']","{'account_id': 241100, 'reputation': 1264, 'user_id': 511714, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/0499a223a79a019f64a667a24d5bef5e?s=256&d=identicon&r=PG', 'display_name': 'Aaron', 'link': 'https://stackoverflow.com/users/511714/aaron'}",True,45165,3,38,1667666052,1353402174,1353551876.0,13469681,CC BY-SA 3.0,https://stackoverflow.com/questions/13469681/how-to-convert-4-bytes-array-to-float-in-java,How to convert 4 bytes array to float in java,,,,,,
14,"['java', 'user-interface', 'javafx', 'fxml']","{'account_id': 317118, 'reputation': 1469, 'user_id': 633621, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/8fc080f856247bf207521247b697982b?s=256&d=identicon&r=PG', 'display_name': 'alfredo138923', 'link': 'https://stackoverflow.com/users/633621/alfredo138923'}",True,200227,9,67,1667161460,1353940600,1513799554.0,13567019,CC BY-SA 3.0,https://stackoverflow.com/questions/13567019/close-fxml-window-by-code-javafx,"close fxml window by code, javafx",13602324.0,,,,,
15,"['java', 'logging', 'log4j', 'slf4j']","{'account_id': 226571, 'reputation': 5535, 'user_id': 487694, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/cb868d14e2b97dbd5cc6b9965ee02544?s=256&d=identicon&r=PG', 'display_name': 'Narendra', 'link': 'https://stackoverflow.com/users/487694/narendra'}",True,38548,5,23,1667050263,1353261997,1658225737.0,13442967,CC BY-SA 4.0,https://stackoverflow.com/questions/13442967/how-to-dynamically-change-log-level-in-slf4j-or-log4j,How to dynamically change log level in SLF4j OR Log4J,13443307.0,,,,,
