,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,accepted_answer_id,content_license,protected_date,migrated_from
0,['java'],"{'account_id': 20295829, 'reputation': 15, 'user_id': 14886384, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ENFDLGloUzU/AAAAAAAAAAI/AAAAAAAAAvE/AMZuucnVSxFfX6YSHdRRRD3_3weI1liUSw/s96-c/photo.jpg?sz=256', 'display_name': 'Tirath Sharma', 'link': 'https://stackoverflow.com/users/14886384/tirath-sharma'}",True,552,1616648534.0,1,-4,1669122193,1616604728,1669122193.0,66785686,https://stackoverflow.com/questions/66785686/monk-and-rotation,Duplicate,Monk and rotation,,,,
1,"['java', 'email', 'intellij-idea', 'smtp']","{'account_id': 20756256, 'reputation': 47, 'user_id': 15242627, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89aaf5f7a21e78bbb91ca216cba95a4c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jimmy665566', 'link': 'https://stackoverflow.com/users/15242627/jimmy665566'}",True,807,,3,0,1669042937,1615225716,,66534689,https://stackoverflow.com/questions/66534689/how-do-i-code-my-own-smtp-server-using-java,,How do I code my own SMTP Server using Java?,66550697.0,CC BY-SA 4.0,,
2,"['java', 'keycloak', 'keycloak-services']","{'account_id': 7167552, 'reputation': 687, 'user_id': 5476186, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ae170a92d2c0d7191ab541235bcf21b?s=256&d=identicon&r=PG', 'display_name': 'Austin Brown', 'link': 'https://stackoverflow.com/users/5476186/austin-brown'}",True,3118,,3,4,1669042320,1616781261,1616914872.0,66822016,https://stackoverflow.com/questions/66822016/where-are-all-of-the-keycloak-protocol-mapper-config-options-documented,,Where are all of the Keycloak Protocol Mapper Config Options documented?,66829548.0,CC BY-SA 4.0,,
3,"['java', 'spring', 'security']","{'account_id': 20885641, 'reputation': 39, 'user_id': 15342307, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjlvZu5WSouJh2Z_cNug3WhO_bNrVvc7OWJJDOb2A=k-s256', 'display_name': 'Ahmad Amer', 'link': 'https://stackoverflow.com/users/15342307/ahmad-amer'}",True,320,,1,0,1669008088,1615156195,1615266353.0,66522159,https://stackoverflow.com/questions/66522159/jwt-getprincipal-error-reference-to-authentication-is-ambiguous,,"JWT getPrincipal error , reference to Authentication is ambiguous",66522778.0,CC BY-SA 4.0,,
4,"['java', 'spring', 'spring-boot', 'autowired', 'lombok']","{'account_id': 14779271, 'reputation': 35, 'user_id': 10673161, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2228545527185360/picture?type=large', 'display_name': 'Kuldeep.b', 'link': 'https://stackoverflow.com/users/10673161/kuldeep-b'}",True,2129,,1,3,1668846582,1615384711,,66566251,https://stackoverflow.com/questions/66566251/how-to-create-immutable-and-singleton-class-in-spring-boot,,How to create immutable and singleton class in Spring boot?,66566343.0,CC BY-SA 4.0,,
5,"['java', 'spring-webflux', 'reactive', 'reactor']","{'account_id': 12865547, 'reputation': 21, 'user_id': 9305964, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-czp91uVSgRg/AAAAAAAAAAI/AAAAAAAAA5Q/VuBjm86hTS4/photo.jpg?sz=256', 'display_name': 'Gonzalo Viegas', 'link': 'https://stackoverflow.com/users/9305964/gonzalo-viegas'}",False,1414,,2,2,1668763363,1616189090,1616283739.0,66715776,https://stackoverflow.com/questions/66715776/how-to-map-several-mono-into-one-object-using-spring-webflux-reactive-java,,How to map several Mono into one object using Spring Webflux Reactive Java?,,CC BY-SA 4.0,,
6,"['java', 'jls', 'jep']","{'account_id': 1674243, 'reputation': 8778, 'user_id': 1553537, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://i.stack.imgur.com/p4n4b.jpg?s=256&g=1', 'display_name': 'Giorgi Tsiklauri', 'link': 'https://stackoverflow.com/users/1553537/giorgi-tsiklauri'}",True,1194,,1,6,1668715647,1614977607,1630575850.0,66499500,https://stackoverflow.com/questions/66499500/incubator-module-vs-preview-feature-in-java,,Incubator Module vs. Preview Feature in Java,,CC BY-SA 4.0,,
7,"['java', 'unit-testing', 'junit', 'mockito', 'slf4j']","{'account_id': 10399567, 'reputation': 917, 'user_id': 7668336, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e8b9792920c51ecc5f2e60350d4e44c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dinu Nicolae', 'link': 'https://stackoverflow.com/users/7668336/dinu-nicolae'}",True,4213,,2,9,1668608328,1616759920,1668608328.0,66816515,https://stackoverflow.com/questions/66816515/how-to-mock-logger-when-created-with-the-slf4j-annotation,,How to mock Logger when created with the @Slf4j annotation?,66828944.0,CC BY-SA 4.0,,
8,"['java', 'android', 'kotlin', 'gradle', 'build.gradle']","{'account_id': 11726648, 'reputation': 13766, 'user_id': 8583692, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/joGZ9.png?s=256&g=1', 'display_name': 'Mahozad', 'link': 'https://stackoverflow.com/users/8583692/mahozad'}",True,46830,,10,64,1668568295,1615883943,1632899463.0,66651640,https://stackoverflow.com/questions/66651640/jcenter-deprecation-impact-on-gradle-and-android,,JCenter deprecation; impact on Gradle and Android,68176759.0,CC BY-SA 4.0,,
9,"['java', 'gradle', 'junit5', 'gradlew']","{'account_id': 7597837, 'reputation': 53, 'user_id': 6341337, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Glns7.png?s=256&g=1', 'display_name': 'YashSeeta', 'link': 'https://stackoverflow.com/users/6341337/yashseeta'}",False,7500,,1,3,1668467080,1615479104,,66586272,https://stackoverflow.com/questions/66586272/running-a-single-junit5-test-on-gradle-exits-with-standard-error,,Running a single JUnit5 test on gradle exits with STANDARD_ERROR,,CC BY-SA 4.0,,
